acc_x[g],acc_y[g],acc_z[g]
-0.318,0.038,0.996
-0.287,0.059,0.993
-0.259,0.102,0.921
-0.241,-0.005,0.976
-0.332,0.021,0.93
-0.339,0.077,0.936
-0.301,0.104,0.927
-0.21,0.012,1.039
-0.237,-0.016,1.031
-0.329,0.044,0.899
-0.361,0.134,0.861
-0.265,0.03,0.967
-0.221,-0.022,1.096
-0.277,0.043,0.979
-0.316,0.087,0.899
-0.287,0.054,0.873
-0.285,-0.004,0.959
-0.263,0.027,1.037
-0.293,0.082,0.965
-0.276,0.092,0.883
-0.272,-0.023,0.976
-0.289,0.021,0.971
-0.294,0.107,1.02
-0.277,0.062,0.919
-0.223,-0.008,1.003
-0.284,0.012,0.954
-0.324,0.082,0.93
-0.298,0.125,0.936
-0.227,-0.015,1.015
-0.246,-0.004,1.016
-0.31,0.05,0.92
-0.349,0.106,0.86
-0.283,0.051,0.926
-0.238,-0.013,1.066
-0.268,0.032,1.004
-0.326,0.103,0.892
-0.292,0.047,0.88
-0.246,-0.019,1.029
-0.291,0.057,0.988
-0.288,0.065,1.009
-0.29,0.061,0.871
-0.249,-0.003,1.025
-0.285,0.049,0.98
-0.288,0.076,0.95
-0.287,-0.026,0.985
-0.255,0.037,0.972
-0.34,0.079,0.909
-0.333,0.075,0.9
-0.227,0.012,1.006
-0.236,0,1.046
-0.311,0.046,0.919
-0.365,0.108,0.842
-0.274,0.024,0.929
-0.239,0.017,1.059
-0.251,0.051,1.044
-0.305,0.059,0.942
-0.307,0.075,0.816
-0.258,-0.014,1.003
-0.265,0.055,1.034
-0.303,0.08,0.987
-0.283,0.062,0.905
-0.221,-0.008,1.005
-0.296,0.051,0.955
-0.317,0.063,0.97
-0.295,0.053,0.904
-0.224,0.023,1.011
-0.266,0.025,0.973
-0.313,0.055,0.941
-0.338,0.106,0.901
-0.239,0.001,0.984
-0.207,0.027,1.082
-0.276,0.034,0.983
-0.344,0.085,0.882
-0.282,0.058,0.894
-0.248,0.003,1.063
-0.26,0.041,1.046
-0.301,0.057,0.954
-0.273,0.062,0.862
-0.277,0.015,0.943
-0.316,0.032,0.976
-0.304,0.034,0.995
-0.283,0.081,0.881
-0.219,0.013,1.019
-0.285,0.045,0.985
-0.334,0.036,0.953
-0.311,0.092,0.92
-0.208,0.019,1.001
-0.239,0.024,1.034
-0.319,0.045,0.926
-0.333,0.076,0.886
-0.238,0.048,0.996
-0.226,0.005,1.065
-0.278,0.029,0.971
-0.336,0.077,0.875
-0.302,0.062,0.867
-0.257,0.006,1.053
-0.267,0.023,1.037
-0.312,0.054,0.913
-0.289,0.082,0.838
-0.255,0.003,0.975
-0.319,0.038,0.984
-0.315,0.07,0.996
-0.269,0.081,0.936
-0.219,0.002,0.974
-0.295,0.017,0.968
-0.31,0.049,0.991
-0.315,0.108,0.895
-0.221,0.035,1.034
-0.246,0.001,1.004
-0.311,0.023,0.934
-0.338,0.116,0.87
-0.25,0.035,0.959
-0.237,0.004,1.066
-0.274,0.016,0.97
-0.323,0.092,0.897
-0.27,0.072,0.882
-0.279,-0.002,1.014
-0.274,0.028,1.031
-0.285,0.081,1.012
-0.278,0.082,0.855
-0.267,-0.005,0.957
-0.315,0.018,0.984
-0.303,0.064,0.993
-0.258,0.105,0.955
-0.223,0.011,0.988
-0.304,-0.009,0.93
-0.352,0.053,0.894
-0.324,0.107,0.912
-0.222,0.023,1.007
-0.241,-0.002,1.042
-0.298,0.041,0.942
-0.331,0.11,0.877
-0.259,0.061,0.95
-0.234,-0.021,1.077
-0.256,0.043,1.012
-0.327,0.106,0.911
-0.297,0.06,0.85
-0.263,-0.017,1.035
-0.298,0.035,1.001
-0.283,0.081,0.988
-0.263,0.078,0.888
-0.258,-0.02,0.969
-0.308,0.026,0.957
-0.304,0.089,0.992
-0.286,0.082,0.901
-0.228,-0.009,0.989
-0.277,0.005,0.91
-0.339,0.131,0.9
-0.334,0.002,0.986
-0.191,-0.019,1.073
-0.306,0.057,0.931
-0.332,0.114,0.902
-0.271,0.018,0.928
-0.262,-0.001,1.024
-0.252,0.037,1.017
-0.295,0.088,0.923
-0.293,0.061,0.874
-0.288,-0.022,1.001
-0.284,0.052,0.984
-0.282,0.083,1.015
-0.268,0.058,0.894
-0.232,-0.017,0.987
-0.32,0.039,0.943
-0.327,0.085,0.966
-0.295,0.103,0.951
-0.216,-0.021,1.016
-0.267,0.014,0.966
-0.334,0.073,0.899
-0.345,0.09,0.896
-0.235,0.025,0.998
-0.221,0.006,1.067
-0.274,0.03,0.972
-0.339,0.092,0.859
-0.294,0.039,0.892
-0.222,-0.009,1.082
-0.261,0.07,1.011
-0.312,0.077,0.952
-0.289,0.037,0.855
