acc_x[g],acc_y[g],acc_z[g]
-0.274,0.009,0.931
-0.302,-0.044,0.984
-0.324,0.091,0.919
-0.191,0.048,0.977
-0.236,0.034,1.119
-0.338,0.158,0.874
-0.279,0.026,0.928
-0.305,0.026,1.029
-0.337,0.016,0.878
-0.306,0.076,0.874
-0.26,-0.08,1.001
-0.296,0.081,1.016
-0.24,0.129,0.922
-0.201,0.034,1.121
-0.33,0.078,0.956
-0.337,0.066,0.802
-0.263,0.015,1.023
-0.322,-0.028,0.956
-0.322,0.12,0.871
-0.224,-0.005,1.004
-0.232,0.051,1.112
-0.29,0.129,0.926
-0.214,0.038,0.946
-0.293,-0.016,1.054
-0.362,0.082,0.822
-0.276,0.025,0.895
-0.284,-0.016,1.039
-0.292,0.043,0.963
-0.273,0.126,0.881
-0.211,0.032,1.093
-0.321,0.057,1.032
-0.308,0.095,0.801
-0.229,-0.059,1.058
-0.336,0.051,0.915
-0.315,0.049,0.822
-0.221,0.056,1.073
-0.246,0.005,1.064
-0.298,0.187,0.885
-0.225,0.009,0.964
-0.298,0.006,1.041
-0.363,0.079,0.837
-0.259,-0.007,0.901
-0.257,0.013,1.098
-0.317,0.053,0.899
-0.222,0.099,0.969
-0.223,0.026,1.109
-0.306,0.112,0.961
-0.31,0.048,0.813
-0.236,-0.012,1.05
-0.35,0.01,0.947
-0.312,0.076,0.827
-0.204,-0.028,1.094
-0.289,0.072,1.018
-0.273,0.123,0.908
-0.225,0.08,1.017
-0.306,-0.004,1.017
-0.383,0.084,0.793
-0.254,0.001,0.904
-0.293,-0.045,1.064
-0.322,0.098,0.899
-0.197,0.022,1.026
-0.206,0.098,1.16
-0.294,0.084,0.941
-0.284,0.131,0.898
-0.277,-0.066,1.016
-0.357,0.036,0.873
-0.323,0.054,0.794
-0.208,-0.034,1.11
-0.301,0.038,1.027
-0.26,0.127,0.888
-0.198,0.081,1.095
-0.32,0.039,0.964
-0.363,0.114,0.784
-0.273,-0.047,0.903
-0.296,-0.005,1.016
-0.344,0.036,0.811
-0.219,0.06,0.981
-0.231,0.02,1.164
-0.291,0.146,0.911
-0.233,0.096,0.974
-0.304,0.008,1.006
-0.367,0.022,0.858
-0.336,0.06,0.826
-0.22,-0.057,1.077
-0.306,0.021,0.998
-0.264,0.128,0.882
-0.183,0.032,1.161
-0.285,0.102,0.901
-0.294,0.078,0.935
-0.267,-0.047,0.931
-0.357,0.098,0.81
-0.236,-0.055,1.009
-0.253,0.037,1.105
-0.278,0.139,0.95
-0.183,0.071,1.023
-0.27,0.033,1.08
-0.363,0.051,0.84
-0.291,0.069,0.873
-0.296,-0.074,0.987
-0.322,0.042,0.933
-0.248,0.084,0.934
-0.168,0.045,1.134
-0.282,0.065,1.042
-0.305,0.119,0.833
-0.246,-0.006,1.077
-0.343,0.023,0.921
-0.329,0.063,0.832
-0.244,-0.005,0.961
-0.287,-0.009,1.043
-0.289,0.15,0.94
-0.179,0.064,1.016
-0.277,0.005,1.077
-0.359,0.117,0.846
-0.25,-0.003,0.942
-0.282,0.013,1.035
-0.306,0.016,0.93
-0.246,0.104,0.935
-0.219,-0.016,1.081
-0.286,0.116,1
-0.277,0.089,0.869
-0.246,-0.022,1.053
-0.339,0.02,0.94
-0.311,0.069,0.8
-0.239,0.003,1.032
-0.289,-0.01,1.013
-0.289,0.156,0.922
-0.204,0.026,1.002
-0.269,0.061,1.055
-0.35,0.083,0.871
-0.259,0.011,0.888
-0.295,-0.057,1.044
-0.342,0.088,0.842
-0.25,0.034,0.967
-0.243,0.028,1.084
-0.269,0.099,1.035
-0.26,0.122,0.91
-0.239,-0.019,1.056
-0.342,0.019,0.95
-0.318,0.057,0.797
-0.224,-0.072,1.076
-0.283,0.059,1.001
-0.27,0.103,0.918
-0.191,0.069,1.064
-0.285,0.028,1.04
-0.358,0.156,0.843
-0.256,-0.046,0.922
-0.322,-0.005,0.969
-0.36,0.068,0.841
-0.238,-0.012,0.919
-0.237,0.03,1.123
-0.302,0.115,0.9
-0.245,0.139,0.953
-0.27,-0.015,1.056
-0.331,0.055,0.915
-0.319,0.04,0.812
-0.256,-0.038,1.002
-0.32,-0.002,0.988
-0.282,0.106,0.853
-0.17,0.018,1.178
-0.279,0.115,1.025
-0.327,0.124,0.847
-0.27,-0.006,0.964
-0.296,-0.02,0.994
-0.368,0.065,0.796
-0.24,-0.025,0.894
-0.275,-0.016,1.103
-0.29,0.136,0.925
-0.169,0.058,1.022
-0.243,0.083,1.102
-0.355,0.036,0.875
-0.309,0.074,0.818
-0.277,-0.078,0.972
-0.348,0.042,0.908
-0.294,0.038,0.85
-0.201,0.014,1.109
-0.274,0.116,1.063
-0.275,0.131,0.874
-0.232,0.024,1.077
-0.345,-0.026,0.93
-0.358,0.099,0.799
-0.251,-0.056,0.971
-0.277,0.025,1.05
-0.311,0.096,0.891
-0.225,0.081,0.969
-0.252,0.017,1.134
-0.34,0.112,0.864
-0.258,0.039,0.932
-0.297,-0.012,0.969
-0.383,0.026,0.823
-0.312,0.054,0.868
-0.212,-0.016,1.079
-0.299,0.069,0.869
-0.282,0.14,1.094
-0.227,0.033,0.957
-0.343,0.044,0.82
-0.258,0.004,0.992
-0.306,-0.022,0.992
-0.314,0.123,0.901
-0.202,0.033,1.008
-0.259,0.053,1.065
-0.351,0.112,0.86
-0.25,0,0.919
-0.307,0.012,1.05
-0.352,0.021,0.833
-0.249,0.07,0.947
