acc_x[g],acc_y[g],acc_z[g]
-0.241,0.002,1.037
-0.282,0.036,0.959
-0.247,0.048,1.004
-0.274,0.079,0.975
-0.264,0.027,0.973
-0.276,0.039,0.959
-0.298,0.067,0.934
-0.286,0.024,0.996
-0.29,0.08,0.917
-0.236,0.04,1.049
-0.279,0.033,0.978
-0.258,0.004,0.97
-0.291,0.106,0.974
-0.246,0.052,1.012
-0.273,0.018,0.981
-0.293,0.053,0.918
-0.28,0.009,0.975
-0.292,0.064,0.945
-0.256,0.064,0.99
-0.29,0.044,0.937
-0.274,-0.004,0.98
-0.283,0.065,0.981
-0.257,0.073,0.976
-0.263,0.007,1.013
-0.29,0.076,0.911
-0.275,0.016,0.992
-0.308,0.046,0.9
-0.271,0.05,0.967
-0.284,0.076,0.953
-0.262,0.018,1.022
-0.3,0.013,0.948
-0.264,0.091,0.969
-0.228,0.039,1.057
-0.269,0.046,0.949
-0.263,0.014,0.976
-0.301,0.062,0.942
-0.274,0.023,0.99
-0.297,0.097,0.902
-0.271,0.032,0.968
-0.306,0.002,0.949
-0.289,0.072,0.956
-0.256,0.055,1.019
-0.27,0.035,0.948
-0.238,0.043,1.045
-0.265,0.072,0.995
-0.283,0.007,0.931
-0.287,0.069,0.985
-0.264,0.015,0.992
-0.333,0.031,0.894
-0.289,0.053,0.974
-0.273,0.08,0.966
-0.24,-0.009,1.03
-0.284,0.062,0.943
-0.253,0.014,0.976
-0.289,0.054,0.966
-0.28,0.072,0.932
-0.279,0.03,0.965
-0.3,0.021,0.932
-0.278,0.037,0.989
-0.298,0.093,0.921
-0.25,0.01,1.042
-0.275,0.075,0.965
-0.243,0.026,0.996
-0.29,0.031,0.965
-0.277,0.06,0.944
-0.272,0.053,0.972
-0.298,0.044,0.916
-0.305,-0.018,0.947
-0.317,0.089,0.895
-0.252,0.055,1.034
-0.276,0.037,0.962
-0.249,0.024,0.997
-0.278,0.053,0.984
-0.271,0.034,0.994
-0.266,0.062,0.953
-0.282,0.073,0.942
-0.284,-0.04,0.967
-0.311,0.071,0.915
-0.267,0.059,0.973
-0.298,0.043,0.945
-0.269,0.036,0.983
-0.281,0.042,0.965
-0.278,0.031,0.955
-0.267,0.042,0.991
-0.273,0.089,0.949
-0.277,0,0.971
-0.325,0.032,0.891
-0.295,0.04,0.934
-0.3,0.082,0.945
-0.275,0.016,0.982
-0.276,0.029,0.956
-0.277,0.054,0.958
-0.26,0.009,1.029
-0.273,0.103,0.948
-0.236,0.029,1
-0.297,0.026,0.933
-0.284,0.016,0.948
-0.306,0.094,0.92
-0.293,0.019,0.933
-0.302,0.034,0.934
-0.287,0.068,0.956
-0.274,0.002,1.025
-0.293,0.073,0.926
-0.231,0.05,1.046
-0.268,0.053,0.945
-0.269,-0.015,0.946
-0.306,0.085,0.924
-0.28,0.064,0.966
-0.288,0.03,0.979
-0.299,0.035,0.924
-0.28,0.012,0.964
-0.315,0.037,0.928
-0.259,0.06,0.992
-0.274,0.093,0.95
-0.264,-0.02,0.989
-0.29,0.036,0.957
-0.286,0.079,0.924
-0.284,0.018,0.97
-0.289,0.065,0.936
-0.274,0.03,0.97
-0.325,0.039,0.886
-0.283,0.015,0.97
-0.294,0.097,0.937
-0.255,0.029,0.996
-0.292,0.015,0.948
-0.282,0.052,0.926
-0.284,0.06,0.965
-0.298,0.055,0.936
-0.283,0.001,0.937
-0.314,0.065,0.9
-0.29,0.005,0.973
-0.301,0.085,0.926
-0.263,0.058,0.986
-0.285,0.004,0.978
-0.269,0.036,0.978
-0.265,0.058,0.99
-0.278,0.056,0.932
-0.274,0.02,0.984
-0.281,0.082,0.938
-0.294,-0.001,0.945
-0.311,0.055,0.913
-0.274,0.073,0.967
-0.274,0.023,0.971
-0.291,0.021,0.938
-0.285,0.026,0.967
-0.291,0.102,0.948
-0.257,-0.004,0.992
-0.295,0.062,0.957
-0.269,0.021,0.948
-0.305,0.038,0.939
-0.28,0.067,0.928
-0.286,0.032,0.96
-0.282,-0.005,0.973
-0.314,0.111,0.899
-0.263,0.01,1.011
-0.296,0.061,0.936
-0.259,0.037,0.978
-0.312,0.03,0.924
-0.296,0.044,0.92
-0.291,0.069,0.946
-0.297,0.066,0.954
-0.286,-0.009,0.98
-0.299,0.062,0.921
-0.26,0.057,1.022
-0.271,0.045,0.951
-0.255,0.019,0.986
-0.295,0.052,0.932
-0.279,0.024,0.964
-0.296,0.075,0.945
-0.292,0.074,0.935
-0.281,-0.021,0.95
-0.312,0.041,0.919
-0.286,0.065,0.954
-0.314,0.057,0.911
-0.286,0.035,0.985
-0.284,0.063,0.972
-0.28,0.019,0.963
-0.269,0.019,0.983
-0.267,0.102,0.962
-0.278,0.02,0.97
-0.325,0.03,0.893
-0.296,0.027,0.953
-0.312,0.084,0.932
-0.265,0.033,0.996
-0.281,0.036,0.974
-0.271,0.049,0.946
-0.27,0.01,1.001
-0.282,0.092,0.947
-0.249,0.034,1
-0.295,0.039,0.931
-0.288,0.001,0.959
-0.333,0.097,0.881
-0.288,0.035,0.952
-0.3,0.041,0.96
-0.274,0.07,0.974
-0.283,-0.002,0.985
-0.299,0.062,0.936
-0.249,0.055,1.019
-0.281,0.068,0.924
-0.294,-0.008,0.931
-0.324,0.052,0.903
-0.296,0.065,0.945
-0.279,0.043,0.976
-0.284,0.039,0.943
-0.29,0.026,0.959
-0.309,0.045,0.924
-0.285,0.051,0.995
-0.276,0.099,0.944
-0.25,-0.007,1.014
-0.289,0.029,0.957
-0.3,0.076,0.924
-0.281,0.037,0.959
-0.293,0.065,0.964
-0.264,0.042,0.996
-0.313,0.047,0.918
-0.278,0.023,1.003
-0.286,0.101,0.952
-0.257,0.04,1.003
-0.295,0.015,0.95
-0.287,0.04,0.925
-0.292,0.057,0.94
