acc_x[mg],acc_y[mg],acc_z[mg]
988.0,180.0,-8.0
987.0,180.0,-9.0
987.0,181.0,-9.0
988.0,181.0,-9.0
988.0,181.0,-10.0
988.0,181.0,-10.0
988.0,181.0,-9.0
988.0,180.0,-9.0
987.0,180.0,-9.0
987.0,181.0,-9.0
989.0,180.0,-8.0
988.0,180.0,-10.0
987.0,181.0,-9.0
988.0,180.0,-9.0
988.0,181.0,-10.0
987.0,181.0,-8.0
988.0,180.0,-9.0
989.0,181.0,-8.0
988.0,181.0,-9.0
989.0,181.0,-9.0
989.0,180.0,-9.0
987.0,181.0,-8.0
987.0,180.0,-9.0
988.0,181.0,-9.0
988.0,180.0,-8.0
988.0,181.0,-9.0
989.0,180.0,-9.0
986.0,180.0,-9.0
988.0,180.0,-9.0
989.0,182.0,-9.0
987.0,180.0,-9.0
988.0,181.0,-9.0
987.0,181.0,-9.0
988.0,180.0,-9.0
987.0,181.0,-9.0
988.0,182.0,-9.0
987.0,181.0,-10.0
987.0,180.0,-9.0
987.0,181.0,-8.0
988.0,181.0,-9.0
988.0,181.0,-9.0
987.0,181.0,-9.0
988.0,182.0,-9.0
988.0,182.0,-9.0
987.0,181.0,-9.0
988.0,180.0,-8.0
988.0,180.0,-9.0
988.0,181.0,-9.0
987.0,180.0,-10.0
986.0,181.0,-9.0
988.0,180.0,-10.0
987.0,181.0,-9.0
988.0,181.0,-10.0
988.0,181.0,-8.0
987.0,181.0,-10.0
988.0,181.0,-10.0
988.0,181.0,-9.0
988.0,181.0,-9.0
990.0,180.0,-9.0
990.0,181.0,-9.0
988.0,181.0,-9.0
988.0,181.0,-10.0
987.0,180.0,-9.0
987.0,181.0,-9.0
988.0,181.0,-9.0
987.0,181.0,-10.0
987.0,180.0,-10.0
987.0,181.0,-9.0
988.0,181.0,-10.0
987.0,180.0,-9.0
988.0,180.0,-9.0
988.0,181.0,-10.0
987.0,180.0,-9.0
987.0,181.0,-10.0
988.0,181.0,-8.0
987.0,180.0,-9.0
988.0,180.0,-9.0
987.0,180.0,-10.0
989.0,181.0,-10.0
987.0,180.0,-10.0
990.0,182.0,-9.0
988.0,181.0,-9.0
988.0,181.0,-9.0
988.0,181.0,-9.0
988.0,181.0,-9.0
988.0,181.0,-9.0
