acc_x[mg],acc_y[mg],acc_z[mg]
-11.0,-34.0,-994.0
-11.0,-34.0,-993.0
-10.0,-34.0,-992.0
-10.0,-34.0,-992.0
-11.0,-35.0,-992.0
-11.0,-34.0,-993.0
-10.0,-34.0,-992.0
-11.0,-34.0,-994.0
-9.0,-35.0,-994.0
-10.0,-36.0,-991.0
-10.0,-34.0,-990.0
-10.0,-33.0,-994.0
282.0,37.0,-1444.0
170.0,-246.0,-1352.0
192.0,-720.0,-1200.0
290.0,-30.0,-1371.0
59.0,-147.0,-1304.0
237.0,-81.0,-1164.0
56.0,-34.0,-1072.0
46.0,-29.0,-945.0
11.0,-41.0,-838.0
91.0,-103.0,-801.0
51.0,-157.0,-877.0
-73.0,-288.0,-964.0
-157.0,-347.0,-917.0
-299.0,-468.0,-848.0
-135.0,-428.0,-1078.0
-234.0,-349.0,-891.0
6.0,-299.0,-776.0
-41.0,-142.0,-874.0
-34.0,-62.0,-749.0
-83.0,65.0,-691.0
-145.0,132.0,-884.0
-110.0,77.0,-1020.0
-74.0,121.0,-883.0
-116.0,129.0,-968.0
-295.0,121.0,-1310.0
-329.0,-19.0,-1114.0
-363.0,-102.0,-1103.0
-292.0,-90.0,-924.0
-296.0,-63.0,-790.0
-209.0,-81.0,-920.0
-189.0,-150.0,-945.0
92.0,-227.0,-986.0
119.0,-240.0,-1138.0
56.0,-199.0,-1031.0
-103.0,-189.0,-1199.0
-85.0,-149.0,-976.0
-98.0,-30.0,-977.0
-166.0,53.0,-880.0
-54.0,2.0,-837.0
25.0,26.0,-910.0
-113.0,107.0,-952.0
-146.0,107.0,-932.0
18.0,153.0,-1101.0
-27.0,101.0,-1131.0
-46.0,139.0,-1021.0
-213.0,159.0,-1088.0
-214.0,59.0,-978.0
-366.0,60.0,-825.0
-348.0,-31.0,-1027.0
-407.0,-77.0,-935.0
-305.0,-74.0,-970.0
-339.0,-80.0,-892.0
-228.0,-102.0,-971.0
-235.0,-93.0,-1061.0
-115.0,-128.0,-1015.0
9.0,-42.0,-944.0
-15.0,-48.0,-1247.0
40.0,-186.0,-931.0
-83.0,-216.0,-1048.0
-68.0,-189.0,-1031.0
-115.0,-182.0,-953.0
-48.0,-127.0,-826.0
-58.0,-22.0,-902.0
17.0,-2.0,-1040.0
-13.0,5.0,-995.0
-28.0,2.0,-1105.0
-6.0,22.0,-1070.0
-49.0,-85.0,-1228.0
-250.0,-174.0,-903.0
-280.0,-157.0,-987.0
-203.0,-163.0,-917.0
-172.0,-25.0,-791.0
-91.0,-8.0,-803.0
-89.0,85.0,-814.0
-6.0,90.0,-919.0
-15.0,51.0,-1027.0
-28.0,-129.0,-1272.0
-159.0,-273.0,-1350.0
-237.0,-379.0,-1305.0
-45.0,-369.0,-1081.0
-28.0,-277.0,-855.0
-84.0,-128.0,-697.0
-100.0,13.0,-609.0
-146.0,153.0,-685.0
-179.0,263.0,-815.0
-245.0,313.0,-1016.0
-376.0,224.0,-1254.0
-364.0,-20.0,-1418.0
-360.0,-199.0,-1173.0
-395.0,-200.0,-1108.0
-272.0,-273.0,-1092.0
-150.0,-224.0,-845.0
-62.0,-187.0,-816.0
12.0,-84.0,-825.0
140.0,-69.0,-768.0
279.0,-123.0,-935.0
274.0,-153.0,-1066.0
305.0,-240.0,-1203.0
202.0,-220.0,-1052.0
208.0,-169.0,-1076.0
143.0,-125.0,-897.0
-88.0,-43.0,-837.0
-206.0,16.0,-766.0
-334.0,164.0,-864.0
-452.0,285.0,-857.0
-558.0,362.0,-1008.0
-417.0,339.0,-1055.0
-411.0,339.0,-1192.0
-426.0,158.0,-1189.0
-409.0,-45.0,-1091.0
-165.0,-184.0,-802.0
-336.0,-189.0,-1005.0
-23.0,-206.0,-733.0
102.0,-164.0,-800.0
266.0,-147.0,-775.0
320.0,-123.0,-1000.0
210.0,-132.0,-922.0
229.0,-57.0,-1133.0
199.0,-119.0,-1034.0
119.0,-144.0,-1123.0
74.0,-117.0,-1014.0
-37.0,-65.0,-890.0
-139.0,-33.0,-885.0
-277.0,82.0,-959.0
-329.0,102.0,-1012.0
-398.0,75.0,-1205.0
-207.0,-9.0,-937.0
-369.0,9.0,-1179.0
-274.0,-154.0,-972.0
-326.0,-286.0,-925.0
-237.0,-310.0,-848.0
-116.0,-226.0,-777.0
-19.0,-255.0,-699.0
-92.0,-183.0,-917.0
30.0,-169.0,-906.0
25.0,-227.0,-991.0
-16.0,-146.0,-1007.0
8.0,-99.0,-1104.0
-98.0,-176.0,-982.0
38.0,-155.0,-971.0
-80.0,-99.0,-986.0
-95.0,-22.0,-953.0
-73.0,-27.0,-734.0
-42.0,-25.0,-755.0
-116.0,-116.0,-1007.0
-134.0,-116.0,-853.0
-149.0,-192.0,-1061.0
-64.0,-420.0,-947.0
-261.0,-219.0,-1198.0
-293.0,-318.0,-919.0
-213.0,-161.0,-1039.0
-81.0,-131.0,-983.0
-119.0,-241.0,-1004.0
-137.0,-255.0,-1051.0
-77.0,-232.0,-1140.0
114.0,-233.0,-1156.0
75.0,-101.0,-977.0
-18.0,139.0,-1046.0
74.0,247.0,-1008.0
-40.0,56.0,-973.0
-25.0,-51.0,-996.0
6.0,-69.0,-943.0
-13.0,-52.0,-942.0
-39.0,94.0,-1065.0
33.0,175.0,-1049.0
33.0,67.0,-1002.0
-33.0,-36.0,-976.0
-20.0,-42.0,-959.0
15.0,51.0,-995.0
28.0,99.0,-1003.0
9.0,65.0,-997.0
-9.0,-3.0,-978.0
-12.0,-3.0,-983.0
4.0,52.0,-999.0
10.0,71.0,-1001.0
-2.0,33.0,-990.0
-7.0,9.0,-981.0
-1.0,28.0,-994.0
5.0,54.0,-995.0
2.0,45.0,-995.0
-4.0,24.0,-991.0
-4.0,24.0,-991.0
1.0,41.0,-995.0
262.0,-4.0,-907.0
-43.0,-21.0,-1432.0
108.0,-401.0,-1422.0
-88.0,-126.0,-1404.0
-126.0,-119.0,-1404.0
31.0,-208.0,-1377.0
-129.0,-197.0,-1267.0
-182.0,-24.0,-1101.0
-226.0,83.0,-998.0
-95.0,115.0,-829.0
-89.0,73.0,-774.0
-297.0,21.0,-708.0
-249.0,125.0,-743.0
270.0,345.0,-674.0
279.0,306.0,-680.0
134.0,159.0,-815.0
38.0,93.0,-662.0
7.0,123.0,-798.0
-22.0,167.0,-858.0
16.0,150.0,-904.0
63.0,141.0,-900.0
55.0,208.0,-1015.0
31.0,208.0,-984.0
-105.0,215.0,-1048.0
36.0,222.0,-1006.0
-321.0,146.0,-1264.0
-450.0,188.0,-1315.0
-323.0,151.0,-1136.0
-209.0,266.0,-862.0
-267.0,263.0,-660.0
-376.0,295.0,-668.0
-273.0,318.0,-739.0
-215.0,186.0,-904.0
-30.0,173.0,-1017.0
82.0,232.0,-1132.0
131.0,137.0,-1199.0
165.0,235.0,-1051.0
218.0,109.0,-1015.0
176.0,-10.0,-848.0
-91.0,15.0,-877.0
-81.0,59.0,-748.0
-12.0,225.0,-607.0
-157.0,375.0,-842.0
-223.0,448.0,-881.0
-322.0,554.0,-1123.0
-418.0,478.0,-1381.0
-353.0,188.0,-1081.0
-333.0,122.0,-988.0
-360.0,38.0,-1026.0
-211.0,-19.0,-824.0
-62.0,-23.0,-808.0
10.0,22.0,-825.0
102.0,10.0,-828.0
169.0,44.0,-960.0
213.0,36.0,-1046.0
166.0,95.0,-1136.0
209.0,21.0,-1157.0
145.0,-29.0,-1039.0
34.0,-25.0,-911.0
-87.0,16.0,-834.0
-124.0,89.0,-811.0
-184.0,164.0,-900.0
-226.0,236.0,-935.0
-259.0,284.0,-1099.0
-301.0,312.0,-1148.0
-390.0,179.0,-1248.0
-332.0,132.0,-1026.0
-215.0,-91.0,-850.0
-323.0,-15.0,-1000.0
-35.0,-52.0,-765.0
-34.0,7.0,-831.0
25.0,44.0,-872.0
81.0,59.0,-866.0
330.0,123.0,-1080.0
274.0,158.0,-1113.0
148.0,110.0,-1109.0
102.0,-17.0,-938.0
69.0,-1.0,-958.0
26.0,12.0,-844.0
-45.0,54.0,-850.0
-122.0,152.0,-770.0
-52.0,259.0,-809.0
-188.0,193.0,-1190.0
-100.0,259.0,-1053.0
-206.0,57.0,-954.0
-190.0,156.0,-1140.0
-126.0,-99.0,-761.0
-126.0,-71.0,-817.0
-7.0,45.0,-856.0
1.0,-141.0,-729.0
4.0,60.0,-900.0
171.0,116.0,-1039.0
8.0,-104.0,-1147.0
22.0,69.0,-1096.0
90.0,-345.0,-917.0
