acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
1001.0,5.0,-28.0,18.76,-1.47,-1.4
1000.0,-12.0,-17.0,35.28,-2.87,-4.83
1007.0,14.0,-48.0,47.53,-6.37,-9.24
1001.0,9.0,-45.0,47.11,-3.22,-8.61
998.0,16.0,-22.0,53.34,-2.73,-9.45
1003.0,14.0,-35.0,56.91,-5.95,-9.1
1003.0,14.0,-35.0,56.91,-5.95,-9.1
1003.0,24.0,-46.0,54.39,-5.95,-8.89
997.0,27.0,-54.0,42.35,-3.92,-6.65
991.0,27.0,-43.0,33.18,-1.61,-4.34
1001.0,20.0,-46.0,36.05,-1.82,-3.5
998.0,22.0,-50.0,35.63,-2.52,-3.99
1000.0,17.0,-44.0,37.38,-2.38,-4.41
999.0,23.0,-43.0,45.43,-4.06,-6.09
1000.0,34.0,-56.0,46.06,-4.69,-5.39
1003.0,17.0,-49.0,45.92,-3.36,-3.99
1001.0,25.0,-51.0,44.1,-3.57,-5.25
999.0,21.0,-57.0,43.82,-3.71,-5.6
1002.0,24.0,-63.0,45.64,-3.5,-6.44
994.0,28.0,-73.0,48.44,-2.94,-7.49
996.0,35.0,-53.0,44.66,0.42,-6.79
992.0,22.0,-59.0,46.69,0.49,-6.02
1004.0,39.0,-36.0,52.78,-0.35,-8.26
999.0,30.0,-66.0,57.96,-5.74,-7.28
1001.0,34.0,-75.0,58.31,-4.83,-8.12
989.0,40.0,-88.0,47.11,-1.26,-7.0
1005.0,35.0,-49.0,42.77,3.29,-6.79
991.0,46.0,-58.0,42.21,-0.91,-6.09
1000.0,35.0,-76.0,40.25,-1.75,-3.92
1002.0,42.0,-75.0,32.48,0.7,-3.43
992.0,39.0,-56.0,26.67,2.45,-2.8
988.0,35.0,-69.0,29.82,1.05,-3.5
1006.0,42.0,-52.0,34.65,2.1,-5.32
997.0,42.0,-59.0,35.98,-1.54,-3.85
1001.0,41.0,-79.0,41.79,-2.73,-3.57
1001.0,32.0,-69.0,41.3,0.35,-4.62
982.0,40.0,-73.0,41.72,0.84,-6.58
1008.0,54.0,-49.0,44.38,2.66,-7.21
996.0,45.0,-67.0,45.08,-1.4,-4.34
998.0,40.0,-86.0,43.33,-0.07,-3.5
1008.0,34.0,-67.0,43.05,3.15,-5.04
1014.0,33.0,-81.0,47.81,3.78,-8.89
995.0,61.0,-34.0,62.58,2.24,-12.04
999.0,56.0,-94.0,60.76,1.12,-9.38
985.0,55.0,-32.0,63.35,2.8,-7.49
985.0,55.0,-32.0,63.35,2.8,-7.49
987.0,58.0,-57.0,74.27,-2.87,-6.44
992.0,47.0,-85.0,80.22,-5.74,-4.76
993.0,51.0,-86.0,77.98,-4.41,-3.85
984.0,52.0,-80.0,60.06,-6.86,-0.56
1002.0,23.0,-100.0,54.95,-5.81,-2.59
990.0,55.0,-106.0,48.37,0.07,-5.46
997.0,52.0,-54.0,51.17,0.56,-2.45
1001.0,37.0,-91.0,38.64,-0.77,-0.56
998.0,44.0,-82.0,27.09,1.47,-0.91
999.0,42.0,-85.0,23.17,0.91,-0.84
999.0,44.0,-93.0,29.19,0.49,-1.82
1001.0,35.0,-100.0,37.8,1.96,-2.03
1004.0,42.0,-71.0,49.21,2.31,-5.18
993.0,45.0,-93.0,32.13,4.69,-4.13
989.0,49.0,-72.0,33.32,6.72,-3.78
993.0,50.0,-68.0,47.04,4.83,-3.43
1004.0,24.0,-105.0,44.52,2.66,-1.61
999.0,42.0,-82.0,29.26,7.35,-3.92
993.0,41.0,-60.0,25.06,8.4,-4.2
996.0,53.0,-86.0,30.66,5.04,-5.18
990.0,45.0,-64.0,49.28,1.4,-2.8
1000.0,35.0,-79.0,40.53,5.6,-2.1
1001.0,47.0,-63.0,39.83,6.16,-2.94
998.0,27.0,-68.0,49.98,0.07,-1.96
1000.0,38.0,-78.0,30.31,4.13,-4.76
992.0,40.0,-57.0,21.28,6.09,-5.74
991.0,55.0,-60.0,19.67,3.85,-5.11
996.0,48.0,-56.0,24.43,1.33,-3.15
993.0,42.0,-83.0,32.69,-1.05,-2.94
997.0,68.0,-56.0,45.99,2.1,-2.1
1007.0,22.0,-101.0,46.62,1.4,-0.28
995.0,46.0,-38.0,49.84,2.31,-2.8
995.0,45.0,-58.0,43.68,1.12,-2.31
994.0,63.0,-47.0,49.0,-2.17,-0.63
994.0,29.0,-77.0,63.42,-10.5,3.85
999.0,20.0,-97.0,45.64,-3.64,1.26
992.0,55.0,-46.0,39.13,0.49,-0.98
993.0,43.0,-99.0,48.09,-5.88,3.29
993.0,43.0,-99.0,48.09,-5.88,3.29
1000.0,15.0,-70.0,57.4,-7.21,6.93
1002.0,-5.0,-89.0,34.3,-1.82,2.38
1001.0,43.0,-68.0,27.44,0.42,-3.15
1001.0,9.0,-78.0,23.38,-2.31,-0.14
999.0,23.0,-87.0,18.2,-1.82,-3.78
988.0,48.0,-84.0,19.6,-0.84,-3.36
994.0,38.0,-73.0,31.78,-0.28,0.35
995.0,0.0,-105.0,38.36,-2.17,2.73
999.0,14.0,-76.0,26.67,2.66,-2.87
997.0,35.0,-81.0,23.38,1.89,-4.48
