acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
1000.0,-22.0,-60.0,-19.04,-1.89,1.12
1000.0,-23.0,-64.0,-22.89,-1.19,1.89
999.0,-23.0,-55.0,-25.76,-0.42,2.38
999.0,-18.0,-52.0,-26.95,-2.1,3.01
999.0,-31.0,-59.0,-26.67,-4.62,3.43
997.0,-23.0,-70.0,-27.72,-5.11,1.47
1000.0,-25.0,-64.0,-28.7,-3.5,1.68
998.0,-33.0,-70.0,-31.15,-2.94,0.56
1002.0,-15.0,-62.0,-29.54,-1.54,-0.7
1000.0,-26.0,-62.0,-26.18,-2.24,0.63
1000.0,-17.0,-63.0,-21.77,-3.08,0.14
997.0,-27.0,-72.0,-19.46,-3.57,0.63
998.0,-17.0,-72.0,-19.11,-2.59,-0.28
1000.0,-25.0,-73.0,-19.25,-1.82,0.63
997.0,-18.0,-65.0,-21.84,-1.82,0.42
999.0,-21.0,-77.0,-21.14,-2.31,1.19
999.0,-20.0,-70.0,-21.49,-1.12,0.98
997.0,-16.0,-78.0,-22.82,-1.4,1.47
999.0,-18.0,-67.0,-25.48,-0.07,3.08
997.0,-27.0,-78.0,-29.33,-1.47,3.85
1000.0,-26.0,-80.0,-33.53,0.35,2.73
1001.0,-28.0,-69.0,-38.99,2.73,1.75
999.0,-18.0,-61.0,-40.88,1.61,0.77
1001.0,-21.0,-76.0,-39.76,0.28,1.61
997.0,-22.0,-75.0,-42.35,2.8,1.4
997.0,-8.0,-48.0,-38.78,3.5,2.31
1003.0,-45.0,-72.0,-32.76,-0.91,3.22
1001.0,-19.0,-67.0,-35.77,0.49,-1.68
993.0,-4.0,-69.0,-39.76,0.14,-0.84
999.0,-7.0,-65.0,-40.46,0.42,2.94
999.0,-7.0,-65.0,-40.46,0.42,2.94
997.0,-20.0,-66.0,-43.89,0.21,5.46
1001.0,-18.0,-61.0,-41.65,0.42,5.95
1007.0,-40.0,-51.0,-38.15,-0.77,6.09
998.0,-24.0,-73.0,-39.13,-4.13,2.24
993.0,-8.0,-66.0,-38.85,-2.59,0.91
999.0,-22.0,-66.0,-33.32,-2.52,3.64
1002.0,-31.0,-60.0,-31.99,-3.43,2.66
998.0,-15.0,-66.0,-34.23,-6.51,1.12
997.0,-20.0,-87.0,-36.05,-7.35,2.94
996.0,-14.0,-74.0,-37.38,-3.92,4.34
1000.0,-22.0,-75.0,-36.26,-2.73,5.39
1001.0,-32.0,-79.0,-35.91,-2.94,4.62
995.0,-17.0,-86.0,-40.81,-0.91,2.59
994.0,-11.0,-75.0,-42.84,0.35,4.62
998.0,-24.0,-78.0,-43.47,-0.14,7.21
1003.0,-37.0,-75.0,-44.24,0.42,6.86
999.0,-27.0,-65.0,-42.84,-0.63,4.55
1002.0,-36.0,-81.0,-38.01,-3.57,3.92
1003.0,-41.0,-100.0,-39.13,-0.84,1.4
999.0,-14.0,-81.0,-42.14,3.78,-0.63
991.0,-12.0,-61.0,-39.34,3.78,1.82
996.0,-31.0,-68.0,-32.83,0.91,3.92
997.0,-29.0,-69.0,-29.33,-0.56,2.73
1000.0,-25.0,-65.0,-26.88,-2.8,1.61
997.0,-26.0,-85.0,-32.62,-4.9,0.7
994.0,-6.0,-71.0,-36.61,-3.36,1.96
997.0,-33.0,-80.0,-34.02,-4.69,5.53
1000.0,-30.0,-76.0,-30.52,-4.76,4.48
996.0,-26.0,-77.0,-25.83,-5.95,3.64
996.0,-26.0,-87.0,-22.33,-7.14,3.29
993.0,-13.0,-88.0,-23.17,-6.51,4.41
1001.0,-41.0,-98.0,-22.82,-6.23,7.42
995.0,-38.0,-94.0,-28.28,-3.78,4.34
995.0,-26.0,-84.0,-28.49,-3.08,1.75
1002.0,-36.0,-97.0,-28.63,-5.04,1.54
1000.0,-35.0,-114.0,-34.09,-2.94,0.28
994.0,-30.0,-90.0,-34.23,1.4,-0.35
994.0,-30.0,-90.0,-34.23,1.4,-0.35
993.0,-12.0,-76.0,-27.09,-0.14,0.0
1002.0,-38.0,-97.0,-20.65,-4.34,2.59
999.0,-33.0,-110.0,-28.56,-3.22,0.28
992.0,-9.0,-101.0,-38.71,0.84,-0.28
995.0,-21.0,-82.0,-41.58,1.47,2.94
995.0,-31.0,-106.0,-44.52,-2.31,3.57
1000.0,-23.0,-93.0,-46.34,-1.05,2.52
996.0,-30.0,-96.0,-48.44,-1.05,2.66
996.0,-16.0,-91.0,-45.57,-1.96,1.54
997.0,-20.0,-107.0,-42.35,-1.61,3.01
998.0,-24.0,-88.0,-41.72,-0.63,3.71
993.0,-25.0,-99.0,-39.9,-2.45,3.29
997.0,-24.0,-88.0,-32.9,-2.87,2.59
992.0,-21.0,-92.0,-24.43,-5.81,1.61
999.0,-16.0,-101.0,-18.06,-8.26,2.38
999.0,-26.0,-122.0,-23.1,-8.12,3.85
992.0,-9.0,-109.0,-30.59,-4.41,3.36
998.0,-26.0,-111.0,-31.78,-3.85,5.81
996.0,-31.0,-117.0,-36.4,-2.94,3.85
996.0,-15.0,-107.0,-39.83,-2.1,2.38
1009.0,-13.0,-122.0,-44.31,-2.66,4.62
1007.0,0.0,-161.0,-55.44,1.26,7.56
1013.0,-7.0,-181.0,-63.63,20.3,14.77
978.0,-51.0,-61.0,-80.5,36.4,19.18
973.0,-55.0,-1.0,-75.67,24.22,13.79
995.0,-35.0,-67.0,-59.71,2.1,7.77
1004.0,-60.0,-103.0,-52.36,-2.94,6.37
