acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
1001.0,-14.0,16.0,-0.14,-0.84,-0.49
1001.0,-14.0,15.0,-0.07,-0.35,-0.49
1000.0,-14.0,16.0,0.0,-0.28,-0.28
999.0,-14.0,18.0,0.0,-0.91,-0.14
1001.0,-15.0,15.0,-0.07,-1.75,-0.28
1001.0,-14.0,15.0,0.14,-1.4,-0.35
1000.0,-14.0,16.0,0.07,-0.84,-0.49
1001.0,-14.0,15.0,-0.07,-0.77,-0.63
1002.0,-14.0,15.0,0.07,-1.12,-0.35
1002.0,-13.0,15.0,0.21,-1.4,-0.21
1001.0,-14.0,15.0,0.0,-1.33,-0.28
1001.0,-15.0,14.0,0.0,-1.19,-0.28
1001.0,-15.0,14.0,0.0,-1.19,-0.28
1000.0,-15.0,15.0,0.14,-0.98,-0.14
1000.0,-14.0,16.0,0.07,-1.12,-0.28
1001.0,-14.0,15.0,-0.07,-1.12,-0.49
1002.0,-14.0,13.0,-0.14,-1.19,-0.56
1001.0,-14.0,14.0,0.14,-1.33,-0.35
1001.0,-14.0,14.0,0.21,-1.96,-0.07
1000.0,-15.0,14.0,0.28,-2.24,-0.07
1001.0,-13.0,15.0,0.28,-2.31,-0.28
999.0,-16.0,12.0,-0.14,-2.59,-0.35
1000.0,-14.0,13.0,0.14,-3.29,-0.7
1003.0,-12.0,11.0,-0.21,-3.43,-0.63
1002.0,-13.0,10.0,-0.49,-3.22,-0.21
1003.0,-15.0,7.0,-0.35,-3.01,-0.14
1002.0,-13.0,7.0,0.21,-1.89,-0.14
1000.0,-14.0,10.0,0.35,-1.12,-0.07
1000.0,-15.0,8.0,0.07,-1.61,-0.14
1002.0,-14.0,7.0,0.14,-1.75,-0.49
1000.0,-14.0,8.0,0.0,-1.75,-0.84
1003.0,-13.0,6.0,-0.14,-1.68,-0.98
1000.0,-14.0,7.0,0.0,-1.05,-0.56
1002.0,-14.0,6.0,0.14,-0.77,-0.84
1000.0,-16.0,7.0,0.21,-0.7,-1.26
1000.0,-13.0,8.0,0.21,-1.4,-1.61
1002.0,-17.0,8.0,-0.07,-2.03,-2.1
1005.0,-8.0,3.0,-0.42,-1.89,-3.08
1003.0,-4.0,5.0,0.0,-0.98,-2.52
998.0,-11.0,7.0,0.0,-0.7,-1.19
1003.0,-12.0,8.0,0.07,-1.26,-1.4
999.0,-4.0,6.0,-0.49,-1.89,-1.82
999.0,-8.0,5.0,-1.05,-2.1,-0.56
1000.0,-8.0,3.0,-1.19,-2.17,-0.07
1002.0,-9.0,4.0,-0.84,-2.17,0.42
1000.0,-6.0,5.0,-1.05,-1.89,0.28
1001.0,-11.0,2.0,-1.4,-1.68,1.19
1001.0,-10.0,2.0,-1.05,-1.12,0.98
1002.0,-13.0,3.0,-0.7,-1.4,0.63
1001.0,-10.0,4.0,-0.84,-1.89,0.28
1001.0,-12.0,1.0,-0.98,-2.03,0.07
1001.0,-12.0,1.0,-0.98,-2.03,0.07
1001.0,-12.0,0.0,-0.63,-1.68,-0.21
1002.0,-11.0,1.0,0.07,-1.26,-0.28
1002.0,-11.0,0.0,0.42,-0.63,-0.21
1003.0,-8.0,3.0,0.56,0.14,-0.14
1000.0,-12.0,4.0,0.21,0.98,0.42
1002.0,-6.0,2.0,-0.21,0.63,0.28
1001.0,-17.0,2.0,-0.07,0.7,1.4
999.0,-14.0,6.0,0.14,0.84,0.49
1002.0,-13.0,4.0,-0.21,-0.14,-0.21
1002.0,-12.0,6.0,-0.28,0.0,-0.35
1002.0,-14.0,3.0,-0.42,-0.42,-0.14
1001.0,-13.0,3.0,0.14,-0.35,0.14
1001.0,-14.0,4.0,0.84,0.0,0.07
1001.0,-11.0,8.0,1.33,0.28,-0.07
999.0,-13.0,7.0,0.63,-0.14,-0.14
1002.0,-13.0,5.0,0.35,-0.49,-0.35
1002.0,-14.0,3.0,0.77,-0.14,-0.28
1004.0,-14.0,2.0,1.89,0.63,-0.07
1008.0,-15.0,9.0,3.36,2.38,-0.07
993.0,-9.0,9.0,2.59,2.03,-1.4
1000.0,-12.0,10.0,1.75,1.12,-0.42
1001.0,-12.0,13.0,2.03,1.47,0.0
1001.0,-12.0,12.0,1.4,1.19,-0.14
998.0,-13.0,13.0,0.84,0.77,-0.14
1001.0,-13.0,11.0,0.42,0.14,-0.35
1002.0,-15.0,11.0,0.49,0.14,-0.28
1001.0,-12.0,13.0,0.42,0.35,-0.7
1002.0,-13.0,12.0,0.35,0.28,-0.63
1004.0,-16.0,9.0,0.84,0.56,-0.77
998.0,-13.0,13.0,2.38,1.33,-1.12
1001.0,-18.0,17.0,2.8,1.33,-1.33
1000.0,-1.0,18.0,0.77,-0.35,-3.36
999.0,-10.0,13.0,-0.07,-1.26,-1.26
1003.0,-10.0,13.0,0.28,-0.98,-0.35
1003.0,-11.0,13.0,0.91,0.0,0.07
999.0,-9.0,20.0,0.98,0.28,0.14
1003.0,-8.0,16.0,-0.77,-1.12,0.14
1001.0,-8.0,15.0,-1.54,-1.54,0.77
1001.0,-9.0,15.0,-1.54,-1.54,0.77
1001.0,-15.0,12.0,-1.26,-1.19,0.91
1000.0,-11.0,17.0,-0.84,-0.63,0.35
1000.0,-12.0,15.0,-1.4,-0.98,0.21
1003.0,-9.0,13.0,-1.4,-0.7,0.14
998.0,-15.0,14.0,-0.98,-0.56,1.12
1001.0,-12.0,12.0,-0.56,-0.77,0.63
1001.0,-16.0,14.0,-0.21,-1.05,0.77
1001.0,-11.0,11.0,0.07,-0.56,0.56
1001.0,-16.0,18.0,0.28,0.21,0.84
1001.0,-13.0,16.0,-0.14,-0.07,0.77
1000.0,-22.0,15.0,-0.63,-0.42,1.4
1000.0,-15.0,15.0,-0.21,-0.49,-0.14
998.0,-14.0,16.0,-0.21,-0.84,-0.21
1001.0,-14.0,14.0,-0.35,-0.91,0.14
1003.0,-15.0,15.0,-0.49,-0.14,0.91
1001.0,-20.0,15.0,-0.28,0.14,0.28
1000.0,-16.0,16.0,-0.07,-0.28,-0.56
1001.0,-16.0,16.0,0.0,-0.91,-0.56
1002.0,-16.0,14.0,0.14,-1.33,-0.21
1000.0,-16.0,15.0,0.42,-1.26,0.0
1000.0,-17.0,15.0,0.35,-1.75,-0.07
999.0,-17.0,14.0,0.28,-1.89,-0.28
1002.0,-16.0,14.0,0.42,-1.54,-0.49
1000.0,-19.0,13.0,0.49,-0.84,-0.91
1003.0,-12.0,16.0,0.56,-0.63,-1.26
1000.0,-16.0,15.0,0.14,-1.19,-0.63
1001.0,-18.0,13.0,0.14,-1.33,-0.63
1001.0,-13.0,15.0,0.28,-0.7,-0.91
1002.0,-15.0,14.0,0.21,-0.91,-0.7
1002.0,-13.0,14.0,0.14,-0.91,-0.35
1001.0,-15.0,14.0,0.14,-0.7,-0.07
1000.0,-16.0,15.0,0.07,-0.49,-0.14
1000.0,-15.0,15.0,-0.21,-1.26,-0.35
1002.0,-15.0,13.0,-0.42,-1.68,-0.42
1001.0,-15.0,13.0,-0.28,-1.4,-0.21
1000.0,-15.0,13.0,-0.21,-1.54,-0.14
1002.0,-14.0,13.0,-0.35,-1.96,0.28
1002.0,-14.0,13.0,-0.35,-1.96,0.28
1002.0,-17.0,12.0,-0.28,-1.61,1.12
1002.0,-18.0,12.0,-0.14,-1.12,0.49
1000.0,-16.0,13.0,0.07,-0.49,-0.14
1002.0,-17.0,12.0,0.0,-1.12,-0.28
1001.0,-17.0,13.0,0.07,-1.05,-0.14
1001.0,-16.0,12.0,0.14,-0.91,-0.21
1001.0,-16.0,11.0,0.0,-1.05,-0.35
1001.0,-16.0,12.0,0.14,-0.77,-0.42
1001.0,-16.0,12.0,0.14,-0.49,-0.42
1000.0,-16.0,12.0,0.07,0.0,-0.63
1001.0,-16.0,12.0,0.0,-0.28,-0.56
1000.0,-16.0,13.0,0.14,-0.28,-0.42
1001.0,-16.0,13.0,0.21,-0.35,-0.49
1001.0,-16.0,14.0,0.0,-0.49,-0.63
1002.0,-15.0,12.0,-0.14,-0.63,-0.42
1002.0,-16.0,13.0,0.07,-0.56,0.07
1000.0,-16.0,14.0,0.14,-0.63,0.14
1000.0,-16.0,14.0,0.0,-1.05,-0.14
1001.0,-16.0,13.0,-0.07,-1.33,-0.21
1002.0,-16.0,12.0,0.07,-1.54,0.0
1001.0,-16.0,12.0,0.14,-0.91,0.07
1001.0,-16.0,12.0,0.21,0.0,-0.21
1000.0,-16.0,14.0,0.14,0.56,-0.49
1001.0,-16.0,14.0,-0.14,0.56,-0.77
1001.0,-16.0,14.0,-0.07,0.84,-0.7
1001.0,-16.0,15.0,0.07,0.77,-0.63
1000.0,-16.0,15.0,0.0,0.0,-0.56
1002.0,-15.0,16.0,0.0,-0.35,-0.56
1001.0,-16.0,15.0,0.0,-0.49,-0.35
1001.0,-16.0,15.0,0.14,-0.98,-0.14
1001.0,-15.0,15.0,0.21,-1.33,0.0
1001.0,-16.0,15.0,0.28,-1.54,0.07
1000.0,-16.0,15.0,0.28,-1.82,-0.07
1001.0,-16.0,14.0,0.14,-1.75,-0.28
1001.0,-16.0,14.0,0.21,-1.4,-0.35
1000.0,-16.0,14.0,0.0,-1.33,-0.49
1003.0,-15.0,12.0,0.0,-1.33,-0.49
1000.0,-16.0,14.0,0.21,-0.77,-0.28
1000.0,-16.0,14.0,0.21,-0.77,-0.28
1001.0,-16.0,13.0,0.14,-1.05,-0.14
1001.0,-16.0,14.0,0.21,-0.91,-0.07
1000.0,-17.0,13.0,0.0,-0.98,-0.35
1002.0,-15.0,12.0,0.14,-1.05,-0.63
1002.0,-16.0,12.0,0.21,-0.49,-0.42
1000.0,-15.0,14.0,0.07,-0.21,-0.28
1000.0,-16.0,14.0,-0.14,-0.77,-0.35
1001.0,-16.0,14.0,0.07,-0.98,-0.28
1001.0,-16.0,13.0,0.0,-1.54,-0.21
1000.0,-15.0,13.0,-0.07,-1.54,-0.21
1001.0,-16.0,13.0,-0.07,-1.4,-0.14
999.0,-17.0,12.0,0.0,-1.75,-0.07
1002.0,-17.0,12.0,0.21,-1.75,0.14
1001.0,-16.0,11.0,0.21,-1.82,0.0
1001.0,-16.0,12.0,0.28,-1.54,0.0
1000.0,-17.0,11.0,0.14,-1.19,-0.28
1002.0,-16.0,11.0,0.07,-0.91,-0.56
1001.0,-16.0,10.0,0.0,-0.98,-0.49
1002.0,-15.0,10.0,0.21,-0.77,-0.49
1000.0,-15.0,12.0,0.35,-0.49,-0.28
1001.0,-16.0,10.0,0.07,-1.33,-0.07
1000.0,-17.0,11.0,0.07,-1.19,-0.14
1002.0,-16.0,11.0,0.07,-0.77,-0.35
1000.0,-17.0,11.0,-0.07,-0.84,-0.28
1002.0,-16.0,9.0,0.07,-0.91,-0.21
1001.0,-16.0,11.0,0.35,-0.21,-0.28
1000.0,-16.0,11.0,0.21,-0.07,-0.35
1003.0,-16.0,10.0,0.07,-0.56,-0.28
1001.0,-17.0,12.0,0.35,-0.49,0.0
999.0,-17.0,12.0,0.28,-0.84,-0.07
1001.0,-17.0,11.0,0.14,-0.91,-0.28
1001.0,-17.0,11.0,0.21,-0.77,-0.35
1001.0,-17.0,11.0,0.28,-0.56,-0.35
1002.0,-17.0,12.0,0.21,-0.56,-0.77
999.0,-16.0,12.0,0.07,-0.14,-1.05
1001.0,-14.0,11.0,-0.14,0.07,-1.12
1000.0,-15.0,12.0,-0.07,0.49,-0.84
1002.0,-15.0,13.0,0.07,0.49,-0.56
1002.0,-15.0,13.0,0.07,0.49,-0.56
1000.0,-16.0,13.0,0.07,0.28,-0.42
1002.0,-16.0,13.0,0.07,-0.21,-0.35
1000.0,-16.0,13.0,0.0,-0.49,-0.28
1000.0,-16.0,13.0,-0.07,-1.12,-0.35
1001.0,-16.0,12.0,0.07,-1.54,-0.28
1002.0,-16.0,12.0,0.35,-1.47,-0.21
1002.0,-16.0,12.0,0.49,-1.05,-0.56
999.0,-14.0,14.0,0.35,-0.84,-0.63
1000.0,-16.0,12.0,-0.07,-1.33,-0.35
1002.0,-16.0,11.0,0.14,-1.47,-0.35
1001.0,-17.0,12.0,0.35,-1.12,-0.63
999.0,-15.0,13.0,0.28,-0.98,-0.91
1000.0,-14.0,12.0,0.07,-1.05,-0.77
1002.0,-15.0,11.0,0.07,-0.84,-0.49
1001.0,-15.0,12.0,0.07,-0.35,-0.28
1001.0,-15.0,12.0,0.0,-0.91,-0.35
1001.0,-15.0,12.0,0.07,-1.33,-0.21
1001.0,-15.0,11.0,0.14,-1.33,-0.14
1001.0,-15.0,12.0,0.14,-0.77,-0.21
1002.0,-15.0,11.0,0.07,-0.35,-0.28
1004.0,-15.0,11.0,0.07,-0.21,-0.42
1001.0,-15.0,11.0,0.21,0.28,-0.63
1000.0,-15.0,12.0,0.49,0.7,-0.35
1001.0,-16.0,14.0,0.49,0.84,-0.28
998.0,-14.0,14.0,0.14,0.7,-0.84
998.0,-15.0,13.0,-0.14,0.14,-0.77
1002.0,-15.0,13.0,0.21,0.28,-0.7
1001.0,-14.0,16.0,0.35,0.77,-0.56
999.0,-14.0,15.0,0.0,0.77,-0.7
1002.0,-14.0,15.0,-0.07,0.91,-0.7
1000.0,-14.0,17.0,0.0,1.05,-0.63
1000.0,-14.0,18.0,0.07,0.7,-0.56
1001.0,-13.0,17.0,-0.07,0.14,-0.49
1001.0,-12.0,18.0,0.0,0.21,-0.14
1001.0,-14.0,17.0,0.07,-0.56,0.28
1001.0,-14.0,18.0,0.21,-0.77,0.35
1000.0,-14.0,18.0,0.14,-0.63,-0.07
1000.0,-14.0,18.0,0.14,-0.63,-0.07
1000.0,-14.0,19.0,0.07,-0.77,-0.42
999.0,-15.0,20.0,0.07,-1.89,-0.21
1000.0,-15.0,17.0,-0.14,-3.43,-0.21
1000.0,-16.0,15.0,0.0,-3.36,-0.35
1000.0,-15.0,15.0,0.14,-2.87,-0.63
1001.0,-13.0,13.0,0.14,-2.94,-0.56
1004.0,-12.0,15.0,-0.07,-2.52,0.07
1000.0,-14.0,12.0,-0.21,-2.24,0.42
1001.0,-13.0,14.0,0.0,-1.4,0.63
1002.0,-15.0,12.0,-0.07,-1.19,0.77
1000.0,-17.0,13.0,-0.07,-1.4,0.56
1001.0,-15.0,13.0,0.0,-1.75,0.35
1000.0,-16.0,13.0,-0.07,-1.68,0.14
1000.0,-16.0,12.0,-0.14,-2.1,-0.14
1004.0,-15.0,10.0,-0.21,-2.59,-0.35
1003.0,-16.0,10.0,0.21,-1.89,0.21
999.0,-16.0,11.0,0.28,-1.33,0.35
1001.0,-16.0,11.0,0.14,-1.4,0.42
1001.0,-16.0,10.0,0.14,-1.54,0.49
1002.0,-17.0,10.0,0.28,-1.47,0.42
1001.0,-17.0,11.0,0.21,-1.05,0.21
1003.0,-17.0,9.0,0.14,-0.77,-0.07
1000.0,-18.0,11.0,0.21,-0.14,-0.14
1002.0,-17.0,10.0,0.14,-0.28,-0.14
1001.0,-17.0,10.0,0.07,-0.42,-0.07
1001.0,-17.0,11.0,0.14,-0.28,-0.14
1000.0,-18.0,11.0,0.21,0.21,-0.28
1002.0,-18.0,11.0,-0.07,-0.14,-0.35
1001.0,-17.0,10.0,0.0,0.0,-0.49
1003.0,-16.0,12.0,0.07,0.28,-0.42
1001.0,-18.0,12.0,0.14,0.56,-0.35
1001.0,-18.0,12.0,0.14,0.28,-0.42
1000.0,-18.0,13.0,0.21,0.0,-0.28
999.0,-18.0,14.0,0.14,-0.21,-0.21
1000.0,-18.0,12.0,0.0,-0.56,-0.28
1001.0,-17.0,14.0,0.07,-0.7,-0.42
1000.0,-18.0,13.0,0.0,-0.84,-0.42
1001.0,-17.0,13.0,-0.14,-0.98,-0.56
1001.0,-17.0,13.0,-0.14,-0.98,-0.56
1002.0,-17.0,13.0,-0.07,-0.91,-0.21
1000.0,-17.0,13.0,0.07,-1.19,0.07
1000.0,-18.0,13.0,0.07,-1.61,-0.07
1000.0,-17.0,12.0,0.0,-1.89,-0.21
1003.0,-17.0,11.0,0.0,-1.82,-0.14
1001.0,-18.0,12.0,0.14,-1.26,0.0
1000.0,-18.0,13.0,0.14,-1.12,0.0
1001.0,-19.0,11.0,0.07,-1.26,-0.07
1001.0,-18.0,11.0,0.14,-0.84,-0.14
1001.0,-19.0,12.0,0.21,-0.35,-0.14
1001.0,-19.0,12.0,0.21,-0.49,0.0
1000.0,-18.0,12.0,0.07,-1.26,0.07
1001.0,-18.0,10.0,0.0,-1.68,-0.07
1001.0,-18.0,11.0,0.07,-1.4,-0.14
1001.0,-18.0,10.0,0.0,-1.05,-0.42
1002.0,-18.0,11.0,0.07,-0.42,-0.42
999.0,-19.0,12.0,0.14,0.0,-0.28
1001.0,-19.0,12.0,0.0,-0.42,-0.35
1001.0,-18.0,11.0,0.0,-0.14,-0.42
1001.0,-19.0,12.0,0.07,0.28,-0.49
1001.0,-18.0,12.0,0.0,0.21,-0.56
1001.0,-18.0,12.0,0.07,0.21,-0.35
1000.0,-19.0,12.0,0.0,-0.21,-0.21
1002.0,-18.0,12.0,0.07,-0.56,-0.14
1001.0,-19.0,13.0,0.21,-0.63,0.0
1001.0,-19.0,13.0,0.42,-1.12,0.14
1001.0,-18.0,13.0,0.28,-1.82,0.28
1000.0,-19.0,12.0,0.21,-1.68,0.21
1000.0,-19.0,13.0,-0.07,-1.54,-0.14
1001.0,-19.0,12.0,-0.14,-1.4,-0.42
1001.0,-19.0,12.0,0.0,-1.54,-0.42
1002.0,-19.0,11.0,0.0,-1.61,-0.42
1001.0,-19.0,11.0,0.14,-1.26,-0.35
1000.0,-19.0,12.0,0.14,-1.12,-0.21
1001.0,-19.0,11.0,-0.07,-1.61,-0.21
1000.0,-19.0,10.0,-0.07,-1.4,-0.21
1002.0,-19.0,10.0,0.14,-0.49,-0.21
1001.0,-19.0,11.0,0.14,0.21,-0.28
1001.0,-19.0,11.0,0.14,0.21,-0.28
999.0,-20.0,12.0,0.21,0.35,-0.21
1001.0,-20.0,11.0,0.07,-0.35,-0.28
1002.0,-18.0,11.0,0.21,-0.35,-0.35
1001.0,-19.0,14.0,0.28,-0.07,-0.35
1001.0,-19.0,12.0,0.07,-0.14,-0.42
1000.0,-19.0,12.0,0.0,-0.42,-0.28
1001.0,-18.0,12.0,-0.07,-0.98,-0.21
1001.0,-19.0,11.0,-0.07,-0.84,-0.35
1001.0,-19.0,12.0,0.07,-0.42,-0.42
1001.0,-18.0,12.0,0.07,-0.63,-0.28
1000.0,-19.0,13.0,0.07,-0.91,-0.28
1001.0,-19.0,12.0,0.0,-1.05,-0.49
1001.0,-19.0,12.0,-0.07,-0.98,-0.42
1001.0,-19.0,12.0,0.0,-0.84,-0.28
