acc_x[mg],acc_y[mg],acc_z[mg]
476,-893,-30
475,-907,-22
478,-908,-13
478,-895,-17
470,-911,-26
483,-856,15
481,-890,-6
479,-884,-14
480,-884,-10
493,-887,-25
487,-875,-31
488,-873,-39
505,-871,6
493,-872,10
493,-873,5
482,-906,28
488,-907,14
480,-867,31
479,-905,32
472,-867,63
461,-901,21
508,-1000,-12
500,-843,63
492,-924,133
470,-833,357
453,-719,360
491,-848,254
476,-796,382
500,-813,307
558,-757,341
579,-619,439
577,-624,472
576,-627,485
519,-566,443
531,-755,176
758,-905,28
664,-875,-102
532,-971,-130
506,-891,-125
569,-906,-93
582,-907,-85
481,-885,-44
427,-868,-33
398,-925,-22
424,-935,33
391,-1059,15
347,-972,45
373,-908,64
365,-918,66
388,-910,103
359,-964,82
346,-953,74
339,-941,87
331,-949,97
335,-956,92
325,-937,92
337,-936,89
331,-953,91
345,-953,96
340,-951,79
340,-960,78
349,-923,104
347,-937,96
341,-941,88
340,-952,87
347,-940,99
335,-949,92
339,-961,91
331,-935,69
333,-948,138
339,-912,86
348,-968,67
349,-936,51
354,-929,56
352,-962,64
372,-969,56
380,-982,44
379,-909,80
340,-989,127
372,-1010,85
387,-920,87
363,-882,115
358,-991,81
406,-932,88
473,-1067,73
395,-868,257
283,-827,471
265,-825,743
284,-302,644
523,287,911
458,-226,692
462,-438,720
380,-453,895
291,-422,909
268,-291,927
305,-453,870
292,-506,800
284,-492,782
296,-541,819
346,-519,776
334,-525,778
296,-533,792
319,-541,774
330,-572,762
296,-457,820
300,-380,853
294,-483,807
373,-507,840
328,-488,793
309,-473,805
330,-426,823
325,-482,798
320,-481,798
326,-484,799
323,-479,804
316,-475,798
322,-490,794
315,-485,797
326,-468,806
327,-479,801
324,-478,784
336,-532,768
309,-419,832
316,-425,770
327,-488,803
315,-495,795
278,-519,780
310,-570,750
285,-627,728
310,-559,777
333,-576,746
293,-505,717
313,-553,751
327,-509,770
325,-506,775
332,-541,754
303,-546,765
312,-584,733
325,-548,751
328,-596,730
316,-608,716
316,-604,723
331,-585,735
332,-561,734
330,-568,736
328,-584,729
333,-572,735
333,-576,730
332,-578,728
327,-573,736
339,-564,737
336,-585,720
335,-587,724
331,-580,726
344,-559,743
333,-577,730
331,-586,727
324,-598,720
333,-587,724
332,-569,727
334,-567,733
328,-584,725
318,-601,719
336,-571,733
341,-571,731
328,-574,732
334,-584,730
335,-574,730
330,-585,727
337,-578,732
339,-584,729
338,-575,734
335,-572,733
341,-568,739
328,-572,729
341,-555,747
339,-553,747
334,-569,736
334,-554,743
341,-541,747
343,-564,739
344,-563,736
342,-561,743
335,-560,741
344,-565,739
342,-560,734
342,-557,745
341,-559,738
345,-558,740
341,-563,738
336,-571,735
336,-574,734
335,-567,739
340,-572,735
340,-569,739
333,-575,734
332,-569,734
339,-577,732
337,-569,735
340,-576,730
333,-570,731
337,-571,735
341,-565,738
339,-564,734
335,-568,736
335,-565,740
342,-567,735
342,-562,739
339,-560,735
340,-553,740
336,-563,738
337,-565,741
351,-566,738
343,-560,741
341,-558,740
340,-561,741
349,-557,739
344,-553,746
345,-559,739
340,-559,741
342,-566,738
337,-561,738
343,-557,743
339,-550,746
349,-567,736
340,-564,737
342,-563,739
349,-558,742
342,-553,742
344,-559,740
