acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
1027.24,-188.368,-259.128,-99.82,-112.28,15.82
1017.968,-168.36,-296.216,-97.93,-110.6,16.87
995.032,-159.088,-309.392,-95.83,-108.57,17.99
988.688,-145.424,-319.64,-93.38,-106.12,18.69
1014.552,-133.712,-355.264,-90.37,-103.11,19.04
1012.112,-116.144,-376.248,-86.94,-99.82,19.25
995.032,-104.92,-392.352,-83.09,-96.04,18.97
974.536,-101.016,-410.896,-78.96,-91.91,17.99
952.088,-95.16,-423.584,-74.62,-87.43,16.87
937.448,-85.4,-440.664,-70.28,-82.88,16.24
930.616,-81.008,-455.304,-66.01,-78.33,16.73
914.512,-78.08,-466.528,-61.74,-73.78,17.92
895.48,-73.688,-470.92,-57.54,-69.09,20.16
883.768,-67.344,-478.24,-53.48,-64.26,23.45
880.84,-57.584,-492.392,-49.56,-59.5,27.58
878.4,-51.728,-509.472,-45.85,-54.95,31.43
860.344,-61.976,-502.64,-42.42,-50.75,33.81
851.072,-71.248,-486.048,-39.48,-46.97,34.02
851.56,-69.784,-496.784,-36.89,-43.61,32.83
853.512,-68.808,-504.592,-34.65,-40.74,30.66
863.76,-73.688,-497.76,-32.69,-38.36,27.72
869.128,-86.376,-493.856,-30.87,-36.47,24.01
879.376,-85.4,-479.704,-29.26,-34.93,20.37
902.8,-93.208,-467.504,-27.79,-33.74,17.57
911.584,-96.624,-452.864,-26.46,-32.97,15.61
909.144,-106.872,-450.912,-25.2,-32.34,14.28
901.824,-114.192,-464.088,-24.01,-31.57,13.65
888.16,-116.144,-471.896,-22.75,-30.52,14.21
873.52,-113.216,-470.92,-21.49,-29.12,16.1
876.936,-116.144,-481.656,-20.02,-27.37,19.04
873.52,-115.168,-481.168,-18.55,-25.62,22.33
862.296,-102.968,-467.992,-16.94,-23.8,25.41
858.88,-91.256,-475.8,-15.12,-21.77,27.58
856.928,-78.568,-494.832,-13.23,-19.74,28.7
848.632,-64.904,-489.464,-11.06,-17.57,28.77
850.096,-53.192,-484.584,-8.68,-15.47,28.21
850.584,-42.456,-484.584,-6.23,-13.51,27.02
845.704,-40.992,-483.12,-3.57,-11.55,25.34
841.8,-40.016,-484.584,-0.98,-9.73,23.1
842.288,-40.016,-492.88,1.61,-7.84,20.72
841.312,-36.112,-493.856,4.27,-6.09,18.48
839.36,-44.408,-499.224,6.93,-4.41,16.38
844.24,-54.656,-504.592,9.52,-2.8,14.7
859.856,-60.024,-510.448,11.97,-1.4,13.79
870.592,-59.048,-505.568,14.49,-0.21,14.07
872.544,-67.832,-508.008,16.87,0.77,15.4
865.712,-78.08,-512.888,19.18,1.75,17.08
854.0,-84.912,-515.816,21.35,2.66,18.48
849.608,-88.816,-517.768,23.38,3.71,19.46
844.728,-100.04,-521.184,25.27,4.69,20.23
841.8,-116.632,-534.848,27.23,5.67,21.35
839.848,-121.024,-548.512,29.05,6.79,23.52
826.184,-130.296,-549.488,30.94,7.98,26.67
809.592,-153.72,-548.512,32.76,9.31,29.96
813.008,-175.192,-565.104,34.37,10.57,32.97
718.336,-106.872,-587.552,35.91,11.76,35.0
833.504,-204.96,-645.136,37.66,12.81,31.71
885.232,-303.048,-621.224,38.15,12.32,23.94
903.288,-254.248,-557.296,37.59,11.06,17.01
877.912,-238.632,-545.096,37.38,9.94,14.7
870.592,-291.824,-585.112,37.31,9.1,16.45
858.88,-318.176,-612.44,36.75,8.4,19.95
813.984,-314.76,-626.104,36.33,7.91,24.36
785.192,-300.12,-625.128,36.05,7.84,29.61
778.848,-311.344,-639.28,36.12,8.05,35.07
777.384,-325.496,-649.04,36.05,8.26,40.25
775.92,-327.448,-657.824,35.91,8.4,44.66
752.496,-317.688,-650.992,35.77,8.47,48.44
725.168,-316.224,-643.672,35.63,8.54,51.03
686.616,-318.664,-633.912,35.21,8.61,51.24
650.016,-323.056,-619.272,34.79,8.68,47.88
621.224,-337.208,-600.728,34.02,8.68,40.81
565.592,-252.296,-556.808,32.83,8.68,31.08
566.568,-301.584,-478.728,32.06,8.61,19.11
640.256,-409.92,-478.24,30.03,7.91,5.04
652.944,-408.944,-557.784,26.6,6.23,-9.87
678.32,-409.432,-589.016,22.96,4.34,-22.12
708.088,-399.672,-582.672,19.39,2.52,-29.05
745.176,-397.72,-596.336,16.1,0.63,-29.82
775.432,-400.16,-622.2,13.09,-1.33,-25.69
799.832,-406.016,-642.208,10.15,-3.57,-18.97
816.912,-417.24,-657.336,7.28,-6.09,-11.34
