acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
501.664,816.912,-280.6,0.84,1.54,-1.47
498.248,819.352,-283.528,0.49,1.54,-0.91
496.296,819.84,-283.04,0.21,1.61,-0.14
494.832,823.744,-279.624,0.0,1.61,0.63
502.152,827.16,-281.088,-0.07,1.61,1.26
503.128,834.48,-280.112,-0.14,1.33,1.68
505.08,838.384,-277.184,-0.14,1.05,2.03
500.2,840.336,-274.256,0.07,0.84,2.17
494.832,842.776,-273.768,0.14,0.63,2.24
494.344,848.144,-278.648,0.35,0.7,2.38
493.368,843.752,-277.184,0.49,0.84,2.45
489.952,841.312,-276.208,0.56,0.98,2.45
485.56,835.456,-272.792,0.63,1.19,2.31
479.704,831.064,-277.672,0.49,1.47,1.96
474.824,825.208,-277.184,0.35,1.68,1.54
472.872,820.816,-276.696,0.21,1.96,1.19
478.24,827.16,-279.624,0.14,2.17,0.63
482.144,826.184,-279.136,0.07,2.24,-0.14
490.928,830.088,-277.672,0.07,2.31,-1.05
493.856,830.088,-277.672,0.14,2.31,-1.68
497.76,829.112,-276.696,0.28,2.24,-1.96
499.712,829.6,-281.088,0.42,2.17,-1.89
500.688,822.768,-283.528,0.42,2.1,-1.47
498.736,818.864,-276.208,0.42,2.17,-0.56
498.736,817.888,-279.624,0.42,2.17,0.56
497.272,813.984,-284.992,0.49,2.17,1.4
498.736,810.08,-278.648,0.42,2.17,1.68
498.736,812.52,-279.136,0.28,2.17,1.68
501.176,813.008,-281.576,0.21,2.17,1.26
501.664,815.936,-281.576,0.14,2.17,0.56
506.056,815.936,-282.552,0.14,2.1,-0.21
510.936,819.84,-284.016,0.14,2.03,-0.77
512.4,826.672,-279.136,0.21,1.96,-0.91
515.328,831.064,-281.088,0.28,1.89,-0.28
514.352,826.672,-286.456,0.56,1.82,0.56
514.84,826.184,-276.696,0.63,1.75,1.82
517.768,832.528,-277.672,0.84,1.68,3.22
514.352,831.552,-279.624,0.98,1.54,4.34
507.52,829.112,-282.064,1.12,1.4,4.97
502.152,821.304,-286.456,1.19,1.4,4.97
495.32,818.864,-287.92,1.26,1.47,4.48
494.832,815.936,-288.408,1.33,1.61,3.64
501.664,812.52,-284.992,1.33,1.68,2.45
506.056,814.472,-281.088,1.26,1.61,1.4
509.96,818.864,-284.016,1.19,1.47,0.49
511.424,820.328,-287.92,1.12,1.26,-0.14
512.888,822.768,-284.504,1.19,1.19,-0.42
511.912,822.768,-279.624,1.19,1.05,0.14
508.496,822.28,-280.6,1.19,1.12,1.26
508.496,820.328,-283.528,1.12,1.19,2.52
504.104,817.4,-286.456,1.05,1.26,3.5
501.176,816.912,-287.432,0.98,1.19,3.99
497.272,814.96,-287.432,0.91,1.19,4.2
494.344,813.496,-288.408,0.77,1.19,3.99
493.368,810.08,-285.968,0.77,1.19,3.43
494.344,813.496,-287.432,0.7,1.19,2.66
495.808,811.544,-286.456,0.63,1.19,1.68
504.592,818.376,-284.504,0.63,1.12,0.63
512.4,821.792,-283.528,0.63,0.98,-0.35
510.936,823.744,-276.696,0.7,0.77,-0.84
508.008,825.208,-275.72,0.77,0.63,-0.56
511.424,826.672,-279.624,0.7,0.56,0.0
515.328,833.504,-279.624,0.63,0.56,0.56
520.696,834.48,-278.648,0.63,0.56,0.91
520.696,836.432,-283.528,0.56,0.49,0.91
520.208,836.92,-284.992,0.49,0.35,0.7
516.304,835.944,-283.528,0.42,0.21,0.56
513.864,834.48,-283.04,0.42,0.07,0.49
515.328,834.968,-284.016,0.35,-0.07,0.35
517.768,830.088,-283.04,0.28,-0.21,0.0
520.208,827.16,-281.088,0.21,-0.28,-0.35
520.696,826.184,-282.064,-0.07,-0.49,-0.56
520.208,824.72,-283.04,-0.28,-0.56,-0.49
517.768,824.72,-283.528,-0.56,-0.7,-0.21
517.28,821.304,-284.504,-0.84,-0.77,-0.07
518.256,818.376,-286.456,-1.05,-0.91,-0.14
519.72,818.864,-289.384,-1.47,-1.05,-0.28
513.376,813.984,-293.288,-1.68,-1.19,-0.49
506.056,812.032,-294.264,-1.89,-1.19,-0.28
500.688,810.08,-294.752,-2.17,-1.12,0.21
502.64,805.688,-293.288,-2.38,-1.05,0.77
507.52,805.2,-291.336,-2.66,-1.05,1.12
509.96,807.152,-286.456,-2.8,-1.12,1.26
515.816,814.472,-282.064,-3.01,-1.33,1.33
513.864,818.864,-279.136,-3.08,-1.61,1.19
515.328,826.184,-274.256,-3.01,-1.82,0.91
516.304,834.48,-275.232,-2.8,-1.96,0.56
516.792,835.456,-269.864,-2.59,-2.03,0.35
513.376,837.408,-268.888,-2.38,-1.96,0.35
508.984,835.944,-270.352,-2.17,-1.89,0.49
506.544,839.848,-272.304,-1.89,-1.75,0.84
499.224,832.04,-270.352,-1.68,-1.68,1.12
493.856,831.552,-269.376,-1.54,-1.61,1.33
490.44,829.112,-270.84,-1.4,-1.54,1.26
489.952,830.576,-276.208,-1.33,-1.54,0.7
486.048,828.624,-275.72,-1.26,-1.54,-0.42
489.952,831.064,-275.232,-1.19,-1.54,-1.61
492.88,836.432,-273.768,-1.12,-1.68,-2.59
493.856,841.312,-270.84,-1.05,-1.82,-3.08
494.832,852.048,-268.4,-0.98,-1.89,-3.08
498.736,859.368,-265.472,-0.91,-1.96,-2.87
498.248,866.2,-262.056,-0.84,-2.03,-2.73
496.296,868.152,-258.64,-0.77,-2.1,-2.73
491.904,867.664,-264.984,-0.84,-2.1,-2.87
488.0,865.224,-266.448,-0.98,-2.1,-3.15
484.096,863.272,-263.52,-1.12,-2.1,-3.64
483.12,862.296,-260.104,-1.4,-2.03,-4.2
486.048,854.0,-261.568,-1.75,-2.03,-4.9
487.024,848.632,-270.352,-2.31,-2.03,-5.81
478.728,840.336,-263.032,-2.94,-1.96,-6.93
478.728,841.312,-264.984,-3.64,-1.89,-7.77
483.12,840.336,-269.864,-4.41,-1.82,-8.33
486.048,837.408,-262.056,-5.11,-1.82,-8.68
490.928,838.384,-259.128,-5.88,-1.89,-8.75
494.832,838.872,-260.104,-6.51,-2.1,-8.61
494.344,845.216,-257.664,-7.07,-2.31,-8.19
490.44,846.192,-252.784,-7.56,-2.45,-7.28
489.952,846.68,-250.344,-8.05,-2.59,-6.16
479.216,848.144,-250.832,-8.4,-2.66,-4.83
471.408,847.168,-245.952,-8.75,-2.66,-3.64
467.992,848.144,-241.072,-9.03,-2.52,-2.8
462.624,854.0,-233.752,-9.45,-2.45,-2.45
459.208,863.76,-227.408,-9.73,-2.52,-2.73
456.768,873.52,-227.408,-10.01,-2.45,-3.71
443.592,879.376,-219.6,-10.15,-2.45,-4.97
436.272,893.528,-208.376,-10.08,-2.31,-6.3
428.952,896.944,-195.688,-10.01,-2.1,-7.49
422.608,900.848,-182.512,-9.87,-1.75,-8.68
418.216,898.408,-175.192,-9.8,-1.47,-10.01
418.704,902.312,-169.336,-9.73,-1.26,-11.76
409.92,905.24,-158.6,-9.66,-1.05,-14.14
390.888,916.952,-146.4,-9.52,-0.77,-16.73
366.976,917.928,-127.368,-9.38,-0.35,-19.04
354.288,926.712,-116.144,-9.31,0.35,-21.21
369.904,938.912,-128.832,-9.24,1.12,-23.87
365.024,915.976,-108.336,-9.17,1.75,-26.74
382.592,932.08,-80.032,-9.31,2.31,-29.4
407.48,944.28,-66.368,-9.45,2.66,-31.85
417.24,946.72,-58.072,-9.73,2.8,-33.6
421.632,952.088,-50.752,-10.08,2.8,-34.65
416.752,955.992,-56.608,-10.43,2.8,-34.65
402.112,950.136,-51.728,-10.78,3.01,-33.67
394.304,944.768,-50.264,-11.13,3.29,-31.78
391.864,937.936,-59.048,-11.55,3.57,-29.75
387.472,923.296,-65.88,-11.9,3.92,-28.28
375.76,915.0,-65.88,-12.25,4.2,-27.51
376.736,918.904,-81.496,-12.46,4.48,-27.79
383.568,905.728,-91.256,-12.6,4.69,-29.12
392.84,892.064,-88.328,-12.74,4.69,-31.29
393.816,884.256,-103.944,-12.88,4.69,-33.74
391.864,872.544,-133.224,-13.02,4.76,-34.93
388.448,861.808,-141.52,-13.09,4.83,-33.88
388.448,849.12,-154.208,-13.16,5.04,-30.24
382.104,839.36,-170.8,-13.09,5.11,-24.71
376.248,836.432,-189.832,-12.81,5.18,-18.9
381.616,861.32,-214.72,-12.32,5.04,-14.14
378.688,880.84,-236.192,-11.41,4.69,-10.29
359.168,889.624,-234.24,-9.94,4.41,-6.65
351.36,897.432,-225.944,-7.98,4.27,-3.71
358.68,914.024,-228.872,-5.81,4.13,-1.68
359.656,912.072,-232.776,-3.08,3.78,-0.56
357.216,913.536,-232.288,-0.28,3.29,0.28
349.896,924.76,-239.608,2.73,2.8,1.26
342.576,943.792,-237.168,6.09,2.31,2.73
350.384,957.944,-228.872,9.87,1.82,4.41
346.48,971.12,-221.064,14.0,1.26,6.23
331.352,966.728,-214.72,18.41,0.7,7.98
319.152,965.264,-219.6,22.82,0.42,9.73
313.784,975.024,-226.92,27.37,0.35,11.06
298.168,983.32,-228.384,31.92,0.35,11.76
289.384,995.52,-223.992,36.54,0.63,11.69
284.016,1004.304,-221.064,41.23,1.12,10.99
285.48,1003.328,-211.304,45.85,1.82,9.66
292.8,995.52,-215.208,50.33,2.52,8.26
305.488,994.544,-226.432,54.46,3.01,7.21
321.592,1003.816,-238.144,58.38,3.5,6.86
324.032,999.424,-246.928,62.3,3.85,6.93
325.008,996.984,-244.488,66.01,4.41,7.42
330.376,1000.888,-262.056,69.65,4.9,8.05
329.4,993.568,-274.256,73.22,5.53,8.89
329.888,989.176,-270.352,76.51,6.23,10.43
323.544,986.736,-270.84,79.73,7.21,13.23
321.104,981.368,-283.528,82.6,8.19,16.87
324.032,979.904,-297.192,85.61,9.17,20.09
340.624,977.952,-306.464,88.34,10.08,22.05
361.608,968.192,-316.224,90.86,10.64,22.68
383.08,969.656,-332.328,93.31,10.99,23.24
391.376,984.784,-344.528,95.55,11.06,24.22
411.384,1002.84,-368.928,97.93,11.27,24.99
427.976,1002.352,-393.328,100.31,11.55,24.99
439.2,1000.888,-408.456,102.62,11.9,24.36
449.936,998.448,-435.296,104.93,12.39,23.38
468.48,984.296,-459.208,107.03,12.95,21.84
506.544,977.464,-476.288,109.06,13.37,19.25
531.92,969.656,-513.864,110.81,13.51,16.03
540.704,966.24,-561.2,112.14,13.44,13.37
545.584,943.304,-604.632,112.7,13.3,10.78
551.44,938.424,-683.2,112.63,12.81,7.21
500.688,954.04,-750.056,112.21,12.88,1.61
438.224,926.712,-809.592,111.51,14.42,-6.3
419.68,927.688,-886.208,109.2,16.94,-17.22
418.704,962.336,-961.848,105.56,19.95,-32.9
390.4,1047.248,-1006.744,101.15,23.24,-52.15
363.072,1139.48,-1062.864,96.67,27.09,-71.75
375.76,1234.64,-1145.824,92.33,31.29,-89.81
426.024,1317.112,-1243.424,88.2,35.21,-106.61
483.608,1381.04,-1314.672,84.14,38.29,-121.8
575.352,1484.496,-1391.288,80.29,40.25,-135.38
655.384,1616.256,-1488.4,77.07,40.67,-147.07
726.632,1692.872,-1554.28,74.97,39.69,-156.8
768.112,1687.016,-1620.648,73.15,37.52,-165.9
826.184,1633.824,-1705.56,70.63,34.44,-177.03
915.976,1580.632,-1778.76,66.92,30.31,-193.13
1026.752,1534.272,-1832.928,62.23,24.71,-214.2
1148.752,1498.648,-1877.336,56.91,17.57,-236.95
1231.712,1460.584,-1899.296,51.73,9.03,-257.39
1329.312,1431.304,-1960.784,46.97,-0.42,-273.14
1459.12,1381.04,-1952.0,42.98,-11.06,-282.94
1582.096,1336.144,-1929.064,39.69,-22.96,-285.18
1703.608,1271.728,-1932.48,37.31,-36.12,-278.04
1777.784,1189.744,-1865.136,35.63,-50.19,-261.73
1856.352,1084.336,-1775.832,34.09,-65.03,-238.98
1915.4,951.6,-1683.112,32.48,-80.85,-214.13
1929.064,793.976,-1522.072,30.17,-97.79,-191.59
1913.936,650.504,-1380.064,27.02,-115.22,-173.81
1871.968,549.488,-1247.328,23.1,-132.79,-160.93
1785.592,406.992,-1098.976,18.76,-150.15,-150.78
1681.648,285.968,-939.888,13.58,-166.6,-140.28
1606.496,164.456,-801.784,7.56,-182.07,-129.36
