acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
946.72,-42.944,233.752,-29.26,9.38,18.55
948.184,-48.312,234.728,-28.42,9.52,20.86
943.304,-58.56,244.976,-27.79,9.66,22.19
941.84,-60.512,256.2,-27.09,9.87,21.91
945.256,-56.12,267.424,-26.53,10.15,20.3
952.576,-47.336,274.256,-25.83,10.36,18.13
957.456,-38.064,267.912,-24.92,10.71,16.38
966.728,-34.16,263.032,-23.87,10.99,15.19
974.536,-29.28,257.664,-22.68,11.2,14.35
982.832,-27.816,250.344,-21.35,11.34,13.44
980.392,-21.96,246.44,-19.74,11.27,12.39
980.88,-14.64,246.44,-18.13,11.13,10.99
985.272,-12.2,244.976,-16.17,10.78,9.66
983.32,-13.176,244.0,-14.21,10.36,8.26
978.44,-13.664,243.512,-12.11,9.8,6.93
988.2,-21.96,242.536,-9.87,9.17,5.95
989.664,-31.72,243.024,-7.56,8.47,5.53
986.736,-29.28,252.296,-5.39,7.7,5.81
990.64,-32.696,261.08,-3.08,6.93,6.58
983.808,-48.8,267.912,-0.84,6.23,7.07
973.072,-64.904,273.768,1.19,5.6,7.0
967.216,-82.472,277.672,3.15,5.11,6.65
973.072,-95.16,284.016,4.9,4.83,6.79
971.608,-98.576,290.848,6.65,4.69,7.49
976.0,-108.336,287.92,8.47,4.62,8.4
974.536,-118.584,286.944,10.29,4.62,9.03
980.392,-138.104,288.408,12.04,4.69,9.17
991.128,-155.184,294.752,13.58,4.62,9.38
1000.888,-164.456,310.856,14.98,4.48,10.29
1008.208,-164.944,327.936,16.38,4.2,12.53
1004.792,-170.8,339.16,17.78,3.85,15.54
998.936,-186.416,352.336,18.9,3.57,18.62
992.592,-186.416,348.432,19.95,3.29,21.7
983.32,-205.448,362.584,20.72,3.15,25.2
961.36,-224.968,370.392,21.21,3.22,28.49
950.136,-241.56,382.104,21.63,3.5,30.66
939.888,-252.784,393.328,21.84,3.92,31.78
931.104,-260.104,408.944,22.05,4.41,32.27
929.64,-267.424,420.168,22.4,5.04,32.55
934.52,-272.304,430.904,22.82,5.46,32.97
927.688,-272.304,439.688,23.31,5.95,33.81
922.808,-273.768,446.032,23.94,6.51,34.93
911.096,-270.352,453.84,24.5,7.07,35.49
901.336,-270.84,452.376,25.13,7.56,34.72
900.848,-276.208,444.568,25.83,7.98,32.9
898.896,-291.336,442.616,26.46,8.19,30.38
890.112,-296.704,444.08,27.16,8.4,27.93
885.232,-310.368,448.96,27.79,8.47,26.11
891.576,-320.616,446.032,28.35,8.4,24.78
903.288,-330.376,441.64,28.91,8.12,23.73
910.608,-342.088,443.592,29.33,7.63,22.96
886.208,-337.208,463.112,29.68,6.86,22.26
861.32,-343.064,480.192,29.96,6.16,20.51
917.44,-360.632,440.176,30.1,5.18,17.43
910.608,-362.584,422.608,30.03,3.64,14.35
884.744,-358.68,428.464,29.89,2.17,12.11
872.544,-366.0,433.344,29.68,0.84,10.36
860.344,-375.272,429.44,29.33,-0.28,9.1
857.416,-380.64,432.368,28.63,-1.26,8.12
855.464,-386.496,430.904,27.86,-2.17,7.63
848.632,-388.936,431.88,26.81,-2.87,7.49
858.88,-368.928,427.0,25.69,-3.36,7.7
860.832,-364.048,408.456,24.71,-3.78,8.12
858.392,-355.752,393.328,23.73,-3.99,9.17
873.52,-357.704,392.352,22.89,-4.06,10.5
877.912,-372.832,410.408,21.98,-3.99,11.9
851.072,-355.264,432.368,21.07,-3.71,13.09
830.576,-342.088,446.52,20.3,-3.15,13.51
841.312,-353.312,447.984,19.74,-2.31,12.95
858.88,-358.68,443.592,19.11,-1.47,11.83
863.272,-354.288,439.2,18.41,-0.63,10.36
891.576,-354.288,431.392,17.85,0.28,9.24
998.936,-372.832,409.432,17.15,0.91,8.96
1071.16,-373.32,379.664,16.24,0.28,10.29
1010.16,-354.776,429.44,15.26,-0.98,14.07
1017.48,-323.056,476.288,14.42,-2.1,20.02
991.128,-311.344,490.44,13.86,-3.5,26.67
955.992,-323.056,483.12,13.51,-4.62,33.74
913.048,-348.432,449.448,13.02,-5.46,40.32
826.672,-358.192,432.856,12.39,-5.6,45.92
793.0,-383.568,427.488,11.41,-4.83,49.84
799.832,-407.48,425.048,10.29,-3.85,51.45
846.192,-410.896,404.064,8.89,-2.87,51.66
848.632,-337.696,379.176,7.63,-2.24,52.08
789.096,-300.12,386.008,7.35,-1.47,52.92
757.864,-353.312,391.864,7.42,-0.14,51.1
698.816,-409.92,398.208,7.14,1.61,44.17
689.544,-441.152,390.4,6.58,3.99,33.6
737.856,-437.736,350.872,5.95,6.44,23.59
771.528,-413.336,350.872,5.74,8.68,17.57
802.76,-415.776,352.824,5.81,10.64,16.17
812.032,-396.744,335.744,5.95,12.11,16.66
805.2,-378.2,324.032,6.09,13.09,16.03
793.0,-377.712,316.712,6.02,13.72,12.39
807.64,-389.424,303.536,5.6,14.07,5.95
827.648,-383.568,283.528,4.9,14.0,-1.12
861.32,-371.368,268.888,3.99,13.58,-6.09
880.352,-298.168,255.712,2.8,12.67,-10.08
933.056,-312.32,250.832,1.33,10.78,-14.49
959.408,-315.248,250.344,-0.21,7.91,-15.54
967.704,-306.464,238.632,-1.47,4.69,-13.65
936.472,-267.424,222.04,-2.45,1.12,-11.83
949.648,-247.416,208.376,-3.43,-3.08,-15.54
912.56,-226.432,197.152,-4.55,-7.98,-25.13
928.664,-216.672,191.784,-5.81,-13.09,-37.94
972.584,-242.536,203.984,-7.28,-18.55,-51.87
980.88,-246.44,213.744,-8.89,-23.87,-64.05
984.296,-248.392,228.872,-10.36,-28.63,-73.08
1006.744,-256.2,224.48,-11.76,-32.62,-78.89
1027.728,-262.544,211.792,-13.09,-36.19,-81.97
1022.848,-268.888,217.648,-14.35,-39.34,-82.46
1036.024,-275.72,223.504,-15.54,-41.79,-80.85
1053.104,-274.256,225.456,-16.73,-43.96,-77.7
1063.84,-257.176,237.168,-17.85,-45.85,-73.36
1075.064,-246.44,246.928,-18.76,-47.46,-68.6
1079.456,-223.504,252.784,-19.46,-48.93,-64.33
1072.624,-195.688,249.856,-19.81,-50.05,-60.55
1063.352,-174.216,240.584,-19.95,-50.89,-56.98
1047.736,-158.112,229.36,-19.88,-51.24,-53.69
1042.856,-149.328,207.888,-19.67,-51.31,-50.96
1036.512,-137.616,195.2,-19.39,-51.17,-48.86
1032.12,-123.952,197.64,-19.04,-50.89,-47.88
1016.504,-134.688,186.416,-18.69,-50.61,-48.16
1007.72,-147.864,193.736,-18.48,-50.26,-49.21
1015.528,-147.864,202.032,-18.55,-49.77,-49.63
1016.992,-141.032,206.424,-18.62,-49.42,-48.16
1018.456,-135.176,206.912,-18.69,-49.14,-44.03
1029.192,-138.592,200.568,-18.9,-48.86,-37.66
1027.24,-134.688,189.832,-19.18,-48.72,-29.96
1025.776,-133.224,185.44,-19.46,-48.79,-21.42
1026.752,-128.344,171.288,-19.88,-48.93,-12.88
1019.432,-124.44,157.136,-20.51,-49.28,-4.83
1011.624,-123.952,142.008,-21.21,-49.91,2.17
988.688,-113.704,140.544,-22.05,-50.75,8.05
959.408,-91.256,128.832,-22.89,-51.59,13.16
942.328,-79.544,98.088,-23.45,-52.29,17.36
930.128,-62.952,80.032,-24.08,-52.92,20.51
918.904,-35.624,62.952,-24.43,-53.48,23.17
918.416,-12.688,32.208,-24.57,-54.18,25.34
910.12,10.736,9.272,-24.57,-54.88,27.16
900.36,20.984,-20.984,-24.5,-55.58,28.56
897.92,21.96,-37.576,-24.5,-56.21,29.68
906.216,29.768,-43.432,-24.64,-56.91,31.29
936.96,22.448,-52.216,-24.92,-57.75,33.32
962.824,-0.488,-55.144,-25.55,-59.01,35.49
985.272,-19.032,-49.288,-26.67,-60.48,37.31
1027.728,-55.144,-29.768,-28.35,-62.02,38.5
1073.112,-98.088,10.248,-30.52,-63.98,38.57
1139.968,-141.52,69.784,-33.25,-66.36,37.03
1179.496,-147.864,109.312,-36.47,-69.23,33.95
1174.128,-154.696,133.224,-39.48,-71.89,28.28
1188.28,-178.12,153.72,-42.21,-73.85,18.9
1199.504,-164.456,143.96,-44.31,-75.04,5.32
1220.488,-150.304,143.472,-45.36,-75.46,-11.76
1190.232,-146.888,147.376,-45.08,-74.9,-31.22
1151.68,-114.192,136.152,-43.33,-72.8,-50.89
1132.16,-76.128,100.528,-39.83,-68.67,-67.13
1136.064,-48.312,63.928,-34.79,-62.72,-76.65
1125.816,-24.888,48.8,-28.63,-55.37,-78.47
1101.416,-17.568,59.048,-21.56,-46.62,-73.78
1065.792,-15.128,69.296,-14.07,-36.82,-65.03
1026.752,-25.376,82.472,-6.51,-26.25,-55.58
993.08,-56.608,103.456,0.84,-15.33,-48.65
962.824,-87.352,139.568,7.56,-4.41,-45.43
955.016,-120.048,169.336,13.44,6.16,-44.87
958.432,-146.888,197.152,18.48,16.1,-44.59
969.656,-168.848,223.504,22.68,25.13,-42.63
