acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
256.2,907.68,337.208,4.13,9.94,3.15
267.912,918.416,348.432,5.04,10.22,3.5
274.256,918.416,365.024,5.95,10.36,3.22
272.304,913.536,384.544,6.51,10.36,3.08
276.696,915.976,399.184,6.79,10.36,3.43
275.72,918.416,413.824,6.79,10.36,3.78
286.944,918.416,418.216,6.65,10.36,3.92
288.896,912.56,420.168,6.23,10.22,3.5
288.408,898.408,423.096,5.6,10.08,2.38
290.36,885.232,413.336,4.55,9.8,0.7
291.336,872.544,409.432,3.36,9.45,-1.4
290.848,863.76,405.528,2.03,9.1,-3.08
289.872,852.536,404.552,0.49,8.68,-4.34
286.456,842.776,400.16,-0.98,8.26,-5.6
289.384,838.384,388.936,-2.24,7.77,-7.14
289.384,837.408,377.224,-3.5,7.14,-8.26
283.528,834.48,369.904,-4.55,6.44,-8.26
283.528,838.384,366.976,-5.32,5.74,-7.14
294.264,850.584,362.096,-5.81,5.04,-5.32
293.776,861.808,362.584,-5.81,4.2,-3.22
287.92,874.496,364.536,-5.53,3.36,-1.12
287.432,884.256,359.168,-4.97,2.52,0.77
293.776,893.04,357.216,-4.2,1.61,2.31
292.312,900.36,358.68,-3.29,0.77,3.92
289.872,908.656,353.8,-2.17,-0.07,5.81
290.848,917.44,353.8,-1.05,-0.7,7.77
285.48,923.296,349.408,0.07,-1.19,9.38
285.48,925.736,342.576,1.12,-1.47,10.57
279.136,929.64,344.04,2.1,-1.61,11.2
275.72,928.176,339.648,3.01,-1.54,11.13
272.792,924.272,333.304,3.85,-1.33,10.08
269.864,919.392,331.84,4.48,-0.98,8.4
272.792,920.856,324.032,4.9,-0.42,6.65
276.208,915.976,315.736,5.25,0.07,4.97
275.232,912.072,315.248,5.46,0.56,3.78
279.624,915.976,313.784,5.6,1.05,3.22
283.04,915.976,310.368,5.74,1.4,3.15
282.552,915.488,306.952,6.09,1.54,3.15
284.504,915.488,307.928,6.37,1.47,3.08
288.408,911.584,306.464,6.72,1.26,3.01
291.336,905.24,307.928,6.79,0.91,3.08
295.24,905.728,309.392,6.93,0.42,3.36
300.608,903.776,311.344,6.79,-0.21,3.78
301.584,905.24,316.224,6.72,-0.98,4.27
302.072,902.312,315.248,6.58,-1.82,4.83
307.928,905.728,316.712,6.37,-2.66,5.6
305.488,900.36,325.008,6.09,-3.57,6.51
305.488,901.824,329.888,5.67,-4.34,7.7
302.072,901.336,338.184,5.11,-5.18,8.89
304.512,900.36,339.648,4.55,-5.88,9.31
302.072,894.992,338.184,3.85,-6.65,8.68
303.048,889.136,338.184,3.01,-7.42,7.42
301.096,885.72,333.792,2.24,-8.05,6.23
297.192,875.472,329.888,1.26,-8.54,5.53
295.728,868.152,327.448,0.35,-8.89,5.18
293.776,865.712,326.96,-0.63,-9.24,4.76
297.192,864.248,322.568,-1.68,-9.59,4.2
303.536,865.712,322.08,-2.59,-10.01,3.64
305.488,864.248,326.472,-3.71,-10.43,3.64
303.536,859.368,326.96,-4.69,-10.92,4.41
304.512,861.808,322.568,-5.81,-11.41,5.81
310.368,859.368,327.936,-7.07,-11.97,7.42
312.808,862.296,333.304,-8.47,-12.6,9.03
314.76,865.224,339.16,-9.8,-13.3,10.15
307.44,866.688,341.112,-11.2,-14.07,10.22
301.096,861.808,333.792,-12.53,-14.84,9.38
295.24,852.536,327.448,-14.14,-15.54,8.05
301.584,833.504,325.008,-16.1,-16.1,6.79
309.88,827.648,318.664,-18.34,-16.73,6.09
311.344,824.72,325.008,-20.86,-17.36,6.3
317.2,825.696,324.032,-23.38,-17.99,7.49
321.104,832.528,331.84,-25.76,-18.69,9.31
331.84,843.752,338.672,-27.93,-19.46,11.41
340.624,855.952,355.264,-29.82,-20.3,13.37
336.72,864.736,368.44,-31.29,-21.21,15.12
335.744,870.104,368.928,-32.55,-22.05,16.17
347.944,886.696,374.296,-33.46,-22.82,16.03
