acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps],acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
-830.576,-358.192,192.272,-15.89,4.2,-1.26,-788.608,-320.128,187.392
-827.16,-360.144,191.296,-15.96,3.99,-1.33,-812.032,-296.704,179.584
-827.648,-363.072,191.296,-16.03,3.99,-1.33,-788.608,-327.936,179.584
-827.648,-365.024,192.272,-16.24,3.85,-1.47,-796.416,-304.512,163.968
-826.184,-366.976,190.32,-16.24,3.57,-1.61,-819.84,-304.512,179.584
-825.696,-370.392,186.416,-16.31,3.5,-1.61,-796.416,-320.128,156.16
-825.208,-371.368,181.048,-16.38,3.36,-1.68,-812.032,-304.512,156.16
-822.28,-370.392,181.048,-16.31,3.36,-1.68,-796.416,-296.704,156.16
-821.304,-369.416,180.072,-16.45,3.22,-1.68,-796.416,-312.32,148.352
-820.816,-366.488,179.584,-16.45,3.15,-1.61,-804.224,-304.512,156.16
-816.912,-362.096,179.584,-16.59,2.87,-1.4,-819.84,-312.32,156.16
-812.52,-360.144,180.56,-16.87,2.8,-1.4,-796.416,-296.704,171.776
-807.64,-355.264,181.536,-17.15,2.66,-1.4,-780.8,-281.088,148.352
-803.248,-353.312,183.976,-17.5,2.87,-1.4,-780.8,-273.28,148.352
-796.904,-350.384,183.976,-17.78,2.87,-1.33,-757.376,-304.512,171.776
-794.952,-349.408,185.44,-18.06,2.94,-1.26,-765.184,-304.512,156.16
-792.024,-350.872,185.44,-18.34,3.08,-1.12,-749.568,-296.704,171.776
-790.56,-352.336,182.024,-18.62,3.08,-1.05,-741.76,-296.704,179.584
-787.632,-354.776,181.048,-18.83,3.15,-0.98,-749.568,-281.088,148.352
-786.656,-357.216,176.656,-18.9,3.22,-0.77,-772.992,-312.32,148.352
-787.632,-361.12,176.656,-18.9,3.29,-0.77,-741.76,-296.704,140.544
-789.584,-364.536,178.608,-18.97,3.43,-0.77,-749.568,-320.128,132.736
-791.048,-366.0,181.536,-18.9,3.57,-0.77,-741.76,-312.32,171.776
-791.048,-366.0,178.608,-18.83,3.43,-0.84,-757.376,-320.128,140.544
