acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
154.747,767.267,-782.049,32.858,-6.179,3.282
39.016,709.359,-826.642,48.67,-4.934,4.415
119.383,701.039,-829.132,40.792,-5.942,3.624
73.013,684.71,-833.163,43.385,-5.654,2.935
131.547,702.931,-848.993,39.81,-5.547,2.186
137.687,667.265,-856.935,42.417,-4.606,2.403
164.659,657.005,-852.011,41.075,-4.213,2.699
118.145,651.487,-845.5,40.832,-3.028,2.235
127.626,654.242,-842.133,35.985,-2.072,0.597
96.088,675.283,-829.109,34.176,-1.641,-0.935
97.451,666.755,-826.121,31.082,-1.57,-1.968
82.67,642.86,-807.302,31.61,-2.029,-1.872
85.746,641.526,-801.013,30.484,-2.657,-1.53
70.362,608.941,-785.493,31.866,-2.974,-1.28
69.84,598.196,-774.776,31.88,-3.449,-1.454
69.291,600.566,-784.744,34.234,-3.83,-1.667
107.007,579.268,-767.703,34.804,-4.083,-1.573
88.008,604.565,-780.367,36.925,-4.086,-1.227
93.627,661.374,-807.074,36.472,-4.011,-0.759
80.326,667.51,-799.985,36.474,-4.148,-0.08
96.606,697.136,-825.352,34.487,-4.742,0.372
80.63,720.681,-820.497,33.899,-5.498,0.405
94.525,712.166,-823.036,31.02,-6.107,0.458
83.833,686.377,-833.832,29.06,-6.601,0.706
124.462,662.903,-833.699,26.326,-6.875,0.888
90.883,626.708,-811.78,26.765,-7.771,0.795
137.183,532.812,-857.852,29.895,-7.885,0.596
161.515,459.999,-879.184,38.276,-5.531,1.043
173.553,422.524,-860.655,44.578,-3.403,1.07
181.154,465.974,-973.921,51.406,1.111,-0.092
175.071,547.586,-946.055,54.125,7.714,0.658
103.882,618.667,-874.896,56.566,7.101,2.634
137.206,644.517,-897.935,54.601,5.277,2.357
127.22,660.064,-889.709,51.934,5.99,0.429
169.259,638.826,-930.549,49.232,7.359,-2.258
111.758,619.158,-912.458,48.527,8.379,-2.525
95.199,629.694,-869.803,47.022,8.384,-1.274
94.446,638.574,-859.941,45.578,7.456,-0.23
87.891,640.157,-853.881,41.494,6.124,-0.739
107.336,678.062,-852.491,37.938,4.916,-2.182
117.139,708.371,-836.157,34.382,4.042,-4.096
109.649,701.709,-846.195,32.625,4.085,-4.688
110.099,697.307,-843.378,29.782,4.217,-3.494
92.979,683.082,-858.288,28.218,4.59,-1.89
104.267,667.258,-835.488,25.179,4.476,-1.108
77.188,675.216,-838.419,22.074,3.34,-1.05
109.067,690.337,-853.476,19.173,2.753,-0.701
70.909,681.131,-841.27,19.039,1.857,-0.087
102.851,679.981,-834.896,17.07,1.313,-0.591
72.267,640.205,-847.008,15.233,1.467,-1.028
94.081,621.683,-865.991,13.304,1.43,-1.066
74.771,616.052,-873.274,13.217,1.395,-1.09
73.92,577.756,-875.639,12.136,1.254,-1.563
60.72,606.772,-859.751,11.849,1.103,-1.911
82.993,620.368,-879.367,10.602,0.996,-2.138
46.667,623.298,-894.297,11.044,0.985,-1.773
