acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-854.961,156.326,176.847,28.971,-21.238,7.891
-915.048,-62.133,208.997,42.781,-28.349,9.763
-868.546,21.928,214.561,37.392,-26.903,9.805
-938.343,-36.998,218.341,40.453,-28.482,11.018
-918.356,-20.283,243.967,38.753,-28.745,11.035
-934.303,-39.939,247.17,41.152,-30.262,11.458
-913.397,-34.081,250.755,39.821,-31.039,11.662
-933.544,-31.881,259.398,41.393,-31.39,12.048
-939.755,-11.039,225.103,40.118,-32.055,12.422
-958.989,-29.805,246.879,40.938,-32.355,12.139
-964.059,4.017,233.874,39.864,-32.729,10.722
-976.206,19.814,221.761,40.311,-33.017,10.348
-997.989,52.005,229.058,39.149,-33.265,9.847
-984.892,36.47,239.311,38.974,-33.265,9.941
-977.954,69.056,259.946,37.276,-33.464,10.016
-990.202,60.548,249.084,36.62,-32.998,10.239
-998.627,93.623,241.531,34.835,-32.95,9.45
-982.968,81.031,284.79,33.966,-32.801,8.573
-993.957,121.865,279.011,32.19,-32.535,7.046
-1009.381,131.188,277.267,31.659,-32.0,6.377
-997.394,136.779,282.83,30.067,-31.765,5.489
-986.836,124.33,269.437,29.838,-30.877,4.502
-986.157,132.404,276.507,28.601,-31.169,3.174
-969.828,125.026,287.209,28.376,-30.891,2.466
-967.422,127.391,289.262,27.328,-31.196,1.98
-943.189,104.409,283.586,27.27,-30.903,1.493
-942.683,99.134,291.274,26.386,-31.401,0.198
-951.907,119.75,289.595,26.645,-31.837,-0.72
-942.401,102.727,317.107,25.93,-33.095,-1.115
-957.278,96.494,333.568,25.926,-33.436,-1.83
-926.523,98.892,335.174,25.229,-34.452,-3.105
-937.176,122.872,326.334,25.014,-34.83,-3.897
-933.123,116.724,317.539,23.705,-36.053,-4.637
-914.578,96.367,329.435,22.682,-36.794,-4.768
-908.099,115.92,315.868,20.913,-37.883,-5.432
-918.826,127.019,336.865,19.58,-38.589,-6.213
-913.684,139.784,340.514,17.31,-39.668,-6.976
-902.958,121.731,350.471,15.466,-39.815,-7.748
-909.524,131.033,335.914,12.906,-40.544,-8.83
-925.236,114.474,354.677,11.484,-39.929,-10.306
-926.023,119.092,335.156,10.116,-40.295,-11.89
-959.211,101.683,349.251,9.863,-40.263,-12.553
-996.558,112.502,371.015,9.569,-40.947,-13.177
-1020.302,81.825,380.682,10.313,-40.575,-13.817
-981.905,91.508,342.369,10.784,-41.133,-14.572
-1004.386,100.863,356.443,11.674,-39.319,-14.994
-1075.919,119.911,378.103,11.855,-40.197,-14.803
-1066.738,123.276,346.927,12.085,-41.704,-14.851
-1084.127,142.288,334.839,12.222,-41.714,-15.848
-1079.938,153.107,327.968,12.662,-41.264,-15.901
-1055.879,187.755,328.124,11.35,-41.14,-15.487
-1084.198,178.881,352.185,10.375,-40.511,-15.236
-1052.444,177.164,345.784,8.886,-40.818,-14.988
-1045.122,168.923,351.343,8.181,-40.164,-15.32
-1051.465,178.478,355.082,7.489,-40.088,-16.124
-1046.127,151.399,362.058,7.799,-39.204,-15.491
-1031.06,136.953,401.28,7.996,-38.739,-14.879
-1045.729,141.905,392.452,8.984,-37.895,-15.381
-1026.469,142.082,388.487,9.06,-37.846,-15.618
-1033.291,155.035,422.623,8.947,-36.897,-15.537
-1023.979,129.445,434.479,7.637,-37.262,-15.487
-1007.974,135.228,426.036,6.661,-37.004,-15.352
-1035.35,112.664,433.779,5.597,-37.425,-15.53
-1023.533,94.525,444.584,5.13,-37.231,-16.018
-1017.305,80.268,440.792,3.833,-38.062,-16.88
-1002.309,63.127,439.104,3.395,-38.378,-17.342
-1010.921,63.598,424.185,2.962,-39.372,-17.592
-990.444,57.865,410.554,2.792,-39.713,-18.397
-984.934,73.823,401.719,1.36,-40.508,-19.764
-984.047,41.924,398.572,0.466,-40.648,-20.351
-962.061,35.322,373.437,-0.688,-41.282,-21.207
-946.811,63.551,363.928,-1.871,-41.037,-21.29
-935.3,87.086,363.171,-3.564,-41.306,-21.455
-948.125,57.515,373.333,-4.544,-40.875,-21.424
-918.313,80.236,358.012,-5.822,-41.174,-22.152
-926.077,89.225,375.145,-6.839,-40.861,-22.591
-902.135,95.347,359.679,-8.493,-41.001,-22.699
-922.844,84.267,371.14,-9.096,-40.439,-22.394
-935.365,81.384,378.222,-9.38,-40.318,-22.503
-915.869,50.816,386.586,-8.859,-39.404,-22.672
-902.05,46.357,394.378,-8.652,-39.479,-22.284
-913.958,46.441,368.162,-7.492,-38.395,-21.712
