acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-11.244,531.303,-566.598,36.728,-2.21,-2.817
403.728,721.924,-851.998,30.117,-2.107,3.896
253.18,666.633,-757.366,29.869,-1.717,1.284
348.214,716.804,-822.145,26.31,-1.436,2.194
287.079,700.246,-782.681,24.489,-1.219,1.141
320.692,719.583,-807.319,21.108,-1.252,1.655
295.224,681.143,-760.597,19.509,-1.253,0.833
306.684,708.534,-790.768,17.02,-1.346,0.982
313.13,716.268,-789.061,16.114,-1.151,0.809
324.656,697.407,-803.852,14.279,-1.391,1.273
294.575,638.232,-782.214,14.351,-1.334,1.344
300.313,635.586,-776.721,11.942,-1.078,2.03
239.394,604.241,-736.426,9.738,-0.597,1.44
200.523,619.018,-702.792,12.801,-1.016,0.895
148.287,629.798,-645.971,23.134,-2.521,3.075
165.007,702.229,-653.578,32.909,-5.337,7.143
194.243,718.122,-693.793,37.027,-8.206,8.275
236.034,739.989,-758.601,33.003,-10.373,7.775
284.535,745.697,-766.162,27.268,-11.839,5.76
339.121,767.032,-785.695,21.284,-12.157,4.669
341.244,742.506,-779.14,16.602,-11.124,5.068
352.58,695.592,-794.349,11.375,-9.473,6.358
320.731,664.344,-777.063,7.083,-7.691,6.816
304.124,632.912,-787.204,3.468,-5.983,6.283
244.631,611.188,-788.693,1.168,-5.52,4.929
243.414,587.2,-796.109,-0.652,-6.259,3.575
229.709,557.573,-793.863,-1.122,-7.222,2.096
236.316,592.106,-808.546,-1.888,-8.059,1.267
237.722,607.834,-800.337,-1.897,-8.644,0.773
268.949,598.412,-812.957,-2.118,-8.908,0.64
279.442,613.668,-814.89,-1.359,-8.718,0.482
300.921,603.907,-826.079,-0.109,-8.503,0.362
299.203,636.037,-834.862,2.66,-7.944,0.709
301.923,637.965,-826.28,5.537,-7.483,1.836
277.057,651.718,-794.781,8.427,-7.163,2.92
286.833,658.822,-767.839,10.029,-7.122,3.859
288.15,671.341,-776.204,11.343,-7.522,4.224
294.064,650.217,-791.333,11.753,-8.133,4.207
291.364,666.421,-782.366,12.355,-8.715,4.07
289.498,650.555,-810.152,12.363,-8.66,4.085
295.307,647.39,-802.99,12.708,-8.325,4.188
300.735,638.011,-792.195,12.488,-7.887,4.428
302.432,641.358,-783.348,12.675,-7.624,4.525
302.181,634.919,-795.489,11.902,-7.65,4.294
298.706,645.493,-796.034,11.135,-7.753,3.651
295.725,628.556,-799.305,9.442,-7.815,2.872
312.975,642.816,-822.556,8.067,-7.995,2.128
307.132,653.332,-831.743,6.212,-7.89,1.543
286.324,655.8,-823.614,4.734,-7.692,1.089
310.69,654.683,-827.217,2.974,-7.372,0.693
305.019,652.246,-812.847,1.643,-7.009,0.306
293.921,644.394,-811.956,-0.035,-6.839,0.137
283.669,656.272,-812.21,-1.154,-7.098,-0.042
264.715,659.2,-831.431,-3.303,-7.326,-0.943
307.122,631.533,-880.33,-3.71,-6.724,-1.727
318.49,608.386,-917.983,-1.804,-5.098,-1.031
316.722,586.077,-870.591,0.492,-3.441,0.744
321.941,565.046,-837.073,1.794,-2.723,1.134
293.734,586.177,-798.528,3.834,-2.595,-0.061
310.652,659.77,-801.405,5.16,-3.325,-1.134
301.174,679.576,-777.654,6.003,-3.856,-1.426
308.273,708.246,-785.479,5.642,-3.343,-0.565
299.876,728.779,-799.086,4.834,-2.649,1.228
316.249,717.072,-803.494,3.102,-2.0,2.925
284.113,687.523,-793.9,1.816,-1.784,3.838
253.994,643.317,-773.542,0.315,-2.05,4.069
266.992,632.953,-774.764,-0.34,-2.652,3.987
278.318,625.789,-780.824,-0.93,-3.147,3.532
289.708,638.714,-781.382,-0.839,-3.305,2.938
289.467,634.014,-792.892,-1.16,-3.508,2.245
305.24,643.942,-809.654,-1.358,-3.581,1.91
308.853,637.97,-806.748,-1.621,-3.54,1.947
305.777,639.827,-794.27,-1.577,-3.304,2.276
322.318,633.513,-802.369,-1.996,-3.01,2.548
301.192,626.696,-807.949,-1.73,-2.561,2.464
286.802,626.692,-801.493,-1.308,-2.085,2.273
