acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
19.759,644.868,-524.037,16.545,-0.834,9.128
448.311,813.075,-771.243,23.856,-8.003,4.3
311.834,757.669,-688.334,17.513,-5.389,5.768
396.898,803.297,-750.62,16.778,-6.754,4.799
350.067,769.77,-691.357,12.777,-5.477,5.629
375.478,787.602,-727.197,11.568,-6.119,5.148
336.416,742.856,-675.949,8.553,-5.462,5.77
374.224,763.283,-678.743,7.626,-6.3,5.513
325.956,764.479,-666.273,5.659,-5.844,5.927
372.71,746.096,-694.083,5.475,-6.318,5.701
346.849,733.281,-691.7,4.353,-5.745,6.278
363.571,738.645,-700.54,3.863,-5.936,6.019
321.59,712.176,-680.241,2.126,-5.531,5.889
348.097,732.525,-699.725,1.507,-6.067,5.243
320.379,727.535,-691.92,0.656,-5.977,5.426
369.137,726.201,-697.727,0.92,-6.485,5.509
337.393,690.379,-683.846,1.132,-6.198,6.178
364.31,694.619,-689.076,2.075,-6.251,6.447
353.625,687.703,-686.585,2.729,-5.737,6.486
351.499,680.794,-688.159,3.99,-5.726,5.685
324.1,692.135,-686.273,4.722,-5.547,5.113
368.925,707.65,-696.524,5.725,-5.901,4.48
345.947,697.287,-680.468,6.197,-5.577,4.35
360.428,700.659,-701.142,6.543,-5.376,3.838
351.983,719.073,-693.093,6.238,-5.017,3.572
367.895,718.859,-699.714,6.966,-5.216,3.652
351.512,725.618,-698.783,6.803,-4.559,3.987
365.163,735.021,-725.691,6.547,-4.58,3.945
356.731,727.705,-711.386,5.787,-4.205,3.935
365.329,733.551,-706.805,5.262,-4.214,3.503
371.647,728.403,-699.284,4.127,-3.965,3.4
372.835,742.559,-710.605,3.269,-4.169,2.998
384.464,729.032,-720.652,2.082,-3.83,3.154
379.875,731.932,-707.3,0.785,-3.743,3.253
371.182,768.881,-715.381,-0.722,-3.139,3.41
369.633,760.983,-682.286,-2.001,-3.309,3.269
356.115,749.802,-693.685,-3.411,-2.961,3.228
369.611,750.449,-673.933,-4.367,-3.155,2.998
363.834,754.782,-683.508,-5.427,-3.08,2.775
363.717,733.187,-694.092,-6.214,-3.262,2.319
354.864,706.327,-696.214,-7.491,-3.008,2.0
366.061,733.83,-704.491,-8.346,-3.372,1.614
359.584,726.991,-703.833,-9.115,-2.999,1.621
383.739,722.034,-715.87,-9.479,-2.823,1.561
367.526,725.363,-723.814,-9.586,-2.223,1.752
370.553,705.283,-724.048,-8.958,-1.956,1.729
347.048,707.402,-703.038,-8.338,-1.337,1.634
358.121,717.763,-725.547,-7.243,-1.274,1.425
374.138,703.85,-717.633,-6.282,-0.974,1.382
355.116,702.821,-716.209,-4.815,-0.854,1.288
351.513,699.141,-693.865,-3.511,-0.202,1.414
366.477,704.474,-688.345,-2.057,-0.068,1.396
340.05,688.699,-688.211,-0.661,0.251,1.658
358.187,694.545,-693.253,0.826,-0.175,1.847
343.027,672.864,-691.42,1.539,-0.104,2.033
364.941,704.728,-699.272,2.242,-0.51,1.727
356.386,714.513,-681.974,2.547,-0.304,1.692
347.677,724.813,-687.547,2.863,-0.516,1.477
340.758,721.08,-702.599,2.555,-0.452,1.485
350.025,750.662,-705.733,2.268,-0.555,1.5
363.496,739.698,-694.971,1.982,-0.268,1.611
375.338,742.538,-709.841,1.896,-0.17,1.67
337.13,747.991,-694.569,1.449,0.155,1.919
365.288,740.981,-684.842,0.821,0.089,1.967
359.455,725.81,-686.209,-0.114,0.212,1.894
