acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps],acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
279.136,621.224,-758.352,33.11,-2.45,2.66,288.896,671.488,-788.608
278.648,628.056,-762.744,32.13,-2.24,2.52,304.512,694.912,-796.416
279.136,630.984,-761.768,31.22,-2.03,2.52,320.128,679.296,-780.8
279.136,634.888,-762.744,30.24,-1.89,2.24,320.128,671.488,-796.416
279.624,639.28,-762.744,29.26,-1.75,2.03,296.704,702.72,-796.416
278.648,643.672,-766.16,28.0,-1.61,1.89,296.704,687.104,-780.8
278.16,647.088,-766.16,26.81,-1.4,1.68,320.128,710.528,-812.032
277.672,651.48,-766.648,25.48,-1.26,1.54,320.128,694.912,-796.416
277.184,651.48,-765.672,24.08,-1.26,1.54,320.128,718.336,-796.416
277.672,653.92,-761.28,22.75,-1.26,1.47,288.896,718.336,-804.224
277.672,656.848,-760.304,21.42,-1.19,1.33,296.704,702.72,-788.608
275.232,654.896,-757.376,20.3,-1.26,1.26,327.936,702.72,-788.608
276.208,653.432,-754.936,19.18,-1.26,1.05,304.512,687.104,-765.184
276.696,655.872,-754.448,18.27,-1.33,0.91,288.896,694.912,-772.992
277.184,653.432,-754.448,17.22,-1.33,0.77,304.512,694.912,-788.608
274.744,652.456,-756.888,16.52,-1.26,0.84,304.512,718.336,-780.8
273.28,650.016,-761.768,15.96,-1.12,0.98,320.128,726.144,-804.224
271.816,645.624,-764.696,15.12,-1.26,1.05,335.744,710.528,-796.416
271.816,635.864,-761.28,14.42,-1.4,1.19,304.512,687.104,-796.416
270.84,619.76,-758.84,14.28,-1.4,1.19,304.512,679.296,-796.416
266.448,605.608,-752.984,14.21,-1.33,1.47,320.128,624.64,-780.8
264.008,590.48,-746.64,13.51,-1.26,1.75,281.088,648.064,-788.608
254.736,572.912,-742.248,12.04,-1.05,1.96,304.512,624.64,-772.992
239.608,560.224,-731.024,10.57,-0.84,1.82,265.472,624.64,-749.568
219.6,556.32,-718.336,9.59,-0.56,1.54,257.664,609.024,-741.76
194.224,557.784,-694.424,10.15,-0.7,1.05,210.816,593.408,-733.952
169.824,568.032,-670.512,13.02,-0.98,0.84,187.392,640.256,-687.104
152.256,584.136,-646.112,17.5,-1.61,1.4,187.392,601.216,-671.488
139.08,598.776,-623.664,22.96,-2.59,3.15,148.352,640.256,-655.872
131.272,616.832,-610.0,28.42,-3.71,5.39,140.544,663.68,-640.256
134.688,637.816,-615.368,33.11,-5.39,7.0,163.968,694.912,-648.064
146.4,657.336,-637.816,36.05,-6.86,8.05,195.2,726.144,-671.488
163.968,675.88,-662.216,36.82,-8.19,8.33,171.776,718.336,-694.912
184.952,688.568,-691.984,35.7,-9.38,8.26,234.24,710.528,-726.144
204.96,697.352,-714.432,33.18,-10.36,7.7,226.432,765.184,-772.992
224.968,703.696,-722.24,30.1,-11.2,6.79,257.664,726.144,-741.76
247.904,711.504,-731.024,27.16,-11.9,5.88,281.088,749.568,-780.8
269.864,712.968,-736.88,24.15,-12.11,4.97,327.936,757.376,-780.8
288.408,710.528,-741.272,21.49,-12.18,4.62,335.744,772.992,-780.8
303.048,703.696,-742.736,18.83,-11.76,4.69,327.936,749.568,-765.184
314.76,694.424,-745.176,16.45,-11.2,5.11,359.168,749.568,-812.032
317.688,682.712,-748.104,14.07,-10.22,5.74,343.552,726.144,-765.184
