acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps],acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
328.424,733.464,-686.616,24.85,-6.44,5.32,343.552,757.376,-741.76
327.936,736.392,-691.008,23.17,-6.44,5.39,359.168,772.992,-710.528
328.912,736.88,-691.984,21.63,-6.44,5.32,359.168,780.8,-710.528
332.328,741.76,-692.472,20.16,-6.37,5.25,351.36,780.8,-718.336
333.792,741.76,-692.96,18.76,-6.3,5.25,366.976,772.992,-726.144
334.28,739.32,-689.544,17.29,-6.16,5.11,366.976,780.8,-718.336
337.208,737.856,-687.104,15.96,-6.16,5.18,359.168,796.416,-733.952
338.672,737.368,-685.64,14.63,-6.02,5.32,359.168,788.608,-718.336
340.624,733.464,-684.176,13.44,-6.02,5.32,390.4,765.184,-702.72
340.136,734.44,-678.808,12.18,-5.81,5.32,366.976,796.416,-718.336
339.16,729.56,-673.44,11.06,-5.67,5.39,351.36,772.992,-710.528
335.744,728.584,-667.096,10.01,-5.74,5.53,343.552,765.184,-694.912
334.28,724.192,-659.776,8.96,-5.88,5.53,359.168,749.568,-702.72
331.84,719.8,-652.456,8.05,-5.81,5.6,366.976,749.568,-671.488
331.352,716.384,-649.528,7.28,-6.02,5.74,351.36,757.376,-655.872
333.304,713.456,-649.04,6.58,-6.09,5.74,343.552,765.184,-679.296
331.84,709.064,-650.504,5.95,-6.16,5.74,351.36,765.184,-679.296
330.376,705.648,-650.992,5.53,-6.02,5.81,335.744,780.8,-679.296
329.4,699.304,-651.48,5.18,-6.09,5.81,366.976,710.528,-671.488
328.912,693.936,-653.92,4.97,-6.09,6.02,366.976,749.568,-710.528
328.424,689.056,-654.896,4.55,-5.95,6.16,343.552,741.76,-694.912
325.984,680.272,-653.92,4.2,-5.81,6.16,366.976,733.952,-694.912
320.616,678.32,-655.384,3.64,-5.74,6.16,359.168,733.952,-694.912
319.152,673.928,-652.944,3.01,-5.74,6.02,327.936,726.144,-687.104
315.248,671.488,-651.48,2.31,-5.67,5.74,335.744,710.528,-694.912
311.344,671.488,-650.992,1.75,-5.81,5.53,335.744,733.952,-679.296
312.808,671.488,-651.968,1.33,-5.88,5.39,343.552,710.528,-694.912
311.832,671.976,-654.408,1.05,-6.02,5.25,327.936,741.76,-702.72
312.808,671.976,-652.944,0.77,-6.16,5.32,320.128,733.952,-694.912
314.272,670.024,-656.36,0.77,-6.23,5.46,359.168,726.144,-694.912
317.2,668.072,-655.384,0.77,-6.3,5.6,359.168,718.336,-687.104
320.128,661.728,-656.848,0.91,-6.44,5.81,343.552,710.528,-702.72
324.032,657.824,-656.36,1.33,-6.3,6.09,359.168,702.72,-679.296
326.472,652.456,-657.824,1.61,-6.23,6.37,343.552,679.296,-687.104
327.936,647.088,-656.36,1.89,-6.16,6.51,351.36,687.104,-687.104
329.888,642.208,-655.872,2.38,-5.95,6.58,366.976,702.72,-687.104
329.888,636.352,-654.896,2.87,-5.88,6.37,359.168,694.912,-687.104
328.424,633.912,-651.968,3.36,-5.74,6.16,359.168,671.488,-694.912
328.912,632.936,-650.504,3.85,-5.6,5.74,335.744,679.296,-679.296
327.936,633.424,-650.504,4.41,-5.53,5.39,343.552,687.104,-687.104
326.96,636.352,-653.432,4.76,-5.74,5.04,320.128,702.72,-687.104
328.912,638.304,-654.896,5.32,-5.74,4.76,351.36,687.104,-694.912
328.424,642.696,-657.824,5.6,-5.74,4.55,366.976,710.528,-702.72
329.888,647.088,-658.312,5.95,-5.81,4.41,351.36,710.528,-671.488
330.864,652.456,-660.264,6.3,-5.67,4.27,359.168,694.912,-687.104
332.328,657.824,-661.728,6.51,-5.53,4.13,351.36,694.912,-702.72
331.84,664.168,-665.632,6.44,-5.25,3.92,351.36,694.912,-687.104
329.888,667.584,-669.048,6.3,-5.11,3.64,351.36,718.336,-694.912
330.864,670.512,-668.072,6.3,-5.11,3.5,366.976,718.336,-702.72
333.304,674.416,-667.584,6.65,-5.25,3.57,366.976,718.336,-702.72
333.792,673.44,-674.904,6.86,-5.04,3.71,335.744,718.336,-687.104
336.232,671.488,-678.808,6.93,-4.9,3.85,382.592,718.336,-687.104
336.72,670.512,-680.76,6.93,-4.69,3.92,359.168,733.952,-726.144
337.208,671.0,-681.248,6.72,-4.55,3.99,343.552,726.144,-702.72
337.208,668.56,-683.2,6.44,-4.41,3.99,359.168,726.144,-710.528
336.232,668.072,-683.2,6.16,-4.48,3.99,374.784,757.376,-733.952
337.208,669.536,-683.2,5.88,-4.27,3.85,359.168,694.912,-718.336
338.184,672.952,-684.664,5.6,-4.2,3.78,351.36,757.376,-702.72
337.696,677.344,-685.152,5.11,-4.13,3.5,359.168,718.336,-694.912
336.72,681.248,-680.76,4.76,-4.06,3.43,382.592,733.952,-710.528
336.72,686.616,-681.736,4.2,-4.06,3.43,366.976,733.952,-710.528
338.184,691.008,-680.76,3.71,-4.06,3.15,374.784,726.144,-694.912
338.184,697.84,-681.248,3.15,-4.13,3.01,359.168,749.568,-694.912
341.112,702.72,-681.248,2.73,-3.99,3.08,398.208,733.952,-733.952
340.624,707.112,-681.248,2.17,-3.85,3.08,366.976,733.952,-733.952
343.552,710.528,-681.736,1.47,-3.92,3.22,398.208,726.144,-687.104
343.064,711.992,-675.392,0.7,-3.64,3.29,374.784,718.336,-718.336
342.088,710.04,-671.488,0.0,-3.36,3.36,366.976,765.184,-710.528
341.112,708.576,-669.048,-0.63,-3.22,3.36,382.592,765.184,-726.144
339.648,706.136,-666.12,-1.33,-3.29,3.36,366.976,772.992,-687.104
337.208,705.16,-666.12,-2.1,-3.15,3.29,366.976,749.568,-687.104
335.256,702.232,-663.192,-2.73,-3.15,3.29,366.976,765.184,-679.296
334.28,699.304,-664.168,-3.36,-3.08,3.15,351.36,749.568,-702.72
334.28,696.376,-662.216,-3.85,-3.01,3.15,359.168,741.76,-687.104
331.84,692.472,-660.264,-4.48,-3.08,3.01,382.592,749.568,-663.68
332.328,690.032,-661.24,-4.9,-3.08,2.94,359.168,765.184,-679.296
333.304,687.592,-660.264,-5.39,-3.22,2.73,351.36,749.568,-687.104
333.304,684.664,-661.728,-5.74,-3.15,2.52,390.4,733.952,-687.104
333.304,683.2,-660.264,-6.3,-3.22,2.38,351.36,757.376,-694.912
331.352,682.224,-660.264,-6.86,-3.08,2.17,351.36,702.72,-694.912
331.352,681.248,-659.776,-7.42,-3.08,1.96,351.36,702.72,-694.912
332.328,681.248,-660.752,-7.91,-3.22,1.75,390.4,718.336,-702.72
333.304,680.272,-664.168,-8.47,-3.29,1.68,335.744,741.76,-702.72
335.744,680.272,-669.536,-8.75,-3.22,1.61,366.976,733.952,-710.528
337.208,679.784,-670.512,-9.03,-3.08,1.54,366.976,718.336,-687.104
338.184,679.784,-674.416,-9.31,-2.94,1.61,374.784,726.144,-726.144
340.136,676.856,-674.904,-9.59,-2.73,1.61,374.784,726.144,-718.336
341.6,673.928,-677.344,-9.59,-2.52,1.61,374.784,726.144,-694.912
343.064,670.024,-676.856,-9.52,-2.31,1.75,382.592,710.528,-749.568
344.04,665.632,-677.344,-9.31,-2.1,1.75,359.168,733.952,-718.336
341.6,661.24,-674.904,-9.03,-1.89,1.75,366.976,702.72,-726.144
341.112,658.312,-676.368,-8.68,-1.61,1.75,366.976,694.912,-702.72
337.696,653.432,-674.904,-8.26,-1.4,1.54,343.552,702.72,-710.528
336.72,650.016,-674.416,-7.84,-1.33,1.54,351.36,733.952,-718.336
332.816,649.04,-678.32,-7.28,-1.19,1.47,351.36,702.72,-710.528
332.328,646.6,-680.76,-6.79,-1.05,1.4,374.784,718.336,-733.952
334.28,647.088,-683.2,-6.23,-1.12,1.33,366.976,694.912,-718.336
333.792,646.112,-685.64,-5.6,-0.98,1.33,382.592,710.528,-718.336
333.792,645.624,-684.664,-4.83,-0.7,1.33,343.552,710.528,-702.72
332.816,645.624,-682.224,-4.2,-0.56,1.33,343.552,679.296,-726.144
333.304,646.112,-680.272,-3.43,-0.28,1.4,359.168,710.528,-679.296
330.864,645.624,-675.88,-2.8,-0.14,1.4,366.976,710.528,-694.912
329.4,647.576,-671.0,-2.1,0.07,1.4,359.168,694.912,-687.104
325.984,647.088,-669.048,-1.4,0.07,1.54,351.36,694.912,-687.104
323.056,648.064,-667.584,-0.63,0.21,1.61,343.552,694.912,-687.104
322.568,650.992,-665.144,0.21,0.07,1.75,351.36,687.104,-694.912
321.104,651.48,-665.144,0.7,-0.14,1.89,351.36,702.72,-694.912
321.592,651.48,-661.728,1.26,-0.14,1.96,351.36,671.488,-679.296
323.544,652.944,-661.24,1.61,-0.14,2.03,351.36,679.296,-702.72
322.568,654.896,-660.752,1.89,-0.35,1.89,343.552,687.104,-702.72
324.52,658.312,-660.752,2.17,-0.42,1.75,366.976,694.912,-679.296
325.984,661.728,-659.776,2.45,-0.42,1.68,366.976,726.144,-702.72
325.496,666.12,-658.312,2.59,-0.42,1.68,351.36,702.72,-694.912
325.984,671.488,-659.288,2.73,-0.35,1.61,359.168,726.144,-655.872
326.96,676.856,-659.288,2.8,-0.42,1.47,343.552,726.144,-702.72
327.936,681.736,-661.24,2.8,-0.56,1.47,335.744,718.336,-694.912
330.376,685.152,-664.656,2.59,-0.49,1.47,351.36,718.336,-702.72
330.376,689.056,-666.12,2.38,-0.49,1.47,343.552,741.76,-694.912
333.304,691.984,-670.512,2.24,-0.56,1.54,343.552,749.568,-726.144
334.28,692.96,-671.976,2.1,-0.35,1.54,359.168,741.76,-687.104
335.256,693.936,-670.512,2.03,-0.35,1.61,359.168,749.568,-687.104
337.208,697.352,-668.56,1.96,-0.28,1.61,382.592,733.952,-718.336
335.744,696.376,-664.168,1.82,-0.07,1.68,374.784,741.76,-702.72
333.304,696.376,-663.192,1.75,0.07,1.82,343.552,741.76,-702.72
329.888,694.912,-659.776,1.47,0.0,1.89,351.36,757.376,-694.912
329.4,694.424,-661.728,1.19,0.14,1.96,335.744,749.568,-694.912
328.424,693.448,-660.264,0.77,0.21,1.96,374.784,718.336,-679.296
326.472,690.52,-656.36,0.35,0.14,2.03,359.168,757.376,-679.296
