acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
510.000,21.000,852.000,1.960,1.890,-0.280
538.007,24.175,891.858,2.632,1.491,-0.397
505.102,27.030,808.621,2.971,0.902,-0.549
564.097,31.218,892.309,2.901,0.838,-0.509
512.983,35.555,819.571,1.863,0.648,-0.529
527.860,46.878,878.880,1.014,0.819,-0.519
500.949,47.104,850.841,0.083,0.654,-0.305
523.485,45.061,864.466,-0.117,0.630,-0.119
534.514,46.099,858.805,0.324,0.440,0.309
531.622,40.119,842.691,0.501,0.419,0.889
543.462,23.224,865.091,0.217,0.741,1.645
525.887,13.465,844.679,-0.607,1.031,2.047
529.215,24.457,862.898,-1.183,1.437,1.833
509.751,29.227,851.156,-1.666,1.521,1.765
501.539,16.613,870.059,-2.598,1.277,1.809
491.000,6.000,878.000,-3.010,0.840,1.400
504.484,11.981,868.660,-2.039,0.417,0.592
534.020,22.288,864.500,-0.847,-0.065,0.282
539.676,14.102,851.745,-0.779,-0.427,0.622
541.649,2.836,854.949,-1.143,-0.533,0.813
530.944,12.691,841.093,-1.029,-0.550,0.608
533.544,19.406,841.354,-0.932,-0.484,0.716
529.960,5.822,841.787,-1.377,-0.566,1.218
514.014,-0.329,845.413,-1.758,-0.445,1.154
507.832,8.554,847.357,-1.143,-0.111,0.652
519.159,16.985,843.517,-0.347,-0.089,0.409
530.272,16.420,842.572,-0.340,-0.144,0.520
534.236,10.351,837.550,-0.289,0.214,0.704
541.735,9.193,844.758,-0.362,0.696,0.796
537.371,8.547,849.491,-0.853,1.119,0.943
523.000,1.000,858.000,-1.470,1.540,1.260
511.436,-11.606,868.042,-2.125,1.738,1.433
514.927,-12.475,874.139,-1.938,1.733,0.922
519.461,0.092,878.629,-0.943,1.462,0.331
525.088,6.106,878.587,0.146,0.964,0.118
535.432,9.427,873.948,0.814,0.113,-0.068
537.610,11.117,859.354,1.004,-0.925,-0.159
527.617,14.465,852.028,0.960,-1.734,-0.371
506.254,15.669,858.339,0.290,-2.229,-0.439
505.413,2.631,865.445,-0.826,-1.975,-0.107
531.888,7.155,864.037,-1.550,-1.247,-0.133
555.322,20.017,860.272,-1.853,-0.591,0.137
554.269,8.544,863.851,-2.127,-0.056,1.010
541.784,1.078,860.141,-1.585,0.152,0.988
538.904,10.628,845.701,-0.118,-0.143,0.426
532.000,12.000,834.000,0.910,-0.630,0.280
509.883,-0.652,832.161,0.846,-0.829,0.129
490.503,1.085,839.792,0.337,-0.895,-0.432
492.909,18.040,845.777,-0.165,-0.912,-0.861
503.269,29.179,852.519,-1.388,-0.951,-0.512
518.629,38.460,849.228,-2.605,-1.108,-0.241
546.105,41.876,831.809,-2.864,-1.224,-0.282
557.978,36.317,819.378,-2.635,-1.493,-0.203
549.911,24.850,815.053,-2.269,-1.558,-0.143
537.100,20.129,816.487,-1.854,-1.204,-0.099
524.957,22.033,817.526,-1.571,-0.863,0.242
518.300,5.335,820.192,-2.104,-0.332,1.143
511.640,-11.739,830.249,-2.488,0.423,1.511
509.523,-11.801,842.237,-1.542,1.095,1.242
515.984,-4.813,848.736,0.111,1.413,1.015
517.000,-2.000,856.000,1.190,1.260,0.840
515.533,-7.174,863.174,1.255,1.128,0.705
520.666,3.383,856.354,1.511,1.000,-0.090
521.858,15.730,854.158,1.481,0.683,-0.553
517.397,5.152,861.550,0.355,0.439,-0.265
518.890,-5.339,860.443,-0.602,0.171,-0.515
531.187,-2.770,857.628,-0.435,-0.036,-0.789
537.875,2.320,856.954,0.174,-0.231,-0.689
528.902,5.773,856.929,0.348,-0.538,-0.568
520.565,8.311,857.495,0.363,-0.782,-0.535
520.779,13.837,851.404,0.196,-1.071,-0.735
522.690,24.246,839.870,-0.191,-1.341,-0.940
517.688,20.886,836.928,-1.035,-1.377,-0.817
514.354,9.827,839.505,-2.226,-1.056,-0.695
526.716,15.831,838.676,-2.864,-0.554,-0.772
543.000,24.000,835.000,-3.290,-0.070,-0.490
546.579,13.878,832.636,-3.691,0.469,0.124
541.779,-2.538,836.530,-3.373,1.115,0.457
540.806,0.775,835.204,-1.728,1.721,0.153
535.373,8.151,838.341,0.339,1.756,0.039
519.625,0.541,849.543,1.257,1.576,0.542
511.286,1.828,850.496,1.530,1.724,0.476
510.833,11.484,851.275,1.674,1.739,0.211
503.750,9.687,854.804,1.243,1.493,0.470
498.634,0.582,857.448,0.664,1.187,0.450
511.912,6.902,857.024,0.914,0.899,-0.154
