acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
786.000,-189.000,587.000,-0.910,-0.770,0.280
818.718,-197.170,612.966,-0.950,-0.739,0.230
746.322,-178.737,559.924,-0.860,-0.657,0.187
822.327,-197.138,619.153,-0.986,-0.763,0.258
754.581,-182.407,571.521,-0.973,-0.808,0.314
806.591,-195.621,609.563,-0.950,-0.971,0.347
773.945,-190.833,585.219,-0.706,-1.074,0.257
789.659,-193.513,596.540,-0.470,-1.198,0.207
790.965,-188.882,593.514,-0.102,-1.255,0.145
781.424,-187.475,583.726,0.188,-1.329,0.128
798.140,-194.378,594.346,0.249,-1.245,0.161
777.775,-192.113,577.570,0.331,-1.167,0.070
796.449,-196.378,591.155,0.353,-1.186,-0.056
782.167,-191.409,578.937,0.339,-1.092,-0.180
792.034,-193.499,582.575,0.272,-1.037,-0.294
790.000,-190.000,577.000,0.280,-0.840,-0.350
787.815,-190.862,575.094,0.124,-0.595,-0.353
793.025,-194.374,581.151,-0.221,-0.349,-0.338
784.173,-190.806,578.360,-0.302,-0.204,-0.427
791.152,-193.488,589.404,-0.254,-0.224,-0.522
784.225,-190.065,585.899,-0.166,-0.199,-0.466
789.640,-187.715,589.236,-0.050,-0.217,-0.509
785.291,-184.709,587.643,0.005,-0.207,-0.480
785.449,-183.876,589.512,0.127,-0.207,-0.353
787.305,-183.771,591.125,0.305,-0.266,-0.358
785.383,-180.931,589.027,0.504,-0.326,-0.264
790.182,-181.476,593.124,0.567,-0.386,-0.135
785.849,-180.167,590.548,0.399,-0.455,-0.020
787.954,-180.352,591.309,0.232,-0.485,-0.012
786.480,-180.961,588.309,0.037,-0.409,0.018
787.000,-181.000,588.000,-0.140,-0.420,0.140
787.382,-182.714,590.026,-0.314,-0.429,0.133
786.532,-184.007,590.452,-0.529,-0.398,0.249
787.017,-183.651,591.587,-0.563,-0.511,0.256
785.126,-185.757,589.978,-0.584,-0.575,0.195
786.518,-190.587,590.409,-0.650,-0.552,0.191
785.649,-190.589,590.905,-0.598,-0.568,0.036
787.263,-190.089,589.879,-0.242,-0.637,0.001
789.949,-191.073,588.149,0.191,-0.700,-0.061
790.651,-188.630,586.461,0.276,-0.647,-0.140
792.126,-187.026,584.015,0.336,-0.588,-0.134
790.112,-186.929,581.819,0.259,-0.468,-0.144
786.271,-187.294,582.771,-0.114,-0.262,-0.152
784.467,-188.052,585.935,-0.438,-0.212,-0.233
782.811,-186.694,588.304,-0.653,-0.203,-0.195
783.000,-185.000,590.000,-0.700,-0.140,-0.140
783.920,-185.552,590.871,-0.755,-0.080,-0.092
784.115,-189.687,592.304,-0.796,-0.014,0.055
783.183,-192.640,593.992,-0.662,0.010,0.033
783.265,-193.314,592.983,-0.381,-0.027,-0.007
785.914,-194.129,591.622,0.160,-0.095,-0.013
787.038,-192.342,592.058,0.643,-0.158,-0.082
788.182,-189.879,590.818,0.851,-0.291,-0.067
790.850,-189.052,588.189,0.975,-0.352,-0.066
791.885,-188.156,585.664,0.946,-0.334,-0.127
792.096,-188.300,582.676,0.736,-0.423,-0.181
790.583,-189.970,581.483,0.447,-0.323,-0.276
787.386,-189.212,582.574,0.136,-0.152,-0.414
785.581,-187.776,584.597,-0.151,-0.138,-0.514
784.922,-188.036,586.203,-0.284,-0.050,-0.565
784.000,-188.000,588.000,-0.210,0.070,-0.560
782.198,-188.911,591.439,-0.204,0.135,-0.496
781.810,-187.912,594.414,-0.151,0.144,-0.488
782.010,-185.293,595.722,0.185,0.136,-0.464
781.717,-184.860,595.591,0.499,0.144,-0.356
781.927,-182.892,594.578,0.706,0.128,-0.231
782.093,-180.755,595.332,0.870,0.044,-0.119
784.226,-181.027,597.121,0.906,-0.079,-0.067
785.986,-180.156,597.995,0.722,-0.199,-0.005
786.460,-178.193,597.332,0.458,-0.378,0.010
789.235,-178.773,595.568,0.336,-0.526,-0.018
789.500,-182.295,593.856,0.140,-0.602,0.049
788.778,-184.864,591.858,-0.099,-0.639,0.057
788.566,-186.692,589.037,-0.255,-0.624,-0.032
785.561,-189.297,586.807,-0.358,-0.633,-0.162
785.000,-189.000,587.000,-0.350,-0.630,-0.280
785.170,-187.943,587.900,-0.404,-0.569,-0.287
784.029,-188.330,588.636,-0.486,-0.546,-0.230
784.343,-186.203,589.684,-0.462,-0.607,-0.168
785.604,-184.146,589.608,-0.354,-0.635,-0.093
787.626,-184.064,588.454,-0.247,-0.630,0.075
787.631,-185.547,587.913,-0.199,-0.624,0.237
785.966,-188.113,588.042,-0.136,-0.554,0.280
786.943,-187.182,588.938,-0.136,-0.493,0.219
785.659,-185.850,589.111,-0.195,-0.438,0.093
784.100,-186.801,588.726,-0.289,-0.366,0.019
786.155,-186.918,589.146,-0.464,-0.344,-0.035
784.687,-187.066,588.338,-0.629,-0.356,-0.099
784.401,-186.887,588.148,-0.714,-0.337,-0.152
786.044,-187.079,589.068,-0.695,-0.269,-0.133
785.000,-187.000,589.000,-0.700,-0.210,-0.140
785.818,-186.088,590.632,-0.708,-0.148,-0.213
785.578,-185.382,592.064,-0.643,-0.130,-0.110
783.903,-184.433,591.654,-0.627,-0.156,-0.046
783.968,-186.408,592.409,-0.629,-0.100,-0.087
783.634,-188.472,593.162,-0.634,-0.077,-0.057
782.630,-189.202,594.139,-0.621,-0.163,-0.082
780.921,-190.023,592.797,-0.555,-0.209,-0.145
781.824,-189.977,591.818,-0.494,-0.146,-0.208
