acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
782.000,123.000,600.000,-0.140,0.070,-0.210
813.871,125.800,623.831,-0.266,0.248,-0.151
739.727,111.875,568.594,-0.339,0.441,-0.173
815.683,124.463,626.974,-0.327,0.582,-0.268
748.832,113.613,577.047,-0.228,0.668,-0.285
800.543,117.292,619.215,-0.209,0.721,-0.269
767.809,107.274,594.899,-0.087,0.780,-0.306
782.649,109.769,607.869,0.320,0.767,-0.504
784.908,112.432,609.230,0.931,0.766,-0.564
774.716,109.783,604.142,1.459,0.834,-0.493
791.817,117.622,621.584,1.784,0.811,-0.560
774.898,132.063,608.241,2.359,0.658,-0.707
794.583,146.872,624.384,2.944,0.297,-0.424
779.949,142.650,612.580,2.822,-0.105,0.159
787.561,139.988,614.460,2.317,-0.300,0.351
783.000,137.000,610.000,2.240,-0.420,0.280
779.931,135.463,606.066,2.487,-0.542,0.214
784.282,138.855,604.447,2.643,-0.632,0.247
774.619,138.380,595.084,2.576,-0.556,0.344
780.576,137.404,599.913,2.036,-0.458,0.308
773.354,137.746,591.689,1.370,-0.512,0.134
781.667,143.336,595.644,0.758,-0.475,-0.028
782.661,144.876,594.565,0.010,-0.496,-0.070
785.404,142.241,594.636,-0.780,-0.501,-0.069
787.334,138.683,595.836,-1.446,-0.313,-0.121
784.908,137.938,595.462,-1.671,-0.231,-0.170
788.388,140.275,600.342,-1.687,-0.143,-0.016
783.949,139.263,597.559,-1.648,-0.015,0.280
785.717,139.195,600.132,-1.630,0.116,0.586
783.369,138.720,600.974,-1.862,0.213,0.879
783.000,136.000,604.000,-2.030,0.140,1.050
782.429,134.141,604.570,-2.035,0.130,1.164
781.538,133.405,601.967,-1.984,0.195,1.387
782.270,131.376,601.539,-1.905,0.244,1.623
782.394,128.628,597.717,-1.934,0.352,1.715
784.159,128.231,594.762,-2.257,0.604,1.775
781.279,130.640,589.895,-2.681,0.901,1.832
782.199,130.744,590.279,-3.122,1.141,1.895
783.103,123.680,592.180,-3.796,1.507,1.896
782.702,116.760,589.097,-4.343,1.891,1.780
783.944,115.113,591.406,-4.470,2.152,1.653
783.679,114.558,594.242,-4.211,2.386,1.582
784.133,113.647,596.067,-3.811,2.638,1.638
783.519,114.419,600.251,-3.454,2.856,1.582
781.710,114.853,604.908,-3.011,2.947,1.636
779.000,113.000,612.000,-2.660,3.010,1.680
776.958,114.555,614.990,-2.421,3.190,1.310
777.438,115.128,615.329,-2.124,3.303,1.180
774.422,111.342,618.224,-1.846,3.209,1.117
772.186,111.697,621.336,-1.656,3.089,0.810
773.678,111.572,621.562,-1.452,2.947,0.682
776.746,112.886,619.416,-1.211,2.752,0.707
779.079,118.350,617.999,-1.121,2.497,0.697
779.033,120.854,619.799,-1.243,2.193,0.695
778.328,123.459,621.092,-1.533,1.894,0.810
776.458,123.960,621.482,-1.850,1.576,0.929
774.973,121.138,625.417,-2.126,1.321,1.070
772.752,119.385,624.864,-2.283,1.073,1.124
771.833,118.897,624.425,-2.203,0.843,1.141
769.329,117.657,625.948,-2.178,0.583,1.281
766.000,115.000,624.000,-2.240,0.280,1.330
767.806,114.843,624.000,-2.183,0.089,1.277
767.205,114.837,623.648,-2.113,0.007,1.146
768.619,110.629,625.704,-2.087,-0.024,1.119
772.607,105.621,623.528,-2.136,-0.143,1.057
772.809,105.492,619.204,-2.167,-0.244,0.819
774.469,105.493,622.844,-2.074,-0.392,0.669
774.923,100.608,621.730,-2.032,-0.490,0.473
773.982,98.018,619.999,-2.038,-0.484,0.291
775.467,98.114,618.720,-1.775,-0.611,0.121
776.901,96.854,616.929,-1.409,-0.629,-0.083
776.613,94.790,619.790,-1.225,-0.672,-0.239
777.213,96.504,618.877,-0.802,-0.681,-0.428
776.377,101.207,618.064,-0.164,-0.631,-0.368
774.983,101.894,617.761,0.258,-0.710,-0.192
776.000,102.000,616.000,0.490,-0.700,-0.140
776.054,103.647,615.276,0.722,-0.701,-0.132
775.883,107.298,612.644,1.052,-0.652,-0.204
776.728,111.931,611.925,1.110,-0.621,-0.169
778.971,110.011,614.159,0.762,-0.616,-0.151
778.194,105.653,614.566,0.329,-0.526,-0.250
778.353,105.149,610.907,0.022,-0.481,-0.401
778.856,106.047,607.930,0.007,-0.413,-0.725
776.086,106.026,608.023,0.072,-0.293,-0.907
776.839,106.491,607.158,-0.037,-0.108,-0.953
775.667,109.556,606.475,-0.105,0.021,-1.088
774.912,113.115,604.649,0.021,0.183,-1.127
776.084,116.510,606.868,0.063,0.313,-1.121
774.322,118.234,611.956,-0.022,0.264,-1.115
774.182,119.365,610.668,0.016,0.285,-1.128
776.000,123.000,612.000,0.140,0.210,-1.190
777.001,124.159,615.709,0.153,0.132,-1.133
776.861,122.151,616.825,0.035,0.241,-1.104
776.900,117.632,616.271,-0.052,0.362,-1.161
773.405,116.073,613.405,-0.078,0.475,-1.260
770.304,118.516,615.282,-0.067,0.478,-1.486
771.085,114.896,616.560,-0.194,0.514,-1.526
769.886,114.141,612.864,-0.512,0.635,-1.470
769.896,112.516,616.473,-0.574,0.571,-1.474
771.551,107.261,620.419,-0.288,0.486,-1.404
773.367,116.352,617.168,0.058,0.514,-1.417
773.995,124.460,619.091,0.471,0.383,-1.282
