acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-992.000,-48.000,139.000,-0.630,-0.910,-1.190
-1036.290,-50.320,142.213,-1.134,-1.062,-1.553
-945.186,-44.663,129.511,-1.560,-1.126,-1.550
-1040.060,-55.330,143.841,-2.235,-1.238,-1.721
-952.314,-58.248,131.424,-2.725,-1.135,-1.812
-1017.214,-64.538,140.926,-2.605,-1.116,-2.037
-973.892,-65.715,134.746,-2.029,-1.139,-2.002
-990.567,-66.181,137.696,-1.587,-1.265,-1.960
-993.660,-68.813,138.489,-1.348,-1.198,-1.781
-980.813,-71.465,137.474,-1.105,-1.183,-1.339
-1001.477,-72.809,140.857,-0.843,-1.126,-1.070
-975.920,-73.716,137.406,-0.393,-0.951,-0.823
-998.067,-72.985,142.249,0.211,-0.870,-0.602
-979.424,-68.942,139.688,0.660,-0.731,-0.322
-990.655,-67.913,140.433,0.673,-0.699,-0.031
-988.000,-67.000,139.000,0.420,-0.630,0.210
-986.900,-68.741,136.717,0.340,-0.617,0.407
-995.101,-67.514,138.253,0.453,-0.692,0.458
-983.588,-63.365,137.867,0.523,-0.728,0.618
-994.693,-63.156,140.296,0.404,-0.817,0.749
-987.345,-62.899,139.183,0.205,-0.856,0.791
-991.521,-64.611,139.461,0.036,-1.041,0.842
-986.258,-65.934,140.950,0.010,-1.271,0.762
-989.938,-62.404,137.378,0.378,-1.328,0.701
-995.857,-57.689,135.250,0.864,-1.377,0.702
-989.072,-55.946,140.366,0.767,-1.522,0.666
-991.827,-56.989,142.282,0.202,-1.768,0.555
-989.874,-61.201,139.370,-0.044,-1.964,0.440
-991.380,-64.856,134.410,0.169,-2.050,0.297
-988.399,-67.401,134.814,0.650,-2.110,0.115
-990.000,-68.000,141.000,1.330,-2.170,0.000
-992.260,-63.728,139.217,2.012,-2.172,-0.068
-990.472,-59.444,142.159,2.383,-2.205,-0.031
-988.924,-54.214,145.205,2.200,-2.291,0.081
-990.460,-50.303,143.151,1.858,-2.086,0.199
-993.404,-48.160,144.138,1.541,-1.812,0.170
-991.594,-46.936,139.652,1.089,-1.733,-0.064
-993.185,-46.946,138.179,0.829,-1.600,-0.377
-994.079,-46.001,140.929,0.651,-1.602,-0.743
-993.210,-46.887,140.336,0.341,-1.681,-1.055
-992.225,-46.344,139.123,0.161,-1.667,-1.350
-991.713,-46.331,139.428,0.131,-1.723,-1.658
-992.247,-47.002,139.710,0.164,-1.764,-1.963
-994.751,-45.527,137.490,0.220,-1.868,-2.252
-994.664,-44.974,140.953,0.105,-2.057,-2.486
-992.000,-45.000,145.000,-0.210,-2.170,-2.730
-991.080,-46.585,143.230,-0.516,-2.176,-2.971
-991.270,-49.821,142.429,-0.814,-2.155,-3.226
-993.760,-53.520,140.406,-1.096,-2.246,-3.383
-991.847,-57.040,140.911,-1.288,-2.379,-3.509
-987.746,-64.198,144.034,-1.451,-2.487,-3.722
-988.221,-69.322,145.027,-1.327,-2.515,-3.882
-989.097,-65.591,143.847,-0.710,-2.442,-3.995
-990.910,-62.097,142.902,0.030,-2.321,-3.934
-990.393,-62.415,145.473,0.159,-2.232,-3.744
-989.065,-66.170,146.312,-0.365,-2.336,-3.618
-987.612,-70.372,145.415,-0.739,-2.377,-3.487
-984.637,-73.308,144.787,-0.727,-2.244,-3.398
-985.625,-75.438,147.266,-0.457,-2.138,-3.337
-987.023,-76.118,151.376,-0.188,-2.012,-3.187
-986.000,-77.000,151.000,-0.280,-1.960,-2.870
-985.775,-76.899,149.331,-0.535,-1.856,-2.501
-987.687,-79.043,146.643,-0.554,-1.597,-2.189
-986.959,-80.793,146.061,-0.280,-1.487,-1.943
-985.330,-78.277,147.834,-0.004,-1.421,-1.850
-988.313,-74.378,147.859,0.231,-1.274,-1.640
-989.756,-70.175,148.145,0.349,-1.166,-1.345
-986.773,-69.036,149.085,0.112,-1.041,-1.177
-985.908,-69.935,149.980,-0.316,-0.981,-0.990
-987.655,-70.804,149.377,-0.710,-0.937,-0.970
-988.119,-71.210,147.137,-0.848,-0.804,-0.926
-987.130,-70.413,144.594,-0.827,-0.757,-0.697
-986.973,-69.785,146.713,-0.870,-0.788,-0.607
-988.385,-70.382,150.846,-1.076,-0.871,-0.530
-989.034,-72.232,149.478,-1.540,-0.902,-0.495
-989.000,-72.000,146.000,-1.680,-0.770,-0.560
-987.383,-71.007,144.932,-1.266,-0.700,-0.617
-985.719,-70.636,145.736,-0.854,-0.706,-0.699
-987.540,-67.914,146.570,-0.652,-0.665,-0.628
-989.903,-67.051,147.001,-0.655,-0.585,-0.521
-991.215,-68.391,145.114,-0.705,-0.570,-0.619
-990.480,-67.639,145.522,-0.594,-0.645,-0.818
-987.862,-65.885,148.121,-0.488,-0.624,-0.988
-987.897,-65.842,148.924,-0.609,-0.562,-0.985
-989.547,-69.224,149.420,-1.007,-0.558,-0.962
-990.963,-71.029,146.130,-1.418,-0.563,-1.074
-989.083,-71.785,144.931,-1.403,-0.534,-1.188
-985.454,-76.233,146.469,-1.128,-0.449,-1.328
-986.945,-77.888,145.631,-0.779,-0.427,-1.410
-990.390,-75.570,144.891,-0.182,-0.504,-1.399
-991.000,-73.000,144.000,0.280,-0.560,-1.400
-989.359,-72.736,144.681,0.413,-0.555,-1.396
-986.691,-74.658,147.246,0.360,-0.654,-1.455
-985.598,-75.442,148.325,0.040,-0.740,-1.446
-988.777,-76.781,144.461,-0.064,-0.635,-1.367
-989.365,-76.520,143.702,0.156,-0.673,-1.440
-987.908,-74.557,147.578,0.197,-0.782,-1.458
-989.031,-72.894,145.723,0.054,-0.768,-1.399
-987.173,-72.878,143.972,-0.251,-0.769,-1.403
-987.976,-74.718,144.196,-0.587,-0.810,-1.336
-990.792,-75.975,143.512,-0.657,-0.988,-1.377
-986.863,-79.022,145.617,-0.598,-1.075,-1.337
-987.005,-79.769,147.419,-0.707,-1.049,-1.068
-990.459,-78.933,146.664,-0.874,-1.159,-0.958
-988.668,-78.863,145.887,-0.821,-1.183,-0.814
-989.000,-77.000,145.000,-0.700,-1.120,-0.770
-989.311,-75.349,146.469,-0.631,-1.112,-0.786
-986.661,-72.597,149.146,-0.741,-1.215,-0.692
-984.915,-72.109,147.146,-1.131,-1.326,-0.736
-985.547,-74.228,145.375,-1.530,-1.320,-0.607
-989.593,-77.304,144.500,-1.702,-1.350,-0.588
-992.088,-78.881,144.221,-1.451,-1.420,-0.611
-990.897,-75.718,146.115,-1.101,-1.551,-0.486
-990.066,-73.158,147.732,-0.981,-1.612,-0.493
-988.493,-70.589,152.992,-1.147,-1.600,-0.419
-986.700,-69.396,153.300,-1.808,-1.633,-0.517
-988.141,-71.503,147.346,-2.462,-1.548,-0.540
-990.681,-74.423,145.814,-2.773,-1.589,-0.497
-988.880,-78.180,146.262,-2.879,-1.698,-0.559
-985.733,-81.411,148.266,-2.772,-1.673,-0.392
-986.000,-83.000,147.000,-2.450,-1.610,-0.350
