acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-4.000,529.000,-842.000,-0.070,0.140,-1.050
-4.262,553.567,-877.289,1.770,0.271,-0.977
-2.954,503.859,-797.933,4.319,0.249,-0.757
-3.649,554.074,-879.131,6.649,0.116,-0.674
-3.868,508.031,-808.459,8.754,0.019,-0.308
-2.379,540.356,-865.886,9.929,-0.136,-0.319
-2.166,515.093,-835.564,10.309,-0.204,-0.347
-3.026,522.213,-859.350,9.798,-0.054,-0.434
-2.981,520.183,-862.344,8.579,0.190,-0.618
-3.778,512.617,-848.741,7.105,0.396,-0.749
-4.231,526.040,-863.070,6.120,0.465,-0.787
-3.166,513.444,-838.937,6.413,0.523,-0.737
-0.915,525.343,-859.378,7.220,0.398,-0.636
-0.041,514.662,-843.453,7.761,0.131,-0.435
-1.189,519.811,-855.924,7.891,-0.107,-0.437
-2.000,516.000,-859.000,7.350,-0.280,-0.560
-2.056,510.900,-859.433,6.278,-0.224,-0.621
-2.303,513.023,-865.580,5.043,-0.197,-0.687
-5.525,505.759,-855.419,4.013,-0.201,-0.686
-7.593,510.590,-864.116,3.232,-0.022,-0.517
-6.390,507.887,-854.708,2.612,0.241,-0.245
-4.460,513.666,-858.927,2.803,0.464,-0.029
-1.834,512.580,-856.330,3.878,0.559,0.073
-0.995,512.629,-856.409,5.215,0.376,0.071
-1.005,513.486,-858.616,6.455,0.005,0.066
-1.467,507.530,-855.044,6.840,-0.270,0.104
-2.804,506.400,-862.690,6.031,-0.418,0.221
-2.720,504.260,-861.875,4.738,-0.192,0.298
-1.789,506.970,-863.745,4.153,0.140,0.271
-2.114,506.716,-859.792,4.776,0.123,0.286
-2.000,507.000,-856.000,6.020,0.000,0.350
-0.198,505.760,-861.112,7.013,-0.179,0.472
0.145,501.410,-866.128,6.669,-0.368,0.515
-0.097,501.168,-867.697,4.875,-0.525,0.403
0.047,499.979,-868.786,2.641,-0.544,0.294
0.013,498.865,-869.750,0.392,-0.473,0.141
-0.107,500.459,-865.962,-1.695,-0.492,-0.031
-1.069,502.071,-863.939,-3.007,-0.411,-0.068
-1.066,502.936,-863.119,-3.546,-0.350,-0.006
-0.129,503.853,-862.102,-3.680,-0.355,0.059
0.071,504.583,-861.909,-3.331,-0.339,0.083
-0.057,505.234,-861.957,-2.970,-0.386,0.012
0.054,504.558,-861.524,-2.943,-0.437,-0.142
-0.048,505.412,-860.683,-2.802,-0.390,-0.218
0.032,505.957,-859.861,-2.550,-0.266,-0.210
0.000,506.000,-859.000,-2.170,-0.280,-0.210
-0.061,507.018,-860.507,-1.547,-0.344,-0.092
0.191,505.651,-862.949,-1.425,-0.432,-0.037
-0.767,503.992,-862.483,-2.406,-0.613,-0.169
-0.661,504.147,-863.553,-4.121,-0.562,-0.233
0.184,505.709,-861.198,-5.710,-0.324,-0.331
-0.062,508.702,-857.567,-6.232,-0.091,-0.430
0.009,511.132,-856.823,-5.591,-0.003,-0.419
-0.004,511.992,-852.292,-4.196,-0.188,-0.421
0.082,511.401,-852.805,-2.254,-0.491,-0.367
-0.719,508.869,-857.221,-0.775,-0.736,-0.307
-0.722,507.630,-858.214,-0.594,-0.749,-0.208
0.351,510.276,-859.326,-1.082,-0.669,-0.114
-0.228,510.647,-858.277,-1.358,-0.601,-0.156
0.130,510.137,-855.624,-0.925,-0.475,-0.129
-0.000,512.000,-854.000,0.350,-0.490,-0.070
-1.017,512.143,-855.492,2.000,-0.611,-0.015
-0.243,510.685,-858.457,3.255,-0.734,0.069
0.092,508.386,-859.870,3.317,-0.828,0.029
-0.024,507.905,-861.839,2.101,-0.839,-0.021
-0.017,507.731,-861.208,0.538,-0.844,-0.134
0.041,508.353,-859.716,-0.629,-0.832,-0.301
-0.041,510.064,-857.761,-0.887,-0.764,-0.195
-0.938,510.003,-855.046,-0.026,-0.701,-0.071
-1.138,510.142,-856.486,1.265,-0.743,-0.078
-0.315,508.558,-857.195,2.303,-0.871,-0.017
0.213,507.697,-856.852,2.934,-0.932,0.002
-0.402,507.712,-858.874,3.289,-0.876,0.003
-1.146,506.788,-860.225,3.463,-0.836,-0.007
-0.893,507.016,-861.135,3.401,-0.837,0.009
0.000,506.000,-861.000,3.010,-0.770,0.070
0.069,505.030,-859.996,2.506,-0.757,0.014
-0.121,504.968,-860.707,2.244,-0.878,-0.056
0.173,505.011,-860.959,1.911,-0.930,-0.108
-0.224,504.419,-860.987,1.411,-0.875,-0.174
0.275,503.992,-862.494,0.921,-0.819,-0.234
-0.340,505.213,-862.730,0.256,-0.758,-0.289
-0.922,504.946,-860.893,-0.309,-0.775,-0.276
0.921,504.955,-860.932,-0.427,-0.839,-0.214
0.344,505.108,-861.170,-0.252,-0.832,-0.198
-0.291,504.751,-860.495,-0.162,-0.928,-0.264
0.285,505.095,-862.006,-0.386,-1.010,-0.279
-0.455,504.676,-862.865,-0.895,-0.945,-0.302
-1.124,505.312,-861.371,-1.490,-0.889,-0.356
-0.894,506.027,-859.811,-1.569,-0.745,-0.256
