acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-59.000,-131.000,-1000.000,-5.670,-0.420,-2.660
-71.195,-131.256,-1047.119,-5.274,-0.471,-2.715
-70.036,-115.348,-960.244,-3.964,-0.848,-2.446
-77.099,-120.364,-1064.914,-4.040,-1.466,-2.678
-78.573,-108.450,-982.219,-3.847,-1.895,-2.190
-86.117,-126.201,-1045.695,-5.069,-2.185,-2.215
-79.767,-129.084,-991.905,-4.868,-2.235,-2.031
-75.968,-143.561,-996.770,-4.214,-2.077,-1.969
-69.984,-152.229,-988.617,-2.574,-1.646,-1.975
-58.311,-150.568,-966.840,-0.071,-1.261,-1.733
-55.037,-148.726,-992.746,2.024,-0.923,-1.466
-52.906,-140.180,-975.941,4.021,-0.547,-1.145
-59.636,-137.868,-1005.986,4.671,-0.376,-0.979
-73.026,-132.872,-995.579,4.403,-0.469,-0.793
-81.777,-135.543,-1009.612,3.361,-0.554,-0.868
-82.000,-134.000,-1001.000,1.960,-0.350,-0.910
-78.728,-138.119,-988.251,0.824,-0.108,-0.666
-70.378,-150.192,-990.189,0.566,0.216,-0.445
-56.328,-159.923,-968.743,1.517,0.671,-0.012
-53.851,-172.730,-968.955,2.903,1.246,0.586
-62.362,-177.442,-963.420,5.244,1.931,0.796
-64.485,-171.813,-976.957,8.088,2.412,0.893
-59.712,-157.844,-978.234,9.641,3.079,1.290
-60.634,-147.329,-971.196,9.326,4.064,1.469
-64.814,-148.443,-968.217,7.867,4.597,1.510
-63.320,-155.910,-976.431,6.277,4.573,1.622
-60.304,-159.554,-995.862,4.607,4.573,1.513
-57.282,-163.794,-1002.667,2.667,4.642,1.322
-50.649,-174.937,-1012.818,1.042,4.593,1.252
-44.300,-189.176,-1012.053,0.218,4.453,1.262
-42.000,-198.000,-1006.000,0.560,4.270,1.260
-40.204,-194.775,-996.576,1.994,4.100,1.310
-41.738,-191.048,-991.531,3.365,3.718,1.484
-51.266,-186.812,-991.894,4.000,3.334,1.615
-59.494,-183.722,-987.775,3.969,3.302,1.545
-58.604,-177.022,-988.551,3.492,3.255,1.282
-50.828,-161.388,-985.459,2.593,3.235,0.998
-41.379,-151.595,-976.196,0.648,3.368,0.907
-37.849,-150.734,-968.216,-2.159,3.367,0.790
-43.399,-156.651,-973.684,-4.812,3.249,0.444
-46.883,-159.200,-988.900,-6.620,3.128,0.055
-39.378,-155.630,-1000.839,-7.695,2.970,-0.216
-33.932,-156.026,-1011.506,-8.961,2.584,-0.305
-43.747,-162.236,-1016.851,-10.019,1.963,-0.383
-64.014,-167.270,-1021.018,-9.827,1.206,-0.511
-72.000,-162.000,-1027.000,-8.610,0.490,-0.700
-55.492,-147.976,-1021.680,-7.172,0.227,-0.906
-37.116,-141.550,-1010.191,-6.453,-0.029,-0.735
-37.134,-148.500,-1001.633,-6.076,-0.719,-0.477
-47.592,-146.594,-1002.928,-4.707,-1.388,-0.587
-48.623,-129.517,-1011.160,-2.862,-1.977,-0.734
-39.872,-113.152,-1020.050,-2.356,-2.476,-0.671
-34.992,-111.458,-1026.103,-3.322,-2.829,-0.556
-42.788,-120.359,-1019.904,-4.729,-3.317,-0.618
-61.245,-127.935,-1008.681,-5.678,-3.871,-0.798
-71.038,-137.831,-1004.282,-5.495,-4.348,-0.982
-64.562,-143.633,-1001.844,-4.525,-4.579,-1.121
-55.862,-146.501,-993.318,-3.230,-4.488,-1.078
-57.430,-147.347,-986.468,-1.910,-4.380,-0.930
-59.734,-139.432,-982.192,-0.449,-4.147,-0.739
-54.000,-128.000,-978.000,1.190,-3.780,-0.560
-52.360,-114.688,-981.209,2.061,-3.594,-0.383
-60.672,-108.139,-985.500,1.975,-3.378,-0.181
-75.356,-109.159,-992.395,1.314,-3.114,-0.089
-80.770,-114.709,-999.626,0.447,-2.856,-0.056
-74.258,-125.343,-994.903,-0.201,-2.393,-0.096
-70.168,-136.559,-989.149,-0.190,-1.944,-0.141
-62.124,-146.633,-986.770,0.806,-1.660,-0.058
-52.370,-150.950,-983.217,2.449,-1.417,0.185
-53.222,-150.218,-981.967,4.222,-1.227,0.544
-64.624,-149.959,-982.078,5.204,-1.061,0.917
-79.966,-148.271,-986.403,5.431,-0.814,1.203
-77.188,-139.123,-996.161,5.482,-0.449,1.298
-54.975,-135.876,-996.424,4.136,0.016,1.597
-43.449,-149.903,-987.760,1.590,0.572,1.907
-43.000,-169.000,-984.000,0.210,0.840,1.750
-39.476,-180.408,-990.099,0.462,0.546,1.556
-38.988,-180.412,-1002.330,1.024,0.374,1.480
-43.579,-181.477,-1001.413,1.174,0.554,1.470
-52.107,-186.544,-995.517,1.038,0.438,1.448
-63.435,-185.182,-995.817,1.170,0.086,1.365
-72.306,-170.046,-991.774,1.736,0.023,1.218
-66.855,-144.120,-987.632,1.616,0.310,1.126
-47.349,-130.133,-978.832,-0.037,0.795,1.435
-36.321,-136.739,-973.186,-2.214,1.447,1.831
-28.470,-151.427,-978.826,-3.121,2.134,2.006
-19.276,-160.032,-983.281,-2.184,2.762,2.050
-26.943,-161.323,-987.125,-0.679,3.314,2.206
-48.506,-164.024,-980.695,0.056,3.660,2.547
-71.799,-164.649,-975.373,0.239,3.970,2.555
-74.000,-159.000,-985.000,0.420,4.200,2.170
-63.288,-153.404,-988.554,-0.263,4.353,1.957
-68.229,-152.776,-982.271,-1.970,4.945,2.066
-66.167,-152.483,-977.229,-3.137,5.616,2.113
-42.695,-148.280,-982.882,-3.277,6.001,2.113
-22.900,-143.406,-985.167,-3.275,6.363,2.213
-29.573,-143.758,-981.909,-4.022,6.518,2.348
-42.335,-150.614,-989.945,-5.026,6.427,2.443
-37.585,-155.923,-1002.170,-5.317,6.183,1.953
-34.902,-153.767,-1009.752,-5.481,5.883,1.170
-43.737,-153.476,-1005.928,-6.249,5.457,0.833
-61.728,-160.999,-999.910,-7.168,4.628,0.647
-68.795,-161.063,-1003.735,-7.062,3.754,0.305
-47.303,-148.579,-1014.947,-6.193,3.112,-0.253
-20.618,-136.511,-1027.627,-6.074,2.575,-0.668
-8.000,-130.000,-1034.000,-6.720,1.890,-0.840
-11.336,-127.333,-1036.165,-7.232,0.983,-1.144
-26.004,-123.875,-1031.418,-7.490,0.071,-1.355
-45.838,-116.964,-1025.237,-7.677,-0.829,-1.550
-57.058,-111.748,-1024.338,-7.705,-1.515,-1.807
-56.177,-111.155,-1016.472,-7.834,-1.827,-1.931
-56.266,-114.186,-999.405,-7.652,-1.782,-2.051
-58.287,-123.912,-978.553,-6.616,-1.601,-1.938
-65.402,-131.125,-968.127,-4.807,-1.549,-1.627
-65.397,-120.519,-968.413,-1.896,-1.205,-1.542
-43.436,-99.236,-965.993,0.569,-0.408,-1.444
-18.598,-79.677,-977.894,1.124,0.390,-1.120
-3.237,-73.514,-1000.059,0.737,0.684,-0.910
-5.445,-82.169,-1008.585,-0.188,0.464,-0.809
-28.981,-88.617,-1019.360,-0.977,0.065,-0.778
-45.000,-95.000,-1034.000,-1.050,-0.630,-0.910
-49.524,-110.189,-1041.350,-1.213,-1.547,-0.926
-63.779,-129.085,-1040.579,-1.365,-2.257,-0.834
-69.430,-146.839,-1024.007,-0.560,-2.476,-0.947
-50.684,-153.893,-1005.287,1.877,-2.419,-1.109
-28.489,-150.047,-988.417,5.516,-2.497,-0.783
-15.675,-146.099,-982.940,9.125,-2.615,-0.145
-8.687,-138.056,-998.330,12.171,-2.739,0.230
-9.563,-123.098,-1008.698,13.822,-2.742,0.471
-18.147,-115.156,-1010.427,13.286,-2.506,0.674
-33.831,-125.865,-1003.501,11.040,-2.307,0.701
-54.686,-143.341,-988.206,8.561,-2.104,0.384
-64.230,-154.426,-974.660,7.251,-1.839,-0.200
-61.836,-161.624,-963.405,6.590,-1.617,-0.570
-57.034,-161.706,-966.441,6.028,-1.447,-0.711
-48.000,-163.000,-977.000,5.810,-1.330,-0.630
-38.254,-167.025,-987.306,5.464,-1.212,-0.379
-32.299,-164.196,-994.485,4.983,-1.042,-0.280
-34.648,-160.740,-990.471,4.412,-0.867,-0.306
-41.702,-156.676,-991.611,3.602,-0.863,-0.436
-47.309,-154.385,-993.931,2.571,-0.925,-0.638
-58.045,-150.892,-992.850,1.094,-0.900,-0.799
-69.567,-150.424,-991.775,-0.539,-0.831,-0.838
