acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-807.000,100.000,-621.000,8.540,3.640,1.470
-842.390,95.459,-653.764,7.770,3.904,1.542
-767.068,84.688,-599.466,6.158,3.701,1.296
-837.128,103.418,-660.418,6.530,3.838,1.342
-757.202,103.304,-605.633,3.942,3.424,1.203
-800.024,112.969,-642.753,2.074,3.770,1.285
-756.586,105.665,-616.741,-0.175,3.567,1.032
-765.196,106.422,-631.069,-1.363,3.666,0.759
-759.468,102.934,-635.079,-1.489,3.848,0.698
-746.569,93.738,-630.108,-0.525,4.029,0.846
-760.642,88.821,-639.766,0.997,4.499,1.084
-735.051,80.948,-618.563,2.486,5.065,1.149
-756.264,84.027,-640.224,4.980,5.527,1.231
-743.033,85.665,-637.190,7.235,5.418,1.262
-754.690,97.685,-648.995,9.214,5.569,1.257
-758.000,112.000,-648.000,9.730,5.600,1.190
-761.752,116.060,-639.885,8.620,5.469,1.124
-772.463,110.330,-644.652,7.383,5.339,1.108
-765.063,95.462,-641.905,7.311,5.073,1.241
-778.090,85.081,-649.364,7.745,5.067,1.604
-774.018,77.453,-642.881,7.994,5.133,1.767
-774.425,76.304,-645.272,8.780,5.186,1.640
-767.189,76.993,-643.525,8.780,5.098,1.457
-767.333,80.375,-643.517,8.052,4.975,1.333
-771.611,88.381,-647.967,6.600,4.919,1.375
-773.275,86.071,-650.472,4.219,4.789,1.466
-783.783,77.975,-658.477,2.187,4.468,1.426
-779.791,71.122,-654.852,0.479,4.172,1.195
-776.250,69.090,-648.155,-0.887,4.249,0.772
-770.981,71.399,-643.524,-0.955,4.240,0.465
-769.000,76.000,-646.000,0.210,3.850,0.490
-772.401,89.284,-652.411,1.184,3.524,0.670
-777.654,107.631,-655.107,1.321,3.417,0.825
-777.229,122.673,-659.352,0.603,3.086,0.788
-764.775,125.970,-663.489,-0.547,2.450,0.585
-758.877,118.475,-659.604,-1.386,2.097,0.467
-755.854,108.787,-653.986,-1.557,2.102,0.506
-750.697,100.480,-651.973,-0.505,1.939,0.563
-748.236,96.148,-655.481,1.507,1.690,0.623
-744.027,96.888,-661.533,3.709,1.663,0.738
-741.895,103.452,-661.451,4.965,1.741,0.874
-745.530,107.643,-660.115,4.877,1.701,0.909
-746.188,102.662,-658.009,4.338,1.535,0.751
-739.255,92.881,-659.958,3.693,1.444,0.589
-732.453,83.683,-660.889,3.970,1.310,0.473
-734.000,76.000,-663.000,4.830,1.330,0.420
-738.553,74.394,-667.905,5.380,1.410,0.485
-738.957,79.696,-667.729,5.690,1.292,0.419
-735.394,82.754,-674.149,5.118,1.167,0.144
-735.865,85.571,-673.450,4.347,0.899,-0.131
-738.607,85.145,-665.205,3.020,0.875,-0.240
