acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-749.000,-63.000,-664.000,-5.950,3.010,0.910
-781.318,-63.658,-691.457,-5.140,3.246,0.886
-709.332,-50.003,-630.424,-3.557,3.251,0.789
-779.052,-50.775,-695.777,-3.383,3.800,0.884
-713.349,-40.373,-642.474,-1.922,3.639,0.822
-760.395,-36.776,-686.751,-1.597,4.021,0.978
-725.741,-27.551,-659.415,-0.767,4.133,1.070
-738.308,-22.926,-677.415,-0.574,4.366,1.281
-735.291,-19.520,-680.460,-0.333,4.486,1.463
-721.758,-13.700,-672.771,0.143,4.463,1.567
-740.536,-11.077,-685.444,0.034,4.433,1.792
-726.894,-9.006,-671.577,-0.087,4.228,2.051
-750.373,-8.164,-695.245,-0.229,4.122,2.236
-736.937,0.714,-683.888,-0.168,3.595,2.374
-749.086,13.929,-695.376,-0.928,3.264,2.814
-757.000,25.000,-695.000,-1.890,2.870,3.290
-754.081,35.455,-685.335,-3.389,2.012,3.598
-750.819,43.550,-685.250,-5.450,1.383,3.846
-738.475,48.470,-679.854,-6.869,1.092,4.158
-747.955,61.563,-684.461,-8.314,1.008,4.801
-739.205,82.033,-661.786,-10.070,0.856,5.674
-737.707,98.933,-653.298,-11.781,1.091,6.683
-738.010,98.040,-656.147,-13.444,1.555,7.704
-746.958,75.345,-659.844,-15.426,1.240,8.498
-752.341,37.369,-655.661,-15.322,0.727,8.718
-749.356,-14.763,-656.228,-11.248,0.823,8.528
-755.147,-55.436,-665.033,-4.601,0.979,8.745
-745.748,-80.435,-661.293,4.718,1.240,9.313
-733.872,-93.021,-664.910,15.438,2.135,10.204
-723.117,-95.774,-657.506,25.372,2.972,11.452
-712.000,-104.000,-664.000,35.490,3.570,12.250
-707.046,-98.428,-682.727,45.257,4.137,12.727
-709.216,-82.192,-689.681,52.244,4.455,13.216
-710.187,-69.948,-705.188,56.208,4.789,13.339
-710.680,-64.710,-700.891,57.183,4.932,13.240
-714.498,-74.269,-692.443,55.736,4.885,12.915
-719.423,-92.495,-700.379,54.088,4.785,12.225
-728.812,-110.146,-698.846,51.528,4.453,11.652
-738.443,-124.576,-705.163,47.421,4.212,10.989
-743.404,-149.491,-711.178,43.658,4.037,10.006
-747.074,-171.204,-712.352,39.334,3.820,9.209
-755.149,-175.447,-717.207,34.574,3.456,8.208
-757.905,-177.992,-708.882,29.770,2.851,6.681
-755.138,-171.981,-705.210,23.282,2.169,5.153
-755.405,-162.911,-707.055,16.668,1.514,3.782
-761.000,-152.000,-707.000,9.940,0.840,2.380
