acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-314.000,-958.000,37.000,0.140,-0.840,-0.070
-326.342,-997.203,38.715,0.087,-0.876,-0.014
-298.313,-908.092,34.228,0.046,-0.798,0.020
-327.759,-999.357,38.267,0.134,-0.879,-0.057
-301.660,-918.006,35.744,0.093,-0.810,-0.061
-322.043,-981.821,37.948,-0.048,-0.858,-0.106
-308.358,-938.711,36.414,-0.058,-0.838,-0.234
-315.410,-958.587,37.211,0.003,-0.916,-0.285
-314.255,-958.908,38.101,0.002,-0.851,-0.410
-310.822,-945.289,37.629,-0.052,-0.813,-0.442
-317.370,-968.236,39.114,-0.095,-0.884,-0.385
-308.500,-942.694,38.299,-0.006,-0.738,-0.492
-314.710,-965.883,38.024,-0.064,-0.707,-0.444
-308.893,-948.593,37.929,-0.255,-0.680,-0.444
-313.126,-959.652,38.055,-0.278,-0.624,-0.480
-312.000,-957.000,38.000,-0.280,-0.560,-0.350
-312.091,-955.766,37.052,-0.168,-0.491,-0.348
-314.304,-965.083,37.675,-0.023,-0.496,-0.306
-311.744,-952.586,37.724,0.067,-0.478,-0.239
-313.559,-961.630,36.841,0.213,-0.506,-0.149
-311.399,-953.268,38.508,0.164,-0.471,-0.046
-313.433,-960.511,36.250,0.058,-0.511,-0.082
-312.977,-955.978,36.157,0.072,-0.559,-0.065
-314.882,-953.372,36.197,0.073,-0.556,-0.003
-314.251,-957.218,35.317,-0.031,-0.621,0.003
-314.753,-955.087,37.678,-0.184,-0.665,-0.002
-313.777,-960.419,35.825,-0.217,-0.734,-0.002
-313.515,-953.434,38.162,-0.182,-0.661,0.021
-313.428,-956.877,34.772,-0.019,-0.741,0.074
-314.777,-953.493,44.811,-0.222,-0.668,-0.011
-315.000,-950.000,47.000,-0.840,-0.770,0.140
-302.192,-958.362,14.593,-0.337,-1.335,0.146
-316.118,-958.200,25.007,0.790,-0.621,-0.503
-327.296,-954.045,52.083,0.253,-0.060,-0.556
-311.159,-950.201,46.204,-0.750,-1.000,-0.180
-302.599,-952.125,37.673,-0.255,-1.273,-0.327
-311.843,-949.227,37.920,-0.098,-0.829,-0.703
-328.563,-944.162,41.954,-0.975,-0.859,-0.677
-317.668,-955.063,34.634,-1.454,-1.050,-0.415
-303.768,-959.916,32.953,-1.596,-0.894,-0.842
-308.650,-957.030,35.110,-1.527,-0.756,-1.205
-309.570,-959.541,33.500,-1.114,-0.797,-1.175
-309.530,-957.183,38.627,-0.652,-0.711,-1.344
-312.989,-955.833,39.768,-0.596,-0.619,-1.271
-312.512,-954.852,38.782,-0.794,-0.727,-1.109
-309.000,-957.000,35.000,-0.910,-0.840,-1.120
-310.498,-960.763,33.597,-1.104,-0.721,-1.124
-312.823,-962.192,36.007,-1.017,-0.678,-1.076
-312.628,-963.877,35.549,-0.620,-0.725,-0.975
-311.037,-960.229,37.120,-0.206,-0.653,-0.817
-311.499,-957.177,38.148,-0.084,-0.642,-0.629
-311.573,-957.027,37.742,-0.341,-0.719,-0.445
-308.895,-959.296,34.722,-0.418,-0.771,-0.271
-309.861,-961.996,33.810,-0.417,-0.710,-0.214
-310.893,-961.024,36.736,-0.390,-0.576,-0.061
-311.195,-961.236,36.444,-0.187,-0.588,0.171
-310.070,-959.035,35.515,-0.135,-0.664,0.236
-310.742,-957.738,34.546,-0.104,-0.580,0.343
-311.938,-957.518,35.715,0.032,-0.580,0.431
-311.000,-956.017,36.847,-0.014,-0.627,0.419
-312.000,-958.000,34.000,0.070,-0.560,0.420
-311.054,-956.523,33.774,0.393,-0.558,0.306
-312.388,-954.130,34.863,0.391,-0.558,0.166
-312.761,-953.480,35.542,0.327,-0.595,0.073
-311.588,-951.775,35.964,0.321,-0.664,-0.105
-311.865,-950.641,34.320,-0.022,-0.728,-0.259
-310.967,-952.708,34.116,-0.319,-0.772,-0.384
-313.197,-955.051,33.917,-0.349,-0.774,-0.576
-313.166,-954.926,32.993,-0.350,-0.901,-0.758
-311.858,-957.418,33.801,-0.306,-0.926,-0.888
-312.327,-957.724,34.457,-0.178,-0.891,-0.964
-311.033,-955.802,36.664,-0.124,-0.929,-0.988
-311.460,-955.980,37.947,-0.151,-0.891,-0.972
-311.725,-955.947,35.251,-0.137,-0.926,-0.990
-309.710,-957.362,36.384,-0.237,-0.897,-0.967
-309.000,-960.000,36.000,-0.350,-0.840,-0.840
-308.971,-961.112,33.755,-0.120,-0.789,-0.833
-309.694,-959.429,36.671,0.079,-0.691,-0.815
-309.741,-959.085,35.739,0.031,-0.764,-0.660
-308.308,-960.040,35.600,0.185,-0.709,-0.638
-309.684,-957.726,37.171,0.262,-0.615,-0.583
-309.751,-957.242,35.708,0.003,-0.625,-0.373
-310.175,-959.077,36.061,-0.142,-0.556,-0.279
-312.034,-958.155,36.039,-0.138,-0.560,-0.282
-310.250,-956.938,35.928,-0.195,-0.509,-0.225
-310.543,-957.052,36.063,-0.224,-0.474,-0.198
-310.651,-956.200,35.914,-0.190,-0.503,-0.220
-309.687,-955.519,36.270,-0.260,-0.480,-0.210
-310.093,-954.788,37.194,-0.380,-0.496,-0.331
-309.972,-956.446,35.521,-0.423,-0.487,-0.421
-310.000,-958.000,33.000,-0.420,-0.490,-0.420
-310.801,-956.189,33.012,-0.308,-0.490,-0.598
-311.344,-955.898,32.821,-0.119,-0.530,-0.748
-310.310,-955.840,33.768,-0.003,-0.615,-0.814
-312.411,-955.589,33.877,-0.043,-0.645,-0.850
-312.124,-954.380,34.245,-0.213,-0.752,-0.843
-309.734,-955.358,33.719,-0.384,-0.856,-0.941
-309.997,-954.806,34.170,-0.499,-0.917,-1.056
-309.074,-953.813,35.160,-0.680,-1.041,-1.116
-308.278,-956.911,32.756,-0.937,-1.114,-1.179
-307.331,-955.089,36.156,-1.067,-1.154,-1.172
-310.026,-957.291,34.981,-1.284,-1.268,-0.999
-310.050,-962.758,31.130,-1.567,-1.355,-0.883
-307.795,-962.441,33.866,-1.345,-1.303,-0.925
-309.047,-960.778,33.920,-0.934,-1.264,-0.898
-307.000,-960.000,35.000,-0.840,-1.330,-0.770
-307.690,-960.070,34.322,-0.900,-1.278,-0.585
-307.705,-959.687,34.090,-0.928,-1.193,-0.492
-306.684,-960.878,36.522,-0.831,-1.195,-0.468
-309.290,-959.691,34.337,-0.707,-1.184,-0.346
-308.038,-959.243,32.845,-0.568,-1.186,-0.252
-306.933,-961.136,32.941,-0.374,-1.088,-0.201
-305.844,-959.877,33.102,-0.199,-0.973,-0.213
-304.892,-958.215,35.782,-0.136,-0.851,-0.214
-308.032,-954.052,37.107,-0.291,-0.763,-0.151
-311.901,-950.307,36.784,-0.598,-0.798,-0.075
-312.849,-951.016,37.010,-1.129,-0.676,0.150
-305.805,-959.064,34.748,-1.689,-0.650,0.150
-300.780,-960.672,34.203,-1.671,-0.695,-0.163
-307.166,-953.382,33.602,-1.279,-0.623,-0.284
-309.000,-958.000,30.000,-1.190,-0.630,-0.350
-305.194,-963.786,29.772,-1.214,-0.516,-0.533
-305.667,-963.594,31.411,-0.877,-0.379,-0.672
-306.369,-960.098,33.381,-0.258,-0.270,-0.747
-308.004,-956.143,34.325,0.171,-0.161,-0.784
-309.228,-955.601,35.801,0.022,-0.133,-0.739
-310.294,-953.524,36.873,-0.362,-0.157,-0.592
-309.808,-955.326,33.667,-0.649,-0.289,-0.488
-307.077,-958.845,29.317,-0.834,-0.288,-0.551
-307.785,-961.709,26.209,-0.809,-0.211,-0.671
-307.073,-967.219,26.493,-0.507,-0.221,-0.830
-304.317,-965.028,28.475,0.164,-0.152,-1.001
-304.811,-954.863,37.017,0.605,-0.001,-0.874
-309.460,-947.312,44.839,0.218,-0.075,-0.518
-309.376,-949.141,34.504,-0.715,-0.571,-0.256
-304.000,-962.000,21.000,-1.470,-0.770,-0.350
-304.460,-970.071,20.982,-1.244,-0.414,-0.729
-308.067,-965.357,29.880,-0.279,-0.065,-0.771
-310.187,-957.760,38.485,0.368,0.029,-0.520
-308.607,-952.342,39.245,0.090,-0.273,-0.301
-306.381,-952.859,33.456,-0.598,-0.561,-0.050
-305.818,-958.421,28.009,-0.963,-0.540,-0.026
-304.983,-964.361,25.984,-1.045,-0.407,-0.224
-305.879,-965.231,27.759,-0.739,-0.220,-0.286
-307.584,-961.569,30.570,-0.228,-0.192,-0.122
-308.916,-959.184,32.289,0.013,-0.264,0.083
-308.519,-955.636,33.389,-0.166,-0.310,0.218
-306.952,-957.899,29.712,-0.621,-0.374,0.311
-302.513,-960.977,26.811,-0.635,-0.315,0.239
-302.655,-957.556,29.534,-0.308,-0.198,0.135
-308.000,-958.000,32.000,-0.210,-0.210,0.210
-308.918,-957.406,32.255,-0.319,-0.331,0.335
-310.009,-955.694,29.680,-0.527,-0.415,0.411
-308.586,-957.190,28.718,-0.541,-0.414,0.401
-308.615,-957.749,28.835,-0.430,-0.449,0.255
-310.020,-956.157,27.616,-0.286,-0.493,0.091
-308.863,-956.236,28.330,-0.228,-0.389,0.072
-308.897,-956.934,30.172,-0.517,-0.356,-0.014
-305.264,-954.244,32.820,-0.759,-0.481,-0.201
-305.214,-952.176,33.483,-0.965,-0.596,-0.263
-307.805,-951.510,29.952,-1.391,-0.747,-0.406
-308.162,-954.056,25.186,-1.690,-0.720,-0.594
-309.476,-961.392,24.382,-1.764,-0.574,-0.634
-308.378,-965.265,28.512,-1.577,-0.565,-0.629
-306.853,-962.374,32.412,-1.034,-0.560,-0.631
-306.000,-959.000,33.000,-0.770,-0.630,-0.630
