acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-51.000,41.000,-981.000,1.540,0.280,0.630
-55.335,57.124,-1032.509,-0.933,0.408,0.897
-46.821,51.300,-946.980,-4.428,0.591,0.999
-49.974,30.984,-1040.854,-6.466,0.940,1.173
-48.379,6.542,-957.074,-6.755,1.149,1.381
-50.339,2.557,-1019.199,-4.418,1.308,1.637
-42.197,9.185,-987.369,-1.330,1.216,1.742
-31.449,25.597,-1018.923,1.273,1.125,1.438
-32.234,45.747,-1017.990,2.000,1.312,1.249
-45.174,55.300,-1007.243,0.928,1.590,1.464
-44.491,47.243,-1031.520,-0.133,2.002,1.296
-40.010,31.315,-1003.594,-0.528,2.075,1.109
-49.577,21.265,-1029.218,-0.475,1.668,0.914
-47.798,17.315,-1010.123,0.180,1.217,0.382
-38.591,17.087,-1013.445,0.635,1.236,-0.249
-29.000,19.000,-1006.000,0.350,1.680,-0.980
-26.196,20.475,-1002.288,0.271,1.828,-1.155
-33.459,15.409,-1010.386,0.486,1.730,-0.885
-34.964,20.750,-1006.708,1.446,1.496,-0.832
-30.054,35.338,-1024.387,2.056,1.146,-0.792
-25.719,42.270,-1019.132,1.582,0.883,-0.492
-27.025,49.245,-1026.003,0.714,0.539,-0.254
-35.805,42.765,-1018.870,-0.982,0.192,-0.285
-42.929,22.535,-1016.343,-2.272,0.134,-0.401
-37.620,6.108,-1019.741,-2.027,0.248,-0.802
-25.823,5.348,-1012.469,-0.390,0.443,-1.152
-18.166,22.766,-1004.997,1.181,0.710,-1.153
-20.441,35.422,-986.965,1.074,0.570,-0.678
-30.054,41.595,-985.665,-0.003,0.146,0.165
-36.633,41.348,-995.797,-0.955,-0.374,0.517
-39.000,37.000,-1010.000,-1.400,-0.980,0.770
-38.556,34.854,-1021.665,-1.528,-1.241,0.818
-33.339,26.771,-1027.697,-1.724,-1.341,0.443
-32.196,17.977,-1020.746,-2.397,-1.131,0.138
-34.456,6.362,-1016.635,-2.337,-0.727,-0.338
-25.730,0.180,-1018.391,-0.664,-0.911,-0.655
-23.091,4.303,-1014.026,0.831,-1.229,-0.884
-32.567,9.276,-1030.843,1.824,-1.181,-0.825
-32.448,10.060,-1045.903,2.673,-1.062,-0.761
-25.703,13.392,-1041.496,3.561,-0.827,-0.846
-17.323,26.434,-1034.343,4.927,-0.763,-0.869
-12.018,31.948,-1021.909,5.878,-1.315,-0.827
-26.848,32.273,-1021.554,6.178,-2.131,-0.382
-53.285,35.796,-1034.065,6.059,-2.849,-0.597
-61.994,46.763,-1031.579,4.888,-3.178,-0.417
-61.000,47.000,-1018.000,1.960,-3.360,-0.280
-67.888,30.553,-994.003,-1.450,-3.394,-0.213
-69.446,14.843,-977.368,-3.615,-3.128,-0.105
-49.734,11.193,-983.367,-3.235,-3.025,-0.844
-15.734,31.356,-983.652,-0.123,-2.787,-0.577
-2.306,29.635,-991.401,2.409,-2.607,-1.060
