acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-94.000,-33.000,-1018.000,3.010,0.840,1.680
-97.995,-34.244,-1057.773,3.910,0.700,1.990
-90.376,-33.433,-957.131,4.272,0.462,2.083
-103.008,-38.980,-1057.280,4.645,0.503,2.490
-96.749,-37.533,-973.257,4.579,0.321,2.577
-100.176,-41.408,-1045.347,5.254,0.246,2.956
-92.910,-39.010,-1007.791,5.550,-0.109,3.075
-93.425,-38.116,-1025.440,5.510,-0.514,3.083
-93.498,-38.150,-1024.057,4.712,-0.874,2.964
-87.072,-37.437,-1009.238,3.709,-1.373,2.601
-81.946,-40.822,-1032.505,3.150,-1.714,2.246
-79.412,-43.022,-1005.418,2.359,-2.004,1.905
-81.298,-42.401,-1025.489,1.649,-2.305,1.794
-76.068,-42.677,-1007.962,1.014,-2.630,1.715
-72.689,-47.771,-1019.432,0.861,-2.986,1.593
-72.000,-49.000,-1014.000,1.190,-3.150,1.470
-78.068,-46.452,-1010.430,1.672,-3.320,1.288
-78.311,-42.583,-1013.731,1.996,-3.511,1.145
-71.694,-38.003,-998.729,1.689,-3.369,1.079
-70.792,-36.673,-1008.854,1.238,-3.284,1.009
-67.166,-37.529,-995.845,0.796,-3.407,0.978
-63.285,-39.349,-997.812,0.322,-3.421,0.968
-60.851,-40.058,-996.526,0.145,-3.355,0.827
-59.173,-41.849,-999.342,0.517,-3.355,0.705
-56.937,-41.755,-1000.087,0.958,-3.429,0.606
-60.470,-38.025,-996.447,0.833,-3.379,0.336
-64.979,-35.965,-1004.066,0.498,-3.401,0.022
-62.436,-34.137,-1001.759,0.228,-3.602,-0.308
-60.640,-34.451,-1006.678,-0.146,-3.886,-0.788
-60.078,-34.736,-1005.530,-0.909,-4.343,-1.256
-63.000,-33.000,-1011.000,-1.750,-4.690,-1.680
-64.908,-38.820,-1016.663,-2.304,-4.919,-2.054
-67.363,-42.699,-1011.215,-2.797,-5.362,-2.347
-71.463,-40.492,-1014.455,-3.283,-5.867,-2.682
-69.739,-41.934,-1021.027,-3.944,-6.118,-2.895
-73.825,-39.474,-1020.544,-4.555,-6.168,-3.106
-82.816,-38.199,-1013.435,-5.213,-6.149,-3.323
-88.334,-37.760,-1013.316,-5.836,-6.087,-3.361
-90.968,-34.966,-1017.029,-5.768,-6.148,-3.423
-91.322,-36.527,-1013.352,-5.316,-6.293,-3.494
-96.908,-29.684,-1008.482,-4.558,-6.196,-3.477
-104.148,-23.429,-1002.915,-3.288,-5.920,-3.298
-109.254,-23.827,-993.769,-1.719,-5.724,-3.020
-112.597,-17.713,-990.476,-0.268,-5.409,-2.675
-113.164,-13.752,-985.832,1.220,-4.976,-2.153
-116.000,-12.000,-980.000,2.660,-4.550,-1.610
-116.370,-10.861,-985.053,3.962,-4.005,-1.016
-114.612,-11.453,-985.435,5.658,-3.474,-0.290
-117.055,-9.704,-977.983,7.067,-2.747,0.371
-117.560,-11.940,-979.426,8.139,-1.813,0.935
-115.479,-16.813,-976.213,9.238,-1.048,1.605
-117.798,-22.657,-972.331,10.483,-0.217,2.333
-118.902,-30.494,-980.645,12.256,0.536,2.988
-117.889,-32.209,-983.093,14.021,1.015,3.535
-121.746,-29.105,-984.692,15.285,1.502,3.956
-127.355,-31.284,-988.198,15.760,1.906,4.470
-134.577,-34.808,-982.691,15.615,2.240,5.007
-136.060,-38.302,-981.957,15.432,2.644,5.472
-124.386,-48.282,-989.321,16.060,3.072,6.079
-108.800,-53.054,-994.529,17.338,3.492,6.657
-99.000,-52.000,-997.000,18.270,3.850,7.070
-96.396,-50.751,-1002.657,18.856,4.003,7.334
-90.905,-43.375,-1011.123,18.795,3.726,7.285
-81.715,-37.789,-1016.342,18.004,3.191,7.004
-77.617,-36.643,-1025.551,16.238,2.635,6.668
-79.002,-37.832,-1033.971,13.049,1.970,6.125
-82.878,-42.463,-1033.373,9.051,1.221,5.337
