acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-22.000,-70.000,999.000,-0.210,-0.630,-0.140
-21.195,-72.053,1041.058,-0.046,-0.720,-0.146
-19.129,-65.056,947.452,0.152,-0.671,-0.133
-23.762,-69.560,1046.125,0.024,-0.755,-0.146
-21.558,-64.684,961.288,-0.157,-0.796,-0.137
-23.252,-73.093,1024.239,-0.219,-0.845,-0.129
-26.783,-71.088,983.224,-0.205,-0.737,-0.054
-28.985,-74.489,1004.562,-0.126,-0.622,-0.077
-24.519,-73.625,1002.140,0.241,-0.500,-0.139
-20.670,-67.228,987.960,0.706,-0.423,-0.136
-23.720,-67.232,1011.032,0.816,-0.418,-0.153
-26.358,-67.301,984.090,0.662,-0.446,-0.095
-27.138,-70.431,1008.357,0.470,-0.516,-0.071
-27.102,-71.030,990.171,0.323,-0.455,-0.054
-28.059,-72.120,1000.566,0.466,-0.338,0.001
-26.000,-70.000,996.000,0.840,-0.350,-0.070
-24.665,-66.437,992.007,1.049,-0.415,-0.079
-28.122,-63.599,1001.307,0.890,-0.458,-0.052
-29.161,-63.212,992.128,0.457,-0.609,-0.126
-26.192,-64.268,1003.242,0.147,-0.787,-0.132
-25.210,-64.431,993.644,0.038,-0.840,-0.168
-27.416,-67.625,1000.804,0.001,-0.741,-0.200
-26.885,-66.811,999.215,0.078,-0.704,-0.060
-26.875,-65.937,997.476,0.140,-0.769,-0.063
-28.085,-66.236,1000.194,0.053,-0.716,-0.092
-27.271,-65.561,997.844,-0.264,-0.687,0.004
-26.310,-67.199,1001.484,-0.623,-0.734,-0.048
-23.863,-68.233,996.970,-0.681,-0.791,-0.062
-24.855,-67.723,1000.269,-0.495,-0.743,-0.093
-27.071,-66.970,998.264,-0.332,-0.705,-0.136
-26.000,-68.000,998.000,-0.280,-0.770,-0.070
-25.961,-68.995,998.481,-0.283,-0.770,-0.127
-25.965,-68.903,996.694,-0.230,-0.778,-0.154
-26.216,-69.573,997.406,-0.221,-0.721,-0.100
-25.118,-70.204,996.665,-0.365,-0.720,-0.029
-23.594,-69.716,998.843,-0.420,-0.785,-0.008
-22.711,-68.694,998.609,-0.309,-0.765,-0.090
-22.068,-66.866,998.008,-0.050,-0.771,-0.142
-24.770,-66.846,998.080,0.012,-0.770,-0.143
-26.119,-69.474,997.111,-0.188,-0.774,-0.082
-25.772,-71.335,997.436,-0.178,-0.728,-0.064
-26.337,-72.907,998.496,-0.082,-0.644,-0.072
-25.185,-72.502,999.207,0.107,-0.460,-0.074
-23.856,-72.115,999.855,0.353,-0.346,-0.056
-25.303,-71.618,997.659,0.699,-0.427,0.004
-26.000,-66.000,998.000,1.050,-0.350,-0.070
-26.583,-61.942,998.375,0.671,-0.441,-0.253
-29.615,-65.193,995.426,0.029,-0.777,-0.364
-29.446,-70.594,995.111,-0.071,-0.848,-0.233
-29.094,-72.503,996.957,0.324,-0.649,-0.089
-28.112,-71.022,999.759,0.766,-0.568,-0.218
-24.175,-65.368,997.955,0.691,-0.740,-0.477
-23.029,-61.009,995.072,0.092,-0.766,-0.550
-23.933,-66.412,999.642,-0.160,-0.765,-0.238
-23.613,-71.093,1000.627,0.443,-0.790,-0.051
-20.426,-68.676,998.483,1.154,-0.698,-0.212
-21.578,-63.869,999.765,1.486,-0.746,-0.364
-25.364,-59.021,999.248,1.314,-0.765,-0.436
-26.327,-58.310,999.218,0.564,-0.790,-0.279
-28.176,-61.733,999.936,-0.327,-0.842,-0.138
-27.000,-67.000,998.000,-0.700,-0.840,-0.210
-27.623,-67.535,997.755,-0.526,-0.850,-0.152
-28.080,-63.678,998.993,-0.362,-0.733,-0.136
-24.505,-62.670,998.642,-0.420,-0.685,-0.077
-23.937,-64.100,998.863,-0.780,-0.708,0.041
-22.310,-69.354,996.636,-1.034,-0.696,-0.018
-25.416,-73.596,994.824,-1.055,-0.706,0.107
-30.058,-76.309,995.018,-1.039,-0.777,0.054
-27.269,-79.938,995.852,-0.613,-0.780,-0.013
-24.696,-77.796,997.823,0.205,-0.591,0.157
-20.499,-75.577,997.295,1.144,-0.545,-0.068
-18.851,-72.470,996.223,1.867,-0.563,-0.095
-23.522,-66.583,995.704,2.001,-0.579,0.012
-28.169,-66.807,997.867,1.478,-0.649,-0.092
-28.672,-71.995,998.796,1.020,-0.713,-0.074
-25.000,-78.000,997.000,1.190,-0.770,-0.280
-24.074,-74.555,999.469,1.775,-0.650,-0.476
-21.911,-64.185,1001.706,2.442,-0.578,-0.557
-21.799,-59.441,1002.500,2.336,-0.448,-0.414
-29.188,-59.838,1002.565,1.683,-0.299,-0.008
-30.129,-65.359,1001.443,1.452,-0.391,-0.109
-26.274,-66.281,1000.689,1.687,-0.302,-0.390
-23.805,-60.603,998.873,1.972,-0.052,-0.418
-24.447,-57.195,998.014,1.910,0.131,-0.299
-37.558,-55.656,998.569,1.523,0.118,-0.028
-45.220,-59.305,1000.097,0.984,-0.165,-0.128
-33.088,-61.304,997.755,0.778,-0.397,-0.494
-25.289,-56.237,995.221,0.872,-0.396,-0.522
-28.216,-52.239,996.176,0.513,-0.346,-0.238
-31.417,-53.664,996.062,-0.443,-0.442,0.204
-32.000,-61.000,998.000,-1.260,-0.560,0.350
-26.096,-66.015,997.402,-1.200,-0.617,0.048
-21.724,-62.754,995.758,-0.579,-0.732,-0.137
-24.295,-58.152,996.604,-0.322,-0.824,-0.108
-27.370,-59.648,997.045,-0.833,-0.863,-0.007
-28.021,-65.223,998.245,-1.305,-0.942,0.097
-28.110,-69.836,997.625,-1.191,-0.984,0.045
-29.065,-70.904,997.041,-0.645,-0.978,-0.078
-29.067,-67.371,997.929,0.095,-0.917,-0.139
-27.550,-62.838,999.458,0.370,-0.842,-0.138
-24.887,-60.130,1000.583,0.179,-0.879,-0.180
-23.213,-61.110,997.765,-0.101,-0.954,-0.234
-22.879,-64.557,997.079,-0.245,-0.988,-0.171
-23.349,-66.253,997.889,-0.183,-0.976,-0.144
-25.262,-65.812,996.987,-0.140,-0.979,-0.128
-26.000,-64.000,999.000,-0.210,-0.910,-0.000
-26.924,-63.033,1000.939,-0.339,-0.838,0.008
-25.352,-62.921,1000.396,-0.355,-0.855,-0.010
