acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-78.000,-244.000,970.000,-0.280,-0.700,-0.210
-82.050,-253.507,1012.659,-0.233,-0.728,-0.157
-76.263,-231.399,922.018,-0.139,-0.671,-0.123
-82.338,-255.661,1016.948,-0.150,-0.722,-0.156
-74.858,-234.189,932.320,-0.095,-0.691,-0.127
-80.214,-249.347,996.310,0.058,-0.684,-0.150
-78.258,-239.519,958.167,0.044,-0.635,-0.134
-80.216,-245.076,974.206,0.010,-0.780,-0.142
-77.407,-243.093,973.708,0.204,-0.715,-0.142
-77.638,-240.138,961.575,0.062,-0.614,-0.130
-80.455,-246.623,983.151,-0.061,-0.697,-0.195
-77.634,-238.921,958.362,0.110,-0.684,-0.191
-79.901,-244.647,981.932,0.131,-0.737,-0.095
-76.894,-238.487,964.356,0.155,-0.761,-0.081
-78.656,-241.085,973.305,0.120,-0.691,-0.148
-80.000,-241.000,970.000,-0.070,-0.700,-0.140
-78.120,-239.449,967.274,-0.143,-0.764,-0.133
-77.255,-239.760,974.633,-0.164,-0.774,-0.160
-77.781,-236.717,963.835,-0.332,-0.769,-0.046
-79.165,-239.640,971.849,-0.286,-0.757,-0.026
-75.705,-227.383,965.787,-0.431,-0.643,-0.197
-78.187,-226.957,975.790,-1.360,-0.567,-0.081
-80.949,-235.214,973.283,-1.975,-0.791,0.149
-79.058,-234.903,974.319,-1.960,-0.855,0.143
-79.781,-238.935,976.040,-2.066,-0.643,0.142
-79.619,-242.169,970.948,-2.128,-0.689,0.066
-78.188,-244.838,974.445,-2.065,-0.629,-0.094
-78.022,-248.920,967.553,-2.181,-0.564,-0.165
-78.017,-253.403,969.182,-2.330,-0.636,-0.232
-79.330,-257.502,968.456,-2.109,-0.550,-0.287
-81.000,-259.000,968.000,-1.610,-0.630,-0.350
-80.162,-256.680,968.281,-1.066,-0.647,-0.471
-79.866,-251.601,968.243,-0.541,-0.559,-0.561
-80.120,-247.147,970.041,-0.255,-0.572,-0.495
-79.668,-245.224,970.001,-0.183,-0.542,-0.336
-78.470,-245.130,971.164,-0.097,-0.589,-0.269
-78.127,-246.292,969.477,0.023,-0.632,-0.285
-79.015,-246.997,968.984,0.074,-0.631,-0.277
-78.091,-246.133,968.105,0.196,-0.631,-0.213
-77.853,-244.302,968.527,0.296,-0.622,-0.208
-78.143,-243.843,970.064,0.174,-0.679,-0.175
-78.126,-243.696,969.179,0.138,-0.708,-0.114
-79.853,-242.551,968.997,0.115,-0.695,-0.167
-79.478,-243.281,970.350,0.065,-0.703,-0.107
-77.958,-242.823,971.051,0.065,-0.698,-0.079
-79.000,-243.000,971.000,0.000,-0.700,-0.140
-78.222,-244.911,970.939,0.002,-0.763,-0.075
-78.286,-244.327,971.152,-0.090,-0.738,-0.114
-80.178,-243.789,970.126,-0.210,-0.630,-0.156
-79.267,-244.033,969.775,-0.198,-0.667,-0.129
-79.121,-243.935,969.757,-0.232,-0.701,-0.147
-78.826,-243.978,970.172,-0.293,-0.709,-0.137
-79.104,-244.036,971.013,-0.355,-0.774,-0.141
-80.034,-244.939,970.108,-0.416,-0.773,-0.140
-79.089,-245.084,969.083,-0.432,-0.714,-0.140
-79.089,-244.890,968.758,-0.358,-0.684,-0.136
-78.698,-244.948,968.955,-0.409,-0.743,-0.171
-79.492,-245.145,968.377,-0.512,-0.776,-0.227
-78.062,-244.141,968.107,-0.367,-0.762,-0.198
-76.076,-238.005,970.479,-0.473,-0.683,-0.218
-79.000,-237.000,973.000,-0.980,-0.630,-0.210
-79.232,-242.569,973.147,-1.258,-0.751,-0.029
-78.160,-242.412,972.106,-1.159,-0.796,0.075
-77.346,-243.038,971.925,-1.121,-0.680,0.053
-77.216,-246.907,971.050,-1.282,-0.608,0.113
-78.197,-248.371,969.397,-1.328,-0.646,0.127
-78.092,-250.670,970.242,-1.340,-0.618,0.060
-80.188,-253.127,969.882,-1.318,-0.637,0.071
-81.039,-253.974,968.953,-0.950,-0.702,0.011
-80.871,-254.077,970.029,-0.441,-0.637,-0.124
-81.136,-252.981,968.017,-0.142,-0.639,-0.144
-81.147,-249.991,966.364,0.046,-0.580,-0.162
-82.609,-249.069,969.360,0.189,-0.599,-0.251
-81.152,-249.930,969.379,0.230,-0.724,-0.281
-78.788,-246.198,968.073,0.469,-0.693,-0.282
-78.000,-242.000,970.000,0.630,-0.700,-0.280
-77.031,-240.148,970.025,0.395,-0.703,-0.220
-77.651,-240.390,971.216,0.138,-0.699,-0.159
-78.272,-242.030,972.503,-0.050,-0.694,-0.092
-77.414,-241.527,970.599,-0.031,-0.736,-0.066
-77.063,-242.886,969.739,-0.036,-0.750,-0.059
-78.335,-245.458,970.026,-0.261,-0.600,0.016
-79.001,-247.133,969.948,-0.349,-0.640,-0.006
-78.984,-248.041,968.164,-0.287,-0.703,-0.069
-79.069,-247.044,967.584,-0.211,-0.638,-0.065
-78.842,-247.652,969.025,-0.257,-0.626,-0.117
-79.238,-247.673,967.845,-0.266,-0.655,-0.151
-78.438,-246.420,968.858,-0.164,-0.728,-0.132
-78.150,-245.876,971.404,-0.142,-0.668,-0.147
-79.091,-246.091,970.826,-0.135,-0.638,-0.132
-79.000,-246.000,970.000,-0.070,-0.700,-0.070
-78.962,-244.164,969.861,-0.057,-0.641,-0.070
-79.583,-244.485,970.976,-0.178,-0.617,-0.023
-80.894,-245.813,969.675,-0.230,-0.672,-0.009
-80.483,-245.694,968.789,-0.175,-0.715,-0.140
-80.130,-244.511,970.277,-0.128,-0.684,-0.104
-81.110,-245.587,969.752,-0.148,-0.720,-0.083
-79.830,-248.070,970.081,-0.135,-0.768,-0.139
-78.053,-247.090,970.100,-0.072,-0.701,-0.074
-78.581,-247.569,968.961,-0.028,-0.755,-0.067
-80.452,-248.440,969.534,0.116,-0.743,-0.066
-81.579,-247.073,969.931,0.103,-0.666,-0.102
-82.055,-247.189,969.543,0.113,-0.746,-0.165
-80.101,-246.421,968.702,0.346,-0.757,-0.242
-77.849,-243.609,969.207,0.325,-0.693,-0.366
-78.000,-243.000,970.000,0.140,-0.700,-0.420
-77.204,-243.265,969.043,0.075,-0.707,-0.424
-76.160,-240.579,969.662,-0.010,-0.639,-0.374
-75.867,-240.260,969.956,-0.243,-0.664,-0.278
-76.145,-240.953,969.994,-0.448,-0.699,-0.128
-75.758,-239.618,971.382,-0.648,-0.581,-0.055
-76.352,-241.718,971.928,-0.885,-0.574,0.032
-78.091,-244.144,970.879,-0.984,-0.632,0.141
-78.914,-246.746,969.119,-1.046,-0.631,0.075
-80.001,-248.993,968.098,-1.055,-0.583,0.071
-79.187,-248.254,967.659,-1.076,-0.494,-0.010
-79.779,-247.543,968.727,-1.191,-0.525,-0.109
-81.495,-246.543,970.310,-1.117,-0.569,-0.024
-80.598,-247.475,969.540,-0.808,-0.557,-0.002
-79.964,-247.907,969.019,-0.622,-0.560,-0.001
-80.000,-248.000,969.000,-0.700,-0.560,-0.070
-80.866,-249.887,968.909,-0.714,-0.617,-0.140
-81.152,-249.839,969.230,-0.598,-0.688,-0.132
-80.481,-251.222,967.970,-0.454,-0.706,-0.157
-79.284,-251.831,968.248,-0.209,-0.694,-0.097
-79.415,-250.646,968.890,-0.011,-0.706,-0.083
-81.256,-251.139,969.117,0.094,-0.694,-0.150
-79.789,-250.945,970.030,0.220,-0.705,-0.138
-78.012,-250.075,969.129,0.340,-0.769,-0.138
-78.726,-249.153,967.980,0.469,-0.718,-0.145
-79.789,-248.424,968.447,0.503,-0.686,-0.129
-79.720,-246.896,969.070,0.500,-0.712,-0.179
-78.362,-245.203,968.504,0.619,-0.691,-0.219
-78.001,-243.458,969.527,0.593,-0.707,-0.206
-77.987,-243.091,971.061,0.386,-0.697,-0.211
-78.000,-243.000,970.000,0.210,-0.700,-0.210
-77.943,-241.069,969.848,0.144,-0.704,-0.211
-79.294,-242.314,970.763,0.063,-0.690,-0.169
-80.665,-243.743,971.439,-0.157,-0.743,-0.082
-78.710,-244.416,971.719,-0.195,-0.786,-0.076
-78.032,-244.985,970.204,-0.131,-0.735,-0.049
-77.833,-245.284,970.074,-0.252,-0.606,0.007
-78.135,-248.247,969.933,-0.430,-0.639,-0.001
-79.984,-249.975,969.030,-0.431,-0.703,-0.001
-78.446,-250.005,968.986,-0.244,-0.637,0.000
-78.111,-249.918,968.792,-0.156,-0.634,0.003
-80.412,-250.109,968.899,-0.082,-0.615,-0.028
-80.881,-249.325,968.660,0.069,-0.668,-0.103
-79.504,-247.532,969.271,0.154,-0.686,-0.157
-79.114,-246.931,970.021,0.133,-0.630,-0.217
-80.000,-246.000,970.000,0.140,-0.700,-0.210
-79.041,-245.072,971.692,0.265,-0.647,-0.205
-80.372,-245.363,972.411,0.328,-0.606,-0.220
-80.576,-248.038,970.490,0.437,-0.691,-0.191
-77.498,-248.579,969.313,0.494,-0.674,-0.255
-79.172,-246.291,968.468,0.362,-0.612,-0.265
-81.147,-247.398,967.880,0.264,-0.648,-0.200
-80.985,-246.798,968.050,0.207,-0.699,-0.212
-80.147,-244.119,968.946,0.207,-0.633,-0.212
-78.182,-243.245,969.048,0.265,-0.675,-0.159
-78.467,-241.614,969.227,0.307,-0.729,-0.082
-79.669,-240.532,970.719,0.154,-0.642,-0.075
-79.910,-241.722,970.390,-0.101,-0.652,-0.042
-78.444,-243.381,969.954,-0.131,-0.719,-0.002
-78.155,-244.139,969.913,-0.151,-0.778,-0.081
-79.000,-246.000,969.000,-0.210,-0.770,-0.070
-77.987,-247.102,969.731,-0.207,-0.702,-0.062
-79.495,-246.077,971.007,-0.224,-0.746,-0.087
-79.347,-246.471,970.201,-0.131,-0.789,-0.016
-77.080,-247.382,969.722,-0.025,-0.733,-0.002
-79.058,-248.419,969.680,0.017,-0.691,0.008
-79.832,-248.929,968.776,0.087,-0.704,-0.012
-79.007,-247.923,969.064,0.144,-0.698,-0.074
-79.934,-247.086,969.072,0.205,-0.696,-0.133
-80.088,-245.429,968.703,0.270,-0.763,-0.209
-79.902,-244.038,969.918,0.291,-0.733,-0.165
-80.059,-244.292,968.909,0.242,-0.679,-0.132
-79.924,-245.584,969.889,0.200,-0.717,-0.128
-80.041,-245.821,972.101,0.214,-0.685,-0.041
-79.979,-244.924,969.593,0.212,-0.713,0.001
-80.000,-245.000,970.000,0.280,-0.770,0.000
-79.985,-244.867,971.947,0.295,-0.706,0.002
-80.635,-247.589,971.426,0.196,-0.740,-0.040
-81.021,-250.788,969.166,0.383,-0.799,-0.157
-78.197,-247.232,966.985,0.727,-0.702,-0.250
-77.186,-242.820,968.847,0.712,-0.609,-0.301
-79.527,-243.310,969.909,0.419,-0.646,-0.360
-79.913,-242.804,970.116,0.199,-0.702,-0.346
-78.115,-239.243,971.938,0.141,-0.702,-0.285
-77.800,-237.266,971.900,0.102,-0.648,-0.223
-78.260,-235.661,973.141,-0.134,-0.575,-0.167
-77.614,-234.750,973.833,-0.523,-0.552,-0.074
-78.610,-237.602,971.796,-0.808,-0.581,0.053
-78.898,-240.912,970.720,-0.945,-0.646,0.053
-79.146,-244.706,969.847,-1.069,-0.622,-0.003
-80.000,-249.000,969.000,-1.120,-0.630,-0.000
-80.752,-250.801,968.890,-0.947,-0.702,-0.115
-82.068,-252.469,969.840,-0.746,-0.642,-0.216
-81.276,-253.361,969.354,-0.564,-0.662,-0.190
-80.775,-252.099,968.771,-0.216,-0.716,-0.255
-79.313,-250.197,970.613,0.108,-0.691,-0.274
-79.177,-248.832,970.623,0.327,-0.704,-0.295
-78.890,-249.008,968.966,0.501,-0.699,-0.351
-78.816,-248.090,970.755,0.622,-0.698,-0.346
-81.077,-248.994,973.015,0.730,-0.752,-0.419
-79.848,-253.836,971.162,1.037,-0.823,-0.332
-80.906,-254.898,967.861,1.666,-0.850,-0.280
-77.569,-253.356,966.496,2.129,-0.805,-0.391
-77.470,-252.711,967.293,2.391,-0.650,-0.319
-84.507,-250.596,968.045,2.611,-0.651,-0.375
-80.000,-248.000,968.000,2.660,-0.840,-0.490
-77.686,-244.660,968.750,2.832,-0.849,-0.428
-78.544,-239.735,970.517,3.008,-0.830,-0.420
