acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-1005.000,141.000,-83.000,36.470,6.580,-18.900
-1032.077,167.835,-94.131,30.807,1.810,-13.154
-919.422,159.477,-95.308,20.635,-3.526,-4.535
-1007.611,155.737,-110.445,20.486,-6.078,-3.353
-895.845,138.514,-105.215,14.341,-9.163,-0.539
-950.951,149.427,-111.370,14.914,-9.155,-1.841
-892.662,178.112,-93.370,11.228,-8.705,0.116
-903.809,199.989,-50.665,6.902,-7.947,1.883
-902.513,211.086,-16.428,-6.008,-8.929,6.639
-896.098,210.390,-21.142,-25.835,-11.478,13.454
-956.769,172.697,-76.107,-43.235,-14.062,18.420
-956.235,129.289,-144.203,-51.600,-13.884,21.898
-1022.193,71.677,-167.764,-42.261,-9.351,18.744
-1003.818,71.097,-137.532,-27.007,-5.082,12.138
-1034.340,78.594,-99.159,-15.708,-3.797,3.683
-1030.000,111.000,-85.000,-12.390,-4.060,-0.490
-975.336,182.155,-97.785,-11.428,-6.258,-2.166
-1060.275,88.243,-99.779,-9.760,-7.603,-4.885
-1015.326,79.122,-70.693,-5.026,-4.777,-4.603
-948.465,147.051,-62.410,-0.271,-8.067,-6.923
-972.014,128.101,-102.027,-1.332,-14.012,-9.612
-946.008,167.212,-116.784,0.412,-14.104,-10.890
-937.301,177.546,-105.708,0.802,-14.483,-11.599
-927.733,200.402,-106.466,-2.093,-14.467,-10.837
-916.582,226.496,-90.948,-3.604,-14.362,-9.506
-929.878,214.949,-83.205,-7.591,-14.642,-5.842
-939.613,213.028,-92.120,-13.454,-13.779,-2.685
-969.168,174.965,-100.498,-18.875,-11.991,0.317
-985.307,154.254,-105.108,-22.374,-9.872,0.881
-1012.804,112.395,-109.502,-23.541,-8.210,0.040
-1072.000,43.000,-101.000,-21.770,-4.760,-1.470
-1063.398,35.590,-85.960,-17.350,-1.690,-7.957
-1030.003,38.104,-90.077,-11.975,-1.156,-14.051
-1066.107,-1.672,-67.330,-4.529,-0.957,-20.282
-1073.225,-21.821,-52.462,3.693,0.339,-26.134
-1014.405,9.924,-59.924,10.550,0.672,-33.543
-984.720,54.346,-49.112,14.858,0.647,-42.260
-971.649,104.147,-62.855,15.596,2.045,-45.335
-954.276,159.693,-74.529,15.656,2.065,-47.019
-933.405,214.528,-58.183,15.435,2.291,-46.113
-909.044,255.830,-34.573,12.397,2.857,-41.149
-902.990,272.514,-18.326,5.065,1.339,-33.816
-901.494,265.323,-29.247,-5.971,-1.685,-24.453
-913.858,230.947,-53.610,-16.724,-5.032,-14.734
-939.410,177.926,-76.234,-24.862,-6.258,-6.120
-976.000,116.000,-95.000,-30.030,-5.670,-0.140
-1014.703,68.547,-106.650,-32.215,-4.274,3.794
-1035.922,34.136,-99.733,-31.340,-3.410,5.660
-1050.741,6.290,-78.317,-29.144,-3.122,6.562
-1058.170,-4.789,-54.666,-27.973,-2.635,6.351
-1071.202,-14.383,-48.194,-28.228,-3.737,5.652
-1084.922,-12.282,-64.937,-27.925,-5.106,2.835
-1083.296,-5.506,-68.638,-24.235,-6.397,-0.630
-1064.065,9.202,-68.309,-21.546,-6.938,-3.343
-1040.615,28.111,-81.302,-21.032,-7.224,-5.189
-1020.323,39.478,-89.082,-19.232,-8.281,-4.977
-975.706,71.636,-89.926,-17.399,-8.811,-7.465
-968.553,58.762,-89.123,-14.404,-11.696,-4.196
-994.637,19.088,-97.514,-13.428,-11.940,-1.055
-973.893,25.180,-104.182,-13.465,-9.233,-5.456
-958.000,23.000,-104.000,-9.800,-10.080,-5.110
-965.575,4.578,-109.578,-7.325,-10.148,-5.715
-948.713,5.310,-109.157,-5.162,-9.674,-8.115
-930.719,22.065,-119.236,-3.498,-8.949,-9.349
-923.824,38.127,-133.755,-2.525,-5.606,-10.127
-907.317,61.986,-128.619,0.480,-0.141,-8.376
-932.125,61.866,-111.670,2.577,6.808,-7.153
-949.525,53.178,-59.278,5.073,12.101,-6.383
-965.351,40.087,-27.963,0.618,16.972,-5.275
-1080.671,-48.288,-67.368,-11.363,23.890,-2.765
-1159.978,-132.012,-114.463,-17.027,31.895,-5.754
-1193.880,-192.181,-175.696,-14.354,40.817,-17.916
-1231.991,-245.127,-216.460,1.272,50.698,-34.086
-1188.295,-217.513,-175.813,26.851,54.807,-53.219
-1125.727,-139.628,-128.159,47.021,49.452,-71.125
-1072.000,-73.000,-110.000,59.990,42.070,-83.720
-1044.011,-47.003,-93.502,70.249,34.542,-89.876
-1055.917,-45.158,-80.142,78.230,26.298,-91.120
-1033.452,-51.361,-79.964,81.103,20.446,-90.121
-1009.432,-64.080,-106.909,81.513,17.773,-87.127
-1022.472,-85.267,-134.542,86.413,17.669,-81.724
-1036.078,-113.982,-108.661,95.238,18.766,-75.670
-1025.755,-113.012,-45.295,96.871,21.207,-71.710
-1018.585,-106.645,-6.004,82.990,21.663,-68.144
-1024.499,-113.059,-9.780,62.943,15.686,-64.076
-1004.421,-106.322,-17.694,44.635,10.332,-60.229
-972.064,-93.138,-14.815,25.754,10.416,-54.545
-962.958,-87.963,-38.024,8.197,10.380,-46.816
-963.577,-84.352,-77.191,-2.074,7.447,-40.195
-942.847,-60.021,-100.220,-4.477,2.119,-36.565
-923.000,-28.000,-105.000,-6.580,-0.910,-34.440
-912.096,-3.536,-101.857,-12.999,-0.581,-30.873
-903.045,-1.829,-113.893,-24.335,-1.164,-24.071
-915.514,-41.585,-163.929,-37.505,-2.317,-16.523
-925.028,-104.811,-219.445,-44.260,-2.281,-11.096
-925.802,-182.052,-208.583,-42.518,0.019,-8.012
-925.579,-263.313,-144.425,-37.176,0.887,-7.595
-946.657,-334.670,-80.309,-35.048,-1.171,-8.908
-973.462,-372.788,-67.633,-37.722,-6.701,-12.482
-972.235,-384.635,-78.232,-42.517,-10.004,-18.137
-991.539,-406.719,-41.357,-53.231,-4.221,-23.314
-1008.828,-405.572,-47.821,-66.857,-6.757,-29.685
-1028.511,-392.425,-102.554,-72.242,-18.862,-37.171
-1059.970,-399.145,-121.673,-69.000,-24.097,-43.174
-1055.363,-391.559,-129.227,-62.286,-25.785,-49.748
-1032.000,-377.000,-140.000,-54.110,-28.070,-58.100
-999.869,-371.255,-171.866,-41.720,-30.376,-64.859
-990.026,-373.475,-184.666,-22.039,-29.808,-69.898
-1001.340,-384.435,-157.979,-0.653,-25.078,-76.492
-1013.552,-401.535,-142.775,18.222,-20.548,-85.357
-1015.585,-409.187,-126.390,36.906,-17.543,-96.540
-999.594,-394.173,-104.862,54.573,-14.274,-107.283
-992.387,-367.460,-77.791,68.355,-10.429,-114.364
-975.385,-327.193,-59.349,76.870,-7.219,-118.028
-971.504,-293.361,-58.919,82.769,-4.863,-120.592
-972.215,-257.077,-48.697,89.782,-4.111,-122.093
-942.996,-198.613,-24.713,94.667,-3.319,-119.136
-948.190,-174.911,4.328,93.191,-3.133,-113.530
-954.437,-184.465,18.761,87.942,-6.192,-105.931
-923.822,-200.699,45.515,81.415,-11.406,-97.445
-918.000,-233.000,68.000,70.770,-20.230,-92.610
-917.802,-251.682,47.641,57.553,-31.025,-88.512
-915.578,-262.715,19.117,47.915,-38.529,-82.794
-905.853,-279.837,-3.471,44.390,-41.632,-77.094
-898.985,-291.036,-6.267,44.974,-42.469,-71.260
-929.121,-287.178,-12.274,47.661,-44.509,-63.026
-912.541,-255.307,-11.037,53.816,-47.129,-52.878
-875.136,-226.511,28.562,57.929,-47.177,-42.645
-853.854,-217.670,66.058,53.344,-46.698,-30.564
-840.729,-240.151,78.327,41.706,-49.032,-16.945
-851.709,-280.519,65.956,29.331,-53.616,-4.266
-843.894,-300.663,51.783,20.211,-57.108,6.089
-854.276,-320.665,37.694,11.843,-57.531,14.140
-835.962,-315.776,30.819,5.390,-56.922,19.843
-846.448,-337.015,-6.074,-1.282,-54.064,25.250
-907.000,-413.000,-48.000,-1.330,-49.560,29.470
-888.876,-411.024,-5.159,11.136,-49.098,26.799
-886.464,-377.361,2.067,17.023,-48.683,21.060
-877.903,-388.603,-25.849,18.691,-41.814,17.027
-868.305,-388.573,-0.346,25.649,-33.108,13.884
-893.518,-376.288,19.667,29.803,-27.739,13.713
-887.551,-366.010,38.827,31.273,-23.233,16.881
-889.482,-365.490,48.041,29.272,-17.923,21.164
-890.757,-376.874,53.805,26.275,-12.292,23.390
-905.207,-393.264,70.683,23.876,-5.911,21.063
-915.064,-403.638,89.012,20.384,1.099,15.418
-906.838,-393.285,120.556,16.264,7.377,9.169
-901.924,-377.294,124.124,9.368,9.557,4.670
-897.436,-368.979,95.455,3.457,8.500,3.535
-909.571,-360.089,61.876,-1.185,8.484,3.236
-901.000,-343.000,54.000,-3.010,9.800,0.560
-875.946,-328.995,23.101,-8.457,7.047,-0.937
-851.337,-328.881,-81.982,-25.463,2.738,0.540
-849.691,-342.598,-107.503,-31.936,9.255,1.884
-864.860,-344.679,20.040,-22.156,19.438,2.524
-871.399,-308.131,162.335,-19.311,19.820,2.646
-894.966,-287.395,185.972,-32.950,15.461,4.181
-908.471,-322.942,140.784,-52.313,12.126,7.835
-921.327,-370.396,148.217,-67.815,10.916,10.443
-940.054,-386.201,142.579,-86.041,11.199,11.650
-946.550,-379.125,61.641,-102.633,10.316,11.545
-964.800,-394.891,-4.002,-101.709,10.839,10.860
-983.468,-429.970,20.245,-85.266,16.962,10.993
-1007.462,-458.401,63.299,-71.317,24.207,9.380
-1041.100,-490.270,36.316,-67.034,27.659,4.913
-1048.000,-522.000,-10.000,-60.900,30.030,-1.400
-1043.240,-543.780,-28.151,-48.953,32.418,-8.613
-1036.333,-552.880,-28.435,-36.556,33.261,-14.692
-1011.881,-556.098,-24.308,-25.619,29.912,-19.834
-993.103,-549.867,-25.048,-15.293,21.682,-24.542
-974.796,-515.735,-24.194,-5.297,14.305,-28.121
-951.682,-466.106,0.200,1.422,11.102,-30.238
-933.047,-417.781,31.116,2.074,9.670,-29.448
-931.601,-389.361,21.594,-1.487,7.227,-26.753
-931.153,-371.659,11.295,-3.602,4.660,-23.678
-924.324,-354.815,9.436,-5.375,3.689,-20.251
-928.869,-354.783,-13.352,-8.579,4.830,-17.237
-927.134,-364.786,-28.375,-9.323,7.262,-14.140
-940.452,-388.697,-47.832,-7.801,8.968,-10.940
-946.649,-420.121,-71.395,-3.619,11.130,-8.390
-947.000,-452.000,-72.000,2.870,12.530,-8.050
-935.007,-455.110,-62.245,9.541,13.378,-9.449
-905.212,-447.153,-51.272,16.099,14.218,-10.417
-898.978,-450.939,-20.413,21.694,12.813,-9.674
-885.195,-444.404,-8.850,24.600,10.578,-7.630
-893.460,-462.049,-36.219,26.325,8.340,-7.339
-891.617,-456.555,-19.571,30.367,9.492,-8.192
-900.927,-454.344,-12.479,30.791,13.899,-10.842
-903.543,-462.533,-28.528,29.272,19.171,-13.898
-870.263,-430.358,-13.137,28.378,22.285,-16.430
-874.057,-421.314,-11.800,23.023,27.140,-18.205
-874.636,-432.259,13.188,16.884,36.456,-15.706
-895.004,-422.613,-36.873,12.408,35.821,-19.060
-772.945,-284.657,-78.925,14.078,39.234,-13.364
-729.516,-248.636,55.577,8.511,46.138,13.944
-896.000,-422.000,33.000,-8.470,30.240,24.570
-869.395,-465.110,-115.103,-11.628,14.012,18.970
-895.754,-500.974,-68.987,-3.851,12.584,20.288
-973.645,-566.589,6.735,0.135,13.212,16.227
-947.202,-558.541,-37.234,0.571,9.244,8.392
-958.397,-518.979,-78.467,5.776,3.948,3.615
-893.320,-418.291,-56.924,11.062,6.721,-1.480
-859.844,-416.935,-71.312,9.455,10.235,-1.985
-906.155,-445.282,-64.839,10.972,9.620,4.510
-921.309,-421.023,-31.976,13.901,8.400,11.051
-913.608,-409.074,-91.443,13.358,7.734,15.560
-921.758,-349.790,-56.869,12.682,7.002,20.804
-931.345,-328.586,23.405,8.615,7.922,21.555
-933.521,-378.449,-8.906,-2.974,6.663,18.935
-967.851,-456.765,-5.838,-12.242,-1.424,18.056
-986.000,-518.000,-16.000,-17.710,-0.490,15.330
-986.803,-527.894,-49.943,-17.120,0.008,10.300
-976.519,-510.229,-89.629,-9.462,-1.763,3.252
-929.632,-466.838,-116.308,-1.691,4.244,-4.235
-905.085,-433.666,-60.816,11.183,2.567,-5.350
-921.583,-368.294,-34.079,5.694,14.455,-1.077
-906.497,-319.253,56.686,-13.837,25.712,1.613
-922.123,-352.137,81.114,-28.944,12.858,6.308
-975.441,-372.509,-59.370,-48.546,6.409,14.311
-965.591,-381.653,-79.649,-54.812,1.660,16.641
-957.251,-383.867,-87.717,-56.990,-1.199,14.876
-950.352,-374.773,-120.332,-61.629,0.872,14.194
-951.575,-374.914,-90.727,-61.564,-3.121,15.292
-956.987,-384.752,-75.948,-63.371,-4.942,16.344
-922.425,-407.345,-73.247,-61.043,-2.712,15.000
-906.000,-416.000,-84.000,-60.550,1.190,15.540
-900.420,-409.755,-99.115,-60.346,3.015,14.043
-874.255,-423.375,-122.992,-57.591,4.706,7.046
-846.669,-420.451,-154.092,-50.937,6.655,3.850
-870.392,-361.078,-171.961,-37.295,6.289,4.482
-881.511,-388.002,-116.122,-26.583,6.881,3.570
