acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-999.000,-109.000,51.000,-0.210,-0.490,-0.070
-1041.125,-114.758,55.151,-0.091,-0.692,-0.019
-946.171,-103.038,49.551,-0.057,-0.786,0.110
-1043.013,-112.501,55.405,-0.026,-0.944,0.168
-959.147,-102.111,52.675,0.209,-1.011,0.054
-1023.665,-109.428,56.769,0.416,-1.063,-0.124
-981.723,-106.551,55.116,0.501,-1.048,-0.132
-1000.435,-108.480,55.238,0.567,-1.130,-0.144
-998.943,-108.479,57.023,0.631,-1.193,-0.145
-986.123,-105.321,57.509,0.573,-1.130,-0.120
-1008.668,-107.637,58.680,0.528,-1.089,-0.247
-982.596,-106.152,56.798,0.383,-0.944,-0.280
-1005.737,-107.505,57.905,0.213,-0.770,-0.320
-988.982,-105.191,59.103,0.117,-0.670,-0.455
-1000.527,-106.480,57.555,0.161,-0.539,-0.492
-997.000,-109.000,54.000,0.280,-0.490,-0.490
-995.241,-112.523,53.002,0.161,-0.662,-0.322
-1001.117,-112.350,52.300,0.117,-0.908,-0.059
-991.050,-108.604,52.651,0.213,-1.147,0.095
-1001.615,-107.026,55.336,0.383,-1.377,0.168
-992.115,-104.005,56.414,0.529,-1.507,0.085
-999.367,-104.143,58.387,0.568,-1.534,-0.117
-995.143,-102.822,57.900,0.552,-1.382,-0.293
-994.439,-101.948,58.759,0.365,-1.136,-0.475
-995.621,-102.784,61.108,0.229,-0.958,-0.660
-993.630,-104.658,59.567,0.153,-0.690,-0.840
-999.669,-107.902,58.298,0.150,-0.377,-0.985
-994.488,-109.806,55.365,0.077,-0.251,-0.930
-997.112,-111.186,54.272,-0.113,-0.310,-0.812
-995.459,-109.679,56.076,-0.043,-0.446,-0.763
-997.000,-110.000,54.000,0.140,-0.700,-0.700
-998.354,-113.652,53.687,0.267,-1.012,-0.587
-997.060,-113.252,55.178,0.295,-1.207,-0.363
-995.866,-109.006,54.412,0.235,-1.395,-0.100
-995.234,-107.973,56.872,0.197,-1.503,0.072
-997.134,-107.293,59.493,0.233,-1.437,0.028
-994.340,-104.556,58.904,0.287,-1.395,-0.088
-995.130,-105.094,60.119,0.278,-1.318,-0.147
-995.126,-105.057,60.103,0.217,-1.073,-0.273
-994.776,-106.127,59.139,0.140,-0.809,-0.289
-995.677,-109.661,57.431,0.165,-0.709,-0.279
-996.447,-109.379,54.439,0.003,-0.691,-0.214
-996.648,-109.113,56.249,-0.192,-0.739,0.068
-995.695,-108.501,56.697,-0.117,-0.880,0.247
-996.181,-106.938,56.029,-0.243,-0.907,0.370
-997.000,-108.000,56.000,-0.350,-0.980,0.420
-996.151,-107.338,56.602,-0.282,-1.233,0.409
-995.813,-105.318,58.908,-0.326,-1.245,0.495
-995.991,-104.805,59.026,-0.395,-1.059,0.380
-995.657,-105.402,61.578,-0.446,-0.855,0.207
-995.771,-106.201,61.415,-0.542,-0.460,0.239
-994.758,-105.830,61.295,-0.744,-0.055,0.276
-996.199,-106.120,61.945,-0.846,0.309,0.206
-996.245,-107.961,61.055,-1.029,0.675,0.267
-993.708,-106.504,58.852,-1.241,0.947,0.411
-996.248,-106.152,57.927,-1.330,0.965,0.414
-996.230,-106.995,62.046,-1.489,0.866,0.438
-996.070,-103.455,54.983,-1.425,0.952,0.366
-995.324,-106.738,59.438,-1.519,0.880,0.254
-995.497,-107.283,61.379,-1.321,1.129,0.203
-999.000,-102.000,47.000,-0.910,1.540,0.210
-995.493,-105.332,54.448,-1.385,1.302,0.224
