acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-803.000,706.000,5.000,-26.110,-17.640,4.130
-813.326,620.335,-2.521,-30.519,-18.537,4.397
-720.455,471.742,5.325,-24.443,-16.671,5.229
-792.826,521.861,27.220,-18.650,-17.459,7.048
-740.785,467.677,37.293,-8.568,-14.440,8.923
-821.784,567.094,39.575,-4.150,-14.311,12.047
-786.643,598.390,54.201,-1.947,-12.264,13.654
-789.203,653.938,61.601,-2.830,-11.028,15.590
-794.190,647.731,51.377,-4.888,-9.921,17.741
-793.082,617.763,55.361,-7.126,-9.548,18.362
-806.526,644.314,54.739,-6.093,-10.867,17.649
-781.573,650.439,37.082,-2.740,-11.042,18.021
-792.383,655.565,16.133,-3.756,-11.601,20.039
-772.161,611.020,-0.674,-3.198,-11.428,21.061
-808.492,595.907,0.046,-1.620,-11.348,21.737
-834.000,580.000,6.000,0.840,-11.270,22.120
-841.856,609.196,1.469,5.019,-12.042,22.748
-850.490,630.345,-6.933,7.137,-12.984,24.393
-838.495,597.938,-8.643,6.928,-13.188,25.385
-834.801,584.001,-13.012,5.802,-14.373,24.657
-808.147,560.021,-11.554,5.630,-15.189,22.741
-810.888,556.925,-2.901,5.438,-15.794,20.981
-810.144,558.183,-6.382,4.825,-16.813,19.495
-805.786,571.736,-5.356,2.471,-17.794,18.520
-797.348,570.365,-5.796,-2.093,-18.187,18.192
-759.564,538.855,-17.933,-6.136,-18.319,17.862
-734.601,511.073,-31.234,-8.121,-18.832,17.490
-740.310,482.290,-41.574,-8.465,-20.110,17.300
-774.175,469.402,-39.759,-11.774,-23.812,16.795
-771.052,478.833,-42.054,-16.649,-28.242,14.614
-717.000,504.000,-43.000,-17.780,-28.910,12.110
-666.732,534.605,-23.629,-18.147,-26.319,11.681
-640.395,586.667,-0.331,-19.860,-24.157,12.234
-644.758,645.351,31.412,-22.498,-23.045,12.275
-683.223,721.442,57.877,-24.652,-23.176,11.921
-732.645,813.223,55.254,-25.417,-24.572,12.226
-756.053,850.707,63.632,-28.422,-25.383,13.090
-751.378,845.288,84.859,-30.613,-26.299,12.744
-748.921,834.456,79.143,-26.398,-28.219,12.295
-741.447,797.760,70.438,-20.471,-29.131,12.900
-700.985,723.332,76.128,-16.450,-28.862,12.369
-659.733,658.524,84.407,-10.467,-28.376,10.788
-658.004,643.523,96.864,-2.754,-27.668,9.713
-678.344,669.019,104.756,2.457,-27.174,8.714
-692.299,695.652,112.475,3.809,-26.638,7.871
-689.000,699.000,118.000,2.030,-25.900,7.070
-662.737,692.616,112.547,-0.005,-25.128,6.075
-639.307,693.477,115.562,-1.267,-24.062,5.455
-638.876,702.881,127.775,-3.567,-22.661,5.059
-652.386,710.784,142.289,-6.676,-21.243,4.963
-672.557,718.781,159.142,-9.963,-20.076,4.924
-680.729,715.147,167.935,-12.727,-18.912,4.854
-668.902,695.496,166.740,-12.926,-17.927,5.379
-666.623,686.465,164.910,-10.484,-17.312,6.118
-708.042,714.849,168.182,-6.382,-17.594,6.266
-780.069,775.535,169.732,-2.515,-18.829,5.501
-810.601,789.993,167.262,-3.269,-18.966,4.523
-763.662,733.337,164.984,-7.686,-17.646,3.432
-694.865,664.599,161.805,-9.468,-16.301,2.185
-659.349,627.675,158.820,-6.851,-15.633,1.743
-664.000,643.000,161.000,-3.850,-15.750,2.030
-688.048,683.046,160.027,-5.279,-16.138,2.816
-698.158,717.213,153.903,-10.879,-16.108,3.168
-706.776,735.009,157.704,-18.666,-16.828,2.307
-734.488,727.951,155.976,-29.466,-21.109,0.744
-740.033,704.439,148.729,-39.796,-25.984,-1.730
-719.411,692.490,161.525,-44.074,-26.030,-3.864
