acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-261.000,-40.000,999.000,27.510,1.120,1.890
-278.699,-23.549,1039.893,26.493,2.283,1.436
-263.144,0.485,937.813,21.062,3.377,0.919
-293.531,-0.521,1025.465,21.552,4.404,1.266
-277.330,5.650,929.358,18.316,5.309,1.110
-300.959,24.732,988.080,20.988,6.076,1.585
-303.870,62.129,951.267,20.129,6.626,2.009
-321.665,92.780,975.807,18.876,7.022,2.107
-322.075,109.343,975.331,14.660,7.198,2.165
-322.200,106.722,953.230,8.669,7.424,2.367
-340.906,88.170,972.464,4.357,7.710,2.653
-349.188,68.784,951.052,-0.287,8.117,2.605
-355.555,45.418,966.784,-2.223,8.623,2.609
-345.910,37.225,941.415,-3.920,8.999,2.550
-357.491,44.994,953.994,-4.657,9.361,2.446
-360.000,43.000,951.000,-7.000,9.520,2.450
-358.887,38.772,944.744,-10.810,9.454,2.171
-362.550,40.369,949.468,-14.222,9.496,1.746
-360.063,30.926,935.411,-17.213,9.506,1.685
-373.186,16.984,940.965,-19.339,9.409,1.786
-379.928,5.413,930.794,-21.378,9.485,1.525
-379.966,-4.427,922.014,-21.736,9.291,1.013
-378.849,-2.551,915.101,-21.875,8.865,0.844
-376.339,1.032,928.185,-22.300,8.632,0.916
-370.193,-0.317,922.668,-23.051,8.147,0.651
-369.281,4.105,918.548,-24.793,7.365,0.333
-371.820,3.420,927.433,-27.060,6.700,0.243
-368.847,-19.707,916.579,-29.074,6.401,0.163
-374.824,-39.952,915.044,-29.634,6.000,0.028
-381.335,-43.245,911.521,-29.236,5.456,-0.087
-378.000,-48.000,916.000,-28.560,4.970,-0.280
-371.645,-49.710,915.283,-28.546,4.246,-0.745
-370.338,-43.981,909.207,-29.307,3.523,-1.348
-373.214,-53.988,909.176,-30.382,2.741,-1.509
-377.086,-90.494,908.642,-31.161,2.272,-1.303
-379.484,-118.349,906.680,-30.156,2.051,-1.557
-378.571,-121.657,905.471,-27.560,1.468,-1.843
-376.962,-122.346,910.145,-25.034,1.106,-1.740
-381.244,-131.192,908.079,-23.341,0.929,-1.737
