acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-442.000,645.000,843.000,81.760,51.660,-10.570
-522.252,701.443,858.615,61.247,49.732,-11.835
-519.665,647.252,815.686,27.894,42.815,-12.395
-600.174,718.237,951.201,10.772,48.213,-14.149
-576.173,579.659,889.211,-22.940,44.112,-14.510
-558.031,454.582,943.383,-32.714,48.598,-17.015
-504.227,320.436,876.645,-41.796,46.794,-17.315
-471.399,249.764,836.176,-33.415,47.186,-16.554
-445.157,200.844,817.549,-19.336,45.135,-13.598
-474.400,224.465,825.132,-6.792,41.890,-10.702
-538.584,305.786,847.736,4.312,40.893,-10.075
-552.331,327.301,791.531,5.204,38.993,-10.551
-555.365,362.730,732.191,6.381,42.695,-12.151
-504.145,369.328,642.073,0.899,46.172,-13.159
-468.615,390.729,629.816,-7.571,53.142,-14.750
-474.000,415.000,620.000,-22.540,59.780,-17.640
-485.888,397.727,633.252,-35.563,65.364,-21.462
-526.689,385.000,692.826,-46.364,69.674,-23.843
-583.026,414.639,743.507,-54.495,68.840,-24.972
-613.270,419.222,773.651,-57.142,64.751,-24.904
-592.576,353.649,724.533,-66.795,57.766,-22.398
-533.603,283.770,668.667,-78.175,52.915,-21.429
-458.893,180.925,610.192,-90.869,49.840,-23.476
-419.880,78.722,607.829,-95.432,47.863,-27.159
-423.385,29.740,649.527,-83.951,45.480,-29.425
-439.933,32.897,668.980,-63.742,41.953,-27.094
-444.279,48.753,683.446,-43.320,39.515,-21.109
-452.206,42.525,701.205,-29.902,37.992,-14.920
-519.259,84.669,871.281,-19.679,36.102,-10.830
-600.855,119.620,1053.112,-12.262,28.890,-7.642
-564.000,71.000,974.000,-2.590,19.250,-5.180
-417.848,25.573,801.152,10.125,14.711,-4.327
-348.923,34.432,701.313,12.914,14.391,-3.891
-396.363,39.941,643.668,8.796,15.600,-3.306
-459.960,9.993,644.351,7.127,17.956,-2.924
-520.236,6.678,732.608,6.922,19.986,-3.697
-570.155,51.236,864.769,6.004,19.684,-6.579
-588.039,102.693,936.997,3.258,16.728,-8.982
-571.991,149.242,926.271,0.834,13.304,-8.947
-554.834,205.555,901.051,-1.990,10.994,-8.164
-574.679,255.235,880.587,-10.594,8.605,-7.310
-606.229,227.494,838.511,-23.132,6.040,-6.722
-623.219,142.580,804.666,-32.800,4.698,-7.078
-631.809,71.229,803.008,-35.184,5.195,-8.432
-632.858,12.403,805.535,-29.579,7.827,-10.458
-632.000,-38.000,815.000,-19.110,11.970,-11.900
-623.842,-78.816,819.156,-6.225,15.768,-12.318
-600.604,-104.128,805.808,9.268,19.522,-11.964
-587.674,-91.170,784.431,25.952,24.075,-10.251
-593.446,-17.494,759.743,45.900,28.674,-6.561
-587.846,54.860,736.498,66.961,32.386,-0.819
-578.577,116.555,708.779,81.284,33.929,5.385
-572.293,233.695,692.288,90.017,32.873,9.613
-564.167,334.797,682.865,91.670,29.408,11.543
-566.104,427.478,675.734,85.898,23.990,11.825
-558.910,530.303,675.968,75.986,17.094,11.008
-551.361,547.019,659.647,58.033,8.691,10.437
-572.840,528.968,642.848,37.342,0.334,9.833
-620.440,495.179,641.036,20.121,-6.570,8.153
-676.413,404.648,654.657,6.017,-11.721,6.427
-728.000,315.000,665.000,-1.260,-14.910,5.180
-771.506,229.488,673.556,-1.501,-16.369,3.737
-778.885,170.855,699.760,4.855,-16.315,2.343
-727.789,183.625,705.996,16.813,-14.944,1.678
-655.182,268.716,706.821,29.368,-12.370,2.490
-613.176,380.442,739.377,35.391,-9.906,4.854
-595.846,395.167,784.281,29.655,-9.076,6.795
-585.246,346.645,793.650,18.565,-9.815,6.549
-573.023,313.966,793.553,9.409,-10.859,4.519
-567.594,298.722,792.510,2.999,-11.468,2.541
-586.337,301.240,788.777,-1.058,-11.484,1.675
-614.487,287.029,802.537,-3.786,-10.114,1.747
-637.236,272.323,794.459,-5.625,-7.939,2.015
-631.559,267.571,812.168,-7.350,-5.781,1.252
-594.191,287.940,814.385,-7.757,-3.664,-0.247
-531.000,299.000,799.000,-6.370,-1.540,-1.820
-496.622,312.601,775.368,-4.301,0.066,-2.536
-514.319,326.785,750.955,-3.075,0.588,-2.094
-553.548,299.901,766.093,-4.198,0.624,-1.449
-599.886,289.225,746.437,-5.462,0.500,-1.345
-606.395,264.805,767.669,-5.890,0.633,-2.291
-617.245,281.587,739.113,-5.548,0.591,-2.792
-605.797,286.887,755.655,-5.491,0.573,-3.346
-593.420,306.383,770.225,-5.924,0.693,-3.471
-580.502,333.907,681.624,-6.985,1.162,-3.351
-542.339,264.189,791.858,-10.787,1.755,-4.141
-627.652,235.152,764.942,-15.386,-0.323,-1.961
-686.684,70.440,690.075,-18.488,-1.572,-0.036
-721.944,40.742,757.133,-14.297,0.417,-0.780
-718.203,204.309,729.659,-0.762,3.120,-1.419
-553.000,205.000,757.000,15.610,6.230,-1.400
-506.657,367.958,768.726,24.829,7.343,0.840
-545.342,483.035,792.938,16.896,6.383,1.713
-583.144,402.723,768.630,-0.502,4.219,0.090
-643.005,332.665,711.190,-16.004,1.252,-1.910
-660.513,256.376,734.952,-24.436,-0.362,-4.327
-659.268,253.155,708.085,-22.870,-1.030,-5.730
-614.144,236.282,710.385,-17.599,-1.348,-5.838
-593.424,255.829,711.353,-14.073,-1.890,-4.483
-604.641,287.869,736.207,-16.627,-2.929,-2.848
-617.391,255.675,773.953,-24.474,-3.777,-1.974
-617.991,201.199,760.661,-31.627,-4.451,-1.500
-588.931,111.156,754.601,-34.750,-4.770,-1.134
-574.478,64.216,729.783,-29.721,-4.570,-0.488
-577.441,57.850,727.900,-18.711,-3.850,0.283
-616.000,97.000,738.000,-7.910,-2.870,1.540
-648.436,168.136,747.730,-0.889,-2.057,2.782
-652.260,213.424,756.825,-0.116,-1.592,3.742
-653.453,243.816,752.303,-3.477,-1.620,4.295
-650.101,255.795,743.375,-7.616,-2.128,4.107
-649.512,252.111,718.168,-10.955,-2.783,3.822
-645.087,240.765,697.459,-12.491,-3.773,3.595
-648.529,247.642,694.752,-13.529,-4.977,3.579
