acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
357,-8,944,-3.01,0.49,-0.84
361,-5,941,-3.15,0.42,-0.77
363,-4,939,-3.15,0.35,-0.49
361,-9,941,-3.08,0.42,-0.35
358,-9,942,-2.66,0.49,-0.56
359,-4,948,-1.75,0.63,-0.84
361,5,950,-0.91,0.7,-0.91
360,10,950,-0.49,0.56,-0.63
358,7,945,-0.56,0.35,-0.35
355,0,940,-0.77,0.14,-0.35
353,-4,940,-0.84,0.07,-0.49
356,-9,942,-0.91,0.21,-0.63
354,-11,948,-0.77,0.49,-0.63
355,-8,950,-0.07,0.56,-0.7
356,-7,949,0.7,0.42,-0.7
356,-6,947,1.75,0.28,-0.7
355,-3,947,2.52,0.14,-0.91
354,-1,948,2.87,0.07,-0.98
356,1,945,2.73,0.07,-1.05
361,2,941,2.31,0.21,-0.91
361,3,939,1.82,0.35,-0.63
362,-3,939,1.33,0.77,-0.49
362,1,941,1.19,1.19,-0.56
360,3,938,0.84,1.61,-0.14
354,3,942,0.42,2.1,0.14
351,1,948,0.07,2.73,0.21
355,0,959,-0.07,3.43,0.35
362,5,967,-0.21,3.99,0.42
363,8,977,-0.63,4.2,0.63
356,4,978,-0.7,3.64,0.63
344,7,978,-0.14,2.59,0.28
339,9,978,0.49,1.33,-0.21
337,15,974,0.84,-0.21,-0.77
337,26,966,0.98,-1.82,-1.26
337,23,953,0.56,-3.5,-1.33
341,18,938,-0.21,-4.62,-1.47
345,20,919,-0.35,-5.53,-1.89
350,13,913,-0.63,-5.88,-1.68
351,13,907,-0.84,-5.6,-1.54
355,24,899,-0.42,-5.18,-1.33
361,32,893,0.56,-4.48,-0.98
360,30,891,1.33,-3.85,-0.35
360,32,886,2.03,-3.22,0.0
361,38,887,2.73,-2.38,0.14
363,44,885,2.8,-1.47,0.49
364,41,885,2.03,-0.49,1.19
366,32,885,0.91,0.42,1.61
363,24,885,0.07,1.19,1.82
358,18,884,-0.21,1.61,1.96
352,10,888,-0.21,1.82,2.03
345,0,895,-0.14,1.96,2.17
346,-10,903,0.07,2.17,2.17
352,-11,909,0.35,2.52,1.96
357,-6,919,0.42,2.87,1.82
358,-3,927,0.42,2.8,1.75
358,-9,941,0.35,2.59,1.68
355,-14,948,0.35,2.24,1.19
357,-4,945,0.7,1.89,0.56
358,0,944,0.63,1.54,0.28
356,-2,936,-0.49,1.33,0.35
356,1,934,-1.75,1.33,0.14
354,7,941,-3.08,1.33,-0.07
351,8,942,-4.41,1.19,0.0
351,6,940,-5.39,1.12,-0.07
