acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
510,21,852,1.96,1.89,-0.28
518,24,855,2.66,1.33,-0.42
535,29,851,3.08,0.91,-0.56
539,32,853,2.45,0.7,-0.49
521,43,853,1.33,0.77,-0.56
508,48,863,0.28,0.7,-0.35
520,45,861,-0.14,0.63,-0.14
533,46,855,0.35,0.42,0.35
537,37,851,0.49,0.49,1.05
536,17,856,-0.07,0.84,1.89
528,18,854,-0.98,1.26,1.96
517,30,856,-1.47,1.54,1.75
502,19,865,-2.45,1.33,1.82
491,6,878,-3.01,0.84,1.4
510,14,869,-1.82,0.35,0.49
537,22,859,-0.7,-0.21,0.35
542,7,854,-0.98,-0.49,0.77
535,7,847,-1.12,-0.56,0.7
532,20,840,-0.91,-0.49,0.63
531,7,842,-1.33,-0.56,1.19
513,0,846,-1.75,-0.42,1.12
509,11,846,-0.91,-0.07,0.56
525,18,844,-0.28,-0.14,0.42
532,13,839,-0.35,0.0,0.63
540,9,842,-0.28,0.56,0.77
539,9,849,-0.77,1.05,0.91
523,1,858,-1.47,1.54,1.26
511,-13,869,-2.17,1.75,1.4
517,-9,876,-1.68,1.68,0.7
521,4,879,-0.42,1.26,0.21
532,8,877,0.63,0.49,0.0
538,11,863,0.98,-0.7,-0.14
529,14,852,0.98,-1.68,-0.35
505,15,859,0.21,-2.24,-0.42
510,1,866,-1.05,-1.82,-0.07
543,14,862,-1.68,-0.98,-0.14
558,16,862,-2.03,-0.28,0.63
545,1,863,-1.89,0.14,1.12
539,9,848,-0.35,-0.07,0.49
532,12,834,0.91,-0.63,0.28
506,-2,833,0.77,-0.84,0.07
489,6,842,0.21,-0.91,-0.63
498,24,849,-0.63,-0.91,-0.77
511,35,853,-2.24,-1.05,-0.28
540,42,836,-2.87,-1.19,-0.28
558,37,820,-2.66,-1.47,-0.21
549,24,815,-2.24,-1.54,-0.14
534,21,817,-1.75,-1.12,-0.07
522,18,818,-1.68,-0.7,0.56
515,-6,825,-2.45,0.07,1.47
509,-13,839,-1.96,0.91,1.33
515,-6,848,-0.14,1.4,1.05
517,-2,856,1.19,1.26,0.84
516,-7,863,1.26,1.12,0.63
522,9,854,1.61,0.91,-0.35
520,13,858,1.05,0.56,-0.42
517,-3,862,-0.35,0.28,-0.35
528,-4,858,-0.56,0.0,-0.77
