acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-965,-109,240,2.17,-0.21,2.52
-966,-106,241,2.1,-0.14,2.59
-969,-98,238,2.1,-0.21,2.59
-968,-94,238,1.47,-0.14,2.8
-967,-98,242,0.28,-0.14,3.01
-966,-98,240,-0.35,-0.21,2.94
-970,-96,238,-0.21,-0.14,2.87
-968,-98,237,-0.35,-0.07,2.94
-965,-101,240,-0.56,-0.07,3.01
-968,-99,236,-0.28,-0.07,3.01
-972,-94,233,0.56,0.0,3.01
-975,-88,234,0.91,-0.07,3.01
-971,-84,238,0.63,-0.14,2.8
-970,-81,238,-0.21,-0.28,2.59
-973,-84,235,-0.98,-0.28,2.24
-971,-86,237,-1.19,-0.28,1.89
-968,-89,240,-1.12,-0.28,1.75
-968,-91,237,-1.05,-0.14,1.54
-968,-98,237,-0.7,0.0,1.33
-972,-102,231,0.0,0.07,1.19
-975,-99,230,1.26,0.14,0.91
-970,-96,236,2.17,0.14,0.91
-972,-93,238,2.73,0.14,0.63
-968,-90,239,2.59,0.21,0.63
-970,-90,236,1.89,0.14,0.98
-972,-91,233,1.47,0.14,1.12
-967,-97,236,0.7,0.21,1.4
-968,-100,237,0.21,0.21,1.54
-968,-97,237,0.28,0.14,1.61
-968,-96,235,0.07,0.14,1.82
-969,-94,237,-0.35,0.07,2.1
-970,-94,236,-0.84,0.07,2.31
-972,-95,233,-1.12,0.14,2.45
-973,-98,232,-1.33,0.07,2.66
-971,-94,231,-0.98,0.0,2.59
-974,-84,230,-0.49,-0.07,2.59
-972,-79,234,-0.56,-0.07,2.73
-972,-78,232,-1.19,-0.14,2.66
-972,-81,236,-1.54,-0.28,2.52
-970,-83,232,-1.54,-0.35,2.24
-973,-81,231,-1.05,-0.42,2.03
-975,-83,230,-0.7,-0.56,1.82
-973,-80,226,-0.35,-0.63,1.47
-975,-81,228,-0.07,-0.77,1.26
-976,-80,232,0.42,-0.98,0.91
-972,-79,233,0.63,-1.12,0.7
-970,-80,232,0.56,-1.19,0.56
-972,-83,234,0.56,-1.19,0.28
-976,-84,232,0.7,-1.19,0.14
-973,-83,233,0.98,-1.12,0.0
-967,-86,235,1.05,-0.98,-0.07
-967,-89,236,0.84,-0.91,-0.14
-972,-91,239,0.91,-0.91,-0.07
-969,-93,238,1.05,-0.77,0.07
-966,-91,236,1.19,-0.63,0.07
-969,-86,239,1.47,-0.56,0.21
-971,-82,241,1.19,-0.49,0.35
-971,-81,236,0.35,-0.35,0.49
-970,-81,236,-0.21,-0.21,0.49
-971,-80,236,-0.84,-0.21,0.56
-974,-80,235,-1.47,-0.21,0.77
-978,-85,234,-1.96,-0.28,0.77
-976,-89,232,-1.96,-0.35,0.7
-974,-86,228,-1.33,-0.49,0.63
-969,-78,230,-0.77,-0.63,0.56
-970,-78,232,-1.05,-0.77,0.63
-972,-82,230,-1.47,-0.84,0.56
-966,-91,230,-1.47,-0.84,0.42
-967,-91,231,-0.49,-0.91,0.14
-975,-86,233,0.98,-0.98,0.07
-973,-84,233,1.68,-0.91,0.14
-967,-91,233,1.54,-0.84,0.21
-971,-94,231,2.1,-0.84,0.28
-972,-95,232,2.87,-0.77,0.35
-972,-90,233,3.43,-0.7,0.42
-973,-84,238,3.57,-0.7,0.49
-967,-77,241,2.8,-0.56,0.49
-969,-76,242,1.4,-0.42,0.56
-974,-81,239,-0.21,-0.28,0.84
-974,-86,232,-1.54,-0.14,0.84
-973,-90,231,-1.82,-0.21,0.84
-974,-89,229,-1.47,-0.21,0.84
-972,-83,231,-1.19,-0.28,0.98
-971,-78,234,-1.12,-0.35,1.12
-973,-76,233,-1.19,-0.42,1.12
-970,-80,234,-1.47,-0.49,1.19
-969,-82,233,-1.68,-0.42,1.19
-971,-84,232,-1.33,-0.42,1.19
-970,-87,233,-0.84,-0.35,1.05
-969,-84,232,-0.07,-0.42,0.84
-972,-80,231,0.84,-0.42,0.84
-973,-78,231,1.05,-0.49,0.7
-971,-75,231,0.91,-0.63,0.56
-977,-75,232,0.84,-0.77,0.42
-980,-72,231,0.63,-0.91,0.14
-974,-65,229,0.14,-0.98,-0.07
-972,-64,235,-0.35,-1.12,-0.35
-977,-65,233,-1.19,-1.26,-0.63
-975,-74,232,-2.03,-1.26,-0.77
-971,-83,230,-2.24,-1.19,-1.19
-972,-85,231,-1.19,-1.19,-1.61
-972,-85,232,0.07,-1.19,-1.96
-972,-81,233,1.05,-1.19,-2.17
-970,-82,235,1.68,-1.19,-2.17
-969,-84,232,2.03,-0.98,-2.31
-972,-89,231,2.66,-0.91,-2.31
-969,-93,234,3.15,-0.98,-2.1
-970,-90,234,3.64,-0.98,-1.96
-972,-89,235,3.85,-0.98,-1.61
-973,-91,236,3.29,-0.98,-1.26
-970,-94,238,2.45,-0.98,-0.77
-964,-95,238,1.68,-0.84,-0.14
-964,-100,238,1.05,-0.7,0.35
-966,-100,238,0.91,-0.49,0.84
-968,-96,239,0.91,-0.35,1.26
-970,-87,240,0.42,-0.21,1.54
-969,-81,239,-0.7,-0.21,2.03
-970,-81,236,-1.89,-0.14,2.38
-974,-80,232,-2.59,-0.14,2.45
-976,-72,231,-2.94,-0.21,2.31
-958,-96,227,-3.15,-0.14,2.52
-983,-71,243,-2.38,-0.77,2.94
-988,-22,230,-3.01,-0.63,-0.7
-972,-58,233,-6.44,-0.56,0.63
-964,-104,224,-7.28,-0.49,1.82
-966,-109,219,-2.45,-0.63,0.91
-971,-83,231,2.8,-1.05,0.0
-977,-66,236,4.06,-1.12,-0.49
-972,-69,235,2.94,-1.05,-0.63
-973,-71,233,2.24,-0.98,-0.84
-973,-72,233,2.03,-0.84,-0.91
-972,-78,235,1.75,-0.77,-0.84
-973,-80,232,1.89,-0.77,-1.12
-971,-83,230,2.31,-0.7,-1.12
-970,-86,236,2.45,-0.84,-0.91
-969,-87,237,2.03,-0.84,-0.84
-959,-89,240,1.89,-0.84,-0.77
-977,-88,236,1.05,-0.35,0.49
-984,-79,233,-0.42,-0.63,0.49
-967,-75,235,-1.75,-0.7,-0.14
-967,-90,236,-3.01,-0.7,0.35
-970,-94,232,-2.66,-0.63,0.63
-972,-82,232,-1.4,-0.7,0.56
-970,-70,234,-1.33,-0.91,0.35
-973,-68,234,-2.1,-1.05,0.56
-973,-76,233,-2.87,-1.05,0.7
-974,-81,230,-2.94,-1.12,0.42
-977,-78,228,-2.24,-1.26,0.0
-973,-71,230,-1.68,-1.4,-0.42
-975,-70,233,-1.33,-1.54,-0.7
-977,-68,229,-1.05,-1.68,-1.05
-973,-73,228,-0.77,-1.75,-1.4
-975,-80,231,-0.07,-1.89,-1.75
-975,-78,233,1.26,-2.03,-2.31
-973,-71,233,2.17,-2.1,-2.87
-973,-67,235,2.24,-2.17,-3.29
-971,-73,237,1.54,-2.24,-3.5
-973,-82,233,0.98,-2.24,-3.71
-969,-86,234,1.33,-2.31,-4.06
-971,-86,236,1.89,-2.24,-4.06
-974,-80,236,1.96,-2.17,-4.13
-969,-81,237,1.54,-2.24,-4.06
-968,-85,238,0.98,-2.24,-3.85
-971,-91,238,0.35,-2.17,-3.5
-969,-95,240,0.07,-2.17,-3.36
-966,-97,240,0.0,-2.1,-3.22
-963,-99,240,0.14,-2.1,-3.08
-965,-98,244,0.49,-2.03,-2.8
-968,-93,241,0.35,-1.75,-2.66
-967,-87,239,-0.14,-1.75,-2.59
-972,-89,240,-0.98,-1.75,-2.52
-971,-89,237,-1.61,-1.75,-2.66
-966,-91,239,-1.75,-1.82,-2.8
-972,-92,240,-1.47,-1.82,-2.8
-974,-91,237,-1.05,-1.82,-2.94
-970,-92,238,-0.84,-1.89,-3.01
-973,-92,236,-0.49,-1.96,-3.15
-973,-90,237,-0.28,-2.03,-3.29
-968,-89,238,-0.35,-2.1,-3.5
-969,-91,240,-0.07,-2.24,-3.57
-970,-92,240,0.14,-2.31,-3.71
-964,-100,240,0.21,-2.17,-3.78
-961,-113,241,0.35,-2.17,-3.57
-965,-125,240,1.61,-2.1,-3.29
-966,-126,241,3.85,-1.89,-3.29
-965,-119,243,6.09,-1.68,-3.36
-964,-105,244,7.42,-1.54,-3.22
-966,-102,246,7.28,-1.33,-2.66
-964,-107,246,6.23,-1.26,-2.17
-963,-112,245,5.6,-1.19,-1.82
-964,-114,245,5.81,-1.05,-1.68
-967,-104,245,6.02,-1.05,-1.61
-967,-95,246,5.74,-1.05,-1.19
-967,-90,247,4.34,-0.98,-0.91
-968,-92,247,2.31,-0.91,-0.63
-967,-93,247,0.7,-0.84,-0.42
-967,-94,248,-0.56,-0.91,-0.21
-967,-95,245,-1.54,-0.77,-0.14
-968,-100,244,-2.45,-0.77,0.0
-968,-106,240,-2.87,-0.77,0.07
-970,-109,241,-2.52,-0.77,0.0
-965,-110,243,-1.47,-0.91,0.07
-965,-104,245,-0.14,-0.84,0.14
-971,-101,245,0.84,-0.77,0.14
-964,-101,242,0.91,-0.7,0.28
-966,-103,240,1.05,-0.84,0.28
-972,-109,240,1.19,-0.84,0.42
-971,-103,241,1.4,-0.84,0.42
-970,-89,244,1.96,-0.98,0.49
-972,-82,248,1.4,-1.12,0.7
-965,-87,246,-0.77,-1.05,0.91
-963,-106,241,-2.52,-0.91,0.91
-963,-119,242,-2.45,-0.98,0.91
-967,-117,243,-0.35,-1.05,1.05
-965,-103,246,1.82,-1.05,1.05
-965,-99,249,1.96,-1.05,1.26
-966,-102,247,0.77,-0.84,1.26
-965,-106,247,0.49,-0.77,1.19
-966,-99,244,0.98,-0.63,1.33
-968,-94,244,1.4,-0.42,1.54
-968,-98,247,0.84,-0.35,1.75
-967,-101,247,0.42,-0.28,1.82
-964,-100,247,0.35,-0.21,1.96
-966,-102,249,-0.14,-0.14,2.38
-964,-105,246,-0.56,0.07,2.73
-963,-108,245,-0.42,0.21,2.94
-964,-109,246,0.28,0.35,3.01
-965,-103,246,1.12,0.49,3.22
-965,-97,246,1.19,0.7,3.43
-966,-100,246,0.63,0.84,3.71
-969,-97,243,0.35,0.91,3.85
-971,-90,239,0.56,0.98,4.06
-970,-88,239,0.28,0.91,4.2
-970,-88,240,-0.42,0.91,4.2
-971,-87,239,-0.84,0.84,4.13
-968,-89,240,-1.05,0.77,4.13
-969,-87,238,-0.84,0.63,4.06
-972,-85,239,-0.63,0.49,4.06
-970,-86,238,-0.84,0.42,3.99
-971,-84,235,-0.7,0.42,3.71
-971,-85,235,-0.42,0.35,3.5
-973,-80,235,0.07,0.28,3.29
-976,-70,237,0.91,0.07,3.15
-971,-69,242,0.84,-0.07,3.08
-965,-73,242,-0.07,-0.14,3.08
-968,-85,242,-0.63,-0.21,3.08
-969,-89,239,0.0,-0.14,2.73
-968,-87,239,0.98,-0.07,2.52
-968,-85,240,1.61,0.0,2.52
-971,-87,239,1.75,0.14,2.45
-971,-88,240,2.1,0.42,2.31
-972,-81,240,2.94,0.56,2.17
-973,-75,241,3.36,0.7,2.1
-971,-71,239,2.87,0.77,2.1
-970,-71,239,2.03,0.77,2.17
-971,-71,238,1.12,0.77,2.1
-971,-66,237,0.35,0.7,2.03
-974,-67,239,-0.7,0.7,1.96
-976,-66,237,-1.68,0.7,1.82
-976,-60,235,-2.03,0.63,1.47
-975,-52,236,-2.17,0.42,0.98
-976,-42,237,-2.8,0.14,0.7
-972,-41,239,-4.34,0.0,0.49
-971,-45,237,-6.02,-0.21,-0.07
-974,-56,235,-6.86,-0.35,-0.49
-976,-62,229,-6.51,-0.42,-1.26
-976,-66,227,-5.18,-0.49,-1.89
-978,-64,230,-3.36,-0.7,-2.66
-978,-56,231,-1.89,-0.91,-3.36
-972,-57,235,-1.61,-1.12,-3.92
-973,-59,230,-1.75,-1.33,-4.55
-979,-68,225,-1.47,-1.61,-5.04
-981,-73,223,-0.84,-1.89,-5.67
-981,-68,227,0.14,-2.31,-6.3
-975,-58,235,0.56,-2.59,-6.72
-968,-57,243,-0.49,-2.8,-6.93
-964,-69,241,-2.59,-2.87,-7.14
-963,-83,240,-3.92,-3.01,-7.49
-969,-88,238,-3.36,-3.22,-7.98
-975,-85,235,-2.24,-3.36,-8.33
-973,-83,236,-2.03,-3.36,-8.4
-971,-87,240,-2.45,-3.43,-8.33
-969,-96,244,-2.8,-3.43,-8.05
-966,-108,242,-2.87,-3.15,-7.77
-965,-117,237,-1.89,-3.08,-7.63
-964,-124,239,-0.49,-2.87,-7.42
-964,-123,245,0.84,-2.59,-7.07
-963,-120,249,1.89,-2.52,-6.72
-963,-110,243,2.1,-2.38,-6.44
-969,-110,241,1.26,-2.45,-5.88
