acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
83,0,-1004,0.07,-0.77,0.14
84,-1,-1004,0.07,-0.7,0.21
84,0,-1006,0.14,-0.63,0.28
84,-1,-1005,0.35,-0.49,0.35
85,0,-1005,0.42,-0.49,0.49
85,0,-1005,0.56,-0.42,0.49
84,-2,-1005,0.56,-0.42,0.42
84,-2,-1005,0.49,-0.42,0.42
83,-2,-1003,0.35,-0.42,0.35
84,-2,-1003,0.21,-0.49,0.35
84,-1,-1004,0.14,-0.49,0.28
85,-2,-1004,0.0,-0.42,0.35
84,-2,-1005,0.0,-0.35,0.42
84,-1,-1005,0.14,-0.21,0.42
84,-1,-1005,0.14,-0.14,0.35
86,-2,-1005,0.07,-0.21,0.21
84,-2,-1004,-0.07,-0.21,0.14
84,-2,-1004,-0.14,-0.28,0.14
85,-1,-1005,-0.14,-0.21,0.14
85,-1,-1005,-0.14,-0.14,0.14
84,-1,-1005,-0.21,-0.14,0.21
86,-2,-1003,-0.35,-0.14,0.21
86,-2,-1003,-0.63,-0.28,0.14
87,-2,-1002,-1.05,-0.49,0.07
87,-1,-1004,-1.4,-0.63,0.0
86,0,-1003,-1.4,-0.7,-0.07
85,0,-1004,-1.4,-0.7,-0.07
87,0,-1005,-1.26,-0.7,0.0
85,0,-1005,-1.05,-0.63,0.0
86,0,-1005,-0.77,-0.63,0.0
85,0,-1004,-0.7,-0.63,0.0
86,0,-1004,-0.56,-0.7,0.0
86,0,-1005,-0.56,-0.77,-0.07
85,0,-1004,-0.42,-0.77,0.0
84,0,-1004,-0.28,-0.77,0.0
85,1,-1003,-0.14,-0.7,0.07
85,1,-1006,0.07,-0.63,0.14
84,0,-1005,0.35,-0.7,0.28
85,0,-1005,0.49,-0.7,0.35
86,0,-1004,0.56,-0.7,0.35
85,0,-1005,0.7,-0.77,0.35
85,0,-1005,0.84,-0.77,0.35
85,0,-1004,1.05,-0.77,0.49
84,-1,-1004,1.12,-0.77,0.49
85,-1,-1004,1.12,-0.77,0.49
86,0,-1005,1.05,-0.7,0.42
85,0,-1004,0.98,-0.77,0.42
85,0,-1005,0.98,-0.84,0.35
85,-2,-1006,1.05,-0.84,0.35
86,-2,-1005,1.05,-0.84,0.28
86,-1,-1004,0.91,-0.84,0.21
86,-2,-1004,0.77,-0.84,0.21
86,-1,-1005,0.63,-0.91,0.14
86,-2,-1005,0.49,-0.84,0.07
85,-2,-1005,0.35,-0.91,0.07
85,-2,-1004,0.21,-0.91,0.0
85,-2,-1003,0.14,-0.91,-0.07
85,-2,-1004,0.0,-0.98,-0.07
85,-2,-1005,0.0,-0.98,-0.14
86,-3,-1005,-0.07,-0.98,-0.07
85,-1,-1005,-0.07,-0.98,-0.07
86,-2,-1005,0.07,-0.98,-0.07
85,-2,-1004,0.07,-0.91,-0.07
85,-1,-1004,0.14,-0.91,-0.14
85,-2,-1004,0.14,-0.84,-0.07
84,-2,-1006,0.21,-0.84,-0.14
84,-2,-1005,0.28,-0.77,-0.07
85,-2,-1005,0.35,-0.7,-0.07
83,-2,-1005,0.42,-0.7,0.0
85,-3,-1005,0.42,-0.63,0.0
86,-2,-1004,0.35,-0.63,0.0
85,-2,-1004,0.35,-0.63,0.0
85,-2,-1004,0.35,-0.63,0.0
85,-2,-1005,0.42,-0.63,0.07
85,-2,-1005,0.42,-0.56,0.14
84,-3,-1004,0.49,-0.56,0.14
84,-2,-1004,0.56,-0.49,0.21
84,-3,-1003,0.49,-0.56,0.14
85,-3,-1004,0.49,-0.63,0.14
84,-3,-1005,0.42,-0.63,0.21
85,-3,-1005,0.49,-0.7,0.28
86,-3,-1004,0.49,-0.7,0.28
84,-3,-1004,0.56,-0.7,0.42
86,-3,-1006,0.63,-0.7,0.42
85,-4,-1006,0.7,-0.7,0.49
86,-4,-1004,0.56,-0.77,0.42
85,-4,-1004,0.35,-0.84,0.35
85,-4,-1005,0.21,-0.91,0.28
85,-4,-1004,0.21,-0.91,0.21
85,-4,-1005,0.28,-0.84,0.21
85,-4,-1003,0.28,-0.84,0.21
85,-4,-1005,0.21,-0.91,0.21
85,-4,-1004,0.14,-0.91,0.14
86,-4,-1005,0.14,-0.84,0.21
85,-4,-1004,0.21,-0.77,0.28
85,-3,-1005,0.28,-0.77,0.28
86,-3,-1004,0.42,-0.77,0.35
85,-4,-1004,0.56,-0.7,0.42
85,-3,-1006,0.84,-0.63,0.63
84,-4,-1004,0.98,-0.56,0.84
85,-5,-1006,0.91,-0.56,0.84
85,-5,-1005,0.91,-0.49,0.77
85,-4,-1007,0.98,-0.49,0.7
85,-6,-1006,1.19,-0.35,0.63
86,-5,-1007,1.33,-0.28,0.63
85,-5,-1004,1.47,-0.14,0.56
85,-5,-1004,1.47,-0.14,0.56
85,-7,-1006,1.54,-0.07,0.63
