acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-70,92,-994,3.29,0.28,1.33
-71,86,-989,3.15,0.63,1.47
-72,76,-988,3.22,0.77,1.89
-71,62,-991,3.92,0.63,2.17
-69,57,-1002,5.04,0.63,2.17
-73,46,-1008,5.81,0.77,2.1
-71,50,-1003,6.23,0.77,1.82
-71,54,-997,5.95,0.63,1.54
-68,54,-1000,4.9,0.21,1.47
-64,51,-1007,3.92,-0.21,1.4
-64,53,-1011,3.01,-0.49,1.33
-68,58,-1012,1.96,-0.49,1.26
-68,57,-1013,1.4,-0.28,1.12
-65,52,-1017,0.91,-0.07,0.84
-63,57,-1011,0.63,0.07,0.7
-63,62,-1001,0.63,0.14,0.7
-63,67,-990,1.05,-0.07,0.56
-66,72,-981,0.91,-0.42,0.56
-72,80,-984,0.42,-0.84,0.42
-70,84,-992,-0.14,-1.12,0.42
-66,74,-997,-1.4,-0.91,0.84
-69,70,-998,-2.1,-0.49,0.84
-68,65,-1001,-1.68,-0.21,0.91
-64,59,-1008,-1.4,0.28,0.98
-69,65,-997,-1.12,0.56,0.91
-74,72,-991,-0.98,0.49,0.77
-76,71,-996,-0.91,-0.07,0.77
-77,68,-1005,-0.77,-0.56,0.84
-81,68,-1011,-0.42,-0.84,0.84
-82,72,-1018,-0.07,-0.84,0.91
-80,61,-1035,0.28,-0.49,0.84
-78,43,-1040,0.49,0.35,0.56
-85,47,-1022,1.19,0.91,0.21
-89,54,-1001,2.03,0.77,0.14
-78,53,-1000,2.38,0.28,-0.07
-69,46,-1008,2.52,-0.07,-0.21
-67,52,-1017,2.38,-0.07,-0.56
-65,64,-1020,1.4,0.21,-0.77
-66,62,-1014,-0.63,0.49,-0.7
-73,64,-1001,-2.73,0.42,-0.77
-75,64,-990,-3.99,0.07,-0.7
-70,60,-992,-4.41,-0.49,-0.84
-66,56,-1003,-3.85,-0.84,-1.12
-64,61,-1012,-3.22,-0.98,-1.26
-61,71,-1009,-3.43,-0.84,-1.4
-67,75,-998,-4.62,-0.56,-1.33
-72,72,-989,-5.18,-0.42,-1.4
-68,72,-989,-4.48,-0.63,-1.47
-68,78,-994,-3.71,-0.91,-1.26
-67,87,-997,-3.29,-1.05,-1.05
-63,93,-1000,-3.57,-0.98,-0.98
-62,93,-995,-4.13,-0.91,-0.84
-63,91,-994,-3.64,-0.84,-0.63
-66,91,-1004,-1.54,-0.98,-0.42
-60,89,-1013,0.77,-1.05,-0.14
-65,91,-1013,1.82,-0.84,0.35
-71,89,-1003,2.31,-0.77,0.49
-70,89,-994,2.38,-0.84,0.49
-71,84,-993,2.59,-1.33,0.49
-69,79,-1002,2.94,-1.68,0.63
-70,79,-1006,3.22,-1.61,0.84
-72,77,-1003,3.01,-1.33,1.05
-73,73,-995,2.52,-1.12,1.19
-70,63,-996,2.17,-0.84,0.98
-70,54,-989,1.96,-0.42,0.84
-76,54,-976,2.24,-0.35,0.91
-75,57,-980,3.15,-0.7,0.98
-68,55,-994,3.99,-0.77,0.91
-71,47,-1013,3.57,-0.56,0.84
-70,47,-1023,2.8,-0.21,0.77
-71,50,-1017,1.82,0.21,0.84
-73,47,-1000,1.12,0.63,0.7
-72,48,-988,1.4,0.42,0.28
-72,54,-997,2.24,-0.28,0.0
-71,62,-1013,2.73,-0.84,0.0
-70,72,-1020,1.96,-0.84,0.07
-73,75,-1012,0.35,-0.56,0.21
-71,73,-1006,-0.98,-0.35,0.14
-68,67,-1008,-1.12,-0.42,0.0
-70,57,-1008,-0.56,-0.49,0.07
-74,53,-1005,0.77,-0.63,0.14
-70,56,-1004,1.82,-0.63,-0.07
-69,60,-998,2.17,-0.49,-0.07
-67,65,-992,1.82,-0.21,-0.21
-66,69,-990,1.54,-0.21,-0.21
-63,70,-997,1.26,-0.35,-0.07
-64,76,-996,0.91,-0.35,0.07
-71,73,-997,0.35,-0.56,0.35
-71,73,-999,0.14,-0.7,0.42
-68,71,-1000,0.14,-0.7,0.56
-69,63,-999,0.42,-0.56,0.7
-68,58,-1001,1.68,-0.42,0.63
-65,62,-1011,3.15,-0.28,0.56
-63,57,-1022,3.78,-0.14,0.63
-62,60,-1025,3.43,-0.07,0.63
-63,62,-1017,2.52,-0.28,0.77
-62,59,-1015,1.68,-0.56,0.77
-59,57,-1018,1.12,-0.84,0.56
-60,51,-1013,0.63,-0.77,0.35
-60,54,-1002,0.91,-0.7,0.35
-59,58,-997,1.19,-0.84,0.42
-63,60,-994,0.98,-0.84,0.42
-63,56,-987,0.63,-0.77,0.56
-66,53,-979,0.42,-0.77,0.7
-67,51,-982,1.26,-0.7,0.7
-62,47,-994,1.82,-0.56,0.63
-59,42,-1005,1.75,-0.42,0.7
-62,44,-1008,1.96,-0.42,0.77
-64,50,-1009,1.96,-0.42,0.7
-63,50,-1011,1.54,-0.49,0.56
-64,51,-1011,0.98,-0.56,0.28
-63,57,-1013,0.56,-0.7,0.0
-65,58,-1014,-0.21,-0.77,-0.07
-67,55,-1012,-0.98,-0.91,-0.07
-68,54,-1007,-1.33,-0.77,-0.14
-68,59,-994,-1.05,-0.63,-0.14
-64,65,-989,-0.49,-0.77,-0.14
-60,64,-994,-0.28,-0.91,-0.21
-63,61,-1002,-0.28,-1.05,-0.14
-65,60,-1020,0.0,-1.4,-0.07
-63,63,-1030,0.28,-1.33,0.07
-67,60,-1027,-0.49,-0.91,0.14
-66,52,-1011,-1.47,-0.28,-0.14
-67,49,-987,-1.4,0.07,-0.49
-70,52,-978,-0.49,-0.35,-0.56
-66,61,-990,0.35,-1.05,-0.63
-64,62,-1002,0.14,-1.19,-0.42
-70,62,-1003,-1.12,-0.98,-0.28
-72,66,-998,-2.45,-0.77,-0.28
-73,67,-996,-3.64,-0.7,-0.49
-73,58,-995,-4.34,-0.56,-0.77
-76,52,-995,-3.92,-0.42,-1.05
-78,59,-999,-2.52,-0.56,-1.12
-77,73,-1010,-1.33,-0.91,-1.19
-74,79,-1018,-1.96,-1.05,-1.05
-79,71,-1028,-3.15,-1.19,-0.98
-76,67,-1030,-4.06,-1.19,-0.98
-75,64,-1021,-4.2,-1.12,-1.05
-75,57,-1012,-3.64,-1.19,-1.05
