acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-807,100,-621,8.54,3.64,1.47
-808,90,-628,7.21,3.78,1.47
-806,92,-631,6.51,3.85,1.33
-794,103,-631,5.46,3.57,1.26
-782,110,-627,2.73,3.64,1.26
-771,108,-626,0.35,3.64,1.12
-762,106,-628,-1.33,3.64,0.77
-756,102,-633,-1.47,3.85,0.7
-754,93,-636,-0.14,4.13,0.91
-748,85,-629,1.47,4.69,1.12
-746,82,-629,3.78,5.39,1.19
-749,85,-640,6.58,5.46,1.26
-751,95,-646,8.96,5.53,1.26
-758,112,-648,9.73,5.6,1.19
-765,116,-641,8.4,5.46,1.12
-769,106,-643,7.21,5.25,1.12
-771,90,-646,7.56,5.04,1.4
-777,80,-646,7.84,5.11,1.75
-774,76,-644,8.61,5.18,1.68
-768,77,-644,8.82,5.11,1.47
-768,81,-644,7.98,4.97,1.33
-771,89,-648,6.09,4.9,1.4
-778,83,-654,3.36,4.69,1.47
-783,74,-658,1.26,4.27,1.33
-777,69,-650,-0.56,4.2,0.91
-772,71,-644,-1.05,4.27,0.49
-769,76,-646,0.21,3.85,0.49
-773,92,-653,1.26,3.5,0.7
-779,113,-656,1.19,3.36,0.84
-772,126,-662,0.07,2.8,0.7
-760,122,-662,-1.12,2.17,0.49
-757,111,-655,-1.61,2.1,0.49
-751,101,-652,-0.63,1.96,0.56
-748,96,-656,1.68,1.68,0.63
-743,98,-662,4.13,1.68,0.77
-743,106,-661,5.04,1.75,0.91
-747,106,-659,4.62,1.61,0.84
-742,96,-659,3.85,1.47,0.63
-733,85,-661,3.85,1.33,0.49
-734,76,-663,4.83,1.33,0.42
-739,75,-668,5.46,1.4,0.49
-738,81,-669,5.6,1.26,0.35
-735,84,-676,4.76,1.05,0.0
-738,86,-668,3.64,0.84,-0.21
-738,83,-662,1.82,0.91,-0.35
-735,79,-658,1.12,0.7,-0.56
-740,72,-667,1.12,0.7,-0.49
-745,79,-669,2.31,0.56,-0.56
-743,88,-664,1.61,0.7,-0.7
-743,91,-656,0.07,0.7,-0.84
-740,77,-653,-0.42,0.63,-0.91
-747,74,-654,0.14,0.63,-0.98
-754,80,-663,1.68,0.77,-0.84
-757,89,-668,2.73,0.49,-0.7
-755,99,-667,2.17,0.42,-0.77
-755,98,-666,1.61,0.21,-1.05
-749,96,-656,1.12,-0.07,-1.26
-751,90,-658,0.21,-0.07,-0.98
-756,81,-666,1.61,-0.56,-0.77
-756,78,-666,2.52,-0.49,-0.7
-759,80,-657,2.24,-0.28,-0.84
-760,73,-653,2.66,-0.28,-0.91
-756,68,-657,3.29,-0.42,-0.91
-758,70,-662,3.43,-0.49,-0.77
-761,77,-666,3.01,-0.49,-0.7
-759,74,-668,1.4,-0.77,-0.77
-755,66,-670,0.14,-0.98,-1.05
-753,65,-664,-0.07,-1.26,-1.19
-751,72,-659,-0.56,-1.26,-1.19
-748,77,-656,-0.56,-1.26,-1.19
-750,80,-655,-0.91,-1.26,-1.19
-753,83,-661,-0.56,-1.33,-1.19
-753,87,-665,-0.07,-1.4,-1.12
-753,94,-666,-0.28,-1.47,-1.12
-754,89,-663,-0.49,-1.75,-0.98
-755,83,-662,-0.21,-1.96,-1.05
-755,80,-660,0.63,-2.17,-0.91
-756,76,-657,0.98,-2.1,-0.63
-750,73,-655,1.33,-2.03,-0.63
-750,71,-655,1.89,-1.96,-0.49
-752,67,-648,1.4,-1.61,-0.49
-754,63,-643,0.98,-1.19,-0.56
-755,55,-646,1.61,-0.91,-0.49
-761,59,-653,2.38,-0.56,-0.35
-760,70,-660,2.87,-0.28,-0.21
-758,79,-670,3.29,-0.42,-0.14
-758,87,-664,2.66,-0.49,-0.21
-762,85,-657,0.77,-0.56,-0.42
-760,71,-656,0.84,-1.05,-0.56
