acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-749,-63,-664,-5.95,3.01,0.91
-749,-60,-663,-4.69,3.15,0.84
-746,-51,-664,-3.64,3.5,0.84
-743,-46,-666,-2.66,3.71,0.84
-741,-38,-669,-1.68,3.85,0.91
-738,-30,-669,-0.98,4.13,1.05
-735,-23,-674,-0.56,4.34,1.26
-732,-19,-678,-0.28,4.48,1.47
-729,-13,-679,0.14,4.48,1.61
-733,-10,-677,0.0,4.34,1.89
-740,-9,-685,-0.21,4.2,2.17
-743,-3,-689,-0.14,3.78,2.31
-745,12,-692,-0.77,3.29,2.73
-757,25,-695,-1.89,2.87,3.29
-755,37,-686,-3.71,1.89,3.64
-745,45,-682,-5.95,1.26,3.92
-743,53,-684,-7.49,1.05,4.41
-744,74,-672,-9.38,0.91,5.32
-737,96,-653,-11.41,0.98,6.44
-738,99,-656,-13.3,1.54,7.63
-748,73,-660,-15.54,1.19,8.54
-751,26,-654,-14.7,0.7,8.68
-752,-33,-661,-8.96,0.91,8.54
-752,-70,-663,0.07,1.05,9.03
-737,-91,-664,12.18,1.82,9.87
-725,-95,-659,23.87,2.87,11.27
-712,-104,-664,35.49,3.57,12.25
-707,-96,-684,46.55,4.2,12.81
-710,-78,-694,53.76,4.55,13.3
-710,-66,-707,57.05,4.9,13.3
-713,-69,-693,56.42,4.9,13.09
-718,-88,-699,54.46,4.83,12.39
-728,-109,-699,51.8,4.48,11.69
-739,-126,-706,47.11,4.2,10.92
-744,-156,-711,42.77,3.99,9.8
-750,-174,-715,37.45,3.71,8.89
-758,-177,-714,32.13,3.15,7.42
-756,-175,-705,25.41,2.38,5.6
-755,-164,-707,17.64,1.61,3.99
-761,-152,-707,9.94,0.84,2.38
-765,-131,-707,0.98,-0.14,0.63
-764,-132,-707,-7.28,-0.84,-1.05
-766,-132,-708,-14.98,-1.54,-2.45
-762,-132,-707,-20.51,-2.24,-3.78
-754,-129,-701,-24.85,-2.66,-5.04
-740,-121,-700,-28.98,-2.73,-6.09
-732,-120,-698,-32.06,-2.94,-7.21
-722,-116,-693,-33.67,-2.87,-8.12
-718,-121,-707,-34.93,-2.45,-8.82
-711,-123,-706,-35.28,-2.38,-9.66
-694,-119,-702,-34.44,-1.54,-10.71
-680,-114,-697,-33.95,-0.56,-11.48
-673,-101,-701,-33.46,0.14,-12.11
-669,-87,-695,-33.25,0.77,-12.74
-675,-85,-702,-32.55,1.68,-13.65
-697,-71,-712,-32.13,2.1,-14.42
-712,-42,-723,-31.78,1.54,-15.33
-711,-16,-719,-32.69,1.12,-16.45
-713,-3,-721,-35.35,0.91,-17.29
-719,12,-708,-38.08,0.0,-17.71
-723,28,-701,-40.53,-1.12,-18.06
-720,37,-691,-43.82,-2.03,-18.55
-715,29,-680,-46.97,-2.45,-19.18
-711,18,-686,-47.6,-2.59,-19.74
-710,18,-677,-47.25,-3.08,-19.81
-709,11,-676,-44.94,-3.01,-19.74
-713,11,-679,-41.23,-2.73,-19.18
-711,26,-674,-37.52,-2.66,-18.55
-704,25,-660,-34.37,-2.38,-18.06
-707,32,-654,-32.27,-2.1,-17.57
-729,43,-654,-30.1,-2.45,-16.94
-734,56,-682,-26.04,-2.59,-16.87
-737,64,-669,-22.19,-2.17,-16.66
-769,92,-671,-19.88,-1.96,-15.61
-768,98,-667,-16.52,-2.66,-14.98
-750,109,-658,-14.21,-3.85,-14.77
-752,109,-656,-11.62,-4.06,-14.07
-762,110,-650,-8.61,-4.27,-13.02
-757,113,-646,-4.97,-4.62,-11.62
-760,99,-643,0.21,-4.69,-10.36
-774,90,-644,6.37,-4.41,-8.68
-784,83,-648,12.18,-4.27,-6.93
-792,68,-640,17.22,-4.55,-5.53
-792,50,-639,21.7,-4.48,-4.27
-792,31,-644,25.34,-4.06,-3.15
-800,8,-649,30.03,-3.5,-1.96
-797,2,-647,34.16,-3.15,-0.56
-796,-1,-643,36.19,-2.8,0.84
-792,-3,-643,36.96,-2.31,1.96
-779,-4,-645,35.98,-2.17,2.59
-762,-9,-646,33.18,-2.03,2.87
-745,-18,-659,29.96,-1.4,3.08
-731,-30,-663,26.46,-0.98,3.29
-719,-51,-660,23.17,-0.49,3.5
-716,-83,-658,20.79,0.56,3.71
