acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-314,-958,37,0.14,-0.84,-0.07
-313,-956,37,0.07,-0.84,0.0
-314,-956,36,0.07,-0.84,0.0
-313,-954,37,0.14,-0.84,-0.07
-314,-956,37,0.0,-0.84,-0.07
-313,-954,37,-0.07,-0.84,-0.21
-314,-954,37,0.0,-0.91,-0.28
-313,-955,38,0.0,-0.84,-0.42
-314,-955,38,-0.07,-0.84,-0.42
-313,-956,39,-0.07,-0.84,-0.42
-312,-955,38,0.0,-0.7,-0.49
-311,-956,38,-0.21,-0.7,-0.42
-312,-956,38,-0.28,-0.63,-0.49
-312,-957,38,-0.28,-0.56,-0.35
-313,-959,37,-0.14,-0.49,-0.35
-313,-960,38,0.0,-0.49,-0.28
-313,-957,37,0.14,-0.49,-0.21
-312,-957,38,0.21,-0.49,-0.07
-313,-958,37,0.07,-0.49,-0.07
-313,-957,36,0.07,-0.56,-0.07
-315,-954,36,0.07,-0.56,0.0
-314,-956,36,-0.07,-0.63,0.0
-315,-958,37,-0.21,-0.7,0.0
-313,-957,37,-0.21,-0.7,0.0
-314,-955,36,-0.07,-0.7,0.07
-314,-955,42,-0.14,-0.7,0.0
-315,-950,47,-0.84,-0.77,0.14
-302,-959,12,-0.14,-1.33,0.07
-323,-957,36,0.84,-0.28,-0.63
-321,-952,52,-0.35,-0.42,-0.35
-304,-951,40,-0.56,-1.33,-0.21
-308,-951,37,0.0,-0.91,-0.63
-328,-944,42,-0.91,-0.84,-0.7
-316,-956,34,-1.47,-1.05,-0.42
-304,-959,34,-1.61,-0.84,-0.98
-310,-958,34,-1.4,-0.77,-1.19
-309,-959,36,-0.84,-0.77,-1.26
-312,-956,40,-0.56,-0.63,-1.33
-313,-955,39,-0.77,-0.7,-1.12
-309,-957,35,-0.91,-0.84,-1.12
-311,-961,34,-1.12,-0.7,-1.12
-313,-963,36,-0.91,-0.7,-1.05
-312,-963,36,-0.42,-0.7,-0.91
-311,-958,38,-0.07,-0.63,-0.7
-312,-957,38,-0.28,-0.7,-0.49
-309,-959,35,-0.42,-0.77,-0.28
-310,-962,34,-0.42,-0.7,-0.21
-311,-961,37,-0.35,-0.56,0.0
-311,-961,36,-0.14,-0.63,0.21
-310,-958,35,-0.14,-0.63,0.28
-312,-958,35,0.0,-0.56,0.42
-311,-956,37,0.0,-0.63,0.42
-312,-958,34,0.07,-0.56,0.42
-311,-956,34,0.42,-0.56,0.28
-313,-954,35,0.35,-0.56,0.14
-312,-953,36,0.35,-0.63,0.0
-312,-951,35,0.14,-0.7,-0.21
-311,-952,34,-0.28,-0.77,-0.35
-313,-955,34,-0.35,-0.77,-0.56
-313,-955,33,-0.35,-0.91,-0.77
-312,-958,34,-0.28,-0.91,-0.91
-312,-957,35,-0.14,-0.91,-0.98
-311,-956,38,-0.14,-0.91,-0.98
-312,-956,36,-0.14,-0.91,-0.98
-310,-957,36,-0.21,-0.91,-0.98
-309,-960,36,-0.35,-0.84,-0.84
-309,-961,34,-0.07,-0.77,-0.84
-310,-959,37,0.07,-0.7,-0.77
-309,-960,35,0.07,-0.77,-0.63
-309,-959,37,0.28,-0.63,-0.63
-310,-957,36,0.07,-0.63,-0.42
-310,-959,36,-0.14,-0.56,-0.28
-312,-958,36,-0.14,-0.56,-0.28
-310,-957,36,-0.21,-0.49,-0.21
-311,-957,36,-0.21,-0.49,-0.21
-310,-956,36,-0.21,-0.49,-0.21
-310,-955,37,-0.35,-0.49,-0.28
-310,-956,36,-0.42,-0.49,-0.42
-310,-958,33,-0.42,-0.49,-0.42
-311,-956,33,-0.28,-0.49,-0.63
-311,-956,33,-0.07,-0.56,-0.77
-311,-956,34,0.0,-0.63,-0.84
-313,-955,34,-0.14,-0.7,-0.84
-310,-955,34,-0.35,-0.84,-0.91
-310,-955,34,-0.49,-0.91,-1.05
-309,-954,35,-0.7,-1.05,-1.12
-308,-957,33,-0.98,-1.12,-1.19
-308,-955,37,-1.12,-1.19,-1.12
-311,-961,32,-1.47,-1.33,-0.91
-308,-963,33,-1.47,-1.33,-0.91
-309,-961,34,-0.98,-1.26,-0.91
-307,-960,35,-0.84,-1.33,-0.77
-308,-960,34,-0.91,-1.26,-0.56
-307,-960,35,-0.91,-1.19,-0.49
-308,-961,36,-0.77,-1.19,-0.42
-309,-959,33,-0.63,-1.19,-0.28
-307,-961,33,-0.42,-1.12,-0.21
-306,-960,33,-0.21,-0.98,-0.21
-305,-958,36,-0.14,-0.84,-0.21
-309,-953,37,-0.35,-0.77,-0.14
-313,-950,37,-0.77,-0.77,0.0
-310,-955,36,-1.47,-0.63,0.21
-301,-962,34,-1.75,-0.7,-0.07
-306,-954,34,-1.33,-0.63,-0.28
-309,-958,30,-1.19,-0.63,-0.35
-305,-964,30,-1.19,-0.49,-0.56
-306,-963,32,-0.7,-0.35,-0.7
-307,-958,34,0.0,-0.21,-0.77
-309,-956,35,0.14,-0.14,-0.77
-310,-954,37,-0.28,-0.14,-0.63
-310,-955,34,-0.63,-0.28,-0.49
-307,-959,29,-0.84,-0.28,-0.56
-308,-963,26,-0.77,-0.21,-0.7
-306,-968,27,-0.28,-0.21,-0.91
-304,-960,32,0.49,-0.07,-0.98
-308,-949,44,0.42,0.0,-0.63
-310,-948,37,-0.56,-0.49,-0.28
-304,-962,21,-1.47,-0.77,-0.35
-305,-970,22,-1.12,-0.35,-0.77
-309,-963,33,0.0,0.0,-0.7
-310,-955,40,0.35,-0.07,-0.42
-307,-952,36,-0.35,-0.49,-0.14
-306,-957,29,-0.91,-0.56,0.0
-305,-964,26,-1.05,-0.42,-0.21
-306,-965,28,-0.7,-0.21,-0.28
-308,-961,31,-0.14,-0.21,-0.07
-309,-958,33,0.0,-0.28,0.14
-308,-956,32,-0.42,-0.35,0.28
-304,-961,27,-0.7,-0.35,0.28
-302,-958,29,-0.35,-0.21,0.14
-308,-958,32,-0.21,-0.21,0.21
-309,-957,32,-0.35,-0.35,0.35
-310,-956,29,-0.56,-0.42,0.42
-308,-958,29,-0.49,-0.42,0.35
-310,-957,28,-0.35,-0.49,0.14
-309,-956,28,-0.21,-0.42,0.07
-309,-957,30,-0.49,-0.35,0.0
-305,-954,33,-0.77,-0.49,-0.21
-306,-952,33,-1.05,-0.63,-0.28
-308,-952,28,-1.54,-0.77,-0.49
-309,-958,24,-1.75,-0.63,-0.63
-309,-965,27,-1.68,-0.56,-0.63
-307,-963,32,-1.12,-0.56,-0.63
-306,-959,33,-0.77,-0.63,-0.63
