acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-320,-952,9,-0.07,-0.63,-0.28
-321,-953,9,-0.14,-0.63,-0.35
-319,-953,8,-0.07,-0.63,-0.49
-320,-954,9,-0.14,-0.63,-0.49
-319,-955,8,-0.14,-0.7,-0.56
-319,-957,8,-0.28,-0.7,-0.56
-318,-954,8,-0.14,-0.7,-0.56
-320,-958,8,-0.21,-0.63,-0.49
-318,-956,8,-0.21,-0.7,-0.42
-320,-957,8,-0.07,-0.7,-0.28
-320,-956,9,-0.07,-0.7,-0.21
-320,-956,8,-0.07,-0.7,-0.14
-320,-956,8,-0.14,-0.7,-0.14
-319,-955,7,-0.07,-0.77,-0.07
-319,-956,8,-0.07,-0.77,0.0
-320,-955,8,0.0,-0.77,-0.07
-320,-954,9,0.0,-0.77,0.0
-320,-956,8,0.07,-0.84,-0.07
-320,-955,8,0.07,-0.84,-0.07
-319,-955,7,0.0,-0.84,-0.07
-319,-955,8,0.07,-0.84,-0.14
-320,-956,9,0.07,-0.77,-0.14
-321,-953,8,0.07,-0.77,-0.14
-320,-958,10,-0.14,-0.77,-0.14
-320,-954,8,-0.07,-0.77,-0.21
-320,-956,9,0.07,-0.77,-0.07
-319,-955,9,-0.07,-0.77,0.0
-320,-954,9,0.07,-0.7,0.0
-320,-954,9,0.0,-0.7,0.0
-320,-954,9,-0.07,-0.7,0.07
-320,-957,10,-0.14,-0.7,0.0
-320,-955,8,-0.14,-0.7,0.0
-319,-955,8,-0.07,-0.7,-0.07
-319,-955,8,-0.07,-0.7,0.0
-319,-954,8,0.07,-0.7,-0.07
-319,-955,8,0.07,-0.7,-0.07
-321,-955,8,0.07,-0.7,-0.14
-320,-954,8,0.07,-0.7,-0.14
-319,-954,8,0.0,-0.77,-0.14
-320,-954,8,-0.07,-0.77,-0.14
-320,-954,8,-0.07,-0.77,-0.14
-318,-955,8,-0.14,-0.77,-0.14
-320,-954,8,-0.07,-0.77,-0.14
-319,-955,8,-0.14,-0.77,-0.14
-320,-955,8,-0.14,-0.84,-0.21
-320,-955,8,-0.14,-0.84,-0.21
-320,-954,9,-0.07,-0.77,-0.21
-319,-954,9,0.0,-0.77,-0.21
-319,-955,10,-0.07,-0.77,-0.21
-320,-955,9,-0.14,-0.77,-0.21
-319,-955,9,-0.07,-0.7,-0.14
-318,-956,9,-0.07,-0.63,-0.14
-319,-955,9,0.0,-0.63,-0.14
-319,-955,9,0.0,-0.56,-0.14
-320,-955,9,-0.07,-0.56,-0.14
-319,-953,9,-0.21,-0.49,-0.14
