acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-94,-33,-1018,3.01,0.84,1.68
-94,-33,-1013,3.92,0.63,1.96
-96,-36,-1008,4.48,0.49,2.24
-100,-38,-1011,4.55,0.42,2.52
-99,-40,-1015,4.97,0.28,2.8
-95,-40,-1023,5.53,0.0,3.08
-93,-38,-1021,5.53,-0.49,3.08
-93,-38,-1020,4.62,-0.91,2.94
-86,-38,-1019,3.57,-1.47,2.52
-80,-42,-1020,2.87,-1.82,2.1
-81,-43,-1016,1.96,-2.17,1.82
-78,-42,-1015,1.19,-2.52,1.75
-73,-47,-1016,0.84,-2.94,1.61
-72,-49,-1014,1.19,-3.15,1.47
-79,-46,-1013,1.75,-3.36,1.26
-76,-41,-1007,1.96,-3.5,1.12
-71,-37,-1004,1.47,-3.29,1.05
-69,-37,-1002,0.98,-3.36,0.98
-64,-39,-996,0.42,-3.43,0.98
-61,-40,-997,0.14,-3.36,0.84
-59,-42,-1000,0.56,-3.36,0.7
-57,-41,-998,0.98,-3.43,0.56
-63,-37,-1000,0.7,-3.36,0.21
-64,-35,-1003,0.35,-3.5,-0.14
-61,-34,-1005,0.0,-3.78,-0.63
-60,-35,-1006,-0.77,-4.27,-1.19
-63,-33,-1011,-1.75,-4.69,-1.68
-65,-40,-1016,-2.38,-4.97,-2.1
-69,-42,-1011,-2.94,-5.53,-2.45
-71,-41,-1018,-3.57,-6.02,-2.8
-71,-41,-1022,-4.34,-6.16,-3.01
-81,-38,-1015,-5.04,-6.16,-3.29
-88,-38,-1013,-5.81,-6.09,-3.36
-91,-35,-1017,-5.74,-6.16,-3.43
-92,-36,-1012,-5.18,-6.3,-3.5
-100,-26,-1007,-4.13,-6.09,-3.43
-107,-24,-998,-2.45,-5.81,-3.15
-112,-20,-991,-0.7,-5.53,-2.8
-113,-14,-987,0.98,-5.04,-2.24
-116,-12,-980,2.66,-4.55,-1.61
-116,-11,-986,4.2,-3.92,-0.91
-115,-11,-983,6.16,-3.29,-0.07
-118,-10,-978,7.56,-2.31,0.63
-116,-15,-979,8.82,-1.33,1.33
-117,-21,-972,10.15,-0.42,2.17
-119,-30,-980,12.11,0.49,2.94
-118,-32,-983,14.14,1.05,3.57
-123,-29,-986,15.47,1.61,4.06
-130,-33,-987,15.75,2.03,4.69
-137,-36,-981,15.47,2.45,5.25
-129,-45,-987,15.75,2.94,5.88
-111,-53,-994,17.15,3.43,6.58
-99,-52,-997,18.27,3.85,7.07
-96,-50,-1004,18.9,3.99,7.35
-88,-41,-1013,18.62,3.57,7.21
-79,-37,-1020,17.36,2.94,6.86
-78,-37,-1032,14.42,2.24,6.37
