acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-22,-70,999,-0.21,-0.63,-0.14
-20,-69,998,0.0,-0.7,-0.14
-21,-68,998,0.14,-0.7,-0.14
-23,-66,1000,-0.07,-0.77,-0.14
-22,-70,998,-0.21,-0.84,-0.14
-26,-72,998,-0.21,-0.77,-0.07
-29,-74,1000,-0.14,-0.63,-0.07
-24,-73,998,0.28,-0.49,-0.14
-21,-67,998,0.77,-0.42,-0.14
-25,-67,998,0.77,-0.42,-0.14
-27,-69,997,0.56,-0.49,-0.07
-27,-71,998,0.35,-0.49,-0.07
-28,-72,997,0.42,-0.35,0.0
-26,-70,996,0.84,-0.35,-0.07
-25,-66,995,1.05,-0.42,-0.07
-29,-63,997,0.77,-0.49,-0.07
-28,-64,998,0.28,-0.7,-0.14
-25,-64,998,0.07,-0.84,-0.14
-27,-67,998,0.0,-0.77,-0.21
-27,-67,1000,0.07,-0.7,-0.07
-27,-66,998,0.14,-0.77,-0.07
-28,-66,999,0.0,-0.7,-0.07
-27,-66,1000,-0.42,-0.7,0.0
-25,-68,999,-0.7,-0.77,-0.07
-24,-68,999,-0.56,-0.77,-0.07
-27,-67,999,-0.35,-0.7,-0.14
-26,-68,998,-0.28,-0.77,-0.07
-26,-69,998,-0.28,-0.77,-0.14
-26,-69,997,-0.21,-0.77,-0.14
-26,-70,997,-0.28,-0.7,-0.07
-24,-70,998,-0.42,-0.77,0.0
-23,-69,999,-0.35,-0.77,-0.07
-22,-67,998,-0.07,-0.77,-0.14
-25,-67,998,0.0,-0.77,-0.14
-26,-70,997,-0.21,-0.77,-0.07
-26,-72,998,-0.14,-0.7,-0.07
-26,-73,999,0.0,-0.56,-0.07
-24,-72,1000,0.28,-0.35,-0.07
-25,-72,998,0.63,-0.42,0.0
-26,-66,998,1.05,-0.35,-0.07
-27,-62,998,0.56,-0.49,-0.28
-30,-67,995,-0.07,-0.84,-0.35
-29,-72,996,0.07,-0.77,-0.14
-29,-72,999,0.63,-0.56,-0.14
-25,-67,999,0.77,-0.7,-0.42
-23,-61,995,0.14,-0.77,-0.56
-24,-67,1000,-0.14,-0.77,-0.21
-23,-71,1000,0.63,-0.77,-0.07
-20,-67,999,1.33,-0.7,-0.28
-24,-61,1000,1.47,-0.77,-0.42
-26,-58,999,0.84,-0.77,-0.35
-28,-61,1000,-0.21,-0.84,-0.14
-27,-67,998,-0.7,-0.84,-0.21
-28,-67,998,-0.49,-0.84,-0.14
-27,-63,999,-0.35,-0.7,-0.14
-24,-63,999,-0.56,-0.7,0.0
-23,-67,998,-0.98,-0.7,0.0
-24,-73,995,-1.05,-0.7,0.07
-30,-76,995,-1.05,-0.77,0.07
-27,-80,996,-0.56,-0.77,0.0
-24,-77,998,0.42,-0.56,0.14
-19,-75,997,1.47,-0.56,-0.14
-21,-69,996,2.03,-0.56,0.0
-27,-66,997,1.68,-0.63,-0.07
-29,-71,999,1.05,-0.7,-0.07
-25,-78,997,1.19,-0.77,-0.28
-24,-73,1000,1.89,-0.63,-0.49
-21,-62,1002,2.52,-0.56,-0.56
-25,-59,1003,2.03,-0.35,-0.21
-31,-63,1002,1.47,-0.35,0.0
-27,-67,1001,1.61,-0.35,-0.35
-24,-61,999,1.96,-0.07,-0.42
-25,-57,998,1.89,0.14,-0.28
-41,-56,999,1.4,0.07,0.0
-42,-61,1000,0.84,-0.28,-0.28
-27,-59,996,0.84,-0.42,-0.56
-27,-53,996,0.7,-0.35,-0.35
-31,-53,996,-0.28,-0.42,0.14
-32,-61,998,-1.26,-0.56,0.35
-25,-66,997,-1.12,-0.63,0.0
-22,-61,996,-0.42,-0.77,-0.14
-26,-58,997,-0.49,-0.84,-0.07
-28,-63,998,-1.19,-0.91,0.07
-28,-69,998,-1.26,-0.98,0.07
-29,-71,997,-0.7,-0.98,-0.07
-29,-67,998,0.14,-0.91,-0.14
-27,-62,1000,0.35,-0.84,-0.14
-24,-60,1000,0.07,-0.91,-0.21
-23,-63,997,-0.21,-0.98,-0.21
-23,-66,998,-0.21,-0.98,-0.14
-25,-66,997,-0.14,-0.98,-0.14
-26,-64,999,-0.21,-0.91,0.0
-27,-63,1001,-0.35,-0.84,0.0
-24,-63,1000,-0.35,-0.84,0.0
-22,-65,999,-0.35,-0.77,-0.07
-26,-67,998,-0.14,-0.91,-0.14
-27,-67,996,0.07,-0.98,-0.14
-27,-66,997,0.07,-0.98,-0.28
-27,-66,999,0.0,-0.91,-0.21
