acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-999,-109,51,-0.21,-0.49,-0.07
-998,-110,53,-0.07,-0.7,0.0
-996,-108,52,-0.07,-0.84,0.14
-997,-107,54,0.07,-0.98,0.14
-997,-106,55,0.35,-1.05,-0.07
-997,-108,56,0.49,-1.05,-0.14
-996,-108,55,0.56,-1.12,-0.14
-995,-108,57,0.63,-1.19,-0.14
-996,-106,58,0.56,-1.12,-0.14
-996,-107,58,0.49,-1.05,-0.28
-995,-107,57,0.28,-0.84,-0.28
-996,-106,59,0.14,-0.7,-0.42
-997,-106,58,0.14,-0.56,-0.49
-997,-109,54,0.28,-0.49,-0.49
-998,-113,53,0.14,-0.7,-0.28
-996,-111,52,0.14,-0.98,0.0
-997,-108,54,0.28,-1.26,0.14
-996,-105,56,0.49,-1.47,0.14
-997,-104,58,0.56,-1.54,-0.07
-996,-103,58,0.56,-1.4,-0.28
-995,-102,59,0.35,-1.12,-0.49
-994,-103,61,0.21,-0.91,-0.7
-997,-106,59,0.14,-0.56,-0.91
-997,-109,57,0.14,-0.28,-0.98
-996,-111,54,-0.07,-0.28,-0.84
-996,-110,56,-0.07,-0.42,-0.77
-997,-110,54,0.14,-0.7,-0.7
-998,-114,54,0.28,-1.05,-0.56
-997,-112,55,0.28,-1.26,-0.28
-995,-108,55,0.21,-1.47,0.0
-997,-108,59,0.21,-1.47,0.07
-995,-105,59,0.28,-1.4,-0.07
-995,-105,60,0.28,-1.33,-0.14
-995,-105,60,0.21,-1.05,-0.28
-995,-107,59,0.14,-0.77,-0.28
-996,-110,56,0.14,-0.7,-0.28
-997,-109,55,-0.14,-0.7,-0.07
-996,-109,57,-0.14,-0.84,0.21
-996,-107,56,-0.21,-0.91,0.35
-997,-108,56,-0.35,-0.98,0.42
-996,-107,57,-0.28,-1.26,0.42
-996,-105,59,-0.35,-1.19,0.49
-996,-105,60,-0.42,-0.98,0.28
-996,-106,62,-0.49,-0.63,0.21
-995,-106,61,-0.7,-0.14,0.28
-996,-106,62,-0.84,0.28,0.21
-996,-108,61,-1.05,0.7,0.28
-994,-106,58,-1.26,0.98,0.42
-997,-107,60,-1.4,0.91,0.42
-996,-105,59,-1.47,0.91,0.42
-996,-105,56,-1.47,0.91,0.28
-995,-108,63,-1.4,1.05,0.21
-999,-102,47,-0.91,1.54,0.21
-995,-106,56,-1.47,1.26,0.21
-997,-107,53,-1.47,1.33,0.14
-997,-108,51,-1.26,1.33,0.35
-998,-107,48,-1.12,0.91,0.42
-998,-108,50,-0.77,0.28,0.56
-998,-107,49,-0.49,-0.21,0.63
-998,-106,51,-0.42,-0.56,0.84
-997,-106,54,-0.49,-0.56,0.98
-996,-106,54,-0.56,-0.42,1.05
-996,-105,52,-0.49,-0.42,1.05
-997,-105,51,-0.56,-0.42,1.19
-996,-104,52,-0.56,-0.42,1.26
-997,-105,52,-0.49,-0.63,1.19
-998,-104,50,-0.28,-0.7,1.19
-996,-104,51,0.0,-0.84,1.19
-997,-105,51,-0.07,-0.98,1.47
-996,-103,54,-0.07,-1.05,1.68
-997,-101,57,-0.07,-0.98,1.68
-997,-103,58,-0.21,-0.84,1.75
-997,-102,54,-0.35,-0.56,1.82
-996,-105,53,-1.12,-0.49,2.24
-998,-107,52,-1.61,-0.56,2.45
-999,-109,53,-2.03,-0.7,3.22
-996,-106,52,-1.96,-0.98,3.85
-996,-104,53,-1.82,-0.98,4.34
-997,-103,51,-1.68,-0.91,4.69
-998,-103,51,-1.47,-0.84,4.97
-997,-102,50,-1.33,-0.7,5.32
-998,-100,49,-1.05,-0.77,5.53
-1001,-100,49,-0.77,-1.05,5.74
-999,-96,46,-0.49,-1.54,6.02
-999,-93,44,-0.56,-1.96,6.3
-998,-94,44,-0.91,-2.59,6.86
-998,-89,50,-1.05,-3.08,7.0
-998,-84,53,-0.91,-3.29,7.21
-997,-80,56,-0.56,-3.29,6.86
-997,-77,56,-0.28,-3.08,6.72
-998,-78,57,-0.42,-3.01,6.16
-997,-80,58,-0.21,-2.94,5.81
-999,-78,58,0.07,-2.94,5.67
-998,-80,59,0.42,-3.22,5.39
-998,-78,60,0.84,-3.36,5.18
-998,-75,61,1.05,-3.5,4.9
-998,-77,60,0.77,-3.22,4.69
-997,-77,62,0.35,-2.73,4.55
-998,-77,65,0.0,-2.31,4.55
-997,-76,66,-0.07,-1.75,4.48
-998,-72,64,-0.07,-1.26,4.41
-998,-70,63,0.0,-1.05,4.2
-998,-74,65,-0.07,-0.84,4.06
-997,-75,63,-0.14,-0.42,4.13
-998,-74,61,-0.42,-0.14,4.34
-999,-72,61,-0.42,-0.14,4.48
-1000,-73,57,-0.07,-0.14,4.69
-1000,-75,53,0.07,-0.42,4.97
-998,-72,53,0.21,-0.98,5.11
-1001,-70,56,0.28,-1.47,5.25
-1001,-67,58,0.42,-1.61,5.46
-1000,-66,59,0.56,-1.68,5.6
-998,-62,60,0.35,-1.75,5.53
-999,-59,64,0.21,-1.4,5.32
-1000,-59,65,0.0,-0.91,5.11
-999,-60,66,-0.14,-0.56,4.69
-999,-58,67,0.0,-0.14,4.41
-997,-57,62,0.0,0.21,4.27
-998,-57,61,0.0,0.35,3.78
-1001,-59,61,0.0,0.35,3.15
-1000,-58,60,0.07,0.21,3.08
-999,-59,58,0.14,0.07,3.22
-1000,-60,57,0.28,-0.07,3.43
-1002,-60,56,0.35,-0.28,3.85
-1001,-59,55,0.21,-0.42,4.27
-999,-59,55,0.42,-0.56,4.48
-1002,-62,55,0.84,-0.91,4.9
-1003,-61,53,0.91,-1.61,5.46
-1002,-58,56,0.91,-2.31,5.88
-997,-50,60,1.19,-2.94,6.09
-999,-47,61,1.54,-3.01,5.88
