acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-748,608,89,14.28,2.38,0.28
-757,602,99,11.83,1.68,-0.7
-765,634,89,11.34,0.84,-1.4
-765,666,92,8.05,-0.14,-0.56
-765,664,95,1.82,-1.4,-0.07
-757,660,96,-4.76,-2.03,-0.14
-753,654,96,-8.75,-1.96,0.07
-756,630,100,-10.99,-2.45,0.28
-759,598,91,-12.11,-2.94,0.56
-759,583,84,-10.57,-2.66,0.63
-764,593,97,-8.96,-2.66,0.7
-763,617,113,-8.05,-2.45,0.35
-754,630,108,-8.4,-2.31,0.28
-749,620,110,-7.91,-1.89,0.28
-755,599,98,-6.09,-1.19,0.49
-767,589,96,-2.66,-0.49,0.0
-763,597,98,1.61,-0.14,-0.14
-752,627,88,5.18,0.28,0.0
-746,660,87,6.79,0.07,0.14
-756,659,105,5.6,-0.14,0.49
-759,657,116,2.87,-0.21,0.0
-754,641,106,1.12,-0.42,-0.42
-756,617,98,-0.42,-0.91,-0.07
-761,634,99,-0.56,-1.12,-0.63
-758,679,98,0.07,-1.4,-1.4
-760,681,97,-1.96,-1.54,-0.91
-756,629,102,-4.97,-1.4,-0.28
-747,576,116,-4.9,-0.91,-0.42
-742,575,115,-0.49,-0.21,-0.91
-746,602,117,4.27,0.42,-0.84
-753,629,113,5.95,0.84,-0.63
-761,663,108,4.41,1.12,-0.91
-762,658,112,0.0,0.98,-0.84
-755,614,117,-4.48,0.91,-0.49
-748,587,113,-4.62,1.33,-0.84
-747,599,105,-1.12,1.68,-1.47
-753,629,98,2.73,1.82,-1.75
-754,652,87,4.41,1.68,-1.61
-756,665,77,2.38,1.61,-1.4
-762,659,88,-1.12,1.4,-0.7
-760,623,103,-3.64,1.12,0.49
-755,595,106,-3.36,0.91,0.63
-758,595,101,-0.07,1.05,0.14
-760,603,101,3.36,1.47,0.42
-759,601,100,5.6,2.17,1.05
-764,602,107,6.37,2.8,1.05
-762,619,102,7.14,3.08,0.56
-755,653,100,7.14,3.01,0.28
-756,688,94,4.83,2.59,0.28
-763,687,91,0.0,2.1,0.56
-762,653,89,-4.97,1.68,1.19
-754,646,83,-5.25,1.75,0.91
-753,639,75,-3.99,1.47,0.63
-760,641,68,-3.15,0.7,0.49
-763,658,72,-3.36,0.14,0.42
-760,673,75,-4.41,-0.21,0.28
-756,669,83,-6.79,-0.7,0.14
-758,646,94,-9.17,-1.05,0.0
-754,609,99,-9.31,-1.05,-0.28
-755,569,94,-7.91,-0.98,-0.35
-758,563,97,-3.85,-0.49,-0.77
-760,586,99,1.12,0.0,-0.91
-763,613,100,4.55,0.35,-0.84
-766,648,103,5.6,0.63,-1.05
-763,658,105,3.78,0.84,-1.19
-759,626,98,1.61,0.84,-0.63
-755,584,94,1.33,1.26,-0.14
-758,569,96,3.43,1.89,-0.14
-757,606,96,6.72,2.03,-0.21
-761,641,85,7.77,1.47,0.21
-759,657,78,5.32,1.12,0.49
-767,650,84,1.75,0.98,0.56
-761,647,86,-0.28,0.7,0.21
-752,637,88,-0.07,0.7,0.0
-749,603,87,0.91,0.77,0.7
-754,578,91,2.87,1.05,0.91
-757,590,92,5.81,1.47,0.84
-759,653,86,8.82,1.54,0.28
-761,698,90,6.23,0.91,0.56
-760,697,95,-0.77,0.49,1.26
-749,667,92,-5.81,0.63,1.75
-745,634,88,-7.14,0.56,2.17
-746,635,68,-4.69,-0.14,1.75
-759,653,61,-2.45,-0.84,2.17
-766,648,53,-2.87,-1.12,3.43
-762,653,57,-4.83,-1.33,2.94
-757,660,72,-6.86,-2.03,2.1
-755,639,86,-8.82,-2.8,2.03
-756,599,84,-9.52,-3.36,2.03
-758,583,82,-7.7,-3.43,1.61
-767,589,82,-4.41,-3.43,1.33
-771,608,95,-2.31,-3.22,1.26
-771,602,115,-2.73,-2.94,1.33
-761,598,113,-2.24,-2.31,0.7
-748,629,114,0.21,-1.82,-0.28
-752,654,105,1.33,-1.82,-0.49
-756,661,89,0.77,-1.82,-0.84
-760,642,80,-0.63,-1.61,-0.7
-754,629,81,-0.56,-1.54,-0.77
-749,623,89,1.05,-1.61,-0.56
-744,621,96,2.52,-1.4,-0.28
