acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-803,706,5,-26.11,-17.64,4.13
-775,571,-3,-29.47,-17.78,4.34
-758,499,12,-23.24,-17.36,5.88
-759,486,34,-13.79,-15.96,7.7
-791,524,38,-5.25,-14.28,10.92
-802,596,50,-2.31,-12.88,13.37
-786,649,62,-2.66,-11.06,15.4
-792,643,51,-5.04,-9.8,17.85
-801,624,57,-7.42,-9.87,18.27
-794,646,49,-4.48,-10.99,17.5
-789,659,26,-3.01,-11.34,19.11
-777,625,3,-3.71,-11.55,20.86
-800,597,-1,-1.82,-11.34,21.63
-834,580,6,0.84,-11.27,22.12
-845,617,0,5.53,-12.25,22.96
-846,621,-8,7.28,-13.02,24.85
-839,591,-10,6.37,-13.65,25.27
-818,569,-14,5.6,-14.98,23.52
-808,556,-4,5.53,-15.61,21.35
-811,558,-6,4.9,-16.73,19.6
-806,573,-5,2.17,-17.85,18.48
-790,564,-8,-3.15,-18.2,18.13
-747,528,-23,-7.21,-18.48,17.71
-733,495,-38,-8.26,-19.32,17.36
-764,471,-41,-10.29,-22.4,17.08
-776,476,-41,-16.1,-27.72,15.05
-717,504,-43,-17.78,-28.91,12.11
-661,541,-20,-18.34,-25.9,11.76
-638,605,8,-20.58,-23.73,12.32
-659,676,47,-23.73,-22.89,12.11
-715,781,58,-25.06,-24.01,11.97
-754,848,59,-27.51,-25.27,12.95
-752,846,84,-30.66,-26.18,12.81
-749,833,78,-25.9,-28.35,12.32
-735,783,71,-19.46,-29.12,12.95
-682,694,79,-14.56,-28.7,11.76
-654,644,91,-6.23,-28.0,10.15
-672,659,103,1.26,-27.3,9.03
-691,693,111,3.85,-26.74,7.98
-689,699,118,2.03,-25.9,7.07
-658,692,112,-0.21,-24.99,5.95
-637,696,119,-1.82,-23.66,5.32
-644,707,134,-4.97,-21.98,4.97
-665,716,153,-8.68,-20.51,4.97
-681,718,167,-12.25,-19.18,4.83
-670,697,167,-13.02,-17.99,5.32
-668,687,165,-10.22,-17.29,6.16
-724,728,169,-5.32,-17.85,6.16
-801,791,169,-2.1,-19.11,5.11
-793,765,166,-5.6,-18.34,3.99
-714,684,163,-9.45,-16.66,2.52
-662,630,159,-7.42,-15.68,1.75
-664,643,161,-3.85,-15.75,2.03
-691,689,159,-5.95,-16.17,2.94
-699,725,154,-13.02,-16.1,3.01
-719,735,159,-23.31,-18.34,1.68
-743,714,150,-36.33,-24.5,-0.7
-724,693,157,-43.68,-26.46,-3.5
-712,697,181,-43.4,-23.24,-4.69
-707,681,205,-40.39,-19.81,-5.32
-684,642,225,-34.93,-16.52,-5.6
-668,596,237,-25.62,-13.44,-5.74
-671,582,239,-13.51,-10.71,-5.39
-692,618,235,-2.87,-8.19,-4.83
-714,666,228,2.38,-6.44,-4.83
-712,723,223,1.54,-4.76,-5.46
-699,778,224,-4.76,-3.22,-6.79
-695,793,238,-14.63,-2.87,-8.82
-693,758,250,-25.27,-3.92,-10.71
-664,698,238,-30.24,-4.48,-12.32
-641,620,232,-26.88,-3.08,-12.53
-641,559,224,-16.66,-1.75,-12.04
-659,526,224,-2.03,-0.84,-11.41
-683,551,227,13.79,-0.28,-10.5
-703,627,231,27.3,-0.07,-9.38
-696,695,201,34.51,-0.63,-7.35
-677,735,191,32.41,-0.42,-5.46
-667,812,207,25.41,0.63,-5.18
-656,859,212,17.78,0.84,-6.02
-645,815,200,5.67,0.63,-6.02
-642,762,207,-7.07,1.12,-6.51
-683,715,227,-12.32,2.52,-7.77
-703,635,232,-12.25,3.85,-7.84
-697,580,234,-8.12,5.32,-7.28
-696,571,246,-0.35,7.07,-6.44
-706,595,254,8.68,8.4,-5.53
-720,635,223,17.64,7.84,-5.04
-719,675,185,22.19,7.63,-5.11
-718,664,173,20.09,8.47,-5.32
-737,631,168,18.2,9.1,-6.3
-763,634,178,20.58,8.89,-7.98
