acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-65,-166,-1001,-1.12,-0.35,5.88
-62,-189,-985,-1.75,0.07,6.86
-69,-218,-980,-1.75,0.42,6.93
-78,-235,-978,-0.07,0.7,6.23
-73,-221,-979,2.45,0.77,5.6
-67,-198,-976,3.36,0.28,5.39
-70,-192,-981,2.03,-0.14,4.97
-75,-195,-985,0.21,-0.42,4.48
-73,-195,-988,-0.56,-0.42,4.06
-69,-188,-987,0.07,-0.28,4.27
-70,-189,-984,0.77,-0.07,4.69
-73,-189,-983,1.54,0.21,4.83
-75,-185,-979,2.66,0.42,4.97
-73,-177,-977,3.36,0.56,4.97
-73,-172,-976,3.36,0.49,5.32
-80,-176,-977,3.01,0.49,5.46
-85,-185,-977,2.73,0.42,5.32
-83,-185,-979,2.31,0.42,4.97
-76,-181,-981,2.24,0.56,4.34
-71,-178,-983,1.89,0.56,3.99
-72,-173,-985,1.47,0.7,3.57
-69,-176,-981,1.68,0.98,3.5
-71,-181,-982,1.54,1.26,3.57
-75,-187,-985,1.82,1.4,3.43
-83,-195,-987,1.89,1.47,3.22
-85,-189,-997,2.17,1.61,3.01
-77,-177,-996,2.8,1.82,3.08
-76,-166,-995,2.59,1.89,3.43
-85,-166,-990,1.54,1.89,3.78
-90,-178,-995,1.12,1.89,4.13
-88,-190,-996,1.75,1.82,4.55
-79,-184,-998,3.08,1.75,4.69
-84,-177,-999,3.5,1.54,5.04
-93,-172,-1001,2.31,1.33,5.32
-94,-169,-1004,0.98,1.26,5.88
-90,-174,-1002,0.21,1.05,6.79
-80,-181,-1000,0.28,0.91,7.49
-73,-174,-998,1.96,1.33,8.26
-79,-185,-984,1.96,1.05,9.03
-70,-194,-994,0.0,0.7,8.26
-71,-191,-994,0.63,0.98,7.77
-85,-171,-982,0.28,0.84,7.49
-81,-159,-984,-1.19,1.05,7.42
-73,-178,-974,-1.68,0.98,7.84
-69,-188,-981,-0.98,1.12,7.56
-75,-187,-986,1.82,1.54,7.21
-79,-174,-986,3.15,1.61,6.86
-81,-152,-989,2.59,1.68,6.51
-87,-148,-982,0.7,1.68,6.86
-91,-169,-979,-2.03,1.61,6.86
-85,-193,-983,-2.8,1.75,6.58
-78,-207,-980,-1.05,2.1,6.02
-77,-207,-981,1.4,2.38,5.18
-78,-192,-981,3.43,2.59,4.55
-82,-175,-984,3.5,2.59,4.06
-88,-169,-984,1.75,2.45,3.71
-87,-175,-984,-0.7,2.17,3.5
-82,-185,-989,-2.31,2.17,3.64
-74,-198,-989,-1.89,2.31,3.43
-76,-204,-987,-0.28,2.31,3.15
-83,-206,-988,1.54,2.38,2.73
-87,-196,-986,2.52,2.1,2.1
-87,-180,-988,2.31,1.89,1.75
-85,-178,-988,0.98,1.54,1.89
-83,-185,-987,-0.91,1.26,2.03
-78,-193,-989,-1.61,1.19,2.03
-70,-197,-992,-0.63,1.4,2.24
-71,-194,-994,0.91,1.68,2.66
-73,-193,-994,2.03,1.89,2.73
-72,-180,-991,1.47,1.82,2.66
-71,-167,-990,-0.42,1.61,2.87
-70,-176,-984,-2.52,1.47,3.5
-75,-198,-983,-3.99,1.4,3.99
-80,-210,-983,-3.43,1.33,3.85
-77,-203,-990,-1.75,1.54,3.78
-74,-181,-996,-0.28,1.68,4.2
-69,-170,-997,-0.35,1.47,4.83
-68,-170,-993,-1.68,1.19,5.18
-70,-176,-992,-2.24,1.33,5.25
-68,-181,-988,-1.96,1.4,5.67
-65,-177,-986,-1.54,1.4,5.88
-65,-174,-983,-0.77,1.4,6.09
-62,-173,-989,-0.28,1.4,6.37
