acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-547,-227,-833,0.63,-3.36,-0.63
-536,-232,-843,2.24,-3.92,-1.68
-528,-217,-848,4.2,-4.62,-2.59
-515,-188,-850,5.04,-5.11,-3.22
-508,-164,-847,3.57,-4.69,-3.43
-503,-144,-842,0.21,-3.64,-3.43
-495,-142,-833,-3.36,-2.66,-3.36
-499,-162,-828,-6.44,-1.89,-2.87
-499,-191,-836,-7.21,-1.75,-2.31
-503,-209,-845,-4.83,-1.89,-1.75
-512,-205,-848,-1.12,-2.1,-0.63
-516,-202,-846,1.82,-2.17,0.7
-526,-202,-842,3.5,-1.96,1.12
-527,-198,-831,3.78,-1.75,1.19
-521,-199,-827,2.73,-1.68,1.12
-517,-198,-831,1.33,-1.75,1.12
-517,-197,-836,0.35,-1.61,1.47
-518,-197,-844,-0.42,-1.26,2.03
-519,-196,-849,-0.56,-1.05,2.31
-523,-202,-856,0.14,-0.77,2.8
-524,-197,-854,1.47,-0.56,2.87
-525,-186,-847,2.52,-0.49,3.08
-524,-185,-847,2.66,-0.56,3.36
-517,-192,-846,2.17,-0.49,3.36
-511,-197,-842,1.68,0.0,3.22
-515,-197,-837,1.54,0.14,3.01
-522,-196,-828,1.05,0.0,2.94
-524,-200,-823,0.77,-0.28,2.87
-523,-210,-826,0.91,-0.63,2.45
-522,-215,-830,1.54,-1.05,1.82
-527,-199,-832,2.59,-1.61,1.47
-528,-180,-836,2.45,-1.96,1.47
-523,-180,-844,1.19,-1.82,1.68
-518,-195,-846,0.21,-1.26,1.61
-521,-200,-843,0.14,-0.98,1.47
-518,-200,-844,0.7,-1.12,1.68
-520,-204,-843,1.19,-1.26,1.96
-523,-203,-844,1.96,-1.05,2.1
-524,-205,-838,2.59,-1.12,2.1
-523,-199,-834,2.73,-1.12,2.1
-523,-203,-838,2.66,-1.12,2.17
-519,-204,-843,2.45,-0.91,2.1
-520,-195,-842,2.31,-0.49,1.89
-522,-195,-841,1.82,-0.42,1.75
-516,-202,-840,1.05,-0.07,1.47
-518,-205,-834,1.33,0.35,1.33
-519,-204,-833,2.45,0.21,1.47
-515,-203,-833,2.94,-0.07,1.68
-518,-208,-838,2.73,0.0,1.82
-521,-218,-842,2.59,0.0,1.33
-524,-216,-841,2.66,0.07,0.7
-531,-209,-837,2.66,0.0,0.49
-534,-202,-834,2.17,-0.14,0.42
-533,-198,-833,1.68,-0.28,0.35
-528,-190,-836,1.26,-0.42,0.21
-526,-180,-837,0.77,-0.42,0.42
-528,-177,-838,-0.35,-0.28,0.84
-523,-193,-844,-1.26,0.0,1.05
-515,-204,-847,-0.98,0.28,0.98
-515,-199,-841,0.21,0.49,1.19
-526,-198,-835,0.98,0.35,1.89
-529,-201,-833,1.4,0.14,2.31
-532,-212,-831,1.96,0.14,2.59
-528,-208,-832,2.24,-0.14,2.66
-524,-193,-828,2.31,-0.28,2.73
-520,-188,-831,1.33,-0.14,3.15
-520,-189,-833,0.14,0.07,3.5
-521,-193,-835,-0.35,0.35,3.92
-521,-191,-835,-0.35,0.35,4.41
-522,-184,-831,-0.28,0.49,5.04
-522,-186,-830,-1.12,0.63,5.74
-517,-214,-833,-2.17,0.84,5.81
-514,-233,-835,-1.68,0.77,5.46
-516,-229,-838,0.07,0.28,5.32
-526,-217,-838,1.12,-0.35,5.67
-534,-202,-838,0.35,-0.28,5.95
-536,-212,-839,-0.56,0.0,5.25
-535,-217,-830,-1.47,0.28,4.2
-533,-216,-828,-1.89,0.21,3.29
-533,-221,-835,-1.05,-0.35,2.45
-526,-205,-839,0.63,-0.84,1.82
-525,-201,-841,2.17,-0.98,1.82
-528,-206,-847,3.01,-1.19,1.68
-530,-204,-855,4.2,-1.54,0.98
-532,-192,-860,5.18,-1.89,0.49
-523,-175,-862,4.9,-1.82,0.35
-517,-160,-861,3.22,-1.4,0.56
-513,-154,-852,0.42,-0.63,0.7
-512,-154,-845,-2.38,0.14,0.63
-513,-157,-838,-3.85,0.7,0.56
-509,-167,-829,-4.06,0.91,1.19
-513,-185,-822,-3.36,0.77,1.89
-522,-200,-822,-1.68,0.35,2.03
-524,-206,-832,1.19,-0.28,1.68
-524,-195,-834,3.57,-0.63,1.61
-519,-184,-828,4.55,-0.7,1.82
-519,-180,-830,3.78,-0.91,1.82
-517,-184,-830,1.82,-0.77,1.54
-514,-193,-837,0.35,-0.42,1.05
-509,-196,-847,0.42,-0.21,0.49
-507,-193,-851,1.47,0.14,0.7
-511,-192,-851,2.1,0.42,1.33
-518,-203,-850,1.89,0.63,1.47
-520,-205,-848,2.52,0.63,0.91
-515,-195,-844,3.85,0.49,0.49
-510,-187,-846,4.34,0.7,0.63
-508,-185,-845,3.64,1.05,0.77
-516,-187,-845,2.45,1.26,0.7
-520,-191,-849,1.96,1.05,0.28
-525,-199,-846,1.54,1.19,0.42
-533,-205,-839,1.19,1.33,0.42
-539,-211,-840,0.91,0.91,-0.07
-536,-194,-839,0.84,0.35,-0.98
-530,-189,-838,0.42,0.07,-1.05
-528,-206,-841,-0.84,0.07,-0.91
-524,-210,-843,-0.7,-0.21,-1.26
-525,-200,-837,0.98,-0.63,-1.33
-524,-173,-832,1.82,-1.12,-0.77
-516,-167,-831,0.91,-1.19,0.14
-512,-190,-839,-0.63,-0.84,0.42
-509,-210,-853,-0.28,-0.63,-0.42
-507,-202,-854,1.96,-0.35,-0.56
-509,-196,-845,3.57,-0.07,0.42
-509,-199,-843,3.92,0.07,0.98
-505,-208,-843,3.92,0.21,0.63
-511,-204,-836,3.85,0.42,0.28
-521,-189,-834,3.36,0.14,0.42
-527,-188,-829,1.54,-0.42,1.26
-531,-204,-834,-1.05,-0.21,2.03
-536,-249,-843,-2.38,-0.63,1.61
-519,-276,-856,-2.66,-1.47,0.49
-503,-288,-875,-1.82,-1.4,-0.07
-503,-280,-880,0.77,-0.77,-0.07
-515,-255,-874,3.57,-0.21,0.56
-534,-215,-857,6.16,0.42,1.54
-546,-184,-833,7.21,1.12,2.94
-551,-176,-816,6.58,1.19,4.06
-548,-170,-815,6.58,0.49,4.27
-540,-171,-822,6.3,-0.63,4.48
-538,-178,-838,4.97,-1.4,4.62
-536,-182,-839,2.73,-1.68,4.62
-546,-188,-839,1.05,-2.03,3.99
-550,-183,-835,-0.63,-2.73,2.73
-544,-184,-830,-2.87,-3.01,1.75
-536,-196,-828,-4.97,-3.22,0.63
-529,-199,-829,-5.81,-3.71,-0.77
-529,-194,-830,-4.76,-4.2,-1.89
-526,-185,-827,-2.8,-4.55,-2.73
-518,-186,-824,-0.98,-4.69,-3.01
-509,-189,-831,1.19,-4.97,-3.64
-506,-178,-837,3.64,-5.25,-4.48
-508,-160,-836,5.11,-4.97,-4.41
-518,-163,-829,4.69,-4.55,-4.13
-525,-167,-830,3.64,-4.48,-4.34
-522,-157,-832,2.03,-4.55,-4.62
-524,-152,-832,-0.63,-4.27,-4.76
-528,-158,-830,-3.71,-3.78,-4.76
-527,-177,-833,-6.51,-3.22,-4.76
-523,-203,-838,-7.35,-2.94,-4.69
-516,-213,-835,-6.09,-3.08,-4.9
-521,-218,-828,-3.99,-3.5,-4.83
-519,-220,-836,-1.54,-4.13,-5.04
-508,-202,-837,0.91,-4.62,-5.11
-497,-184,-829,2.03,-4.41,-4.13
-494,-176,-824,0.84,-3.99,-3.15
-493,-174,-822,-1.4,-3.71,-2.52
-494,-182,-818,-3.92,-3.36,-2.1
-497,-189,-822,-5.67,-3.29,-1.82
-497,-202,-832,-6.09,-3.08,-1.47
-498,-232,-838,-5.95,-2.66,-0.84
-505,-258,-854,-4.2,-2.31,-0.91
-511,-255,-873,0.0,-2.87,-1.68
-516,-230,-878,4.13,-2.66,-1.33
-524,-206,-881,6.23,-1.75,-0.42
-539,-185,-871,6.02,-0.56,0.21
-548,-181,-860,4.06,0.35,0.21
-545,-187,-857,1.12,1.05,-0.35
-553,-206,-843,-1.82,1.61,-0.77
-568,-218,-828,-3.22,1.54,-1.4
-573,-214,-817,-3.01,0.07,-2.38
-566,-191,-818,-2.52,-1.54,-2.73
-555,-179,-814,-2.8,-2.73,-2.38
-541,-187,-819,-3.92,-3.15,-1.96
-526,-204,-833,-3.99,-3.78,-2.52
-517,-205,-848,-3.36,-4.2,-2.66
-519,-216,-851,-2.73,-3.57,-2.17
-526,-224,-843,-2.38,-2.8,-2.24
-524,-209,-837,-0.84,-2.73,-3.15
-518,-180,-831,0.56,-3.01,-3.08
-511,-165,-832,-0.77,-2.8,-2.24
-516,-196,-840,-3.43,-2.17,-1.54
-519,-230,-849,-4.83,-1.61,-1.96
-529,-249,-857,-3.71,-1.54,-2.94
-543,-234,-851,-2.45,-1.82,-3.36
-554,-219,-838,-3.43,-1.96,-3.36
-562,-227,-823,-4.97,-2.1,-4.34
-564,-243,-809,-5.6,-2.52,-5.95
-564,-253,-812,-4.69,-3.64,-7.56
-558,-242,-822,-2.66,-5.18,-8.47
-553,-214,-830,-1.33,-6.09,-8.61
-542,-193,-840,-0.7,-6.51,-8.75
-530,-184,-838,-0.77,-6.23,-8.68
-528,-183,-828,-1.05,-5.88,-8.47
-525,-179,-821,-1.54,-5.81,-7.56
-520,-181,-823,-2.24,-5.74,-6.51
-518,-189,-824,-2.66,-5.53,-5.74
-519,-198,-828,-2.31,-5.04,-4.9
-522,-206,-833,-1.26,-4.62,-3.99
-525,-221,-826,-0.77,-4.06,-2.45
-534,-231,-826,-0.84,-3.5,-1.82
