acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
357.000,-8.000,944.000,-3.010,0.490,-0.840
375.755,-5.930,982.078,-3.262,0.456,-0.828
344.960,-2.955,891.488,-3.016,0.329,-0.532
378.898,-7.511,984.445,-3.255,0.408,-0.398
345.651,-9.471,905.062,-2.849,0.435,-0.387
367.493,-8.109,969.007,-2.465,0.540,-0.682
354.007,-2.225,934.496,-1.516,0.652,-0.868
362.690,5.508,954.315,-0.880,0.698,-0.905
361.586,9.873,953.819,-0.512,0.575,-0.658
354.810,8.304,937.319,-0.493,0.389,-0.377
360.913,1.987,952.684,-0.745,0.209,-0.335
348.337,-2.201,927.708,-0.789,0.070,-0.407
358.238,-5.937,950.389,-0.886,0.107,-0.565
353.094,-10.064,936.323,-0.904,0.276,-0.636
355.145,-10.817,952.037,-0.710,0.522,-0.633
355.000,-8.000,950.000,-0.070,0.560,-0.700
354.934,-6.895,946.487,0.593,0.436,-0.711
357.800,-6.772,952.021,1.446,0.325,-0.670
353.484,-3.866,941.430,2.298,0.181,-0.832
356.272,-2.351,952.349,2.706,0.109,-0.954
352.575,0.077,943.805,2.904,0.048,-1.007
357.938,0.937,946.174,2.638,0.096,-1.044
360.873,2.237,940.142,2.286,0.217,-0.893
360.797,3.276,938.549,1.862,0.333,-0.649
362.328,-2.291,940.068,1.388,0.673,-0.485
361.422,-1.098,938.975,1.242,1.061,-0.567
362.089,2.956,941.059,1.031,1.403,-0.388
357.229,2.849,937.039,0.669,1.798,0.035
352.969,2.848,944.524,0.314,2.250,0.149
350.916,0.595,948.634,0.038,2.825,0.231
355.000,-0.000,959.000,-0.070,3.430,0.350
361.448,4.129,966.387,-0.174,3.928,0.404
363.251,8.202,973.876,-0.513,4.205,0.571
360.110,5.396,979.670,-0.764,3.962,0.684
349.900,4.523,976.289,-0.484,3.169,0.491
341.580,8.235,979.249,0.087,2.208,0.131
338.437,9.327,976.843,0.587,1.032,-0.321
336.953,15.792,973.802,0.854,-0.313,-0.807
337.018,25.580,966.926,0.979,-1.705,-1.236
336.783,24.683,955.254,0.713,-3.196,-1.351
339.330,18.299,944.254,-0.011,-4.301,-1.346
343.206,19.619,926.503,-0.330,-5.119,-1.751
346.823,17.986,915.293,-0.416,-5.782,-1.856
350.850,11.509,911.779,-0.728,-5.833,-1.620
351.017,14.085,906.005,-0.826,-5.554,-1.524
355.000,24.000,899.000,-0.420,-5.180,-1.330
360.701,31.633,893.354,0.427,-4.579,-1.044
360.398,30.753,891.933,1.159,-3.999,-0.520
359.737,30.279,887.389,1.725,-3.501,-0.084
360.233,34.644,885.905,2.396,-2.842,0.060
361.637,40.290,886.625,2.848,-2.086,0.216
363.223,44.368,884.643,2.706,-1.275,0.613
364.116,40.453,885.056,1.958,-0.427,1.233
365.945,32.590,885.014,0.982,0.362,1.595
364.074,25.431,885.090,0.193,1.060,1.777
359.383,19.951,883.933,-0.168,1.506,1.932
355.309,14.170,885.254,-0.222,1.736,1.989
348.585,6.130,890.389,-0.191,1.877,2.084
344.430,-2.885,897.237,-0.103,2.005,2.196
346.629,-10.846,903.806,0.111,2.207,2.148
352.000,-11.000,909.000,0.350,2.520,1.960
356.629,-6.621,917.691,0.419,2.844,1.834
357.811,-3.311,924.714,0.422,2.850,1.760
358.316,-5.268,934.545,0.389,2.678,1.736
