acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-65.000,-166.000,-1001.000,-1.120,-0.350,5.880
-64.905,-192.044,-1029.858,-1.706,-0.013,6.991
-62.659,-202.612,-930.054,-1.851,0.372,6.752
-78.851,-238.597,-1025.531,-0.984,0.557,6.799
-74.617,-226.238,-940.061,1.174,0.824,5.672
-71.925,-216.366,-1005.282,3.015,0.631,5.654
-65.942,-193.081,-960.654,3.243,0.183,5.252
-70.695,-192.747,-986.119,1.899,-0.164,4.960
-75.092,-195.339,-988.926,0.309,-0.409,4.533
-73.325,-194.415,-977.400,-0.532,-0.440,4.064
-70.631,-191.861,-1001.076,-0.228,-0.330,4.182
-68.233,-185.665,-971.534,0.498,-0.184,4.474
-71.779,-191.382,-995.039,1.009,0.045,4.805
-73.347,-187.049,-974.139,1.839,0.271,4.840
-75.165,-184.713,-982.388,2.789,0.446,4.989
-73.000,-177.000,-977.000,3.360,0.560,4.970
-72.397,-171.740,-972.961,3.397,0.502,5.250
-78.055,-174.761,-981.819,3.095,0.481,5.499
-83.634,-180.910,-971.160,2.854,0.468,5.348
-84.981,-187.192,-982.890,2.531,0.382,5.243
-80.998,-182.787,-975.595,2.237,0.476,4.732
-74.464,-180.897,-983.759,2.232,0.566,4.263
-70.984,-177.551,-982.383,1.844,0.562,3.962
-72.039,-173.087,-984.338,1.468,0.685,3.591
-69.541,-174.968,-983.821,1.660,0.919,3.482
-69.682,-179.525,-977.994,1.580,1.177,3.569
-73.011,-183.453,-986.958,1.643,1.353,3.511
-77.709,-190.933,-982.413,1.906,1.427,3.354
-84.838,-194.883,-991.140,1.893,1.496,3.152
-84.230,-187.466,-996.778,2.259,1.637,3.000
-77.000,-177.000,-996.000,2.800,1.820,3.080
-75.277,-167.031,-995.891,2.689,1.890,3.374
-82.618,-164.720,-990.175,1.819,1.885,3.706
-88.658,-171.947,-992.848,1.150,1.900,3.957
-90.373,-185.320,-995.783,1.296,1.859,4.362
-84.866,-189.596,-996.344,2.161,1.801,4.601
-78.501,-182.150,-998.333,3.303,1.722,4.744
-84.766,-176.660,-999.025,3.460,1.522,5.063
-92.676,-172.308,-1000.790,2.411,1.339,5.299
-94.252,-169.293,-1003.687,1.201,1.273,5.729
-91.875,-170.887,-1003.217,0.412,1.149,6.477
-85.452,-179.619,-999.969,0.062,0.904,7.216
-75.436,-178.295,-1000.375,0.826,1.054,7.723
-74.228,-174.659,-994.451,2.323,1.369,8.555
-78.986,-187.164,-983.462,1.687,0.957,9.009
-70.000,-194.000,-994.000,-0.000,0.700,8.260
-69.135,-192.043,-996.086,0.481,0.968,7.787
-82.790,-177.972,-982.815,0.650,0.870,7.603
-84.047,-159.155,-984.246,-0.728,0.939,7.334
-77.155,-166.395,-979.041,-1.480,1.077,7.652
-70.692,-183.382,-973.939,-1.698,0.946,7.824
-69.589,-188.307,-983.180,-0.513,1.219,7.466
-75.462,-186.636,-985.894,1.991,1.553,7.195
-78.899,-175.373,-985.780,3.140,1.608,6.894
-80.337,-155.829,-988.966,2.789,1.665,6.523
-84.621,-146.050,-985.027,1.511,1.696,6.714
-90.210,-157.174,-978.316,-0.817,1.636,6.948
-89.585,-179.487,-980.971,-2.703,1.626,6.740
-82.706,-197.768,-982.499,-2.506,1.837,6.488
-77.527,-207.979,-979.834,-0.733,2.143,5.905
-77.000,-207.000,-981.000,1.400,2.380,5.180
-77.852,-194.425,-980.949,3.242,2.571,4.630
-80.301,-178.959,-982.996,3.711,2.611,4.165
-86.242,-169.435,-984.542,2.586,2.519,3.855
-88.214,-171.045,-983.015,0.630,2.329,3.555
-85.836,-177.762,-985.335,-1.434,2.111,3.541
-80.325,-187.676,-989.654,-2.380,2.216,3.634
-73.720,-198.656,-988.770,-1.807,2.308,3.408
-75.545,-203.756,-986.954,-0.405,2.303,3.168
-81.779,-206.132,-988.083,1.211,2.395,2.841
-86.070,-201.037,-986.309,2.331,2.204,2.305
-87.443,-186.551,-986.517,2.546,1.983,1.846
-86.257,-177.170,-988.347,1.912,1.771,1.766
-84.450,-179.601,-987.553,0.469,1.445,1.948
-82.663,-186.004,-987.057,-1.109,1.238,2.033
-78.000,-193.000,-989.000,-1.610,1.190,2.030
-70.692,-197.091,-991.723,-0.818,1.362,2.190
-69.974,-194.605,-993.357,0.498,1.606,2.564
-72.821,-193.856,-994.588,1.715,1.830,2.750
-72.518,-188.762,-992.010,2.020,1.892,2.680
-71.747,-174.061,-990.826,0.909,1.753,2.685
-70.663,-166.860,-988.963,-0.835,1.570,2.967
-70.092,-177.329,-983.741,-2.656,1.466,3.548
-74.485,-196.650,-983.006,-3.949,1.408,3.978
-79.749,-208.982,-982.635,-3.689,1.324,3.904
-78.294,-207.666,-986.891,-2.338,1.452,3.744
-75.392,-191.577,-993.704,-0.862,1.649,3.958
-72.168,-174.269,-996.875,-0.063,1.643,4.444
-68.025,-169.573,-996.125,-0.669,1.368,4.977
-68.306,-170.343,-992.652,-1.829,1.189,5.186
-70.000,-176.000,-992.000,-2.240,1.330,5.250
-68.496,-181.009,-988.604,-2.007,1.400,5.612
-65.443,-178.267,-986.313,-1.681,1.400,5.853
-64.990,-174.838,-983.984,-1.099,1.397,5.971
-64.110,-173.376,-983.895,-0.466,1.408,6.247
-60.458,-172.438,-992.146,-0.208,1.387,6.393
-57.590,-169.054,-994.847,0.085,1.419,6.362
-59.396,-165.775,-995.200,0.357,1.468,6.371
-67.333,-160.611,-998.766,0.113,1.401,6.309
-73.529,-152.995,-1000.842,-0.636,1.460,6.269
-73.633,-151.364,-999.501,-1.520,1.379,6.484
-72.196,-153.632,-995.382,-2.634,1.011,6.685
-71.907,-158.188,-994.913,-4.071,0.573,6.697
-70.043,-160.065,-993.090,-4.674,0.289,6.524
-65.177,-161.584,-993.439,-4.413,0.208,6.533
-61.000,-166.000,-993.000,-3.570,0.350,6.650
-61.503,-168.202,-984.446,-2.174,0.566,6.482
-64.215,-176.604,-990.135,-1.950,0.314,6.057
-61.439,-177.985,-997.781,-2.203,0.121,5.077
-60.816,-162.508,-992.464,-1.628,0.111,4.300
-67.732,-148.872,-992.911,-2.219,-0.226,4.187
-68.049,-146.699,-993.556,-4.046,-0.546,4.116
-61.559,-157.039,-992.047,-5.077,-0.709,4.129
-58.173,-167.589,-994.732,-5.138,-0.768,3.886
-54.960,-169.245,-998.233,-4.233,-0.776,3.471
-52.241,-167.469,-999.748,-2.386,-0.723,3.428
-56.115,-161.915,-996.750,-1.093,-0.695,3.330
-60.136,-152.352,-998.936,-0.742,-0.670,2.985
-57.744,-143.561,-1003.664,-0.743,-0.519,2.742
-53.464,-137.124,-1000.091,-1.327,-0.590,2.558
-53.000,-132.000,-995.000,-2.590,-0.770,2.310
-58.896,-128.224,-992.371,-4.292,-0.774,2.006
-63.434,-130.795,-988.774,-5.687,-0.768,1.812
-59.243,-144.787,-982.550,-6.314,-0.766,1.895
-53.045,-161.123,-980.835,-6.451,-0.798,1.743
-52.671,-168.707,-984.193,-5.766,-0.846,1.134
-57.105,-168.539,-986.269,-4.249,-0.733,0.512
-60.111,-165.809,-988.240,-3.016,-0.628,0.275
-60.929,-164.095,-992.630,-2.600,-0.692,0.163
-61.912,-162.521,-995.908,-2.530,-0.771,-0.259
-61.495,-159.929,-994.659,-2.502,-0.692,-0.489
-60.502,-158.203,-992.705,-2.634,-0.578,-0.504
-62.250,-160.998,-991.057,-3.178,-0.738,-0.617
-66.084,-168.509,-991.470,-3.903,-0.959,-0.752
-66.791,-174.552,-994.458,-4.025,-0.970,-1.027
-64.000,-174.000,-997.000,-3.640,-0.910,-1.260
-62.016,-168.922,-1000.424,-3.610,-1.021,-1.436
-63.748,-162.356,-1003.423,-3.711,-1.140,-1.645
-67.817,-154.101,-1004.924,-3.274,-1.020,-1.673
-69.398,-145.315,-1006.929,-2.570,-0.994,-1.495
-68.396,-139.164,-1007.850,-2.273,-1.089,-1.225
-66.841,-136.175,-1006.669,-2.404,-1.227,-1.010
-70.543,-128.158,-1007.130,-2.214,-1.333,-0.818
-76.849,-119.275,-1008.053,-2.200,-1.388,-0.332
-73.620,-121.214,-1007.014,-3.098,-1.621,0.359
-68.964,-131.394,-1007.126,-4.176,-1.855,0.746
-74.992,-146.765,-1005.526,-5.099,-2.184,0.693
-85.458,-157.680,-1005.232,-5.620,-2.495,0.443
-87.059,-158.347,-1007.435,-5.514,-2.634,0.356
-78.529,-151.412,-1006.748,-5.017,-2.828,0.523
-73.000,-139.000,-1005.000,-4.410,-2.940,0.700
-75.402,-131.595,-1001.783,-4.076,-3.161,0.815
-77.990,-127.077,-995.725,-4.191,-3.587,1.037
-77.064,-120.396,-991.828,-4.785,-3.917,1.263
-74.257,-120.240,-991.418,-5.190,-4.012,1.431
-70.988,-131.522,-986.514,-5.315,-3.972,1.711
-71.272,-147.154,-983.927,-5.554,-3.884,1.591
-69.645,-153.012,-983.913,-4.865,-3.532,1.006
-64.294,-150.293,-983.791,-3.083,-2.983,0.583
-62.255,-145.012,-987.518,-1.479,-2.433,0.288
-61.444,-134.357,-987.721,-0.425,-1.947,-0.100
-64.042,-123.996,-989.073,-0.247,-1.713,-0.566
-63.623,-113.971,-989.196,-1.300,-1.639,-0.903
-57.336,-105.598,-988.065,-2.765,-1.351,-1.096
-58.907,-113.176,-990.248,-4.293,-0.917,-1.111
-67.000,-128.000,-990.000,-5.320,-0.560,-1.120
-72.813,-137.777,-990.001,-4.930,-0.196,-1.365
-69.981,-143.667,-989.697,-3.467,0.130,-1.480
-65.309,-142.428,-991.753,-1.424,0.357,-1.424
-68.571,-139.540,-992.384,0.160,0.446,-1.417
-73.816,-134.330,-990.602,0.627,0.385,-1.657
-76.019,-128.239,-993.865,0.268,0.237,-1.824
-72.676,-131.515,-996.137,-0.796,-0.023,-1.750
-72.606,-137.676,-999.620,-1.899,-0.329,-1.938
-78.962,-139.966,-1003.620,-2.273,-0.537,-2.105
-81.488,-139.359,-1003.546,-2.012,-0.597,-2.038
-83.039,-138.321,-1001.687,-2.084,-0.756,-2.102
-81.512,-134.777,-1003.150,-2.441,-1.004,-2.346
-79.088,-129.879,-1006.548,-2.275,-0.916,-2.192
-86.542,-128.852,-1004.446,-1.918,-0.770,-1.692
-92.000,-125.000,-1002.000,-1.820,-0.980,-1.680
-86.926,-122.599,-1001.854,-1.996,-1.132,-1.726
-82.883,-127.340,-1003.516,-2.090,-0.956,-1.192
-77.737,-131.851,-1003.259,-1.739,-0.921,-0.630
-67.660,-132.819,-1000.472,-1.135,-1.001,-0.615
-65.404,-127.326,-1001.642,-0.560,-0.829,-0.689
-68.677,-124.100,-1001.356,-0.137,-0.788,-0.409
-71.222,-128.362,-996.612,-0.166,-0.919,-0.124
-73.873,-130.909,-992.280,-0.782,-1.039,0.057
-74.874,-133.628,-989.380,-1.474,-1.167,0.155
-73.663,-140.636,-988.038,-2.037,-1.300,-0.051
-64.283,-144.497,-988.163,-2.468,-1.567,-0.487
-57.002,-143.450,-991.908,-2.203,-1.533,-0.853
-58.983,-144.255,-993.690,-1.069,-1.251,-1.125
-62.779,-139.608,-990.717,0.068,-1.000,-1.271
-69.000,-129.000,-993.000,0.630,-0.560,-1.260
-67.888,-124.215,-995.067,0.740,-0.290,-1.087
-64.683,-123.314,-995.728,0.118,-0.311,-0.945
-71.675,-121.864,-999.730,-0.947,-0.498,-1.162
-76.411,-120.537,-997.659,-1.667,-0.764,-1.260
-73.121,-123.932,-994.073,-2.274,-0.840,-0.992
-67.979,-130.766,-995.383,-2.699,-0.740,-0.613
-65.967,-142.081,-995.965,-2.239,-0.623,-0.423
-65.995,-152.808,-994.223,-0.957,-0.565,-0.675
-66.598,-147.920,-991.931,0.551,-0.454,-0.847
-68.841,-143.881,-993.756,1.396,-0.344,-0.806
-72.590,-145.646,-995.518,1.121,-0.418,-0.995
-79.179,-139.296,-996.715,0.500,-0.520,-1.333
-81.810,-133.854,-999.512,-0.048,-0.467,-1.374
-75.742,-130.371,-998.910,-0.922,-0.513,-1.350
-69.000,-127.000,-1002.000,-1.680,-0.700,-1.610
-69.393,-126.153,-1005.242,-1.605,-0.713,-1.517
-72.877,-124.062,-1001.769,-1.198,-0.639,-1.284
-71.368,-120.959,-1000.833,-1.022,-0.628,-1.155
-69.487,-123.379,-998.945,-0.955,-0.631,-0.720
-72.724,-133.144,-992.453,-1.005,-0.631,-0.411
-76.472,-143.106,-991.207,-0.813,-0.623,-0.345
-74.705,-150.371,-991.970,-0.074,-0.555,-0.350
-71.188,-150.339,-991.865,0.660,-0.615,-0.344
-69.268,-144.574,-995.188,1.009,-0.817,-0.608
-69.683,-136.483,-996.906,1.103,-0.842,-0.861
-72.427,-130.165,-997.269,0.776,-0.874,-0.805
-68.063,-138.569,-1000.277,-0.049,-0.915,-0.820
-65.078,-149.268,-1000.390,-0.440,-0.923,-0.441
-67.045,-149.338,-997.716,-0.059,-0.980,-0.845
-65.000,-139.000,-998.000,0.490,-0.840,-1.540
-66.590,-126.076,-998.273,0.959,-0.706,-0.996
-66.857,-123.192,-995.588,0.602,-0.693,-0.875
-64.498,-122.195,-995.348,-0.459,-0.744,-1.128
-62.859,-126.519,-998.117,-0.569,-0.721,-0.706
-60.663,-134.429,-997.053,0.432,-0.270,0.676
-65.634,-135.917,-997.417,1.250,0.212,1.596
-70.093,-133.709,-997.795,1.471,0.111,0.896
-69.137,-130.893,-993.232,1.173,-0.386,-0.260
-67.332,-137.556,-994.694,0.185,-0.590,-1.165
-67.110,-146.348,-998.473,-0.585,-0.364,-0.627
-69.700,-148.712,-995.195,-0.233,-0.221,0.107
-72.426,-143.078,-994.332,0.175,-0.189,-0.333
-77.533,-132.191,-997.942,-0.010,-0.137,-0.446
-75.990,-133.063,-999.065,-0.150,-0.328,-0.169
-69.000,-141.000,-1000.000,-0.210,-0.630,0.070
-71.956,-140.860,-1000.849,-0.057,-0.654,0.201
-77.382,-133.440,-1002.474,0.305,-0.465,0.291
-77.305,-126.945,-1002.364,0.275,-0.392,0.567
-70.624,-127.019,-998.950,-0.034,-0.475,1.003
-64.952,-134.224,-997.199,-0.286,-0.628,1.063
-69.549,-139.433,-994.252,-0.228,-0.797,0.688
-74.202,-137.862,-994.139,0.176,-0.760,0.562
-75.945,-138.763,-994.194,0.603,-0.637,0.683
-74.127,-141.606,-992.547,0.864,-0.567,0.941
-70.381,-142.430,-995.612,1.162,-0.595,0.960
-74.177,-139.669,-998.915,1.926,-0.631,0.917
-78.309,-132.136,-1003.789,2.596,-0.518,1.205
-79.031,-125.526,-999.367,2.063,-0.727,1.467
-76.170,-126.923,-995.270,0.629,-0.816,1.628
-71.000,-138.000,-998.000,-0.140,-0.560,1.680
-74.185,-148.404,-991.699,-0.160,-0.556,1.693
-75.602,-146.904,-991.615,0.219,-0.509,1.485
-69.996,-142.434,-989.127,1.183,-0.519,1.340
-69.273,-144.335,-987.502,1.506,-0.572,1.432
-67.786,-142.502,-993.625,1.223,-0.572,1.059
-64.647,-139.934,-992.699,0.982,-0.638,0.637
-66.202,-142.221,-996.352,0.603,-0.634,0.476
-67.941,-145.636,-994.535,0.363,-0.821,0.229
-68.716,-150.457,-991.661,0.303,-0.931,0.073
-70.247,-149.730,-998.245,0.679,-0.802,0.143
-72.160,-145.146,-996.813,0.904,-0.761,0.291
-73.469,-141.164,-997.169,0.621,-0.773,0.226
-74.197,-138.509,-1002.037,0.466,-0.769,0.266
-73.701,-137.778,-1001.693,0.413,-0.768,0.614
