acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
83.000,-0.000,-1004.000,0.070,-0.770,0.140
87.489,-1.019,-1046.874,0.076,-0.740,0.204
79.857,-0.165,-955.259,0.093,-0.621,0.258
87.856,-0.513,-1052.495,0.281,-0.573,0.321
81.097,-0.898,-966.346,0.386,-0.450,0.408
87.612,0.441,-1032.159,0.462,-0.500,0.521
83.380,-0.421,-989.504,0.577,-0.395,0.466
84.412,-2.070,-1009.645,0.555,-0.427,0.421
84.415,-2.039,-1009.081,0.495,-0.426,0.424
82.154,-1.893,-993.600,0.385,-0.402,0.357
84.842,-2.222,-1015.268,0.244,-0.481,0.355
82.776,-1.315,-990.729,0.175,-0.490,0.311
85.444,-1.237,-1014.793,0.091,-0.477,0.287
84.160,-2.213,-996.551,-0.028,-0.393,0.380
84.275,-1.874,-1008.753,0.020,-0.341,0.421
84.000,-1.000,-1005.000,0.140,-0.210,0.420
83.560,-0.889,-1002.051,0.145,-0.132,0.367
86.156,-1.821,-1009.935,0.098,-0.203,0.244
84.546,-2.025,-998.912,-0.016,-0.201,0.157
83.985,-2.083,-1008.663,-0.114,-0.247,0.135
84.035,-1.705,-1000.448,-0.147,-0.274,0.144
85.361,-0.905,-1007.295,-0.135,-0.188,0.136
84.838,-1.007,-1004.286,-0.143,-0.139,0.143
83.897,-0.977,-1004.464,-0.205,-0.140,0.206
85.809,-1.793,-1004.908,-0.309,-0.134,0.220
85.891,-2.138,-1000.874,-0.526,-0.213,0.163
86.609,-1.934,-1004.293,-0.831,-0.400,0.105
87.004,-1.832,-1000.796,-1.235,-0.552,0.040
86.990,-0.578,-1005.228,-1.418,-0.659,-0.017
85.666,0.012,-1002.270,-1.400,-0.701,-0.078
85.000,-0.000,-1004.000,-1.400,-0.700,-0.070
86.984,0.013,-1005.457,-1.283,-0.705,-0.005
85.469,-0.026,-1004.346,-1.121,-0.647,0.001
85.398,0.032,-1005.686,-0.864,-0.622,0.003
85.835,-0.032,-1003.958,-0.725,-0.633,-0.006
84.897,0.028,-1004.017,-0.661,-0.640,0.010
86.302,-0.020,-1004.048,-0.546,-0.722,-0.016
85.905,0.008,-1004.998,-0.559,-0.771,-0.070
