acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-748.000,608.000,89.000,14.280,2.380,0.280
-787.445,627.381,102.720,12.701,1.907,-0.518
-726.500,591.511,87.240,10.711,0.923,-1.390
-799.925,686.274,93.212,10.649,0.431,-0.980
-736.965,644.146,90.979,4.701,-0.843,-0.190
-783.197,678.279,97.702,-0.018,-1.647,-0.107
-743.902,650.279,94.534,-6.091,-2.083,-0.110
-756.510,655.825,96.636,-8.837,-1.950,0.082
-758.727,634.558,100.357,-10.777,-2.383,0.260
-751.382,597.773,92.758,-12.295,-2.959,0.527
-768.317,592.821,85.652,-11.003,-2.709,0.596
-751.306,577.635,87.093,-9.859,-2.687,0.713
-773.530,608.726,106.718,-8.274,-2.569,0.576
-754.838,617.914,111.960,-8.193,-2.426,0.298
-755.825,632.129,108.132,-8.367,-2.268,0.276
-749.000,620.000,110.000,-7.910,-1.890,0.280
-751.056,599.873,99.755,-6.460,-1.305,0.487
-768.718,592.665,94.770,-3.654,-0.621,0.177
-761.975,588.444,98.723,-0.172,-0.297,-0.199
-761.995,610.764,94.062,3.520,0.097,-0.027
-745.350,638.218,85.324,5.932,0.274,-0.007
-748.866,663.498,89.572,6.821,0.004,0.231
-756.098,658.114,106.295,5.420,-0.146,0.487
-758.752,656.741,115.988,3.022,-0.205,0.051
-756.071,647.411,108.875,1.436,-0.347,-0.420
-752.482,620.987,98.938,0.041,-0.756,-0.175
-761.187,620.861,98.652,-0.762,-1.053,-0.201
-758.664,651.302,98.547,-0.174,-1.206,-1.057
-758.831,686.754,97.922,-0.161,-1.475,-1.375
-759.701,675.968,96.840,-2.402,-1.533,-0.801
-756.000,629.000,102.000,-4.970,-1.400,-0.280
-748.410,581.023,114.905,-5.186,-0.998,-0.359
-742.140,569.568,115.854,-1.932,-0.394,-0.809
-743.906,591.951,115.629,2.650,0.184,-0.946
-748.764,612.792,116.629,5.475,0.644,-0.688
-755.857,641.364,110.368,5.786,0.950,-0.690
-761.953,666.353,108.207,3.726,1.135,-0.954
-761.694,655.779,112.438,-0.351,0.960,-0.812
-755.555,617.040,116.904,-4.284,0.893,-0.496
-749.168,589.048,114.434,-4.994,1.242,-0.717
-746.170,591.612,107.629,-2.461,1.576,-1.282
-750.039,614.459,101.155,1.043,1.800,-1.678
-754.052,639.740,94.603,3.813,1.773,-1.730
-753.837,656.128,83.079,4.202,1.656,-1.552
-756.827,665.932,77.270,1.925,1.594,-1.357
-762.000,659.000,88.000,-1.120,1.400,-0.700
-760.753,628.319,101.481,-3.421,1.157,0.366
-755.755,599.687,106.740,-3.799,0.943,0.721
-755.803,592.145,102.434,-1.573,0.947,0.297
-759.831,599.534,101.033,1.650,1.219,0.151
-759.033,603.026,100.131,4.266,1.673,0.658
-759.756,600.440,101.139,5.853,2.322,1.110
-764.211,602.519,107.149,6.403,2.828,1.026
-762.433,617.226,102.497,7.080,3.070,0.594
