acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-1003.000,-30.000,-62.000,0.560,-0.420,-0.420
-1045.124,-30.602,-65.353,0.406,-0.377,-0.313
-951.049,-25.735,-61.019,0.199,-0.282,-0.203
-1046.923,-28.829,-66.454,0.209,-0.244,-0.236
-962.178,-27.424,-62.562,0.030,-0.219,-0.380
-1027.827,-29.731,-66.079,-0.117,-0.296,-0.512
-984.439,-25.542,-63.363,-0.240,-0.170,-0.496
-1004.657,-23.095,-65.172,-0.357,-0.066,-0.645
-1004.925,-24.928,-63.235,-0.357,-0.006,-0.825
-992.093,-26.302,-64.766,-0.274,0.018,-1.024
-1014.660,-29.426,-67.163,-0.375,-0.092,-1.024
-989.058,-30.016,-64.728,-0.434,-0.212,-0.936
-1012.516,-30.319,-64.917,-0.433,-0.340,-0.859
-993.195,-31.180,-64.214,-0.510,-0.449,-0.765
-1004.667,-30.855,-67.232,-0.581,-0.487,-0.949
-1000.000,-29.000,-63.000,-0.910,-0.350,-1.190
-996.127,-24.853,-59.913,-1.353,-0.001,-1.592
-1003.761,-19.736,-59.609,-1.460,0.490,-2.197
-994.356,-19.891,-59.160,-1.206,0.867,-2.791
-1006.967,-24.938,-63.400,-1.115,1.122,-3.413
-997.574,-29.491,-65.752,-1.243,1.462,-3.810
-1003.299,-31.052,-68.630,-1.349,1.611,-3.726
-1000.225,-31.077,-68.914,-1.318,1.453,-3.488
-1000.319,-33.735,-68.884,-1.071,1.211,-3.433
-1003.504,-37.099,-70.647,-0.786,0.874,-3.251
-999.892,-41.961,-72.305,-0.355,0.361,-2.639
-1004.014,-45.698,-73.486,-0.130,-0.190,-1.778
-999.727,-43.369,-72.182,-0.317,-0.563,-1.167
-1000.397,-40.278,-70.509,-0.434,-0.747,-0.800
-998.653,-38.792,-68.698,-0.415,-0.952,-0.437
-1001.000,-37.000,-67.000,-0.350,-1.260,-0.140
-1001.524,-33.636,-66.091,-0.119,-1.346,0.110
-999.172,-29.813,-65.367,0.131,-1.213,0.220
-998.688,-28.048,-64.189,0.054,-1.166,0.091
-1000.265,-28.333,-64.249,0.009,-1.006,-0.307
-1001.818,-29.502,-65.622,0.090,-0.750,-0.677
-999.691,-31.621,-67.286,0.063,-0.605,-0.881
-1001.088,-34.099,-66.893,0.070,-0.563,-0.980
-1001.015,-33.173,-66.011,0.007,-0.688,-0.854
-1002.055,-31.887,-65.390,-0.018,-0.733,-0.714
-999.434,-32.714,-64.361,0.090,-0.514,-0.718
-997.793,-33.724,-66.556,0.219,-0.319,-0.892
-1001.414,-36.176,-66.629,0.319,-0.266,-0.999
-1001.653,-36.989,-67.782,0.357,-0.310,-0.834
-1000.921,-37.035,-68.758,0.344,-0.530,-0.510
-1000.000,-36.000,-66.000,0.280,-0.700,-0.350
-1000.626,-34.017,-66.079,0.219,-0.646,-0.531
-1002.818,-34.841,-64.304,0.192,-0.533,-0.594
-1001.998,-34.547,-65.480,0.276,-0.390,-0.464
-999.175,-33.088,-67.286,0.201,-0.345,-0.411
-997.667,-29.206,-65.550,0.036,-0.327,-0.599
-999.414,-27.118,-67.612,0.190,-0.170,-1.008
-999.997,-30.265,-67.910,0.279,-0.067,-1.351
-1000.871,-32.827,-67.866,0.275,-0.067,-1.533
-1001.405,-34.848,-69.802,0.304,-0.125,-1.550
-999.069,-34.352,-69.589,0.133,-0.157,-1.551
-999.690,-34.277,-67.843,0.044,-0.094,-1.770
-1001.231,-35.418,-66.641,0.077,-0.080,-1.899
-1000.635,-36.439,-67.362,-0.067,-0.165,-1.676
-999.952,-36.742,-67.969,-0.314,-0.117,-1.715
-1000.000,-33.000,-67.000,-0.490,0.070,-1.960
-999.963,-32.647,-66.911,-0.676,0.133,-2.132
-1001.155,-34.653,-67.105,-0.728,0.234,-2.361
-1003.204,-36.054,-67.266,-0.662,0.318,-2.307
-1000.976,-37.548,-68.588,-0.781,0.234,-2.206
-998.263,-36.332,-67.140,-0.861,0.374,-2.307
-999.275,-34.487,-65.854,-1.045,0.706,-2.707
-1000.056,-31.874,-64.920,-1.265,1.001,-3.181
-1000.957,-33.671,-65.784,-1.196,1.245,-3.543
-1000.969,-36.254,-67.377,-1.230,1.386,-3.772
-1001.159,-34.706,-65.524,-1.353,1.377,-3.871
-998.743,-36.724,-68.084,-1.471,1.275,-4.519
-996.988,-38.487,-68.445,-1.382,1.472,-4.902
-1002.684,-41.442,-68.643,-1.147,1.860,-4.822
-1001.153,-46.553,-71.172,-1.298,2.140,-4.902
-999.000,-48.000,-72.000,-1.330,2.310,-4.620
-1004.572,-52.047,-76.423,-0.914,1.882,-3.821
-1003.258,-57.292,-78.492,-0.503,0.917,-2.453
-1000.226,-57.953,-81.042,-0.307,0.088,-1.282
-998.913,-55.092,-81.324,-0.289,-0.511,-0.515
-997.874,-49.707,-77.541,-0.408,-0.867,-0.001
-1000.606,-43.701,-74.176,-0.483,-0.896,0.078
-1000.911,-39.825,-72.011,-0.256,-0.841,0.225
-1000.024,-39.003,-73.888,-0.011,-1.024,0.347
-999.353,-38.993,-73.990,0.110,-1.402,0.365
-997.374,-39.081,-74.891,0.188,-1.560,0.169
-996.719,-38.254,-73.314,-0.038,-1.475,-0.312
-999.484,-35.826,-69.807,-0.294,-1.294,-0.729
-1002.357,-35.254,-70.343,-0.239,-0.937,-0.973
-1000.578,-38.730,-71.149,-0.030,-0.767,-1.142
-999.000,-44.000,-73.000,0.280,-0.840,-1.190
-999.705,-49.292,-75.569,0.371,-1.010,-1.078
-1001.826,-52.164,-77.401,0.182,-1.274,-0.782
-999.902,-50.025,-74.487,0.118,-1.408,-0.262
-996.867,-45.439,-72.578,0.189,-1.586,0.081
-1000.454,-42.221,-72.899,0.359,-1.844,0.269
-1000.435,-43.603,-71.849,0.627,-1.966,0.270
-1000.182,-44.986,-71.992,0.845,-1.886,0.448
-1001.223,-44.082,-71.087,0.600,-2.128,0.589
-997.171,-41.964,-69.660,0.122,-2.545,-0.124
-999.895,-37.739,-66.031,0.083,-2.078,-0.425
-1002.415,-37.064,-64.765,0.238,-1.617,-0.262
-999.461,-36.331,-64.599,0.472,-1.574,-0.317
-998.869,-36.682,-64.383,0.668,-1.187,-0.525
-997.867,-40.514,-67.372,0.702,-0.882,-1.058
-999.000,-43.000,-68.000,0.630,-0.770,-1.260
-1001.676,-47.395,-70.521,0.327,-0.816,-1.203
-1003.023,-48.686,-71.527,0.110,-0.926,-1.016
-1001.765,-46.413,-70.438,-0.044,-0.815,-0.677
-1000.294,-45.973,-71.553,-0.231,-0.779,-0.435
-1001.359,-45.873,-70.219,-0.287,-0.877,-0.193
-1001.929,-44.511,-68.698,-0.274,-0.913,-0.031
-1000.872,-41.803,-66.848,-0.201,-0.907,0.231
-999.081,-40.074,-65.995,-0.016,-0.787,0.296
-999.549,-39.780,-65.380,0.131,-0.542,-0.008
-1000.819,-41.709,-64.787,0.169,-0.345,-0.182
-1000.657,-45.246,-69.058,0.269,-0.188,-0.253
-1000.973,-47.802,-71.165,0.054,-0.130,-0.274
-1000.849,-45.947,-69.632,-0.276,-0.148,-0.164
-1001.076,-42.675,-70.134,-0.271,-0.231,0.034
-1001.000,-42.000,-70.000,-0.210,-0.350,0.210
-1000.891,-42.646,-69.871,0.079,-0.291,0.267
-1001.246,-45.987,-70.794,0.353,-0.308,0.457
-999.973,-48.033,-71.490,0.234,-0.441,0.790
-1000.158,-47.878,-72.551,0.060,-0.578,1.043
-1001.203,-48.093,-73.257,-0.032,-0.931,1.456
-1002.049,-47.812,-74.157,-0.063,-1.349,2.129
-1000.847,-45.805,-73.974,0.085,-1.709,2.851
