acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[dps],gyro_y[dps],gyro_z[dps]
-547.000,-227.000,-833.000,0.630,-3.360,-0.630
-560.965,-241.642,-877.376,1.978,-3.967,-1.540
-502.615,-212.229,-805.544,3.725,-4.274,-2.374
-546.369,-209.900,-888.248,4.929,-5.132,-3.007
-489.115,-167.663,-817.588,4.677,-4.930,-3.377
-522.072,-162.614,-867.664,2.566,-4.442,-3.425
-492.500,-138.153,-827.949,-0.518,-3.387,-3.438
-497.459,-143.800,-836.120,-3.591,-2.612,-3.340
-500.869,-161.129,-831.172,-6.281,-1.936,-2.910
-494.085,-183.058,-825.819,-7.327,-1.705,-2.415
-507.082,-208.564,-852.929,-5.896,-1.878,-1.962
-501.524,-205.531,-836.760,-2.854,-1.954,-1.255
-519.315,-205.033,-856.392,0.209,-2.202,-0.030
-514.090,-200.686,-839.010,2.389,-2.107,0.897
-529.020,-202.342,-843.929,3.625,-1.939,1.136
-527.000,-198.000,-831.000,3.780,-1.750,1.190
-520.113,-198.070,-824.300,2.918,-1.669,1.132
-520.464,-199.861,-834.049,1.670,-1.749,1.099
-513.395,-195.495,-828.737,0.702,-1.695,1.269
-520.519,-198.733,-844.148,-0.041,-1.458,1.762
-515.755,-195.123,-842.377,-0.567,-1.165,2.128
-521.008,-197.483,-852.276,-0.481,-1.013,2.397
-522.774,-202.023,-855.654,0.213,-0.748,2.823
-523.646,-197.628,-853.965,1.375,-0.566,2.873
-525.608,-188.010,-849.300,2.385,-0.503,3.001
-523.854,-183.557,-844.673,2.698,-0.512,3.311
-521.847,-188.829,-848.825,2.455,-0.595,3.372
-512.874,-194.252,-842.860,1.918,-0.302,3.330
-511.560,-197.642,-841.912,1.639,0.089,3.155
-515.810,-196.660,-835.475,1.499,0.128,2.994
-522.000,-196.000,-828.000,1.050,0.000,2.940
-524.091,-199.161,-823.503,0.775,-0.233,2.891
-523.396,-206.903,-824.265,0.847,-0.540,2.607
-521.852,-215.169,-829.196,1.192,-0.855,2.054
-523.836,-209.806,-830.427,2.065,-1.315,1.614
-528.180,-191.472,-833.153,2.737,-1.763,1.429
-527.382,-178.184,-837.172,2.238,-1.981,1.510
-522.498,-180.748,-844.508,1.105,-1.789,1.688
-518.015,-194.058,-846.254,0.251,-1.295,1.624
-520.618,-200.294,-843.144,0.075,-0.998,1.472
-519.279,-198.959,-843.788,0.509,-1.039,1.581
-517.949,-202.856,-843.248,0.957,-1.245,1.842
-521.583,-203.369,-843.286,1.457,-1.185,2.035
-523.334,-203.692,-843.276,2.178,-1.033,2.110
-523.979,-204.585,-836.927,2.630,-1.137,2.096
-523.000,-199.000,-834.000,2.730,-1.120,2.100
-523.098,-201.875,-837.278,2.680,-1.114,2.163
-520.307,-205.501,-841.965,2.505,-1.021,2.144
-518.202,-198.157,-843.045,2.365,-0.616,1.968
-522.131,-193.573,-840.633,2.166,-0.445,1.826
-520.007,-197.009,-841.294,1.532,-0.354,1.675
-515.552,-203.222,-838.799,0.992,0.035,1.413
-518.318,-204.957,-833.770,1.394,0.361,1.334
-519.238,-204.052,-833.010,2.382,0.235,1.459
-515.389,-203.145,-832.744,2.926,-0.047,1.630
-516.322,-204.934,-835.711,2.816,-0.032,1.821
-519.979,-214.162,-840.676,2.630,0.009,1.640
-521.578,-218.581,-841.917,2.591,0.017,1.035
-525.697,-214.255,-840.096,2.698,0.078,0.611
-531.780,-207.981,-836.459,2.618,-0.023,0.477
-534.000,-202.000,-834.000,2.170,-0.140,0.420
-533.293,-198.599,-832.932,1.739,-0.255,0.367
-529.659,-192.645,-834.960,1.365,-0.398,0.232
-525.521,-183.767,-837.075,1.016,-0.431,0.280
-527.403,-176.719,-836.556,0.321,-0.380,0.624
-526.904,-180.389,-839.627,-0.754,-0.191,0.942
-521.517,-196.862,-845.093,-1.306,0.055,1.053
-514.527,-203.907,-846.898,-0.919,0.299,0.975
-514.429,-199.288,-841.593,0.129,0.485,1.154
-524.243,-197.929,-835.551,0.894,0.403,1.755
-528.337,-199.010,-833.805,1.224,0.180,2.208
-530.692,-206.755,-831.094,1.730,0.143,2.462
-531.225,-213.395,-831.630,2.085,0.070,2.658
-526.554,-203.665,-831.066,2.310,-0.227,2.646
-523.555,-191.753,-827.874,2.247,-0.263,2.773
-520.000,-188.000,-831.000,1.330,-0.140,3.150
-519.712,-188.531,-832.955,0.259,0.025,3.456
-521.018,-192.248,-834.180,-0.277,0.310,3.792
-520.746,-192.617,-835.686,-0.398,0.349,4.214
-521.287,-187.993,-832.920,-0.267,0.403,4.668
-522.287,-182.222,-830.018,-0.433,0.534,5.300
-521.340,-189.850,-830.373,-1.382,0.672,5.817
-516.642,-216.093,-833.208,-2.195,0.847,5.791
-514.048,-232.686,-834.890,-1.766,0.787,5.482
-515.030,-230.461,-837.307,-0.303,0.415,5.313
-521.942,-222.217,-838.543,0.989,-0.193,5.504
-531.279,-207.196,-836.970,0.847,-0.393,5.912
-534.968,-203.083,-839.204,-0.064,-0.159,5.783
-536.171,-215.717,-837.217,-0.778,0.074,4.963
-534.569,-216.199,-828.924,-1.589,0.304,4.072
-533.000,-216.000,-828.000,-1.890,0.210,3.290
-533.359,-221.604,-834.062,-1.220,-0.265,2.558
