# STEVAL-MKI227KA (LSM6DSV16X)

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
3308701089,335.073,-90.646,-920.002
3308751164,327.692,-98.454,-924.028
3308852865,309.514,-89.182,-896.029
3308900957,326.594,-68.808,-971.486
3308951135,299.266,-88.084,-935.313
3309050754,271.877,-102.541,-960.689
3309100693,283.162,-79.605,-950.502
3309150659,307.501,-76.799,-920.917
3309251167,295.118,-65.758,-926.407
3309300899,277.062,-53.802,-953.918
3309400871,278.953,-55.388,-965.752
3309450923,290.787,-28.731,-919.819
3309501348,301.767,-35.380,-929.762
3309601771,294.264,-63.684,-963.434
3309652631,320.555,-51.423,-906.277
3309702257,302.926,-14.945,-932.385
3309801671,338.611,-45.506,-929.884
3309851862,321.531,-36.417,-954.223
3309901081,365.207,-19.825,-901.946
3310000822,429.684,-46.970,-923.662
3310051147,452.742,-37.271,-922.564
3310151675,535.824,-4.819,-828.685
3310201360,598.166,48.373,-747.799
3310253509,674.599,40.199,-704.123
3310352074,704.611,41.602,-679.662
3310401137,702.781,36.905,-621.285
3310451033,676.978,3.294,-623.786
3310551789,612.623,-3.599,-830.759
3334800999,195.688,208.925,-833.565
3334851593,-147.681,426.268,-777.323
3334901606,-60.695,374.296,-1058.899
3335000683,-57.157,332.328,-874.008
3335051051,48.434,288.164,-932.934
3335101061,70.089,277.672,-952.332
3335200816,51.545,248.880,-943.365
3335251358,76.128,247.416,-969.290
3335350921,40.199,203.923,-984.357
3335400952,69.113,281.332,-944.524
3335451907,42.456,285.541,-956.053
3335550955,54.717,351.970,-928.542
3335600952,79.117,373.381,-894.687
3335651604,58.865,432.429,-902.800
3335751101,96.136,458.598,-848.937
3335801157,116.510,512.400,-839.116
3335850576,142.435,532.469,-783.972
3335951312,116.205,570.106,-805.810
3336001358,118.218,605.852,-781.105
3336100883,139.507,627.141,-740.174
3336151354,137.738,612.440,-742.248
3336201369,102.907,539.728,-809.165
3336300963,94.184,486.841,-842.349
3336351509,81.008,428.281,-880.840
3336401556,72.224,385.032,-915.549
3336500967,62.159,341.783,-945.439
3336550627,61.854,279.014,-946.964
3336651331,68.991,250.710,-957.456
3336701127,78.202,205.570,-953.430
3336751415,81.862,168.543,-989.481
3336850699,101.931,119.621,-983.686
3336900824,141.703,62.830,-963.739
3336951922,225.517,49.471,-972.767
3337050638,291.763,47.336,-933.056
3337101381,316.834,76.738,-947.025
3337151306,312.381,98.698,-950.197
3337250869,331.169,149.999,-909.510
3337301483,358.863,213.561,-932.690
3337402042,386.984,216.733,-835.944
3337451228,398.391,264.374,-833.077
3337501279,377.285,259.921,-810.568
3337601859,325.435,250.100,-929.640
3337651280,291.214,140.483,-916.586
3337700793,255.285,60.573,-872.544
3337801122,187.026,44.347,-959.835
3337851901,115.046,-8.540,-946.232
3337901289,43.310,-50.935,-1035.658
3338000810,-10.675,-73.871,-993.446
3338051416,-51.728,-25.193,-1000.888
3338151188,-91.805,-29.036,-1014.430
3338201086,-100.955,28.182,-1007.171
3338251805,-116.510,9.394,-981.795
3338351014,-129.076,61.122,-950.136
3338401026,-156.221,108.458,-982.100
3338450750,-206.607,146.461,-1150.521
3338550874,-152.500,96.990,-993.080
3338600819,-62.891,87.962,-974.719
3338650841,-2.379,115.595,-988.505
3338751563,68.137,103.456,-950.685
3338801529,113.521,159.454,-1030.290
3338901263,183.305,163.602,-965.752
3338950936,240.096,121.085,-920.063
3339000975,322.263,185.318,-826.367
3339100641,324.459,271.267,-971.669
3339150785,367.830,281.393,-807.213
3339201084,364.353,313.723,-835.334
3339300745,374.052,382.287,-771.955
3339351171,400.221,363.621,-758.230
3339451011,380.823,307.318,-709.308
3339500759,281.820,411.140,-724.802
3339551206,53.558,442.006,-1028.704
3339651041,-65.331,303.780,-971.425
3339701425,-71.431,379.969,-924.028
3339751423,-117.913,379.176,-889.380
3339851383,-197.030,382.958,-930.616
3339900709,-258.518,353.739,-940.864
3339951306,-302.316,327.204,-1013.698
3340051516,-196.908,320.921,-986.492
3340100708,-167.262,299.815,-918.355
3340200915,-63.379,254.797,-916.830
3340251428,187.636,125.477,-929.274
3340301450,235.033,136.396,-905.301
3340400594,244.915,179.462,-966.240
3340450985,286.944,119.926,-931.409
3340501525,337.147,130.784,-892.247
3340601115,399.733,260.592,-882.975
3340651330,422.974,307.745,-898.896
3340701747,458.598,280.173,-812.886
3340800857,483.303,261.141,-740.784
3340850684,466.833,269.376,-753.960
