# STEVAL-MKI227KA (LSM6DSV16X)

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
3229401661,56.242,-101.687,1008.086
3229451577,42.761,-120.963,1025.898
3229551545,42.639,-139.812,1026.691
3229601900,78.324,-86.315,965.752
3229651036,61.915,-97.661,994.300
3229751603,74.115,-155.672,990.701
3229802101,27.145,-130.662,1044.259
3229851798,-5.795,-141.398,987.834
3229951938,-54.656,-117.486,955.809
3230001074,-74.725,-99.186,999.668
3230101394,-58.926,-88.145,975.634
3230151312,-83.631,-83.692,966.606
3230201457,-131.577,-90.707,1019.737
3230300684,-109.983,-56.364,951.234
3230351500,-117.791,-116.571,1029.924
3230400912,-145.119,-185.013,972.462
3230502295,-205.692,-165.371,1012.661
3230551568,-196.969,-99.125,965.020
3230651087,-182.512,-111.020,978.562
3230701597,-182.146,-132.492,995.886
3230751206,-268.278,-188.124,989.298
3230852122,-209.047,-154.391,1020.347
3230901824,-118.584,-2.928,949.953
3230951014,-151.402,-31.110,1008.208
3231051342,7.076,-86.071,966.118
3231102364,-21.228,-51.057,1019.005
3231153541,-18.239,-47.092,993.690
3231251807,146.339,-50.874,992.531
3231301607,66.734,-0.915,1016.626
3231402251,45.262,-13.603,1021.872
3231451311,26.291,26.352,963.495
3231501796,-31.415,40.443,934.215
3231601669,-171.349,10.980,1035.658
3231651759,-272.426,25.376,932.019
3231701527,-328.973,-1.891,955.565
3231800665,-386.862,-21.411,888.892
3231852430,-448.045,-101.931,890.112
3231901658,-468.785,-144.997,944.341
3232000876,-445.361,-165.371,894.809
3232051424,-432.368,-191.235,876.631
3232151433,-436.394,-206.241,867.298
3232201405,-440.603,-217.526,847.290
3232250780,-447.862,-255.651,881.755
3232352994,-470.981,-263.093,865.041
3232400770,-487.024,-273.402,847.961
3232452156,-519.476,-262.300,839.421
3232550656,-515.877,-270.596,908.961
3232601955,-411.567,-239.364,866.810
3232651165,-264.679,-220.881,928.298
3232752361,-100.223,-216.794,884.012
3232800989,-67.588,-265.533,946.476
3232902427,-4.514,-319.884,981.856
3232950697,51.179,-344.467,955.870
3233000852,124.013,-355.996,875.777
3233101200,127.856,-402.966,899.018
3233151975,119.011,-437.431,928.603
3233200790,84.058,-483.608,963.251
3233301128,65.148,-455.426,945.195
3233351181,31.110,-399.977,962.458
3233451365,-12.505,-303.475,959.591
3233501702,-23.058,-231.861,1005.646
3233551720,-46.848,-135.908,984.784
3233651575,-82.350,-36.844,974.170
3233701926,-105.591,24.278,984.479
3233751301,-131.699,101.138,978.867
3233850751,-107.787,143.411,962.702
3233900947,-61.427,167.811,993.202
3233950681,-42.395,168.177,964.227
3234051399,-0.061,153.964,936.777
3234100745,119.804,88.389,979.477
3234200662,194.285,45.506,943.060
3234251142,133.346,-22.082,1004.426
3234300688,125.355,-87.474,979.721
3234401285,180.926,-207.400,1053.592
3234450724,200.812,-226.676,965.630
3234501097,252.845,-251.747,943.548
3234601600,349.896,-299.388,884.500
3234651595,406.565,-326.960,848.266
3234701110,428.708,-369.965,829.966
3234801691,373.259,-407.358,929.152
3234850807,234.972,-360.632,884.866
3234951594,78.263,-346.480,995.276
3235001379,-36.356,-284.077,979.599
3235051370,-103.090,-215.208,960.933
3235151255,-180.072,-176.046,993.812
3235201030,-224.968,-122.183,978.318
3235251766,-264.435,-70.150,921.283
3235351211,-339.404,-42.029,941.596
3235401575,-388.875,-15.067,948.733
3235451221,-379.603,10.065,909.022
3235551435,-415.776,38.369,961.055
3235600989,-429.318,91.134,847.107
3235701408,-467.626,98.271,835.151
3235751046,-499.590,81.557,786.351
3235801589,-541.436,52.033,919.026
3235900794,-498.553,35.868,992.653
3235951777,-261.385,10.187,883.280
3236001390,-225.334,-7.930,994.178
3236100941,-128.283,-25.498,940.559
3236150998,-79.849,-71.614,951.722
3236251492,-61.000,-157.929,921.100
3236301047,-78.934,-274.134,964.471
3236350830,-58.865,-329.766,877.424
3236451403,-102.724,-491.050,1126.548
3236501737,-55.266,-427.671,937.143
3236551045,-60.939,-411.384,954.223
3236650783,-109.190,-315.980,924.272
3236701482,-187.514,-246.074,896.944
3236751467,-253.760,-229.360,956.968
3236851198,-364.597,-169.824,899.567
3236900898,-518.622,-112.911,881.633
3237001122,-615.368,-50.996,765.001
3237051179,-710.528,-17.263,685.823
3237101152,-760.609,-1.647,675.697
3237201588,-721.264,-14.579,708.149
3237251623,-630.984,-28.304,817.949
3237301022,-389.851,-75.213,799.283
3237401582,-300.974,-140.361,908.534
3237451717,-234.240,-239.181,935.496
3237501145,-163.419,-346.114,923.296
3237600938,-110.776,-448.533,911.767
3237650995,-80.947,-502.396,916.281
3237751332,-29.402,-500.444,860.527
3237800663,-14.213,-552.355,935.618
3237851536,-16.836,-478.728,984.479
3237951075,-42.639,-356.972,973.621
3238001692,-105.347,-182.817,984.479
3238051640,-108.031,-72.041,978.318
3238150823,-122.122,45.811,974.719
3238201483,-151.646,151.463,944.158
3238301400,-235.155,270.230,948.489
3238352023,-292.373,332.328,877.119
3238401247,-286.334,307.257,848.937
3238500715,-251.564,311.283,880.352
3238550734,-170.129,282.857,936.045
3238600754,-101.992,218.685,929.579
3238701489,-117.303,162.260,966.789
3238750974,-142.801,84.790,996.008
3238801898,-110.349,-12.566,1033.462
3238901173,-92.659,-68.076,1038.098
3238951198,-65.514,-73.688,1078.175
3239051414,-70.455,-15.433,1055.056
3239101311,-95.770,32.452,873.947
3239151215,-88.023,16.348,957.029
3239251263,21.716,-11.102,1001.071
3239300899,-66.063,-34.892,976.610
3239351167,-305.000,5.124,1046.760
3239451715,-409.493,29.402,1029.985
3239500970,-379.542,86.620,955.138
3239551553,-166.774,111.203,907.253
3239651064,-30.561,133.529,951.661
3239701104,43.432,139.202,945.317
3239801090,52.582,132.980,992.653
3239851281,64.050,145.241,1060.729
3239901335,155.306,119.316,985.577
3240000667,297.802,105.103,945.012
3240051642,354.410,134.322,940.620
3240101493,285.175,211.243,967.582
3240201541,212.463,229.482,918.294
3240251475,120.658,223.016,912.377
3240301038,69.967,200.263,920.856
3240400646,-21.472,179.462,1006.317
3240450894,-164.883,144.936,1014.674
3240552053,-281.698,116.327,1006.256
3240601493,-336.537,139.019,1016.626
3240650812,-282.064,165.798,983.686
3240751654,-46.665,145.790,914.085
3240801219,148.962,147.315,956.968
3240851219,332.755,119.499,913.719
3240950886,390.705,104.310,941.901
3241001599,437.736,70.943,897.432
3241101038,461.221,39.833,885.354
3241151147,346.297,67.588,932.019
3241200950,141.764,102.907,999.241
3241301633,9.211,70.882,999.973
3241350778,-91.927,60.512,925.614
3241401260,-190.991,32.269,994.422
3241500622,-330.376,-0.915,924.028
3241550615,-466.162,-48.861,868.823
3241601251,-457.866,-128.344,889.441
3241700746,-389.424,-269.071,991.921
3241750746,-272.731,-311.222,962.397
3241851305,-189.588,-304.268,908.839
3241901141,-122.976,-351.543,1050.237
3241951195,-46.177,-282.247,961.970
3242050755,-22.570,-203.923,967.826
3242102209,-22.509,-149.206,1006.073
3242151419,-94.184,-40.321,980.087
3242250892,-115.717,4.270,974.231
3242301339,-161.223,65.819,968.314
3242351447,-139.629,110.227,1003.450
3242451460,-107.360,149.267,982.466
3242501682,-76.372,141.825,925.126
3242600679,21.777,91.561,902.983
3242651511,210.450,-8.540,1072.624
3242701040,206.485,-53.070,1049.871
3242801802,217.648,-67.527,1010.465
3242850634,171.166,6.283,1030.839
3242901131,16.653,80.642,989.969
3243000996,-35.075,149.328,986.126
3243050695,-42.761,220.820,995.764
3243101143,-26.901,302.560,962.763
3243201738,45.079,300.608,893.467
3243251690,56.913,318.420,910.425
3243352249,44.835,291.885,897.554
3243400762,168.787,222.345,979.904
3243450899,240.401,153.354,920.795
3243551091,165.066,62.830,887.001
3243601788,73.688,-106.933,1128.439
3243651652,40.077,-183.915,967.704
3243751562,9.760,-273.829,982.649
3243801249,19.642,-331.169,911.706
3243901110,16.226,-450.973,943.609
3243951021,11.956,-525.759,974.536
3244000640,8.235,-508.679,936.777
3244101433,-9.882,-496.784,925.736
3244151527,-30.561,-328.546,901.153
3244200720,-153.537,-236.253,1006.195
3244300993,-149.511,-129.137,984.479
3244351839,-190.625,-60.146,1020.225
3244400631,-143.594,73.261,938.790
3244501452,-169.946,182.085,954.040
3244550629,-170.190,249.612,922.381
3244651598,-164.273,241.804,852.658
3244700621,-117.303,197.640,977.830
3244751488,-29.646,141.947,1079.090
3244851173,32.208,44.286,968.863
3244900873,70.943,-14.640,844.057
3244950836,49.715,-171.776,950.563
3245052258,-33.062,-330.559,1051.640
3245100898,-39.711,-367.281,961.299
3245150839,-65.819,-460.367,991.006
3245250697,-123.830,-422.913,943.975
3245301987,-212.890,-365.939,902.129
3245401379,-370.453,-290.970,882.609
3245451265,-445.971,-252.540,875.899
3245501117,-494.405,-238.693,928.115
3245600886,-377.590,-164.029,849.181
3245651468,-290.726,-155.367,1000.583
3245701449,-51.484,-150.304,948.062
3245801313,86.803,-161.467,907.497
3245851281,213.134,-238.998,934.032
3245951714,248.758,-286.883,923.357
3246000794,311.039,-383.934,1000.400
3246050840,294.142,-332.877,1019.615
3246150998,239.547,-175.131,952.576
3246201017,200.080,-57.584,971.974
3246251421,192.089,53.802,975.878
3246351101,161.406,142.313,963.007
3246400879,108.519,228.079,946.903
3246450778,65.148,308.904,904.752
3246550875,75.335,398.025,933.178
3246601166,106.567,343.308,860.283
3246701313,158.905,323.239,892.369
3246750696,172.447,264.435,916.220
3246801414,280.600,153.537,982.893
3246901966,325.313,47.458,1011.868
3246951344,242.841,-16.531,946.842
3247001029,218.990,-96.136,943.975
3247101305,176.900,-182.085,990.396
3247150896,206.607,-315.736,1059.448
3247201991,152.439,-274.256,987.956
3247301303,129.991,-146.766,1040.721
3247350852,68.259,-25.132,1037.549
3247451558,41.297,49.410,1001.559
3247501360,-26.047,151.158,945.195
3247551647,-13.969,138.836,878.705
3247650924,34.404,134.444,957.700
3247701006,110.166,151.707,1174.677
3247752418,40.626,225.700,946.110
3247851278,-84.546,268.583,885.293
3247900994,-71.858,235.704,829.600
3247950655,66.490,174.887,1109.346
3248051795,102.053,132.126,1088.972
3248102681,39.955,191.174,972.462
3248201566,-35.319,237.839,905.545
3248252109,-62.647,159.393,863.394
3248301855,100.040,4.880,965.508
3248400750,144.143,-204.838,1129.232
3248450599,84.302,-199.592,959.774
3248501546,26.413,-203.252,924.882
3248600962,40.504,-312.747,1043.893
3248650806,56.669,-340.746,1052.555
3248701321,32.086,-246.867,1027.667
3248801546,16.470,-28.487,931.958
3248851258,-78.324,61.915,902.922
3248951621,-277.062,86.132,940.559
3249001080,-462.502,89.548,808.067
3249051391,-607.255,-22.448,997.533
3249151851,-452.254,-36.844,984.845
3249200865,-94.184,-87.474,1014.979
3249252359,277.245,-114.619,866.932
3249351884,462.380,-130.540,846.375
