# STEVAL-MKI227KA (LSM6DSV16X)

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
5922000373,-311.222,-457.073,863.089
5922050139,-304.268,-492.209,927.932
5922100973,-243.939,-412.604,884.805
5922199819,-254.004,-381.921,746.762
5922250529,-364.963,-457.256,781.959
5922350744,-429.074,-654.835,984.784
5922400174,-459.208,-641.232,1058.777
5922450079,-346.358,-449.570,778.238
5922550561,-404.552,-344.589,806.664
5922600618,-364.353,-302.743,748.592
5922650569,-454.389,-269.742,764.391
5922750239,-421.327,-219.478,780.068
5922800953,-385.703,-324.093,1014.857
5922900116,-430.538,-83.448,789.523
5922949855,-439.871,-34.709,845.033
5923000102,-435.784,-24.522,795.928
5923099878,-502.579,19.764,880.962
5923149965,-512.339,77.531,881.328
5923200843,-529.114,168.116,858.575
5923299827,-519.537,233.264,813.801
5923350542,-575.352,333.487,735.538
5923400499,-573.522,373.564,710.284
5923500806,-581.208,402.173,768.112
5923549914,-611.708,426.573,601.765
5923650985,-657.214,445.422,563.701
5923699880,-681.614,469.822,493.124
5923750294,-726.022,457.134,452.132
5923850423,-766.831,472.872,323.361
5923900007,-821.609,473.421,209.108
5923950260,-877.912,452.437,65.392
5924050231,-942.267,353.800,240.523
5924100127,-953.430,280.966,280.539
5924150089,-907.192,237.168,369.965
5924250035,-888.648,208.376,336.659
5924299728,-889.990,147.803,383.080
5924401199,-882.426,83.936,461.160
5924450576,-875.411,24.705,527.406
5924500223,-839.238,-26.901,555.771
5924600429,-815.326,-62.647,577.548
5924650241,-790.865,-109.434,637.389
5924700549,-756.522,-120.048,631.472
5924799983,-739.442,-137.067,647.149
5924850121,-724.497,-154.696,694.973
5924900237,-699.060,-161.406,708.027
5925000450,-643.123,-172.020,746.945
5925050000,-606.096,-162.931,771.345
5925149973,-642.147,-163.907,794.647
5925200301,-757.071,-65.697,577.060
5925250045,-827.343,-67.222,646.356
5925350180,-769.576,-17.629,617.503
5925400667,-736.514,45.933,643.733
5925449861,-749.446,91.622,717.299
5925550690,-696.986,171.105,625.677
5925599662,-738.466,195.993,714.127
5925650477,-654.835,240.523,679.845
5925750183,-637.328,304.146,718.336
5925800567,-595.604,357.765,733.220
5925900447,-587.125,410.835,692.472
5925949727,-567.727,475.007,649.467
5926000504,-563.518,533.994,597.129
5926100629,-565.165,609.085,549.000
5926149833,-568.215,663.497,485.011
5926199872,-517.280,686.128,470.066
5926300188,-492.148,728.401,462.319
5926350208,-442.738,785.253,454.511
5926450554,-369.843,799.771,401.380
5926500223,-356.606,817.034,374.052
5926550233,-391.071,857.660,324.093
5926650380,-419.558,864.370,241.987
5926700672,-443.531,878.095,177.998
5926750230,-644.465,928.481,-21.655
5926849987,-271.084,880.352,286.578
5926900407,-304.573,921.405,292.739
5926950315,-225.822,904.935,301.096
5927050955,-118.706,906.155,378.139
5927099858,-99.796,904.020,442.128
5927200057,-0.793,820.633,503.921
5927249930,103.761,786.717,581.574
5927300380,221.857,710.223,646.600
5927399597,262.422,682.651,690.581
5927450503,273.829,664.168,694.607
5927500402,317.261,640.500,695.949
5927600682,354.227,595.970,697.535
5927650125,410.103,553.209,704.977
