@relation 'MLC'

@attribute F1_MEAN_ACC_X numeric
@attribute F2_VARIANCE_ACC_X numeric
@attribute F3_ENERGY_ACC_X numeric
@attribute F4_PEAK_TO_PEAK_ACC_X numeric
@attribute F5_MINIMUM_ACC_X numeric
@attribute F6_MAXIMUM_ACC_X numeric
@attribute F7_MEAN_ACC_Y numeric
@attribute F8_MINIMUM_ACC_Y numeric
@attribute F9_MAXIMUM_ACC_Y numeric
@attribute F10_MEAN_ACC_Z numeric
@attribute F11_ENERGY_ACC_Z numeric
@attribute F12_MINIMUM_ACC_Z numeric
@attribute F13_MAXIMUM_ACC_Z numeric
@attribute F14_ABS_MEAN_ACC_V numeric
@attribute F15_ABS_MINIMUM_ACC_V numeric
@attribute class {stationary, walking, running, cycling}

@data
0.0358582, 0.0409851, 2.95898, 0.576172, -0.279053, 0.297119, 0.796875, 0.521484, 1.18945, 0.539551, 22.0469, 0.17749, 0.842285, 1.00195, 0.799805, stationary
-0.144897, 0.0065155, 1.92676, 0.346191, -0.331787, 0.0144043, 0.928223, 0.440674, 1.24414, 0.30957, 8.88281, -0.0124512, 0.666504, 1.01465, 0.782715, stationary
-0.198364, 0.0144653, 3.76758, 0.489258, -0.407715, 0.0814209, 0.807129, 0.443115, 1.19727, 0.530273, 20.2969, 0.360596, 0.746582, 1.00195, 0.760742, stationary
-0.0899048, 0.121582, 9.07813, 1.54297, -1.25781, 0.285156, 0.871094, 0.498535, 1.15234, 0.0259399, 6.82813, -0.411133, 0.652344, 0.99707, 0.64209, stationary
-0.748047, 0.097168, 45.9688, 1.24121, -1.31543, -0.0743408, 0.179199, -0.744141, 0.952637, 0.410889, 17.0313, -0.186157, 0.846191, 1.05273, 0.741699, stationary
0.0186157, 0.00867462, 0.631348, 0.532715, -0.212158, 0.320313, 0.576172, 0.253174, 0.783691, 0.800781, 45.5625, 0.63623, 1.04199, 1.00293, 0.900391, stationary
0.0333557, 9.44138e-05, 0.0845337, 0.0579224, 0.00299072, 0.0609131, 0.581055, 0.520996, 0.656738, 0.814453, 46.25, 0.785645, 0.851074, 1.00195, 0.971191, stationary
0.0317078, 4.95911e-05, 0.0738525, 0.0304565, 0.0166626, 0.0471191, 0.581543, 0.536133, 0.633789, 0.813965, 46.5938, 0.783203, 0.841797, 1.00195, 0.984863, stationary
0.234375, 0.0718994, 8.88281, 0.680176, 0.0183105, 0.698242, 0.525391, 0.0717163, 0.716309, 0.758789, 41, 0.51123, 0.901855, 1.00391, 0.871094, stationary
0.63623, 0, 28.2813, 0.046875, 0.612793, 0.659668, 0.493652, 0.468262, 0.524414, 0.594727, 24.875, 0.570313, 0.612305, 1.00195, 0.986816, stationary
0.623047, 0.000488281, 27.2188, 0.0332031, 0.605957, 0.63916, 0.498047, 0.477539, 0.513184, 0.601074, 25.3281, 0.576172, 0.62793, 1, 0.985352, stationary
0.626953, 0, 27.2813, 0.0297852, 0.609863, 0.639648, 0.502441, 0.483887, 0.51709, 0.596191, 25.0313, 0.578125, 0.609863, 1.00098, 0.989746, stationary
0.620117, 0.0012207, 27.0156, 0.03125, 0.60791, 0.63916, 0.504395, 0.491699, 0.523926, 0.599121, 25.0938, 0.575684, 0.614258, 1, 0.984863, stationary
0.626465, 0, 27.3281, 0.0361328, 0.602539, 0.638672, 0.509277, 0.489502, 0.525879, 0.592285, 24.6719, 0.576172, 0.611816, 1.00195, 0.98877, stationary
0.618164, 0, 26.6719, 0.027832, 0.605469, 0.633301, 0.510254, 0.493164, 0.526367, 0.598633, 25.0625, 0.571289, 0.611816, 1, 0.987793, stationary
0.623047, 0, 27.0469, 0.0317383, 0.605469, 0.637207, 0.513184, 0.491699, 0.528809, 0.589844, 24.5938, 0.577148, 0.606934, 1.00098, 0.990234, stationary
0.617676, 0, 26.6406, 0.0292969, 0.601563, 0.630859, 0.51709, 0.503906, 0.534668, 0.594727, 24.75, 0.571289, 0.612305, 1.00195, 0.986328, stationary
0.620605, 0, 26.7969, 0.0263672, 0.606934, 0.633301, 0.521973, 0.500488, 0.539551, 0.588867, 24.2813, 0.569336, 0.605469, 1.00098, 0.983887, stationary
0.615234, 0, 26.3594, 0.0297852, 0.602051, 0.631836, 0.520996, 0.50293, 0.538086, 0.594727, 24.6406, 0.574707, 0.607422, 1, 0.987305, stationary
0.619141, 0, 26.7656, 0.0302734, 0.602051, 0.632324, 0.521973, 0.503418, 0.537598, 0.589355, 24.4219, 0.568848, 0.606445, 1.00098, 0.990234, stationary
0.617188, 0, 26.6406, 0.0288086, 0.602539, 0.631348, 0.522949, 0.509277, 0.536621, 0.591309, 24.375, 0.562988, 0.609375, 1.00098, 0.989746, stationary
0.614258, 0, 26.3594, 0.0249023, 0.602539, 0.627441, 0.522949, 0.504395, 0.542969, 0.59375, 24.7656, 0.581543, 0.607422, 1.00195, 0.985352, stationary
0.617676, 0, 26.5625, 0.027832, 0.603516, 0.631348, 0.523926, 0.510254, 0.536133, 0.589355, 24.1875, 0.571289, 0.600586, 1, 0.987793, stationary
0.612305, 0, 26.0781, 0.0263672, 0.596191, 0.622559, 0.522949, 0.503906, 0.537109, 0.595703, 24.7813, 0.58252, 0.609863, 1.00098, 0.987305, stationary
0.618652, 0, 26.6875, 0.0249023, 0.604004, 0.628906, 0.522949, 0.508301, 0.537109, 0.589355, 24.3438, 0.570801, 0.60791, 1.00098, 0.985352, stationary
0.617188, 0, 26.6719, 0.0249023, 0.605469, 0.630371, 0.523926, 0.508789, 0.544922, 0.590332, 24.3906, 0.575684, 0.603027, 1.00098, 0.990234, stationary
0.612305, 0, 26.0625, 0.0239258, 0.597168, 0.621094, 0.521973, 0.503418, 0.537598, 0.597168, 24.875, 0.574707, 0.608398, 1.00098, 0.98877, stationary
0.611328, 0.00146484, 26.2813, 0.0239258, 0.600098, 0.624023, 0.522949, 0.509766, 0.541504, 0.591309, 24.6094, 0.574707, 0.609375, 1.00098, 0.986328, stationary
0.61377, 0, 26.2813, 0.0317383, 0.599121, 0.630859, 0.522949, 0.505859, 0.538086, 0.593262, 24.6406, 0.570313, 0.609375, 1, 0.98584, stationary
0.315918, 0.0735474, 12.1328, 0.757324, -0.0519409, 0.705566, 0.561035, 0.258789, 0.727051, 0.700684, 35.6563, 0.428223, 1.06152, 1.00098, 0.864258, stationary
0.0499573, 1.33514e-05, 0.175659, 0.0171509, 0.0406494, 0.0578003, 0.589355, 0.572754, 0.596191, 0.809082, 45.5625, 0.794922, 0.822266, 1, 0.985352, stationary
0.0493774, 1.52588e-05, 0.171753, 0.020752, 0.0385742, 0.0593262, 0.589844, 0.57959, 0.59668, 0.807617, 45.4688, 0.790039, 0.816406, 1.00098, 0.98584, stationary
0.0490723, 1.52588e-05, 0.1698, 0.0252686, 0.036499, 0.0617676, 0.589844, 0.579102, 0.59668, 0.807617, 45.4688, 0.791016, 0.820313, 1, 0.984863, stationary
0.049408, 1.14441e-05, 0.171753, 0.0180054, 0.0402222, 0.0582275, 0.591309, 0.58252, 0.596191, 0.808105, 45.5625, 0.79248, 0.817383, 1.00098, 0.986328, stationary
0.0482483, 1.71661e-05, 0.164063, 0.0233765, 0.0368042, 0.0601807, 0.589355, 0.57666, 0.601074, 0.808594, 45.5, 0.791992, 0.816895, 1, 0.985352, stationary
0.0478821, 9.53674e-06, 0.161255, 0.0182495, 0.0384521, 0.0567017, 0.591797, 0.581055, 0.601074, 0.808105, 45.5, 0.790527, 0.817871, 1, 0.988281, stationary
0.0483704, 1.90735e-05, 0.165161, 0.0229492, 0.0355835, 0.0585327, 0.590332, 0.578125, 0.598633, 0.808594, 45.5625, 0.789063, 0.818359, 1, 0.986328, stationary
0.0473938, 2.09808e-05, 0.158813, 0.0245361, 0.0346069, 0.0591431, 0.591797, 0.579102, 0.600098, 0.806152, 45.2813, 0.787598, 0.818359, 1, 0.98584, stationary
0.0473328, 1.71661e-05, 0.158081, 0.019165, 0.0366821, 0.0558472, 0.589844, 0.582031, 0.598633, 0.808105, 45.4688, 0.790039, 0.819336, 1.00098, 0.988281, stationary
0.0471497, 1.14441e-05, 0.156494, 0.0170288, 0.0375977, 0.0546265, 0.592285, 0.580566, 0.601563, 0.807617, 45.4375, 0.788086, 0.818848, 1.00098, 0.984863, stationary
0.046814, 1.52588e-05, 0.154541, 0.0206299, 0.038208, 0.0588379, 0.59082, 0.581543, 0.600586, 0.807617, 45.5, 0.793457, 0.818848, 1, 0.98877, stationary
0.0476379, 1.71661e-05, 0.160156, 0.0181885, 0.0393677, 0.0575562, 0.591797, 0.58252, 0.601074, 0.807617, 45.4375, 0.793457, 0.817383, 1, 0.990234, stationary
0.0468445, 1.71661e-05, 0.154907, 0.0233765, 0.0345459, 0.0579224, 0.591797, 0.581543, 0.598145, 0.805664, 45.2813, 0.791016, 0.818848, 1, 0.986816, stationary
0.0472412, 1.33514e-05, 0.157227, 0.0202026, 0.0358887, 0.0560913, 0.591797, 0.580078, 0.604492, 0.806641, 45.2813, 0.791016, 0.815918, 1.00098, 0.984863, stationary
0.0464783, 1.52588e-05, 0.152344, 0.0202637, 0.0372314, 0.0574951, 0.592773, 0.583008, 0.599121, 0.807129, 45.4688, 0.790039, 0.819336, 1, 0.98584, stationary
0.0473938, 1.14441e-05, 0.158081, 0.0194702, 0.0368652, 0.0563354, 0.591797, 0.581543, 0.599121, 0.807617, 45.3438, 0.791016, 0.817871, 1, 0.987793, stationary
0.0459595, 1.52588e-05, 0.148926, 0.0216675, 0.0338745, 0.055542, 0.593262, 0.562988, 0.618652, 0.800781, 45, 0.781738, 0.82373, 1, 0.978027, stationary
0.0456238, 0.000154495, 0.156494, 0.0699463, 0.00976563, 0.0797119, 0.635742, 0.575195, 0.828125, 0.76416, 41.0938, 0.529297, 0.809082, 0.999023, 0.898438, stationary
0.180786, 0.0544739, 6.10156, 0.912598, -0.116943, 0.79541, 0.95166, 0.542969, 1.29492, 0.00704956, 3.13281, -0.563477, 0.507813, 1.01953, 0.718262, stationary
0.410889, 0.0335693, 14.1719, 0.705078, 0.159912, 0.864746, -0.352295, -0.872559, 0.608398, -0.775391, 44.75, -1.19629, -0.171631, 1.00977, 0.792969, stationary
0.392822, 0.000976563, 10.875, 0.161865, 0.335693, 0.497559, -0.411621, -0.468506, -0.385742, -0.830078, 48.4375, -0.912109, -0.720215, 1.00586, 0.941895, stationary
0.387451, 0, 10.4688, 0.0222168, 0.373779, 0.395996, -0.396729, -0.416992, -0.380859, -0.841797, 49.5313, -0.865723, -0.815918, 1.00391, 0.990723, stationary
0.38623, 0, 10.4219, 0.0151367, 0.37793, 0.393066, -0.398682, -0.407715, -0.388672, -0.842773, 49.5938, -0.852051, -0.827148, 1.00391, 0.996094, stationary
0.38623, 0, 10.4141, 0.0168457, 0.37793, 0.394775, -0.401367, -0.409668, -0.392822, -0.841797, 49.3125, -0.852051, -0.828125, 1.00391, 0.998047, stationary
0.386963, 0, 10.4609, 0.0180664, 0.378418, 0.396484, -0.400635, -0.4104, -0.386719, -0.841797, 49.5625, -0.853516, -0.824707, 1.00488, 0.994629, stationary
0.387695, 0, 10.4609, 0.0161133, 0.378662, 0.394775, -0.402832, -0.411133, -0.393311, -0.841797, 49.25, -0.851074, -0.826172, 1.00391, 0.994629, stationary
0.387207, 0, 10.4531, 0.0124512, 0.380127, 0.392578, -0.403076, -0.412598, -0.394043, -0.841797, 49.5, -0.855469, -0.825684, 1.00586, 0.992676, stationary
0.387451, 0, 10.4375, 0.0146484, 0.379395, 0.394043, -0.403564, -0.411133, -0.390625, -0.842285, 49.3125, -0.855469, -0.82666, 1.00781, 0.998535, stationary
0.387695, 0, 10.4453, 0.0151367, 0.379395, 0.394531, -0.402832, -0.410156, -0.393555, -0.842285, 49.4688, -0.851563, -0.827148, 1.00586, 0.996094, stationary
0.387207, 0, 10.4531, 0.015625, 0.379395, 0.39502, -0.404297, -0.411133, -0.395508, -0.841309, 49.5313, -0.854492, -0.821777, 1.00684, 0.995605, stationary
0.387451, 0, 10.4375, 0.0161133, 0.378906, 0.39502, -0.403076, -0.415039, -0.395264, -0.840332, 49.25, -0.852539, -0.822266, 1.00391, 0.991211, stationary
0.386963, 0, 10.4766, 0.0175781, 0.378662, 0.39624, -0.4021, -0.409424, -0.393311, -0.841309, 49.3438, -0.856445, -0.826172, 1.00586, 0.996094, stationary
0.385742, 0.000244141, 10.4375, 0.0161133, 0.379639, 0.395752, -0.403564, -0.41333, -0.39209, -0.839844, 49.2188, -0.850098, -0.826172, 1.00391, 0.996094, stationary
0.387451, 0, 10.4453, 0.0170898, 0.378906, 0.395996, -0.40332, -0.412109, -0.392822, -0.841309, 49.3125, -0.847168, -0.823242, 1.00391, 0.996094, stationary
0.387451, 0, 10.4609, 0.0148926, 0.379395, 0.394287, -0.405273, -0.411621, -0.397705, -0.84082, 49.2813, -0.853027, -0.823242, 1.00391, 0.995605, stationary
